model,latitude,longitude,distance_m,distance_km,r_min_m,v_safe_kmh,altitude_m,heading_deg,grade_pct,stop_event,lap,s_m,t_s,v_kmh,a_ms2,v_ceiling_kmh,f_traction_n,f_drag_n,f_roll_n,f_grade_n,f_cornering_n,p_wheel_w,p_motor_mech_w,p_motor_elec_w,p_fc_elec_w,h2_flow_m3_s,h2_cumulative_m3,accessory_energy_cumulative_j,buffer_soc_wh,motor_clipped,motor_state,active_motor,weather_scenario,motor_name,fc_name,rule_violation,v_cmd_mpc,v_cmd_corrected,driver_deviation,mpc_mode,driver_throttle_pct,driver_brake_pct,drive_phase,gas_glide_num,x_m,y_m,lap_distance_km,stop_label
Fuzzy,25.490500306166684,51.45294352590626,4858.500641121646,4.858500641121647,350.8579426511959,194.72070063084993,13.0,122.7402871391472,0.1744271098446592,False,2,4858.500641121646,712.0514509283001,27.72154770731924,0.0036439374230187,155.62951511428136,11.713636831900542,0.8992662757400486,6.19991056845006,2.7035812043752556,1.335136670498223,90.20003951715076,112.75004939643844,185.69297398774944,216.32552665305496,2.8594365613212276e-05,0.0189070074450013,10545.771763924497,,False,accel,BG 42x30 dCore,typical_january,BLDC 650W + BG 42x30 dCore,SZFC-1000,False,,,,,,,gas,1,-43.98224192192554,181.1199774293217,1.2323029629679327,
Fuzzy,25.490476078829765,51.45298526894836,4863.483315890473,4.863483315890473,356.8590045871503,196.37888831124232,13.0,121.93817592407912,0.172160416410832,False,2,4863.483315890473,712.6984163848218,27.730034713217556,0.0049923446409664,154.37970457505858,11.890206384906303,0.9195686071215268,6.199910811984198,2.6684480677530473,1.313488444774837,91.58773216688134,114.48466520860168,189.62116696856089,220.69018552062315,2.926228513382303e-05,0.0189255070118042,10555.47624577232,,False,accel,BG 42x30 dCore,typical_january,BLDC 650W + BG 42x30 dCore,SZFC-1000,False,,,,,,,gas,1,-39.78768811622012,178.42754502285385,1.2372856377367594,
Fuzzy,25.49045237494971,51.45302739499149,4868.467693601865,4.868467693601865,363.18552670044784,198.1119778976431,13.0,121.14966008372296,0.1698982776765771,False,2,4868.467693601865,713.3453682834811,27.7416620178568,0.0063409354899157,153.11926062336028,12.067191723589996,0.940336710399456,6.199911051853159,2.633385523644568,1.2916906302861193,92.98998730569792,116.2374841321224,193.590582526592,225.1006472517689,2.9941459706152333e-05,0.0189444383027307,10565.180524252211,,False,accel,BG 42x30 dCore,typical_january,BLDC 650W + BG 42x30 dCore,SZFC-1000,False,,,,,,,gas,1,-35.55464841401044,175.7932854247527,1.2422700154481507,
Fuzzy,25.490429190527937,51.45306988957107,4873.453726762056,4.873453726762056,369.57655233851153,199.84747808892615,13.0,120.37442008561176,0.1654348098624224,False,2,4873.453726762056,713.992227277606,27.756428106006947,0.0076903386583578,151.84793062570216,12.211463708601778,0.9615704475487696,6.199911515837233,2.5642029569659393,1.2707052802292909,94.15183736025506,117.68979670031882,196.87947450851087,228.7549716761232,3.0507457469852098e-05,0.0189638062052388,10574.883409164086,,False,accel,BG 42x30 dCore,typical_january,BLDC 650W + BG 42x30 dCore,SZFC-1000,False,,,,,,,gas,1,-31.284576288895305,173.21675426411977,1.2472560486083424,
Fuzzy,25.4904065214386,51.45311273868731,4878.441367642726,4.878441367642726,376.3308558521859,201.6653950139784,13.0,119.6127510587246,0.1587704614510624,False,2,4878.441367642726,714.6389141664267,27.77433177425837,0.0083646850490516,150.56545115140858,12.215203350690595,0.9832543113352072,6.199912185617183,2.4609072966662633,1.2495093193217746,94.2414195978092,117.80177449726148,197.13305826629315,229.03673140699237,3.0551221141360486e-05,0.0189835349779958,10584.583712496396,,False,accel,BG 42x30 dCore,typical_january,BLDC 650W + BG 42x30 dCore,SZFC-1000,False,,,,,,,gas,1,-26.97887851170073,170.6974930279929,1.2522436894890117,
Fuzzy,25.49038436302585,51.453155928539786,4883.430569034416,4.883430569034417,404.3647188693363,209.0417802724226,12.9,118.90358007061826,0.1521116238809712,False,2,4883.430569034416,715.2853683467596,27.793798362480025,0.0085888146669422,149.27154712204648,12.083319669608954,1.0041633068181082,6.199912827341702,2.357697020218525,1.1645137978537443,93.28926401291668,116.61158001614584,194.4377561862963,226.04195131810695,3.0086969247233217e-05,0.0190032849426169,10594.280525201388,,False,accel,BG 42x30 dCore,typical_january,BLDC 650W + BG 42x30 dCore,SZFC-1000,False,,,,,,,gas,1,-22.638941819418893,168.2349843021617,1.257232890880703,
Fuzzy,25.490362683544458,51.453199429528766,4888.421287787587,4.888421287787587,407.1772153002,209.76749948158815,12.9,118.19904035674524,0.1410515053597441,False,2,4888.421287787587,715.9315604141634,27.813778448542273,0.0083613696062981,147.96593016624735,11.890813132483254,1.0254015086198491,6.199913832475365,2.186267947928376,1.158133445664559,91.86901167775171,114.83626459718964,190.4173952979835,221.5748836644261,2.939817783557993e-05,0.0190227269034767,10603.973406212444,,False,accel,BG 42x30 dCore,typical_january,BLDC 650W + BG 42x30 dCore,SZFC-1000,False,,,,,,,gas,1,-18.267740544156627,165.82570017607134,1.2622236096338728,
Fuzzy,25.49034148515735,51.453243229516815,4893.413093506364,4.893413093506364,377.5108906101293,201.9813216986393,12.9,117.4388817115002,0.1255924303598294,False,2,4893.413093506364,716.5774353445554,27.83321988498709,0.0074549260429131,146.64840155034318,11.623853679030049,1.0485131270971555,6.1999151102967245,1.9466560168169893,1.2508911100388973,89.86924315537763,112.33655394422205,184.7565764744763,215.28508497164032,2.8435760472617964e-05,0.0190417144495399,10613.661530168323,,False,accel,BG 42x30 dCore,typical_january,BLDC 650W + BG 42x30 dCore,SZFC-1000,False,,,,,,,gas,1,-13.866494317213398,163.46988102019344,1.2672154153526505,
Fuzzy,25.490320810176836,51.45328734357371,4898.405929948467,4.898405929948467,325.97476992819463,187.68884469472184,12.9,116.55821341068928,0.110142846180213,False,2,4898.405929948467,717.2230170849025,27.85054583585129,0.0058694897360508,145.31865233180756,11.360194615530142,1.0752487205510917,6.199916239303513,1.7071910516895288,1.4504592256899758,87.88545023444811,109.85681279306014,179.14098037768093,209.0455337529788,2.7489509640271852e-05,0.0190600720572739,10623.345256273533,,False,accel,BG 42x30 dCore,typical_january,BLDC 650W + BG 42x30 dCore,SZFC-1000,False,,,,,,,gas,1,-9.433688850213365,161.17222908558188,1.272208251794753,
Fuzzy,25.490300745597864,51.45333181347638,4903.400131909388,4.903400131909388,266.78105357857754,169.79463314791192,12.9,115.48168501268862,0.0947028710206118,False,2,4903.400131909388,717.8684165101698,27.86418323093942,0.0040570707845199,143.97625349706655,11.190682782613042,1.1078484551503591,6.199917219761273,1.4678749020038049,1.7740250217434537,86.61645431501356,108.27056789376694,175.5487866275959,205.05420736399543,2.688858701549287e-05,0.0190778137709966,10633.026247652542,,False,accel,BG 42x30 dCore,typical_january,BLDC 650W + BG 42x30 dCore,SZFC-1000,False,,,,,,,gas,1,-4.965126184978505,158.94241229520748,1.277202453755674,
