latitude,longitude,distance_m,distance_km,r_min_m,v_safe_kmh,altitude_m,heading_deg,grade_pct,stop_event,lap,s_m,t_s,v_kmh,a_ms2,v_ceiling_kmh,f_traction_n,f_drag_n,f_roll_n,f_grade_n,f_cornering_n,p_wheel_w,p_motor_mech_w,p_motor_elec_w,p_fc_elec_w,h2_flow_m3_s,h2_cumulative_m3,accessory_energy_cumulative_j,buffer_soc_wh,motor_clipped,motor_state,active_motor,weather_scenario,motor_name,fc_name,rule_violation,v_cmd_mpc,v_cmd_corrected,driver_deviation,mpc_mode,driver_throttle_pct,driver_brake_pct,drive_phase,gas_glide_num,x_m,y_m,lap_distance_km,stop_label
25.488415852958347,51.450187413558325,0.0,0.0,1242.3721783609517,366.41422530251987,11.7,330.44033013822326,-0.8187941963524955,True,1,0.0,0.0,0.0,0.833,0.0,125.97051414396807,0.8475228458591345,6.199712181710961,-12.690720883602005,0.0,0.0,0.0,0.0,10.0,1.1524264625778036e-06,0.0,0.0,0.0,False,accel,BG 42x30 dCore,typical_january,BLDC 650W + BG 42x30 dCore,SZFC-1000,False,26.0,26.0,-4.272240666875445,tracking,100.0,0.0,gas,1,-320.93046982587254,-50.52947651954268,0.0,stop-and-go 1
25.4884568108014,51.45016167976365,5.223524115778027,0.005223524115778,1525.9368089363502,406.08293745718026,11.7,330.2493698685981,-0.8392798784860789,False,1,5.223524115778027,3.5413944241858077,10.6199335992484,0.833,216.4537339154336,127.07702490480754,2.226481813917784,6.19970165323113,-13.008212125434412,0.0450535630930366,374.87487957752535,468.59359947190666,541.9474758861611,612.1638620957345,9.257137695773748e-05,4.081196648857208e-06,53.12091636278711,0.0,False,accel,BLDC 650W,typical_january,BLDC 650W + BG 42x30 dCore,SZFC-1000,False,26.0,26.0,-3.099654552920482,correction,100.0,0.0,gas,1,-323.51633278498764,-45.977749505559046,0.005223524115778,
25.48849576802094,51.45013701248453,10.20141908041536,0.0102014190804153,2345.677397594458,503.4781281235009,11.8,330.1280606765494,-0.8411753362607053,False,1,10.20141908041536,4.949060827493087,14.841243609486266,0.833,215.55773661245175,127.7299226911748,2.8965709456079063,6.199700665926536,-13.037588230941182,0.0572393105815276,526.575249689048,658.2190621113099,770.620811320861,866.2453459120677,0.0001385398471552,0.0001343908139001,74.2359124123963,0.0,False,accel,BLDC 650W,typical_january,BLDC 650W + BG 42x30 dCore,SZFC-1000,False,26.0,26.0,-2.1924193731645953,correction,100.0,0.0,gas,1,-325.9950268211008,-41.64835578353451,0.0102014190804153,
25.488534725360793,51.45011222374761,15.185424189908904,0.0151854241899089,3360.6506101039627,602.6402700252287,11.9,330.04312990855436,-0.8411753362607053,False,1,15.185424189908904,6.038178690345292,18.107290256607456,0.833,214.65689268264575,128.29102295507798,3.455439463704855,6.199700665926536,-13.037588230941182,0.0594710563877642,645.2785527679687,806.5981909599608,968.52450990263,1086.1383443362556,0.0001841806524222,0.0002852770361537,90.5726803551794,0.0,False,accel,BLDC 650W,typical_january,BLDC 650W + BG 42x30 dCore,SZFC-1000,False,26.0,26.0,-1.421959446048369,correction,100.0,0.0,gas,1,-328.4859255567302,-37.3189486909247,0.0151854241899089,
25.488573840362573,51.45008724918526,20.193906526211297,0.0201939065262112,4262.109242034565,678.6701621366448,11.9,329.9760152411045,-0.8576683964439789,False,1,20.193906526211297,6.96310057163728,20.880945994225872,0.833,213.74779996457983,128.53661278787533,3.953761691496239,6.199691981047765,-13.293199699579578,0.0623588149109018,745.5461305289854,931.9326631612316,1144.128272344639,1281.2536359384878,0.0002408016575866,0.0004556297516897,104.4465085745592,0.0,False,accel,BLDC 650W,typical_january,BLDC 650W + BG 42x30 dCore,SZFC-1000,False,26.0,26.0,-0.7427778307528774,correction,100.0,0.0,gas,1,-330.9954969792711,-32.97202031313452,0.0201939065262112,
25.488612910055434,51.45006223595753,25.199999773195408,0.0251999997731954,5702.227763233645,784.998356431566,11.9,329.9258929701859,-0.8516364707876289,False,1,25.199999773195408,7.778444647622263,23.32599980928964,0.7607440066683105,212.8352606567167,117.66440977620776,4.408713337910297,6.199695176880327,-13.199716300993614,0.0581645088176643,762.4000000000001,953.0,1173.6453201970442,1314.0503557744937,0.0002545396205254,0.0006519659566903,116.67666971433395,0.0,True,accel,BLDC 650W,typical_january,BLDC 650W + BG 42x30 dCore,SZFC-1000,False,26.0,26.0,-0.1801236824883849,tracking,91.32581112464712,0.0,gas,1,-333.5089536960962,-28.630127206162115,0.0251999997731954,
25.48865191490504,51.45003721378514,30.200336387411426,0.0302003363874114,7782.610395468629,917.0839908659908,11.8,329.8892180588493,-0.848542714283473,False,1,30.200336387411426,8.51805500712893,25.351554743041817,0.2572825371683415,211.9198480645244,38.59207430754358,4.84316635529825,6.199696807264081,-13.15176889142611,0.0503391638094006,271.7691901264524,339.71148765806544,399.5271569108968,453.91906323432977,6.617772796700268e-05,0.0008402260969358,127.77082510693398,0.0,False,accel,BLDC 650W,typical_january,BLDC 650W + BG 42x30 dCore,SZFC-1000,False,26.0,26.0,0.0,tracking,30.886258963786496,0.0,gas,1,-336.0233092187122,-24.29544025953156,0.0302003363874114,
25.48869084975142,51.45001219963151,35.19356681050444,0.0351935668105044,14411.059924984096,1247.9420805754007,11.8,329.86939941854445,-0.8335767921597937,False,1,35.19356681050444,9.218155699818109,26.0,0.0107294497016783,211.00177346646024,0.0,4.9962731754995,6.199704610420887,-12.919824703732315,0.0285938649467535,0.0,0.0,0.0,10.0,1.1524264625778036e-06,0.0008865571701261,138.27233549727163,0.0,False,cruise,BG 42x30 dCore,typical_january,BLDC 650W + BG 42x30 dCore,SZFC-1000,False,26.0,26.0,0.0074368955672747,tracking,1.2880491838749497,0.0,glide,0,-338.53685897480636,-19.96853291164656,0.0351935668105044,
25.488729895841335,51.4499870940015,40.20207774371226,0.0402020777437122,20368.043506563277,1483.6146881525651,11.8,329.8553498174356,-0.8109709266114224,False,1,40.20207774371226,9.911284963112177,26.02677282404219,0.0085264385860187,210.0768587822685,0.0,5.002307628811026,6.199716133794871,-12.569473844378528,0.0202727851816741,0.0,0.0,0.0,10.0,1.1524264625778036e-06,0.0008873559506311,148.66927444668266,0.0,False,cruise,BG 42x30 dCore,typical_january,BLDC 650W + BG 42x30 dCore,SZFC-1000,False,26.0,26.0,0.0133482367416002,tracking,1.023582063147505,0.0,glide,0,-341.0596007442174,-15.629262847397086,0.0402020777437122,
25.488768981751225,51.449961948563654,45.21641675117037,0.0452164167511703,25219.312530450203,1650.8708121641926,11.8,329.8440060323942,-0.7794308213943686,False,1,45.21641675117037,10.604580424598185,26.04805365226976,0.0054267166999421,209.14677046181043,0.0,5.007102140789436,6.199731682164758,-12.080654893635918,0.0163998320908628,0.0,0.0,0.0,10.0,1.1524264625778036e-06,0.0008881549226673,159.06870636897276,0.0,False,cruise,BG 42x30 dCore,typical_january,BLDC 650W + BG 42x30 dCore,SZFC-1000,False,26.0,26.0,0.017102558634539,tracking,0.6514665906293101,0.0,glide,0,-343.5863426081563,-11.285567509502611,0.0452164167511703,
