,EXAONE-Tabular (default),TabFM (default),TabPFN-3 (default),TabICLv2 (default),TabPFN-2.6 (default),iLTM (T+E),CatBoost (T+E),RealMLP (T+E),ChimeraBoost (T+E),XGBoost (T+E),TabM (T+E),LightGBM (T+E),ModernNCA (T+E),RealTabPFN-2.5 (T+E),TabICL (default),TabDPT (T+E),TorchMLP (T+E),TabDPT-Turbo (default),xRFM (T+E),EBM (T+E),TabSwift (default),BetaTabPFN (default),FastaiMLP (T+E),RandomForest (T+E),SAP-RPT-OSS (default),LimiX (default),ExtraTrees (T+E),Linear (T+E),TabSTAR (T+E),KNN (T+E),PerpetualBooster (T+E),OrionMSP (default),TabFlex (default)
FastaiMLP (T+E),0.012345679,0.09876543,0.11111111,0.17283951,0.14814815,0.037037037,0.14814815,0.024691358,0.16049382,0.22222222,0.19753087,0.25925928,0.14814815,0.2962963,0.34567901,0.34567901,0.38271606,0.39506173,0.2962963,0.37037036,0.4197531,0.44444445,,0.6419753,0.67901236,0.617284,0.65432096,0.8765432,0.7530864,0.8641975,0.8641975,0.8148148,0.9259259
RandomForest (T+E),0.012345679,0.024691358,0.0617284,0.037037037,0.049382716,0.024691358,0.024691358,0.024691358,0.012345679,0.0,0.074074075,0.037037037,0.1234568,0.09876543,0.20987655,0.25925925,0.22222222,0.28395063,0.28395063,0.25925928,0.4074074,0.38271606,0.35802472,,0.5679013,0.5925926,0.5925926,0.7777778,0.7901234,0.8765432,0.83950615,0.92592597,0.962963
SAP-RPT-OSS (default),0.0,0.024691358,0.086419754,0.086419754,0.049382716,0.024691358,0.024691358,0.037037037,0.024691358,0.049382716,0.09876544,0.049382716,0.16049382,0.16049384,0.2469136,0.28395063,0.19753087,0.33333334,0.23456791,0.13580248,0.4074074,0.28395063,0.32098764,0.43209875,,0.65432096,0.56790125,0.79012346,0.65432096,0.8765432,0.82716054,0.8518518,0.962963
LimiX (default),0.0,0.049382716,0.11111111,0.09876543,0.13580248,0.16049382,0.19753087,0.0617284,0.17283951,0.2469136,0.14814815,0.23456791,0.049382716,0.25925928,0.23456791,0.25925928,0.25925928,0.14814815,0.23456791,0.33333334,0.2469136,0.27160496,0.38271606,0.4074074,0.34567901,,0.46913582,0.60493827,0.4814815,0.51851857,0.59259254,0.59259254,0.61728394
ExtraTrees (T+E),0.012345679,0.012345679,0.037037037,0.012345679,0.024691358,0.049382716,0.012345679,0.0,0.1234568,0.012345679,0.074074075,0.024691358,0.11111111,0.037037037,0.22222222,0.2469136,0.1234568,0.25925928,0.1851852,0.22222222,0.30864197,0.32098764,0.34567901,0.4074074,0.43209878,0.5308642,,0.69135803,0.69135803,0.71604943,0.7283951,0.93827164,0.962963
Linear (T+E),0.0,0.024691358,0.086419754,0.086419754,0.037037037,0.012345679,0.012345679,0.0,0.0,0.0,0.074074075,0.024691358,0.11111111,0.17283951,0.27160493,0.27160493,0.09876543,0.2962963,0.024691358,0.11111111,0.30864197,0.27160493,0.1234568,0.22222222,0.20987655,0.39506173,0.308642,,0.48148143,0.3580247,0.4814815,0.65432096,0.65432096
TabSTAR (T+E),0.0,0.0,0.0,0.024691358,0.0,0.0,0.0,0.0,0.0,0.012345679,0.0,0.012345679,0.086419754,0.0,0.0617284,0.16049382,0.086419754,0.1234568,0.16049384,0.037037037,0.22222222,0.012345679,0.2469136,0.20987654,0.34567901,0.51851857,0.30864197,0.51851857,,0.61728394,0.7037037,0.65432096,0.8641975
KNN (T+E),0.0,0.049382716,0.074074075,0.049382716,0.0617284,0.012345679,0.012345679,0.012345679,0.012345679,0.012345679,0.0617284,0.024691358,0.012345679,0.09876543,0.16049382,0.17283951,0.09876543,0.16049382,0.037037037,0.09876543,0.23456791,0.09876543,0.13580246,0.1234568,0.1234568,0.4814815,0.28395066,0.6419753,0.38271606,,0.5925926,0.6419753,0.71604943
PerpetualBooster (T+E),0.0,0.0,0.0,0.0,0.012345679,0.024691358,0.024691358,0.024691358,0.13580246,0.086419754,0.024691358,0.024691358,0.012345679,0.037037037,0.024691358,0.012345679,0.024691358,0.037037037,0.20987655,0.13580246,0.049382716,0.14814815,0.13580246,0.16049382,0.17283951,0.4074074,0.27160496,0.51851857,0.2962963,0.40740743,,0.6666667,0.56790125
OrionMSP (default),0.0,0.0,0.0,0.0,0.0,0.012345679,0.012345679,0.0,0.0,0.0,0.0,0.012345679,0.049382716,0.012345679,0.0,0.012345679,0.0,0.11111111,0.037037037,0.13580246,0.0,0.1234568,0.18518518,0.074074075,0.14814815,0.4074074,0.0617284,0.34567901,0.34567901,0.35802472,0.33333334,,0.5925926
TabFlex (default),0.0,0.0,0.0,0.0,0.0,0.0,0.012345679,0.0,0.0,0.0,0.0,0.0,0.074074075,0.0,0.024691358,0.037037037,0.0,0.1234568,0.024691358,0.024691358,0.0,0.037037037,0.074074075,0.037037037,0.037037037,0.38271606,0.037037037,0.34567901,0.13580246,0.28395063,0.43209878,0.4074074,
