,TabFM+,EXAONE-Tabular (default),"AutoGluon 1.6 (noncommercial, 4h)",TabFM (default),"AutoGluon 1.6 (extreme, 4h)","AutoGluon 1.5 (extreme, 4h)",RealTabPFN-2.5 (T+E),TabPFN-2.6 (default),TabPFNv2 (T+E),TabICLv2 (default),TabPFN-3 (default),RealMLP (T+E),LimiX (default),"AutoGluon 1.4 (best, 4h)",TabM (T+E),Mitra (default),TabDPT (T+E),TabDPT-Turbo (default),CatBoost (T+E),LightGBM (T+E),SAP-RPT-OSS (default),BetaTabPFN (default),xRFM (T+E),ModernNCA (T+E),XGBoost (T+E),iLTM (T+E),ExtraTrees (T+E),EBM (T+E),TabICL (default),FastaiMLP (T+E),TorchMLP (T+E),RandomForest (T+E),ChimeraBoost (T+E),TabSwift (default),KNN (T+E),TabSTAR (T+E),OrionMSP (default),Linear (T+E),PerpetualBooster (T+E),TabFlex (default)
TabPFN-3 (default),0.044444446,0.17142858,0.17619048,0.20476191,0.26190475,0.32222223,0.29523808,0.38095236,0.52063495,0.51111114,,0.43333334,0.5968254,0.50793654,0.5507937,0.65238094,0.7095238,0.6936508,0.70952374,0.70158726,0.5777778,0.6634921,0.7523809,0.7888889,0.75873023,0.7619048,0.8333334,0.76984125,0.952381,0.7476191,0.8142857,0.8142857,0.80476195,0.8730159,0.8730159,0.95238096,0.9952381,0.9904762,0.9809524,1.0
RealMLP (T+E),0.06825397,0.08888889,0.24920633,0.28412697,0.26825398,0.21746032,0.20793651,0.29047617,0.42063493,0.45396826,0.5666666,,0.5396825,0.57301587,0.66984123,0.5920635,0.57460314,0.6174603,0.74761903,0.76984125,0.63492066,0.74444443,0.7650794,0.7873016,0.9142857,0.81746036,0.75238097,0.8428572,0.7333333,0.85555553,0.8063493,0.8047619,0.884127,0.76349205,0.86507934,0.9539682,0.9904762,0.9952381,0.9857143,1.0
LimiX (default),0.06984127,0.11269841,0.21111111,0.23174603,0.21904762,0.2031746,0.2031746,0.32539684,0.42063496,0.43333337,0.4031746,0.46031746,,0.54761904,0.631746,0.5460318,0.5619048,0.5238095,0.6873016,0.69682544,0.60952383,0.6793651,0.76349205,0.64285713,0.7174603,0.7126984,0.83015877,0.77619046,0.7666666,0.74920636,0.70158726,0.84444445,0.82222223,0.7777778,0.884127,0.93174607,0.947619,0.9904762,0.9857143,0.984127
"AutoGluon 1.4 (best, 4h)",0.06666667,0.093650796,0.10000001,0.15238096,0.14285715,0.22063492,0.23333335,0.31746033,0.2888889,0.35555556,0.4920635,0.42698413,0.45238096,,0.5555555,0.47460315,0.5428571,0.57460314,0.63809526,0.7047619,0.52380955,0.6857143,0.6730159,0.69206345,0.71587306,0.74444443,0.61428577,0.7873016,0.6952381,0.8095239,0.78571427,0.66825396,0.8761905,0.7619048,0.8095239,0.93492067,0.9111112,0.9619048,0.95714283,0.96349204
TabM (T+E),0.1015873,0.084126994,0.1952381,0.24444444,0.21428572,0.18412699,0.23174605,0.3222222,0.26666668,0.36666664,0.44920635,0.33015874,0.36825398,0.44444448,,0.41111112,0.56349206,0.64603174,0.59365076,0.58412695,0.5920635,0.6666666,0.62222224,0.7174603,0.7444445,0.64920634,0.60476196,0.8492063,0.68095237,0.72698414,0.80952376,0.65873015,0.8126984,0.78095233,0.8746032,0.95555556,0.95714283,0.9714286,0.96666664,1.0
Mitra (default),0.053968254,0.14761904,0.13333334,0.07936508,0.18095239,0.2,0.23809525,0.21111111,0.3857143,0.23650794,0.34761906,0.4079365,0.45396826,0.5253969,0.5888888,,0.58412695,0.5634921,0.67142856,0.7174603,0.43492064,0.67460316,0.70634925,0.72698414,0.72222227,0.7888889,0.74285716,0.76031744,0.7190476,0.6873016,0.78571427,0.7714286,0.8206349,0.81428576,0.85714287,0.84761906,0.8333333,0.9857143,0.96666664,0.85714287
TabDPT (T+E),0.08571429,0.21111111,0.10793652,0.17142858,0.14126985,0.15079366,0.284127,0.35079363,0.36666664,0.2857143,0.29047623,0.42539683,0.43809524,0.45714286,0.43650797,0.41587305,,0.46666667,0.5269841,0.5888888,0.44285712,0.5206349,0.49841267,0.6015873,0.6015873,0.70634925,0.65873015,0.6809524,0.6603175,0.6603175,0.6539683,0.72380954,0.7317461,0.80476195,0.9428572,0.8333333,0.9714286,0.8,0.94920635,1.0
TabDPT-Turbo (default),0.03809524,0.14761904,0.06666667,0.18095239,0.10952381,0.18571427,0.23015873,0.22857143,0.37619045,0.3285714,0.30634922,0.3825397,0.4761905,0.42539686,0.3539683,0.43650797,0.53333336,,0.5015873,0.515873,0.44761902,0.44126984,0.45714286,0.59523815,0.57301587,0.66825396,0.6952381,0.56666666,0.64603174,0.6650793,0.6238095,0.7476191,0.6333333,0.75396824,0.85396826,0.80317456,0.95714283,0.8047619,0.93492067,1.0
CatBoost (T+E),0.025396826,0.00952381,0.052380953,0.16666666,0.10000001,0.08095239,0.07619048,0.1936508,0.22857143,0.27936512,0.29047617,0.25238097,0.31269842,0.36190477,0.40634918,0.3285714,0.47301593,0.4984127,,0.4984127,0.4904762,0.5190476,0.5492064,0.6095238,0.65873015,0.5619048,0.64285713,0.69682544,0.6904761,0.62539685,0.65873015,0.6857143,0.76031744,0.7650794,0.83809525,0.9698413,0.9809524,0.9714286,0.9809524,1.0
LightGBM (T+E),0.0936508,0.08888889,0.01904762,0.2,0.033333335,0.11111112,0.17619048,0.23809525,0.2174603,0.25396824,0.29841274,0.23015873,0.30317464,0.29523808,0.41587305,0.28253967,0.41111112,0.484127,0.5015873,,0.56031746,0.53492063,0.53333336,0.5349206,0.65238094,0.63174593,0.54761904,0.78888893,0.5857143,0.64126986,0.7015873,0.6206349,0.8730158,0.7333333,0.82857144,0.9619048,0.94285715,0.91904765,0.95714283,1.0
