#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware
30,🌳,Tree-based,[CatBoost (default)](https://arxiv.org/abs/1706.09516),1363.0,+130/-94,0.119,32.28,25.51,9.905,13.63,0.049,✔️,0.0,False,CPU
31,❓,Other,[xRFM (tuned)](https://arxiv.org/abs/2508.10053),1362.0,+141/-87,0.181,32.32,26.3,8.55,2039.7,0.109,✔️,0.0,False,GPU
32,🧠⚡,Foundation Model,[iLTM (tuned)](https://arxiv.org/abs/2511.15941),1350.0,+115/-73,0.13,33.11,27.43,9.246,39519.07,167.037,✔️,0.0,False,GPU
33,🌳,Tree-based,[ChimeraBoost (tuned + ensembled)](https://github.com/bbstats/chimeraboost),1339.0,+136/-96,0.108,33.91,26.51,10.357,1846.43,0.349,✔️,0.0,False,CPU
34,🧠🔁,Neural Network,[ModernNCA (tuned)](https://arxiv.org/abs/2407.03257),1322.0,+165/-97,0.129,35.07,20.91,11.043,8982.74,0.421,✔️,0.0,False,GPU
35,🧠🔁,Neural Network,[TabM (default)](https://arxiv.org/abs/2410.24210),1303.0,+170/-139,0.15,36.33,27.7,8.874,13.53,0.467,✔️,0.0,False,GPU
36,🌳,Tree-based,[ChimeraBoost (tuned)](https://github.com/bbstats/chimeraboost),1302.0,+134/-97,0.082,36.38,29.06,10.698,1846.43,0.029,✔️,0.0,False,CPU
37,🧠🔁,Neural Network,[RealMLP (default)](https://arxiv.org/abs/2407.04491),1276.0,+146/-106,0.125,38.18,31.46,9.674,21.52,8.35,✔️,0.0,False,GPU
38,🌳,Tree-based,[ExtraTrees (tuned + ensembled)](https://link.springer.com/article/10.1007/s10994-006-6226-1),1262.0,+120/-160,0.137,39.16,28.57,13.391,1163.69,2.098,✔️,0.0,False,CPU
39,🧠🔁,Neural Network,[TorchMLP (tuned + ensembled)](https://arxiv.org/abs/2003.06505),1251.0,+140/-160,0.114,39.9,25.93,11.317,5151.88,1.591,✔️,0.0,False,CPU
40,🧠⚡,Foundation Model,[LimiX (default)](https://arxiv.org/abs/2509.03505),1244.0,+212/-212,0.12,40.4,15.75,11.333,121.77,21.803,➖,0.0,False,GPU
41,🌳,Tree-based,[ExtraTrees (tuned)](https://link.springer.com/article/10.1007/s10994-006-6226-1),1241.0,+117/-162,0.121,40.61,27.05,13.637,1163.69,0.288,✔️,0.0,False,CPU
42,🌳,Tree-based,[ChimeraBoost (default)](https://github.com/bbstats/chimeraboost),1233.0,+104/-95,0.023,41.09,37.52,11.649,8.29,0.037,✔️,0.0,False,CPU
43,🧠🔁,Neural Network,[ModernNCA (default)](https://arxiv.org/abs/2407.03257),1213.0,+75/-83,0.025,42.45,32.85,12.775,26.38,0.302,✔️,0.0,False,GPU
44,🌳,Tree-based,[EBM (tuned + ensembled)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),1200.0,+160/-173,0.06,43.35,33.33,13.592,3084.49,0.126,✔️,0.0,False,CPU
45,🧠🔁,Neural Network,[TorchMLP (tuned)](https://arxiv.org/abs/2003.06505),1196.0,+130/-151,0.072,43.56,34.74,11.974,5151.88,0.136,✔️,0.0,False,CPU
46,🌳,Tree-based,[LightGBM (default)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1193.0,+50/-44,0.0,43.8,41.82,11.947,4.3,0.317,✔️,0.0,False,CPU
47,🌳,Tree-based,[RandomForest (tuned + ensembled)](https://link.springer.com/article/10.1023/A:1010933404324),1163.0,+96/-144,0.042,45.75,41.34,15.148,675.17,1.54,✔️,0.0,False,CPU
48,🌳,Tree-based,[EBM (tuned)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),1159.0,+152/-173,0.037,45.96,34.74,14.101,3084.49,0.012,✔️,0.0,False,CPU
49,🌳,Tree-based,[RandomForest (tuned)](https://link.springer.com/article/10.1023/A:1010933404324),1126.0,+86/-148,0.018,48.03,43.65,15.743,675.17,0.206,✔️,0.0,False,CPU
50,🌳,Tree-based,[XGBoost (default)](https://arxiv.org/abs/1603.02754),1125.0,+56/-50,0.0,48.09,46.6,13.15,4.06,0.299,✔️,0.0,False,CPU
51,🌳,Tree-based,[PerpetualBooster (tuned + ensembled)](https://perpetual-ml.com/),1120.0,+74/-127,0.0,48.42,45.78,15.121,195.75,0.36,✔️,0.0,False,CPU
52,🧠🔁,Neural Network,[FastaiMLP (tuned + ensembled)](https://arxiv.org/abs/2003.06505),1113.0,+91/-123,0.035,48.87,45.13,14.699,2215.61,7.791,✔️,0.0,False,CPU
53,❓,Other,[xRFM (default)](https://arxiv.org/abs/2508.10053),1103.0,+143/-204,0.05,49.43,39.56,15.523,10.2,2.716,✔️,0.0,False,GPU
