#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware
0,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),1941.0,+240/-134,0.774,5.53,1.96,4.458,27.18,13.118,✔️,0.0,False,GPU
1,📊,Reference Pipeline,"[AutoGluon 1.5 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",1938.0,+123/-57,0.729,5.6,2.55,3.418,182.61,2.229,✔️,0.0,False,GPU
2,📊,Reference Pipeline,"[AutoGluon 1.4 (best, 4h)](https://arxiv.org/abs/2003.06505)",1870.0,+136/-67,0.651,7.33,3.53,4.717,432.15,4.214,✔️,0.0,False,CPU
3,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),1801.0,+236/-138,0.67,9.53,2.7,4.59,1.02,0.214,✔️,0.0,False,GPU
4,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),1765.0,+138/-65,0.526,10.87,8.26,7.097,2.64,0.702,✔️,0.0,False,GPU
5,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),1713.0,+163/-106,0.496,13.0,7.2,6.49,739.1,11.65,✔️,0.0,False,GPU
6,🧠⚡,Foundation Model,[TabICLv2 (default)](https://arxiv.org/abs/2602.11139),1710.0,+206/-125,0.52,13.13,5.58,7.508,0.56,0.118,✔️,0.0,False,GPU
7,🧠🔁,Neural Network,[ModernNCA (tuned + ensembled)](https://arxiv.org/abs/2407.03257),1668.0,+140/-119,0.481,15.07,9.87,6.901,2522.59,6.234,✔️,0.0,False,GPU
8,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned)](https://arxiv.org/abs/2511.08667),1662.0,+146/-99,0.456,15.4,9.51,7.814,739.1,1.134,✔️,0.0,False,GPU
9,🧠🔁,Neural Network,[RealMLP (tuned + ensembled)](https://arxiv.org/abs/2407.04491),1619.0,+88/-79,0.426,17.6,12.43,8.359,1714.29,1.743,✔️,0.0,False,GPU
10,🌳,Tree-based,[CatBoost (tuned + ensembled)](https://arxiv.org/abs/1706.09516),1583.0,+106/-74,0.345,19.57,11.1,9.211,477.59,0.189,✔️,0.0,False,CPU
11,🌳,Tree-based,[LightGBM (tuned + ensembled)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1582.0,+76/-58,0.328,19.6,15.31,10.072,129.25,2.621,✔️,0.0,False,CPU
12,🌳,Tree-based,[CatBoost (tuned)](https://arxiv.org/abs/1706.09516),1570.0,+100/-74,0.331,20.27,11.76,9.407,477.59,0.016,✔️,0.0,False,CPU
13,🧠🔁,Neural Network,[TabM (tuned + ensembled)](https://arxiv.org/abs/2410.24210),1554.0,+144/-91,0.325,21.2,14.19,9.628,1176.25,0.556,✔️,0.0,False,GPU
14,🌳,Tree-based,[XGBoost (tuned + ensembled)](https://arxiv.org/abs/1603.02754),1551.0,+98/-67,0.298,21.4,16.05,9.808,289.35,0.706,✔️,0.0,False,CPU
15,🧠🔁,Neural Network,[ModernNCA (tuned)](https://arxiv.org/abs/2407.03257),1546.0,+129/-109,0.333,21.7,14.14,10.198,2522.59,0.318,✔️,0.0,False,GPU
16,🧠⚡,Foundation Model,[iLTM (tuned + ensembled)](https://arxiv.org/abs/2511.15941),1535.0,+97/-87,0.314,22.33,15.14,9.974,2045.59,69.586,✔️,0.0,False,GPU
17,🌳,Tree-based,[LightGBM (tuned)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1533.0,+91/-76,0.273,22.47,18.5,10.68,129.25,0.117,✔️,0.0,False,CPU
18,🌳,Tree-based,[CatBoost (default)](https://arxiv.org/abs/1706.09516),1532.0,+108/-92,0.333,22.53,12.4,9.245,1.88,0.011,✔️,0.0,False,CPU
19,🧠🔁,Neural Network,[RealMLP (tuned)](https://arxiv.org/abs/2407.04491),1520.0,+111/-105,0.319,23.2,13.85,10.256,1714.29,0.079,✔️,0.0,False,GPU
20,🧠⚡,Foundation Model,[RealTabPFN-2.5 (default)](https://arxiv.org/abs/2511.08667),1519.0,+142/-110,0.324,23.27,13.93,8.951,1.91,0.668,✔️,0.0,False,GPU
21,🌳,Tree-based,[ChimeraBoost (tuned + ensembled)](https://github.com/bbstats/chimeraboost),1518.0,+126/-118,0.327,23.33,15.12,11.301,92.46,0.276,✔️,0.0,False,CPU
22,🌳,Tree-based,[XGBoost (tuned)](https://arxiv.org/abs/1603.02754),1499.0,+102/-86,0.261,24.53,19.21,10.049,289.35,0.08,✔️,0.0,False,CPU
23,🌳,Tree-based,[ChimeraBoost (tuned)](https://github.com/bbstats/chimeraboost),1496.0,+137/-104,0.306,24.73,17.71,11.401,92.46,0.026,✔️,0.0,False,CPU
24,🧠🔁,Neural Network,[TabM (tuned)](https://arxiv.org/abs/2410.24210),1490.0,+171/-87,0.276,25.07,14.45,10.481,1176.25,0.057,✔️,0.0,False,GPU
25,🧠⚡,Foundation Model,[TabDPT-Turbo (default)](https://openreview.net/pdf?id=Y00pwFyrHR),1477.0,+145/-143,0.288,25.87,16.46,10.969,0.76,0.178,➖,0.0,False,GPU
26,🧠⚡,Foundation Model,[TabDPT (tuned + ensembled)](https://arxiv.org/abs/2410.18164),1470.0,+124/-117,0.269,26.33,8.07,10.481,4532.19,387.89,✔️,0.0,False,GPU
27,🧠⚡,Foundation Model,[TabDPT (tuned)](https://arxiv.org/abs/2410.18164),1418.0,+150/-138,0.238,29.7,13.21,12.916,4532.19,39.452,✔️,0.0,False,GPU
28,❓,Other,[xRFM (tuned + ensembled)](https://arxiv.org/abs/2508.10053),1417.0,+110/-124,0.242,29.73,21.97,11.377,559.64,0.88,✔️,0.0,False,GPU
29,🌳,Tree-based,[ChimeraBoost (default)](https://github.com/bbstats/chimeraboost),1408.0,+147/-123,0.225,30.33,20.72,12.413,0.48,0.023,✔️,0.0,False,CPU
30,🧠⚡,Foundation Model,[iLTM (tuned)](https://arxiv.org/abs/2511.15941),1392.0,+101/-87,0.152,31.33,21.3,11.952,2045.59,6.231,✔️,0.0,False,GPU
31,❓,Other,[xRFM (tuned)](https://arxiv.org/abs/2508.10053),1386.0,+98/-105,0.16,31.73,26.23,13.54,559.64,0.051,✔️,0.0,False,GPU
32,🌳,Tree-based,[XGBoost (default)](https://arxiv.org/abs/1603.02754),1380.0,+119/-127,0.197,32.13,10.23,11.836,0.48,0.047,✔️,0.0,False,CPU
33,🧠⚡,Foundation Model,[TabSwift (default)](https://github.com/LAMDA-Tabular/TabSwift),1379.0,+151/-129,0.194,32.2,17.86,12.151,0.51,0.126,➖,0.0,False,GPU
34,🧠🔁,Neural Network,[TorchMLP (tuned + ensembled)](https://arxiv.org/abs/2003.06505),1349.0,+92/-68,0.123,34.13,28.25,12.29,1803.23,1.199,✔️,0.0,False,CPU
35,🧠🔁,Neural Network,[TabM (default)](https://arxiv.org/abs/2410.24210),1342.0,+97/-80,0.109,34.6,31.16,13.285,1.94,0.046,✔️,0.0,False,GPU
36,🌳,Tree-based,[EBM (tuned + ensembled)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),1325.0,+126/-139,0.153,35.73,26.34,15.154,662.24,0.093,✔️,0.0,False,CPU
37,🧠⚡,Foundation Model,[LimiX (default)](https://arxiv.org/abs/2509.03505),1298.0,+169/-159,0.202,37.47,9.57,15.204,6.51,5.361,➖,0.0,False,GPU
38,🧠⚡,Foundation Model,[TabDPT (default)](https://arxiv.org/abs/2410.18164),1284.0,+121/-139,0.155,38.37,22.45,15.733,41.51,39.094,✔️,0.0,False,GPU
39,🧠🔁,Neural Network,[ModernNCA (default)](https://arxiv.org/abs/2407.03257),1279.0,+84/-96,0.089,38.67,34.51,13.775,9.07,0.224,✔️,0.0,False,GPU
40,🧠🔁,Neural Network,[RealMLP (default)](https://arxiv.org/abs/2407.04491),1279.0,+82/-82,0.061,38.67,35.7,15.022,6.54,0.294,✔️,0.0,False,GPU
41,🌳,Tree-based,[RandomForest (tuned + ensembled)](https://link.springer.com/article/10.1023/A:1010933404324),1242.0,+90/-92,0.039,41.0,35.55,14.895,65.73,0.23,✔️,0.0,False,CPU
42,🧠🔁,Neural Network,[TorchMLP (tuned)](https://arxiv.org/abs/2003.06505),1238.0,+77/-83,0.056,41.27,38.35,14.649,1803.23,0.051,✔️,0.0,False,CPU
