,EXAONE-Tabular (default),RealTabPFN-2.5 (T+E),TabFM (default),TabPFN-2.6 (default),TabPFN-3 (default),TabICLv2 (default),LimiX (default),RealMLP (T+E),CatBoost (T+E),TabM (T+E),LightGBM (T+E),TabDPT (T+E),xRFM (T+E),TabDPT-Turbo (default),XGBoost (T+E),SAP-RPT-OSS (default),EBM (T+E),ChimeraBoost (T+E),ModernNCA (T+E),ExtraTrees (T+E),iLTM (T+E),RandomForest (T+E),BetaTabPFN (default),TorchMLP (T+E),TabSwift (default),FastaiMLP (T+E),KNN (T+E),TabSTAR (T+E),OrionMSP (default),Linear (T+E),PerpetualBooster (T+E),TabFlex (default)
EXAONE-Tabular (default),,0.625,0.25,0.75,0.75,0.75,0.75,0.875,1.0,0.75,0.875,0.75,0.875,0.875,1.0,0.875,1.0,0.875,1.0,0.875,1.0,0.875,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0
RealTabPFN-2.5 (T+E),0.375,,0.375,0.75,0.625,0.75,0.75,0.875,1.0,0.75,0.875,0.75,0.875,0.875,1.0,1.0,0.875,1.0,1.0,0.875,1.0,0.875,0.875,0.875,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0
TabFM (default),0.75,0.625,,0.75,0.75,1.0,0.75,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.75,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,1.0,1.0,1.0
TabPFN-2.6 (default),0.25,0.25,0.25,,0.5,0.5,0.75,0.875,0.875,0.75,0.875,0.75,0.875,0.875,1.0,0.75,0.75,0.875,1.0,0.875,1.0,0.75,0.75,0.875,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0
TabPFN-3 (default),0.25,0.375,0.25,0.5,,0.75,0.625,0.625,0.625,0.625,0.75,0.75,0.75,0.875,0.875,0.625,0.75,0.875,1.0,0.875,1.0,0.875,0.75,0.875,0.875,0.875,0.875,1.0,1.0,1.0,1.0,1.0
TabICLv2 (default),0.25,0.25,0.0,0.5,0.25,,0.625,0.625,0.625,0.625,0.875,0.75,0.625,0.875,0.75,0.5,0.625,0.75,0.875,0.75,0.875,0.75,0.75,0.875,0.875,0.875,0.875,0.875,0.875,1.0,1.0,0.875
LimiX (default),0.25,0.25,0.25,0.25,0.375,0.375,,0.625,0.625,0.75,0.625,0.5,0.75,0.625,0.75,0.625,0.75,0.75,0.75,0.875,0.625,0.875,0.75,0.75,0.75,0.75,0.875,1.0,1.0,1.0,1.0,1.0
RealMLP (T+E),0.125,0.125,0.125,0.125,0.375,0.375,0.375,,0.625,0.625,0.625,0.5,0.625,0.5,0.875,0.625,0.75,0.875,0.75,0.5,0.75,0.5,0.75,0.75,0.75,0.875,0.875,1.0,1.0,1.0,1.0,1.0
CatBoost (T+E),0.0,0.0,0.125,0.125,0.375,0.375,0.375,0.375,,0.75,0.375,0.75,0.625,0.5,0.75,0.5,0.625,0.625,0.875,0.75,0.75,0.625,0.625,0.875,0.875,0.75,0.75,1.0,1.0,1.0,1.0,1.0
TabM (T+E),0.25,0.25,0.125,0.25,0.375,0.375,0.25,0.375,0.25,,0.5,0.625,0.5,0.625,0.625,0.625,0.875,0.625,0.625,0.5,0.5,0.625,0.875,0.875,0.625,0.75,0.875,1.0,1.0,1.0,1.0,1.0
