#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware,MethodClass,Tags
67,🧠⚡,Foundation Model,[OrionMSP (default)](https://arxiv.org/abs/2511.02818) [22.22% IMPUTED],1076.0,+69/-66,0.035,58.85,52.02,25.457,13.57,2.436,➖,22.22,True,GPU,model,
68,🧠⚡,Foundation Model,[iLTM (default)](https://arxiv.org/abs/2511.15941),1058.0,+88/-97,0.039,60.32,37.54,25.617,537.96,157.807,✔️,0.0,False,GPU,model,
69,🌳,Tree-based,[PerpetualBooster (tuned)](https://perpetual-ml.com/),1047.0,+53/-76,0.039,61.17,56.12,30.532,282.83,0.162,✔️,0.0,False,CPU,model,
70,❓,Other,[xRFM (default)](https://arxiv.org/abs/2508.10053),1042.0,+82/-90,0.051,61.58,51.97,26.89,6.09,0.951,✔️,0.0,False,GPU,model,
71,🌳,Tree-based,[ExtraTrees (default)](https://link.springer.com/article/10.1007/s10994-006-6226-1),1035.0,+79/-92,0.035,62.11,52.9,27.749,4.37,0.629,✔️,0.0,False,CPU,model,
72,🧠⚡,Foundation Model,[TabSTAR (default)](https://arxiv.org/abs/2505.18125),1025.0,+94/-148,0.098,62.83,18.59,31.796,459.76,5.723,✔️,0.0,False,GPU,model,
73,🧠🔁,Neural Network,[TorchMLP (default)](https://arxiv.org/abs/2003.06505),1022.0,+62/-92,0.021,63.08,56.6,26.401,12.68,0.155,✔️,0.0,False,CPU,model,
74,🧠⚡,Foundation Model,[TabFlex (default)](https://arxiv.org/abs/2506.05584) [22.22% IMPUTED],1008.0,+67/-74,0.036,64.03,55.26,28.778,1.59,0.149,➖,22.22,True,GPU,model,
75,🌳,Tree-based,[RandomForest (default)](https://link.springer.com/article/10.1023/A:1010933404324),1000.0,+68/-88,0.015,64.62,55.45,29.011,0.51,0.085,✔️,0.0,False,CPU,model,
76,🧠🔁,Neural Network,[FastaiMLP (default)](https://arxiv.org/abs/2003.06505),986.0,+55/-82,0.019,65.58,61.7,27.421,5.83,0.571,✔️,0.0,False,CPU,model,
77,📏,Baseline,[KNN (tuned + ensembled)](https://scikit-learn.org/stable/modules/neighbors.html),970.0,+70/-101,0.029,66.68,56.63,29.782,116.33,1.242,✔️,0.0,False,CPU,model,
78,🌳,Tree-based,[PerpetualBooster (default)](https://perpetual-ml.com/),963.0,+83/-94,0.034,67.1,41.04,34.858,38.53,0.041,✔️,0.0,False,CPU,model,
79,📏,Baseline,[Linear (tuned + ensembled)](https://scikit-learn.org/stable/modules/linear_model.html),899.0,+82/-108,0.024,70.88,36.36,35.188,520.74,0.491,✔️,0.0,False,CPU,model,
80,📏,Baseline,[Linear (tuned)](https://scikit-learn.org/stable/modules/linear_model.html),880.0,+90/-105,0.02,71.86,44.12,35.657,520.74,0.097,✔️,0.0,False,CPU,model,
81,📏,Baseline,[Linear (default)](https://scikit-learn.org/stable/modules/linear_model.html),836.0,+93/-135,0.007,73.94,69.52,38.336,2.59,0.129,✔️,0.0,False,CPU,model,
82,📏,Baseline,[KNN (tuned)](https://scikit-learn.org/stable/modules/neighbors.html),819.0,+80/-115,0.019,74.69,69.77,35.449,116.33,0.075,✔️,0.0,False,CPU,model,
83,📏,Baseline,[KNN (default)](https://scikit-learn.org/stable/modules/neighbors.html),624.0,+78/-166,0.0,80.64,80.17,47.165,0.37,0.035,✔️,0.0,False,CPU,model,
