#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware
30,🌳,Tree-based,[XGBoost (tuned)](https://arxiv.org/abs/1603.02754),1438.0,+99/-70,0.103,32.75,30.65,9.921,1277.57,0.647,✔️,0.0,False,CPU
31,🌳,Tree-based,[XGBoost (tuned + ensembled)](https://arxiv.org/abs/1603.02754),1430.0,+88/-61,0.093,33.25,31.96,9.992,1277.57,3.744,✔️,0.0,False,CPU
32,🌳,Tree-based,[LightGBM (tuned)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1409.0,+118/-109,0.12,34.62,31.35,10.618,1206.7,0.689,✔️,0.0,False,CPU
33,🌳,Tree-based,[ChimeraBoost (tuned + ensembled)](https://github.com/bbstats/chimeraboost),1392.0,+142/-118,0.095,35.75,32.92,11.436,1889.62,0.341,✔️,0.0,False,CPU
34,🧠🔁,Neural Network,[ModernNCA (default)](https://arxiv.org/abs/2407.03257),1387.0,+136/-138,0.132,36.12,32.05,12.993,25.15,0.294,✔️,0.0,False,GPU
35,🧠⚡,Foundation Model,[SAP-RPT-OSS (default)](https://arxiv.org/abs/2506.10707),1385.0,+177/-163,0.173,36.25,28.2,10.294,25.28,0.842,➖,0.0,False,GPU
36,🧠⚡,Foundation Model,[iLTM (tuned)](https://arxiv.org/abs/2511.15941),1374.0,+143/-129,0.125,37.0,32.7,10.165,39204.86,127.594,✔️,0.0,False,GPU
37,🌳,Tree-based,[CatBoost (default)](https://arxiv.org/abs/1706.09516),1370.0,+116/-107,0.069,37.25,34.12,11.735,10.69,0.044,✔️,0.0,False,CPU
38,🧠⚡,Foundation Model,[TabPFNv2 (default)](https://www.nature.com/articles/s41586-024-08328-6) [12.50% IMPUTED],1367.0,+317/-288,0.253,37.44,22.95,8.703,8.69,0.726,✔️,12.5,True,GPU
39,🌳,Tree-based,[ChimeraBoost (tuned)](https://github.com/bbstats/chimeraboost),1321.0,+119/-112,0.06,40.5,38.15,12.037,1889.62,0.027,✔️,0.0,False,CPU
40,🌳,Tree-based,[ExtraTrees (tuned + ensembled)](https://link.springer.com/article/10.1007/s10994-006-6226-1),1308.0,+148/-160,0.077,41.38,35.72,14.233,1235.42,1.784,✔️,0.0,False,CPU
41,🧠🔁,Neural Network,[RealMLP (default)](https://arxiv.org/abs/2407.04491),1306.0,+127/-102,0.097,41.5,37.2,11.529,22.42,7.815,✔️,0.0,False,GPU
42,🧠⚡,Foundation Model,[LimiX (default)](https://arxiv.org/abs/2509.03505),1302.0,+265/-266,0.154,41.75,15.47,11.915,122.31,20.837,➖,0.0,False,GPU
43,🧠🔁,Neural Network,[ModernNCA (tuned)](https://arxiv.org/abs/2407.03257),1293.0,+191/-198,0.108,42.38,29.62,13.554,9011.78,0.526,✔️,0.0,False,GPU
44,🧠🔁,Neural Network,[TabM (default)](https://arxiv.org/abs/2410.24210),1291.0,+131/-119,0.089,42.5,39.41,10.016,14.25,0.485,✔️,0.0,False,GPU
