#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware
30,🧠⚡,Foundation Model,[TabICL (default)](https://arxiv.org/abs/2502.05564),7711.0,+0/-0,0.21,31.0,31.0,19.642,2.79,1.057,✔️,0.0,False,GPU
31,🌳,Tree-based,[ExtraTrees (tuned + ensembled)](https://link.springer.com/article/10.1007/s10994-006-6226-1),7186.0,+0/-0,0.179,32.0,32.0,20.252,28.44,0.174,✔️,0.0,False,CPU
32,🧠⚡,Foundation Model,[iLTM (tuned)](https://arxiv.org/abs/2511.15941),6580.0,+0/-0,0.159,33.0,33.0,20.642,1229.42,7.785,✔️,0.0,False,GPU
33,🧠⚡,Foundation Model,[iLTM (default)](https://arxiv.org/abs/2511.15941),6219.0,+0/-0,0.159,34.0,34.0,20.642,52.48,7.785,✔️,0.0,False,GPU
34,🌳,Tree-based,[ExtraTrees (tuned)](https://link.springer.com/article/10.1007/s10994-006-6226-1),5707.0,+0/-0,0.128,35.0,35.0,21.248,28.44,0.009,✔️,0.0,False,CPU
35,🌳,Tree-based,[ChimeraBoost (default)](https://github.com/bbstats/chimeraboost),5113.0,+0/-0,0.073,36.0,36.0,22.291,0.23,0.013,✔️,0.0,False,CPU
36,🧠⚡,Foundation Model,[TabSwift (default)](https://github.com/LAMDA-Tabular/TabSwift),4689.0,+0/-0,0.009,37.0,37.0,23.459,0.58,0.199,➖,0.0,False,GPU
37,🧠⚡,Foundation Model,[TabDPT (tuned + ensembled)](https://arxiv.org/abs/2410.18164),4093.0,+0/-0,0.0,38.0,38.0,23.624,4391.01,275.95,✔️,0.0,False,GPU
38,🧠🔁,Neural Network,[TorchMLP (tuned)](https://arxiv.org/abs/2003.06505),3497.0,+0/-0,0.0,39.0,39.0,24.192,2341.94,0.027,✔️,0.0,False,CPU
39,🧠🔁,Neural Network,[TabM (tuned + ensembled)](https://arxiv.org/abs/2410.24210),3073.0,+0/-0,0.0,40.0,40.0,24.433,1142.35,0.542,✔️,0.0,False,GPU
40,🧠🔁,Neural Network,[TabM (tuned)](https://arxiv.org/abs/2410.24210),2480.0,+0/-0,0.0,41.0,41.0,24.458,1142.35,0.057,✔️,0.0,False,GPU
41,🧠🔁,Neural Network,[ModernNCA (default)](https://arxiv.org/abs/2407.03257),1967.0,+0/-0,0.0,42.0,42.0,24.51,14.53,1.747,✔️,0.0,False,GPU
42,🧠🔁,Neural Network,[TorchMLP (tuned + ensembled)](https://arxiv.org/abs/2003.06505),1606.0,+0/-0,0.0,43.0,43.0,24.577,2341.94,0.172,✔️,0.0,False,CPU
