,TabFM (default),EXAONE-Tabular (default),TabPFN-3 (default),TabPFN-2.6 (default),RealTabPFN-2.5 (T+E),TabICLv2 (default),RealMLP (T+E),TabM (T+E),LimiX (default),TabDPT-Turbo (default),iLTM (T+E),ChimeraBoost (T+E),CatBoost (T+E),TabDPT (T+E),LightGBM (T+E),XGBoost (T+E),TabSwift (default),ModernNCA (T+E),BetaTabPFN (default),xRFM (T+E),EBM (T+E),TorchMLP (T+E),SAP-RPT-OSS (default),FastaiMLP (T+E),ExtraTrees (T+E),RandomForest (T+E),TabSTAR (T+E),OrionMSP (default),PerpetualBooster (T+E),KNN (T+E),TabFlex (default),Linear (T+E)
TabFM (default),,0.7105263,0.81578946,0.84210527,0.8684211,0.8684211,0.81578946,0.92105263,0.8684211,0.92105263,0.81578946,0.81578946,0.92105263,0.92105263,0.92105263,0.8947368,0.8684211,0.8684211,0.94736844,0.92105263,0.92105263,0.94736844,0.8947368,0.8947368,0.94736844,0.94736844,0.8947368,0.9736842,1.0,0.92105263,1.0,0.9736842
EXAONE-Tabular (default),0.28947368,,0.65789473,0.84210527,0.7631579,0.7894737,0.8684211,0.8947368,0.84210527,0.84210527,0.92105263,0.92105263,0.94736844,0.84210527,0.92105263,0.9736842,0.8947368,0.94736844,0.9736842,0.94736844,0.94736844,0.9736842,0.92105263,0.92105263,0.94736844,0.9736842,0.8947368,0.9736842,1.0,0.9736842,0.94736844,0.9736842
TabPFN-3 (default),0.18421052,0.34210527,,0.55263156,0.56578946,0.6052632,0.7105263,0.7894737,0.7105263,0.81578946,0.7894737,0.84210527,0.7894737,0.7894737,0.8684211,0.84210527,0.8684211,0.92105263,0.92105263,0.84210527,0.81578946,0.8684211,0.7894737,0.8684211,0.94736844,0.92105263,0.8684211,1.0,0.9736842,0.94736844,0.94736844,0.94736844
TabPFN-2.6 (default),0.15789473,0.15789473,0.4473684,,0.47368422,0.5,0.7105263,0.7368421,0.7631579,0.7894737,0.81578946,0.81578946,0.81578946,0.7368421,0.8947368,0.7631579,0.7894737,0.8947368,0.84210527,0.84210527,0.8684211,0.8947368,0.81578946,0.8947368,0.92105263,0.94736844,0.84210527,0.9736842,0.9736842,0.9736842,0.92105263,0.9736842
RealTabPFN-2.5 (T+E),0.13157895,0.23684211,0.43421054,0.5263158,,0.5263158,0.68421054,0.68421054,0.68421054,0.65789473,0.7368421,0.81578946,0.8684211,0.68421054,0.81578946,0.84210527,0.81578946,0.7631579,0.8684211,0.81578946,0.84210527,0.81578946,0.8684211,0.84210527,0.94736844,0.92105263,0.84210527,0.9736842,0.94736844,0.92105263,0.8947368,0.92105263
TabICLv2 (default),0.13157895,0.21052632,0.39473686,0.5,0.47368422,,0.65789473,0.68421054,0.68421054,0.7894737,0.7631579,0.7368421,0.7368421,0.81578946,0.81578946,0.7631579,0.81578946,0.84210527,0.8947368,0.7894737,0.7631579,0.8684211,0.7631579,0.94736844,0.8684211,0.8947368,0.8684211,0.92105263,0.94736844,0.94736844,0.9736842,0.94736844
RealMLP (T+E),0.18421052,0.13157895,0.28947368,0.28947368,0.31578946,0.34210527,,0.6052632,0.5,0.57894737,0.7105263,0.6315789,0.7631579,0.57894737,0.7105263,0.7105263,0.6315789,0.68421054,0.7105263,0.7105263,0.7894737,0.81578946,0.7894737,0.8947368,0.81578946,0.7894737,0.81578946,0.94736844,0.94736844,0.94736844,0.8947368,0.9736842
TabM (T+E),0.078947365,0.10526316,0.21052632,0.2631579,0.31578946,0.31578946,0.39473686,,0.42105263,0.57894737,0.5263158,0.57894737,0.5263158,0.57894737,0.6315789,0.55263156,0.6315789,0.6052632,0.68421054,0.57894737,0.7894737,0.7105263,0.7105263,0.7894737,0.7105263,0.7894737,0.8684211,0.8684211,0.84210527,0.8684211,0.92105263,0.94736844
LimiX (default),0.13157895,0.15789473,0.28947368,0.23684211,0.31578946,0.31578946,0.5,0.57894737,,0.4473684,0.56578946,0.65789473,0.57894737,0.4473684,0.6315789,0.65789473,0.5263158,0.6052632,0.6052632,0.6315789,0.68421054,0.68421054,0.65789473,0.65789473,0.7368421,0.7368421,0.7368421,0.82894737,0.81578946,0.8684211,0.84210527,0.8947368
TabDPT-Turbo (default),0.078947365,0.15789473,0.18421052,0.21052632,0.34210527,0.21052632,0.42105263,0.42105263,0.55263156,,0.55263156,0.5263158,0.5,0.6315789,0.5,0.57894737,0.67105263,0.5,0.5263158,0.6052632,0.6052632,0.65789473,0.65789473,0.7105263,0.7631579,0.7631579,0.7631579,0.92105263,0.81578946,0.92105263,0.94736844,0.84210527
iLTM (T+E),0.18421052,0.078947365,0.21052632,0.18421052,0.2631579,0.23684211,0.28947368,0.47368422,0.43421054,0.4473684,,0.47368422,0.4473684,0.42105263,0.5263158,0.5263158,0.57894737,0.5263158,0.5,0.65789473,0.6315789,0.7368421,0.7105263,0.81578946,0.81578946,0.8684211,0.7631579,0.84210527,0.8947368,0.94736844,0.92105263,0.92105263
ChimeraBoost (T+E),0.18421052,0.078947365,0.15789473,0.18421052,0.18421052,0.2631579,0.36842105,0.42105263,0.34210527,0.47368422,0.5263158,,0.5263158,0.5,0.55263156,0.57894737,0.55263156,0.57894737,0.57894737,0.6052632,0.7105263,0.68421054,0.68421054,0.68421054,0.7368421,0.7894737,0.7894737,0.8684211,0.7894737,0.84210527,0.8947368,0.94736844
CatBoost (T+E),0.078947365,0.05263158,0.21052632,0.18421052,0.13157895,0.2631579,0.23684211,0.47368422,0.42105263,0.5,0.55263156,0.47368422,,0.5,0.42105263,0.5263158,0.55263156,0.57894737,0.5263158,0.6315789,0.6052632,0.7105263,0.7368421,0.7368421,0.81578946,0.84210527,0.81578946,0.7894737,0.8947368,0.8684211,0.84210527,0.9736842
