,TabFM (default),EXAONE-Tabular (default),TabPFN-3 (default),RealTabPFN-2.5 (T+E),TabICLv2 (default),TabPFN-2.6 (default),ModernNCA (T+E),TabDPT (T+E),RealMLP (T+E),Nori-30M (default),TabDPT-Turbo (default),Nori (default),LightGBM (T+E),ChimeraBoost (T+E),xRFM (T+E),CatBoost (T+E),TabM (T+E),XGBoost (T+E),LimiX (default),TabSwift (default),iLTM (T+E),PerpetualBooster (T+E),TorchMLP (T+E),ExtraTrees (T+E),EBM (T+E),RandomForest (T+E),SAP-RPT-OSS (default),FastaiMLP (T+E),KNN (T+E),TabSTAR (T+E),Linear (T+E)
Nori (default),0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,0.6,0.8,0.8,0.8,0.6,0.8,0.8,0.8,1.0,0.8,1.0,1.0,0.8,1.0,0.8,1.0,1.0,1.0,1.0
LightGBM (T+E),0.0,0.0,0.2,0.0,0.2,0.2,0.2,0.4,0.4,0.2,0.4,0.4,,0.6,0.4,0.6,0.4,1.0,0.6,0.6,0.8,1.0,0.8,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0
ChimeraBoost (T+E),0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.4,,0.4,0.6,0.4,0.8,0.6,0.8,0.8,1.0,0.8,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0
xRFM (T+E),0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.2,0.0,0.2,0.4,0.2,0.6,0.6,,0.6,0.6,0.6,0.8,0.8,1.0,1.0,1.0,1.0,0.8,1.0,0.8,1.0,1.0,1.0,1.0
CatBoost (T+E),0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.4,0.4,0.4,,0.2,0.8,0.6,0.6,0.8,1.0,0.8,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0
TabM (T+E),0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,0.2,0.0,0.2,0.4,0.6,0.6,0.4,0.8,,0.8,0.6,0.6,0.8,0.8,0.8,1.0,0.8,0.8,0.8,1.0,1.0,1.0,1.0
XGBoost (T+E),0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.2,0.4,0.2,0.2,,0.6,0.4,0.4,1.0,0.8,1.0,0.8,1.0,0.8,1.0,1.0,1.0,1.0
LimiX (default),0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,0.2,0.2,0.4,0.4,0.2,0.4,0.4,0.4,,0.6,0.4,0.4,0.8,0.4,0.8,0.8,1.0,1.0,1.0,1.0,1.0
TabSwift (default),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.2,0.4,0.2,0.2,0.4,0.4,0.6,0.4,,0.6,0.6,0.6,0.6,0.8,0.6,0.8,1.0,1.0,1.0,1.0
iLTM (T+E),0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.6,0.6,0.4,,0.8,0.8,0.8,0.8,1.0,0.8,1.0,1.0,1.0,1.0
PerpetualBooster (T+E),0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.6,0.4,0.2,,0.8,0.6,0.8,0.8,0.6,1.0,1.0,1.0,1.0
TorchMLP (T+E),0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.2,0.2,0.4,0.2,0.2,,0.6,0.8,0.6,0.8,0.8,1.0,1.0,1.0
ExtraTrees (T+E),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.2,0.4,0.4,,0.6,0.6,0.8,0.8,1.0,1.0,1.0
EBM (T+E),0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,,0.4,0.4,0.6,0.8,0.8,1.0
RandomForest (T+E),0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.4,0.0,0.2,0.4,0.4,0.6,,0.8,0.8,1.0,1.0,1.0
SAP-RPT-OSS (default),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.2,0.2,0.4,0.2,0.2,0.6,0.2,,0.8,0.6,0.8,1.0
FastaiMLP (T+E),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.2,0.2,,0.4,0.8,1.0
KNN (T+E),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.4,0.6,,0.6,1.0
TabSTAR (T+E),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.4,,1.0
Linear (T+E),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
