prompt_id,filename,class_id,class_name,class_name_fa,rows,duodit_wins,lightningdit_wins,ties,decisive_rows,duodit_win_rate_decisive_pct,duodit_share_all_pct,lightningdit_share_all_pct,tie_share_all_pct,duodit_wilson95_low,duodit_wilson95_high,binomial_p_value_vs_50_50,option_a_selected,option_b_selected,about_same_selected,duodit_shown_left,duodit_shown_right
class_0166_001166,class_0166/001166-class0166.png,166,Walker hound,سگ شکاری واکر,14,3,5,6,8,37.5,21.43,35.71,42.86,0.1368,0.6943,0.726563,5,3,6,9,5
class_0166_002166,class_0166/002166-class0166.png,166,Walker hound,سگ شکاری واکر,14,2,8,4,10,20.0,14.29,57.14,28.57,0.0567,0.5098,0.109375,8,2,4,4,10
class_0173_000173,class_0173/000173-class0173.png,173,Ibizan hound,سگ شکاری ایبیزن,14,7,3,4,10,70.0,50.0,21.43,28.57,0.3968,0.8922,0.34375,5,5,4,5,9
class_0173_001173,class_0173/001173-class0173.png,173,Ibizan hound,سگ شکاری ایبیزن,14,8,2,4,10,80.0,57.14,14.29,28.57,0.4902,0.9433,0.109375,7,3,4,10,4
class_0173_002173,class_0173/002173-class0173.png,173,Ibizan hound,سگ شکاری ایبیزن,14,2,8,4,10,20.0,14.29,57.14,28.57,0.0567,0.5098,0.109375,6,4,4,9,5
class_0176_000176,class_0176/000176-class0176.png,176,Saluki,سالوکی,14,1,10,3,11,9.09,7.14,71.43,21.43,0.0162,0.3774,0.011719,6,5,3,7,7
class_0176_001176,class_0176/001176-class0176.png,176,Saluki,سالوکی,14,1,1,12,2,50.0,7.14,7.14,85.71,0.0945,0.9055,1.0,1,1,12,4,10
class_0176_002176,class_0176/002176-class0176.png,176,Saluki,سالوکی,14,3,3,8,6,50.0,21.43,21.43,57.14,0.1876,0.8124,1.0,2,4,8,7,7
class_0207_000207,class_0207/000207-class0207.png,207,golden retriever,گلدن رتریور,14,10,2,2,12,83.33,71.43,14.29,14.29,0.552,0.953,0.038574,6,6,2,7,7
class_0207_001207,class_0207/001207-class0207.png,207,golden retriever,گلدن رتریور,14,1,11,2,12,8.33,7.14,78.57,14.29,0.0149,0.3539,0.006348,8,4,2,6,8
class_0207_002207,class_0207/002207-class0207.png,207,golden retriever,گلدن رتریور,14,10,2,2,12,83.33,71.43,14.29,14.29,0.552,0.953,0.038574,5,7,2,6,8
class_0214_000214,class_0214/000214-class0214.png,214,Gordon setter,گوردون ستر,14,1,8,5,9,11.11,7.14,57.14,35.71,0.0199,0.435,0.039062,5,4,5,6,8
class_0214_001214,class_0214/001214-class0214.png,214,Gordon setter,گوردون ستر,14,7,3,4,10,70.0,50.0,21.43,28.57,0.3968,0.8922,0.34375,7,3,4,11,3
class_0214_002214,class_0214/002214-class0214.png,214,Gordon setter,گوردون ستر,14,5,6,3,11,45.45,35.71,42.86,21.43,0.2127,0.7199,1.0,3,8,3,7,7
class_0228_000228,class_0228/000228-class0228.png,228,komondor,کوموندور,14,1,7,6,8,12.5,7.14,50.0,42.86,0.0224,0.4709,0.070313,5,3,6,5,9
class_0228_001228,class_0228/001228-class0228.png,228,komondor,کوموندور,14,2,10,2,12,16.67,14.29,71.43,14.29,0.047,0.448,0.038574,5,7,2,8,6
class_0228_002228,class_0228/002228-class0228.png,228,komondor,کوموندور,14,12,0,2,12,100.0,85.71,0.0,14.29,0.7575,1.0,0.000488,7,5,2,8,6
class_0242_000242,class_0242/000242-class0242.png,242,boxer,باکسر,14,10,2,2,12,83.33,71.43,14.29,14.29,0.552,0.953,0.038574,7,5,2,7,7
class_0242_001242,class_0242/001242-class0242.png,242,boxer,باکسر,14,5,3,6,8,62.5,35.71,21.43,42.86,0.3057,0.8632,0.726563,4,4,6,8,6
class_0242_002242,class_0242/002242-class0242.png,242,boxer,باکسر,14,8,2,4,10,80.0,57.14,14.29,28.57,0.4902,0.9433,0.109375,4,6,4,5,9
class_0244_000244,class_0244/000244-class0244.png,244,Tibetan mastiff,ماستیف تبتی,14,3,9,2,12,25.0,21.43,64.29,14.29,0.0889,0.5323,0.145996,5,7,2,10,4
