prompt_id,filename,class_id,class_name,class_name_fa,rows,duodit_wins,lightningdit_wins,ties,decisive_rows,duodit_win_rate_decisive_pct,duodit_share_all_pct,lightningdit_share_all_pct,tie_share_all_pct,duodit_wilson95_low,duodit_wilson95_high,binomial_p_value_vs_50_50,option_a_selected,option_b_selected,about_same_selected,duodit_shown_left,duodit_shown_right
class_0533_000533,class_0533/000533-class0533.png,533,dishrag,دستمال ظرف,14,3,5,6,8,37.5,21.43,35.71,42.86,0.1368,0.6943,0.726563,4,4,6,5,9
class_0533_001533,class_0533/001533-class0533.png,533,dishrag,دستمال ظرف,14,1,6,7,7,14.29,7.14,42.86,50.0,0.0257,0.5131,0.125,3,4,7,8,6
class_0533_002533,class_0533/002533-class0533.png,533,dishrag,دستمال ظرف,14,3,8,3,11,27.27,21.43,57.14,21.43,0.0975,0.5657,0.226563,6,5,3,6,8
class_0538_000538,class_0538/000538-class0538.png,538,dome,گنبد,14,1,13,0,14,7.14,7.14,92.86,0.0,0.0127,0.3147,0.001831,9,5,0,6,8
class_0538_001538,class_0538/001538-class0538.png,538,dome,گنبد,14,6,4,4,10,60.0,42.86,28.57,28.57,0.3127,0.8318,0.753906,6,4,4,7,7
class_0538_002538,class_0538/002538-class0538.png,538,dome,گنبد,14,10,3,1,13,76.92,71.43,21.43,7.14,0.4974,0.9182,0.092285,6,7,1,8,6
class_0546_000546,class_0546/000546-class0546.png,546,electric guitar,گیتار برقی,14,4,8,2,12,33.33,28.57,57.14,14.29,0.1381,0.6094,0.387695,5,7,2,9,5
class_0546_001546,class_0546/001546-class0546.png,546,electric guitar,گیتار برقی,14,2,10,2,12,16.67,14.29,71.43,14.29,0.047,0.448,0.038574,4,8,2,9,5
class_0546_002546,class_0546/002546-class0546.png,546,electric guitar,گیتار برقی,14,2,9,3,11,18.18,14.29,64.29,21.43,0.0514,0.477,0.06543,6,5,3,5,9
class_0553_000553,class_0553/000553-class0553.png,553,file,پرونده,14,3,8,3,11,27.27,21.43,57.14,21.43,0.0975,0.5657,0.226563,5,6,3,8,6
class_0553_001553,class_0553/001553-class0553.png,553,file,پرونده,14,3,6,5,9,33.33,21.43,42.86,35.71,0.1206,0.6458,0.507812,5,4,5,11,3
class_0553_002553,class_0553/002553-class0553.png,553,file,پرونده,14,10,3,1,13,76.92,71.43,21.43,7.14,0.4974,0.9182,0.092285,4,9,1,6,8
class_0556_000556,class_0556/000556-class0556.png,556,fire screen,محافظ شومینه,14,5,8,1,13,38.46,35.71,57.14,7.14,0.1771,0.6448,0.581055,8,5,1,7,7
class_0556_001556,class_0556/001556-class0556.png,556,fire screen,محافظ شومینه,14,7,2,5,9,77.78,50.0,14.29,35.71,0.4526,0.9368,0.179687,3,6,5,8,6
class_0556_002556,class_0556/002556-class0556.png,556,fire screen,محافظ شومینه,14,9,1,4,10,90.0,64.29,7.14,28.57,0.5958,0.9821,0.021484,5,5,4,6,8
class_0567_000567,class_0567/000567-class0567.png,567,frying pan,ماهیتابه,14,1,12,1,13,7.69,7.14,85.71,7.14,0.0137,0.3331,0.003418,6,7,1,9,5
class_0567_001567,class_0567/001567-class0567.png,567,frying pan,ماهیتابه,14,2,11,1,13,15.38,14.29,78.57,7.14,0.0433,0.4224,0.022461,4,9,1,7,7
class_0567_002567,class_0567/002567-class0567.png,567,frying pan,ماهیتابه,14,11,0,3,11,100.0,78.57,0.0,21.43,0.7412,1.0,0.000977,6,5,3,8,6
class_0569_000569,class_0569/000569-class0569.png,569,garbage truck,کامیون حمل زباله,14,12,1,1,13,92.31,85.71,7.14,7.14,0.6669,0.9863,0.003418,8,5,1,9,5
class_0569_001569,class_0569/001569-class0569.png,569,garbage truck,کامیون حمل زباله,14,1,12,1,13,7.69,7.14,85.71,7.14,0.0137,0.3331,0.003418,9,4,1,5,9
class_0569_002569,class_0569/002569-class0569.png,569,garbage truck,کامیون حمل زباله,14,4,9,1,13,30.77,28.57,64.29,7.14,0.1268,0.5763,0.266846,6,7,1,5,9
class_0584_000584,class_0584/000584-class0584.png,584,hair slide,گیره مو,14,0,6,8,6,0.0,0.0,42.86,57.14,0.0,0.3903,0.03125,2,4,8,6,8
class_0584_001584,class_0584/001584-class0584.png,584,hair slide,گیره مو,14,6,5,3,11,54.55,42.86,35.71,21.43,0.2801,0.7873,1.0,5,6,3,5,9
class_0584_002584,class_0584/002584-class0584.png,584,hair slide,گیره مو,14,2,7,5,9,22.22,14.29,50.0,35.71,0.0632,0.5474,0.179687,4,5,5,5,9
class_0597_000597,class_0597/000597-class0597.png,597,holster,غلاف,14,10,4,0,14,71.43,71.43,28.57,0.0,0.4535,0.8828,0.179565,5,9,0,9,5
class_0597_001597,class_0597/001597-class0597.png,597,holster,غلاف,14,4,4,6,8,50.0,28.57,28.57,42.86,0.2152,0.7848,1.0,4,4,6,8,6
class_0597_002597,class_0597/002597-class0597.png,597,holster,غلاف,14,3,7,4,10,30.0,21.43,50.0,28.57,0.1078,0.6032,0.34375,8,2,4,6,8
class_0602_000602,class_0602/000602-class0602.png,602,horizontal bar,میله افقی,14,4,1,9,5,80.0,28.57,7.14,64.29,0.3755,0.9638,0.375,4,1,9,10,4
class_0602_001602,class_0602/001602-class0602.png,602,horizontal bar,میله افقی,14,10,1,3,11,90.91,71.43,7.14,21.43,0.6226,0.9838,0.011719,7,4,3,8,6
class_0602_002602,class_0602/002602-class0602.png,602,horizontal bar,میله افقی,14,4,2,8,6,66.67,28.57,14.29,57.14,0.3,0.9032,0.6875,5,1,8,8,6
class_0604_000604,class_0604/000604-class0604.png,604,hourglass,ساعت شنی,14,13,0,1,13,100.0,92.86,0.0,7.14,0.7719,1.0,0.000244,5,8,1,5,9
class_0604_001604,class_0604/001604-class0604.png,604,hourglass,ساعت شنی,14,12,0,2,12,100.0,85.71,0.0,14.29,0.7575,1.0,0.000488,4,8,2,5,9
class_0604_002604,class_0604/002604-class0604.png,604,hourglass,ساعت شنی,14,9,3,2,12,75.0,64.29,21.43,14.29,0.4677,0.9111,0.145996,4,8,2,6,8
class_0605_000605,class_0605/000605-class0605.png,605,iPod,آی‌پاد,14,2,8,4,10,20.0,14.29,57.14,28.57,0.0567,0.5098,0.109375,6,4,4,4,10
class_0605_001605,class_0605/001605-class0605.png,605,iPod,آی‌پاد,14,2,11,1,13,15.38,14.29,78.57,7.14,0.0433,0.4224,0.022461,6,7,1,6,8
class_0605_002605,class_0605/002605-class0605.png,605,iPod,آی‌پاد,14,0,13,1,13,0.0,0.0,92.86,7.14,0.0,0.2281,0.000244,6,7,1,8,6
class_0629_000629,class_0629/000629-class0629.png,629,lipstick,رژ لب,14,1,13,0,14,7.14,7.14,92.86,0.0,0.0127,0.3147,0.001831,9,5,0,4,10
class_0629_001629,class_0629/001629-class0629.png,629,lipstick,رژ لب,14,0,14,0,14,0.0,0.0,100.0,0.0,0.0,0.2153,0.000122,4,10,0,10,4
class_0629_002629,class_0629/002629-class0629.png,629,lipstick,رژ لب,14,0,12,2,12,0.0,0.0,85.71,14.29,0.0,0.2425,0.000488,11,1,2,2,12
class_0655_000655,class_0655/000655-class0655.png,655,miniskirt,دامن کوتاه,14,4,2,8,6,66.67,28.57,14.29,57.14,0.3,0.9032,0.6875,3,3,8,6,8
class_0655_001655,class_0655/001655-class0655.png,655,miniskirt,دامن کوتاه,14,10,0,4,10,100.0,71.43,0.0,28.57,0.7225,1.0,0.001953,6,4,4,8,6
class_0655_002655,class_0655/002655-class0655.png,655,miniskirt,دامن کوتاه,14,0,11,3,11,0.0,0.0,78.57,21.43,0.0,0.2588,0.000977,7,4,3,7,7
class_0657_000657,class_0657/000657-class0657.png,657,missile,موشک,14,2,3,9,5,40.0,14.29,21.43,64.29,0.1176,0.7693,1.0,4,1,9,3,11
class_0657_001657,class_0657/001657-class0657.png,657,missile,موشک,14,5,6,3,11,45.45,35.71,42.86,21.43,0.2127,0.7199,1.0,7,4,3,7,7
class_0657_002657,class_0657/002657-class0657.png,657,missile,موشک,14,10,3,1,13,76.92,71.43,21.43,7.14,0.4974,0.9182,0.092285,2,11,1,4,10
class_0659_000659,class_0659/000659-class0659.png,659,mixing bowl,کاسه مخلوط‌کردن,14,0,13,1,13,0.0,0.0,92.86,7.14,0.0,0.2281,0.000244,7,6,1,7,7
class_0659_001659,class_0659/001659-class0659.png,659,mixing bowl,کاسه مخلوط‌کردن,14,7,1,6,8,87.5,50.0,7.14,42.86,0.5291,0.9776,0.070313,5,3,6,10,4
class_0659_002659,class_0659/002659-class0659.png,659,mixing bowl,کاسه مخلوط‌کردن,14,2,11,1,13,15.38,14.29,78.57,7.14,0.0433,0.4224,0.022461,5,8,1,7,7
class_0683_000683,class_0683/000683-class0683.png,683,oboe,ابوا,14,7,3,4,10,70.0,50.0,21.43,28.57,0.3968,0.8922,0.34375,6,4,4,8,6
class_0683_001683,class_0683/001683-class0683.png,683,oboe,ابوا,14,6,5,3,11,54.55,42.86,35.71,21.43,0.2801,0.7873,1.0,7,4,3,5,9
class_0683_002683,class_0683/002683-class0683.png,683,oboe,ابوا,14,3,6,5,9,33.33,21.43,42.86,35.71,0.1206,0.6458,0.507812,4,5,5,10,4
class_0687_000687,class_0687/000687-class0687.png,687,organ,ارگ,14,3,4,7,7,42.86,21.43,28.57,50.0,0.1582,0.7495,1.0,5,2,7,6,8
class_0687_001687,class_0687/001687-class0687.png,687,organ,ارگ,14,1,10,3,11,9.09,7.14,71.43,21.43,0.0162,0.3774,0.011719,7,4,3,6,8
class_0687_002687,class_0687/002687-class0687.png,687,organ,ارگ,14,4,4,6,8,50.0,28.57,28.57,42.86,0.2152,0.7848,1.0,5,3,6,6,8
class_0702_000702,class_0702/000702-class0702.png,702,parallel bars,میله‌های موازی,14,9,0,5,9,100.0,64.29,0.0,35.71,0.7008,1.0,0.003906,5,4,5,8,6
class_0702_001702,class_0702/001702-class0702.png,702,parallel bars,میله‌های موازی,14,1,6,7,7,14.29,7.14,42.86,50.0,0.0257,0.5131,0.125,3,4,7,11,3
class_0702_002702,class_0702/002702-class0702.png,702,parallel bars,میله‌های موازی,14,11,1,2,12,91.67,78.57,7.14,14.29,0.6461,0.9851,0.006348,7,5,2,9,5
class_0709_000709,class_0709/000709-class0709.png,709,pencil box,جامدادی,14,1,7,6,8,12.5,7.14,50.0,42.86,0.0224,0.4709,0.070313,2,6,6,7,7
class_0709_001709,class_0709/001709-class0709.png,709,pencil box,جامدادی,14,8,4,2,12,66.67,57.14,28.57,14.29,0.3906,0.8619,0.387695,8,4,2,9,5
class_0709_002709,class_0709/002709-class0709.png,709,pencil box,جامدادی,14,1,9,4,10,10.0,7.14,64.29,28.57,0.0179,0.4042,0.021484,5,5,4,6,8
class_0713_000713,class_0713/000713-class0713.png,713,photocopier,دستگاه کپی,14,0,12,2,12,0.0,0.0,85.71,14.29,0.0,0.2425,0.000488,7,5,2,5,9
class_0713_001713,class_0713/001713-class0713.png,713,photocopier,دستگاه کپی,14,5,6,3,11,45.45,35.71,42.86,21.43,0.2127,0.7199,1.0,5,6,3,6,8
class_0713_002713,class_0713/002713-class0713.png,713,photocopier,دستگاه کپی,14,12,1,1,13,92.31,85.71,7.14,7.14,0.6669,0.9863,0.003418,3,10,1,5,9
class_0735_000735,class_0735/000735-class0735.png,735,poncho,پانچو,14,7,3,4,10,70.0,50.0,21.43,28.57,0.3968,0.8922,0.34375,4,6,4,6,8
class_0735_001735,class_0735/001735-class0735.png,735,poncho,پانچو,14,11,1,2,12,91.67,78.57,7.14,14.29,0.6461,0.9851,0.006348,6,6,2,8,6
class_0735_002735,class_0735/002735-class0735.png,735,poncho,پانچو,14,10,1,3,11,90.91,71.43,7.14,21.43,0.6226,0.9838,0.011719,9,2,3,12,2
class_0741_000741,class_0741/000741-class0741.png,741,prayer rug,سجاده,14,10,0,4,10,100.0,71.43,0.0,28.57,0.7225,1.0,0.001953,3,7,4,6,8
class_0741_001741,class_0741/001741-class0741.png,741,prayer rug,سجاده,14,4,6,4,10,40.0,28.57,42.86,28.57,0.1682,0.6873,0.753906,5,5,4,7,7
class_0741_002741,class_0741/002741-class0741.png,741,prayer rug,سجاده,14,6,4,4,10,60.0,42.86,28.57,28.57,0.3127,0.8318,0.753906,9,1,4,8,6
class_0758_000758,class_0758/000758-class0758.png,758,reel,قرقره,14,2,7,5,9,22.22,14.29,50.0,35.71,0.0632,0.5474,0.179687,5,4,5,5,9
class_0758_001758,class_0758/001758-class0758.png,758,reel,قرقره,14,1,5,8,6,16.67,7.14,35.71,57.14,0.0301,0.5635,0.21875,3,3,8,7,7
class_0758_002758,class_0758/002758-class0758.png,758,reel,قرقره,14,1,7,6,8,12.5,7.14,50.0,42.86,0.0224,0.4709,0.070313,5,3,6,9,5
class_0779_000779,class_0779/000779-class0779.png,779,school bus,اتوبوس مدرسه,14,10,1,3,11,90.91,71.43,7.14,21.43,0.6226,0.9838,0.011719,9,2,3,9,5
class_0779_001779,class_0779/001779-class0779.png,779,school bus,اتوبوس مدرسه,14,5,7,2,12,41.67,35.71,50.0,14.29,0.1933,0.6805,0.774414,3,9,2,9,5
class_0779_002779,class_0779/002779-class0779.png,779,school bus,اتوبوس مدرسه,14,7,4,3,11,63.64,50.0,28.57,21.43,0.3538,0.8483,0.548828,7,4,3,9,5
class_0781_000781,class_0781/000781-class0781.png,781,scoreboard,تابلوی امتیازات,14,7,3,4,10,70.0,50.0,21.43,28.57,0.3968,0.8922,0.34375,5,5,4,9,5
class_0781_001781,class_0781/001781-class0781.png,781,scoreboard,تابلوی امتیازات,14,1,7,6,8,12.5,7.14,50.0,42.86,0.0224,0.4709,0.070313,6,2,6,6,8
class_0781_002781,class_0781/002781-class0781.png,781,scoreboard,تابلوی امتیازات,14,1,12,1,13,7.69,7.14,85.71,7.14,0.0137,0.3331,0.003418,4,9,1,11,3
class_0800_000800,class_0800/000800-class0800.png,800,slot,شکاف,14,6,2,6,8,75.0,42.86,14.29,42.86,0.4093,0.9285,0.289063,4,4,6,4,10
class_0800_001800,class_0800/001800-class0800.png,800,slot,شکاف,14,3,2,9,5,60.0,21.43,14.29,64.29,0.2307,0.8824,1.0,2,3,9,6,8
class_0800_002800,class_0800/002800-class0800.png,800,slot,شکاف,14,7,2,5,9,77.78,50.0,14.29,35.71,0.4526,0.9368,0.179687,3,6,5,8,6
class_0801_000801,class_0801/000801-class0801.png,801,snorkel,اسنورکل,14,6,2,6,8,75.0,42.86,14.29,42.86,0.4093,0.9285,0.289063,5,3,6,6,8
class_0801_001801,class_0801/001801-class0801.png,801,snorkel,اسنورکل,14,4,7,3,11,36.36,28.57,50.0,21.43,0.1517,0.6462,0.548828,5,6,3,7,7
class_0801_002801,class_0801/002801-class0801.png,801,snorkel,اسنورکل,14,2,2,10,4,50.0,14.29,14.29,71.43,0.15,0.85,1.0,1,3,10,4,10
class_0807_000807,class_0807/000807-class0807.png,807,solar dish,بشقاب خورشیدی,14,4,5,5,9,44.44,28.57,35.71,35.71,0.1888,0.7334,1.0,7,2,5,5,9
class_0807_001807,class_0807/001807-class0807.png,807,solar dish,بشقاب خورشیدی,14,5,1,8,6,83.33,35.71,7.14,57.14,0.4365,0.9699,0.21875,2,4,8,8,6
class_0807_002807,class_0807/002807-class0807.png,807,solar dish,بشقاب خورشیدی,14,1,10,3,11,9.09,7.14,71.43,21.43,0.0162,0.3774,0.011719,6,5,3,6,8
class_0815_000815,class_0815/000815-class0815.png,815,spider web,تار عنکبوت,14,8,2,4,10,80.0,57.14,14.29,28.57,0.4902,0.9433,0.109375,7,3,4,10,4
class_0815_001815,class_0815/001815-class0815.png,815,spider web,تار عنکبوت,14,3,10,1,13,23.08,21.43,71.43,7.14,0.0818,0.5026,0.092285,4,9,1,9,5
class_0815_002815,class_0815/002815-class0815.png,815,spider web,تار عنکبوت,14,4,7,3,11,36.36,28.57,50.0,21.43,0.1517,0.6462,0.548828,6,5,3,8,6
class_0819_000819,class_0819/000819-class0819.png,819,stage,صحنه,14,2,7,5,9,22.22,14.29,50.0,35.71,0.0632,0.5474,0.179687,5,4,5,5,9
class_0819_001819,class_0819/001819-class0819.png,819,stage,صحنه,14,5,3,6,8,62.5,35.71,21.43,42.86,0.3057,0.8632,0.726563,7,1,6,8,6
class_0819_002819,class_0819/002819-class0819.png,819,stage,صحنه,14,12,0,2,12,100.0,85.71,0.0,14.29,0.7575,1.0,0.000488,6,6,2,7,7
class_0847_000847,class_0847/000847-class0847.png,847,tank,تانک,14,9,1,4,10,90.0,64.29,7.14,28.57,0.5958,0.9821,0.021484,7,3,4,8,6
class_0847_001847,class_0847/001847-class0847.png,847,tank,تانک,14,6,3,5,9,66.67,42.86,21.43,35.71,0.3542,0.8794,0.507812,7,2,5,8,6
class_0847_002847,class_0847/002847-class0847.png,847,tank,تانک,14,12,1,1,13,92.31,85.71,7.14,7.14,0.6669,0.9863,0.003418,7,6,1,7,7
class_0854_000854,class_0854/000854-class0854.png,854,theater curtain,پرده تئاتر,14,11,2,1,13,84.62,78.57,14.29,7.14,0.5776,0.9567,0.022461,10,3,1,10,4
class_0854_001854,class_0854/001854-class0854.png,854,theater curtain,پرده تئاتر,14,6,4,4,10,60.0,42.86,28.57,28.57,0.3127,0.8318,0.753906,7,3,4,6,8
class_0854_002854,class_0854/002854-class0854.png,854,theater curtain,پرده تئاتر,14,4,4,6,8,50.0,28.57,28.57,42.86,0.2152,0.7848,1.0,6,2,6,6,8
class_0858_000858,class_0858/000858-class0858.png,858,tile roof,سقف کاشی‌پوش,14,4,10,0,14,28.57,28.57,71.43,0.0,0.1172,0.5465,0.179565,10,4,0,6,8
class_0858_001858,class_0858/001858-class0858.png,858,tile roof,سقف کاشی‌پوش,14,7,5,2,12,58.33,50.0,35.71,14.29,0.3195,0.8067,0.774414,8,4,2,9,5
class_0858_002858,class_0858/002858-class0858.png,858,tile roof,سقف کاشی‌پوش,14,11,0,3,11,100.0,78.57,0.0,21.43,0.7412,1.0,0.000977,9,2,3,11,3
class_0860_000860,class_0860/000860-class0860.png,860,tobacco shop,دخانیات‌فروشی,14,8,3,3,11,72.73,57.14,21.43,21.43,0.4343,0.9025,0.226563,7,4,3,6,8
class_0860_001860,class_0860/001860-class0860.png,860,tobacco shop,دخانیات‌فروشی,14,9,0,5,9,100.0,64.29,0.0,35.71,0.7008,1.0,0.003906,5,4,5,6,8
class_0860_002860,class_0860/002860-class0860.png,860,tobacco shop,دخانیات‌فروشی,14,9,3,2,12,75.0,64.29,21.43,14.29,0.4677,0.9111,0.145996,5,7,2,2,12
class_0880_000880,class_0880/000880-class0880.png,880,unicycle,تک‌چرخه,14,1,10,3,11,9.09,7.14,71.43,21.43,0.0162,0.3774,0.011719,6,5,3,6,8
class_0880_001880,class_0880/001880-class0880.png,880,unicycle,تک‌چرخه,14,6,1,7,7,85.71,42.86,7.14,50.0,0.4869,0.9743,0.125,1,6,7,3,11
class_0880_002880,class_0880/002880-class0880.png,880,unicycle,تک‌چرخه,14,0,8,6,8,0.0,0.0,57.14,42.86,0.0,0.3244,0.007813,4,4,6,7,7
class_0881_000881,class_0881/000881-class0881.png,881,upright,پیانوی دیواری,14,13,0,1,13,100.0,92.86,0.0,7.14,0.7719,1.0,0.000244,5,8,1,5,9
class_0881_001881,class_0881/001881-class0881.png,881,upright,پیانوی دیواری,14,13,1,0,14,92.86,92.86,7.14,0.0,0.6853,0.9873,0.001831,9,5,0,8,6
class_0881_002881,class_0881/002881-class0881.png,881,upright,پیانوی دیواری,14,12,1,1,13,92.31,85.71,7.14,7.14,0.6669,0.9863,0.003418,7,6,1,6,8
class_0883_000883,class_0883/000883-class0883.png,883,vase,گلدان,14,8,1,5,9,88.89,57.14,7.14,35.71,0.565,0.9801,0.039062,4,5,5,4,10
class_0883_001883,class_0883/001883-class0883.png,883,vase,گلدان,14,8,4,2,12,66.67,57.14,28.57,14.29,0.3906,0.8619,0.387695,3,9,2,5,9
class_0883_002883,class_0883/002883-class0883.png,883,vase,گلدان,14,8,1,5,9,88.89,57.14,7.14,35.71,0.565,0.9801,0.039062,7,2,5,9,5
class_0909_000909,class_0909/000909-class0909.png,909,wok,ووک,14,0,13,1,13,0.0,0.0,92.86,7.14,0.0,0.2281,0.000244,7,6,1,7,7
class_0909_001909,class_0909/001909-class0909.png,909,wok,ووک,14,0,12,2,12,0.0,0.0,85.71,14.29,0.0,0.2425,0.000488,7,5,2,5,9
class_0909_002909,class_0909/002909-class0909.png,909,wok,ووک,14,1,10,3,11,9.09,7.14,71.43,21.43,0.0162,0.3774,0.011719,7,4,3,5,9
class_0912_000912,class_0912/000912-class0912.png,912,worm fence,حصار چوبی زیگزاگی,14,3,11,0,14,21.43,21.43,78.57,0.0,0.0757,0.4759,0.057373,9,5,0,4,10
class_0912_001912,class_0912/001912-class0912.png,912,worm fence,حصار چوبی زیگزاگی,14,8,5,1,13,61.54,57.14,35.71,7.14,0.3552,0.8229,0.581055,7,6,1,6,8
class_0912_002912,class_0912/002912-class0912.png,912,worm fence,حصار چوبی زیگزاگی,14,8,4,2,12,66.67,57.14,28.57,14.29,0.3906,0.8619,0.387695,9,3,2,7,7
class_0914_000914,class_0914/000914-class0914.png,914,yawl,قایق یاول,14,2,12,0,14,14.29,14.29,85.71,0.0,0.0401,0.3994,0.012939,7,7,0,7,7
class_0914_001914,class_0914/001914-class0914.png,914,yawl,قایق یاول,14,1,12,1,13,7.69,7.14,85.71,7.14,0.0137,0.3331,0.003418,5,8,1,7,7
class_0914_002914,class_0914/002914-class0914.png,914,yawl,قایق یاول,14,8,2,4,10,80.0,57.14,14.29,28.57,0.4902,0.9433,0.109375,5,5,4,10,4
class_0919_000919,class_0919/000919-class0919.png,919,street sign,تابلوی خیابان,14,5,4,5,9,55.56,35.71,28.57,35.71,0.2666,0.8112,1.0,6,3,5,8,6
class_0919_001919,class_0919/001919-class0919.png,919,street sign,تابلوی خیابان,14,5,4,5,9,55.56,35.71,28.57,35.71,0.2666,0.8112,1.0,6,3,5,6,8
class_0919_002919,class_0919/002919-class0919.png,919,street sign,تابلوی خیابان,14,9,1,4,10,90.0,64.29,7.14,28.57,0.5958,0.9821,0.021484,5,5,4,9,5
class_0925_000925,class_0925/000925-class0925.png,925,consomme,کنسومه,14,4,6,4,10,40.0,28.57,42.86,28.57,0.1682,0.6873,0.753906,7,3,4,4,10
class_0925_001925,class_0925/001925-class0925.png,925,consomme,کنسومه,14,4,5,5,9,44.44,28.57,35.71,35.71,0.1888,0.7334,1.0,2,7,5,8,6
class_0925_002925,class_0925/002925-class0925.png,925,consomme,کنسومه,14,8,3,3,11,72.73,57.14,21.43,21.43,0.4343,0.9025,0.226563,6,5,3,6,8
class_0927_000927,class_0927/000927-class0927.png,927,trifle,دسر ترافل,14,8,3,3,11,72.73,57.14,21.43,21.43,0.4343,0.9025,0.226563,8,3,3,5,9
class_0927_001927,class_0927/001927-class0927.png,927,trifle,دسر ترافل,14,11,1,2,12,91.67,78.57,7.14,14.29,0.6461,0.9851,0.006348,6,6,2,7,7
class_0927_002927,class_0927/002927-class0927.png,927,trifle,دسر ترافل,14,5,4,5,9,55.56,35.71,28.57,35.71,0.2666,0.8112,1.0,6,3,5,8,6
class_0934_000934,class_0934/000934-class0934.png,934,hotdog,هات‌داگ,14,4,7,3,11,36.36,28.57,50.0,21.43,0.1517,0.6462,0.548828,5,6,3,3,11
class_0934_001934,class_0934/001934-class0934.png,934,hotdog,هات‌داگ,14,3,9,2,12,25.0,21.43,64.29,14.29,0.0889,0.5323,0.145996,7,5,2,9,5
class_0934_002934,class_0934/002934-class0934.png,934,hotdog,هات‌داگ,14,12,1,1,13,92.31,85.71,7.14,7.14,0.6669,0.9863,0.003418,7,6,1,7,7
class_0950_000950,class_0950/000950-class0950.png,950,orange,پرتقال,14,3,11,0,14,21.43,21.43,78.57,0.0,0.0757,0.4759,0.057373,9,5,0,4,10
class_0950_001950,class_0950/001950-class0950.png,950,orange,پرتقال,14,8,2,4,10,80.0,57.14,14.29,28.57,0.4902,0.9433,0.109375,6,4,4,6,8
class_0950_002950,class_0950/002950-class0950.png,950,orange,پرتقال,14,4,6,4,10,40.0,28.57,42.86,28.57,0.1682,0.6873,0.753906,8,2,4,7,7
class_0972_000972,class_0972/000972-class0972.png,972,cliff,صخره,14,5,9,0,14,35.71,35.71,64.29,0.0,0.1634,0.6124,0.42395,8,6,0,5,9
class_0972_001972,class_0972/001972-class0972.png,972,cliff,صخره,14,10,3,1,13,76.92,71.43,21.43,7.14,0.4974,0.9182,0.092285,8,5,1,6,8
class_0972_002972,class_0972/002972-class0972.png,972,cliff,صخره,14,3,5,6,8,37.5,21.43,35.71,42.86,0.1368,0.6943,0.726563,4,4,6,4,10
class_0973_000973,class_0973/000973-class0973.png,973,coral reef,آب‌سنگ مرجانی,14,12,1,1,13,92.31,85.71,7.14,7.14,0.6669,0.9863,0.003418,4,9,1,5,9
class_0973_001973,class_0973/001973-class0973.png,973,coral reef,آب‌سنگ مرجانی,14,8,2,4,10,80.0,57.14,14.29,28.57,0.4902,0.9433,0.109375,5,5,4,7,7
class_0973_002973,class_0973/002973-class0973.png,973,coral reef,آب‌سنگ مرجانی,14,2,7,5,9,22.22,14.29,50.0,35.71,0.0632,0.5474,0.179687,4,5,5,5,9
class_0997_000997,class_0997/000997-class0997.png,997,bolete,قارچ بولت,14,2,5,7,7,28.57,14.29,35.71,50.0,0.0822,0.6411,0.453125,3,4,7,3,11
class_0997_001997,class_0997/001997-class0997.png,997,bolete,قارچ بولت,14,5,4,5,9,55.56,35.71,28.57,35.71,0.2666,0.8112,1.0,6,3,5,6,8
class_0997_002997,class_0997/002997-class0997.png,997,bolete,قارچ بولت,14,4,3,7,7,57.14,28.57,21.43,50.0,0.2505,0.8418,1.0,4,3,7,9,5
class_0998_000998,class_0998/000998-class0998.png,998,ear,بلال ذرت,14,1,11,2,12,8.33,7.14,78.57,14.29,0.0149,0.3539,0.006348,6,6,2,6,8
class_0998_001998,class_0998/001998-class0998.png,998,ear,بلال ذرت,14,0,12,2,12,0.0,0.0,85.71,14.29,0.0,0.2425,0.000488,3,9,2,10,4
class_0998_002998,class_0998/002998-class0998.png,998,ear,بلال ذرت,14,1,10,3,11,9.09,7.14,71.43,21.43,0.0162,0.3774,0.011719,7,4,3,5,9
