ucod,nombre,cod_depto,fis,clima,pend,cons_amb,inund,cn,rodadura
R39_SC03S_02,Salinas - San Miguel,SC,4.6,2.2,2,2.9,3,3.3,4
R40_LP08_01,Coroico - Com. Puente Villa,LP,4.2,2,3.1,4.5,3,2,4
R41_LP04_01,"Senkata - Villa Merced Unid. Vec ""B""",LP,4,4,2,3,1,3,4
R41_LP10_02,"Villa Merced Unid. Vec ""B"" - El Alto Urbano",LP,4,4,2,3,1,3,3
R41_LP04_03,"Villa Merced Unid. Vec ""B"" - Mariscal Sucre",LP,3.9,4,2,3,1,3,4
R41_LP04_04,Mariscal Sucre - Rio Seque,LP,4,4,2,3,1,3,4
R41_LP04_05,Rio Seque - Rio Seco,LP,4,4,2,3,1,2.9,3
R41_LP04_06,Rio Seco - Alto Lima,LP,4,4,2,3,1,2.7,3
R41_LP04_07,Rio Seco - Alto Lima,LP,4,4,2.1,3,1,3,3
R41_LP04_08,Alto Lima - La Cumbre,LP,4.1,4,2.6,3.9,2.5,3.4,3
R43_LP01_01,Viacha - Capiri,LP,3.9,4,2,3.3,1,3.1,1
R43_LP01_02,Capiri - Chama,LP,4.4,4,2.1,4.3,1,3.8,1
R43_LP01_03,Chama - Nazacara,LP,3.5,4,2.1,3.1,1,2.7,1
R43_LP11_04,Nazacara - San Andres De Machaca,LP,4.1,4,2,2.5,1.4,2.2,1
R43_LP11_05,San Andres De Machaca - Santiago De Machaca,LP,3.9,4,2,2.1,1,1.1,1
R43_LP11_06,Santiago De Machaca - Hito Iv,LP,2.7,4,2.2,3.4,1,4.1,3
R44_OR04_01,Caracollo - Colquiri,OR,4,4,2.2,3.9,1.2,3,1
R50_TJ04_01,Com. Las Sidras - Com. San Aberto,TJ,3,2,2.2,3.4,2.3,2.6,4
R50_TJ04_02,Com. San Aberto - Carapari,TJ,2.6,2.7,2,3.8,2.4,2.1,1
R50_TJ04_03,Campo Pajoso - Carapari,TJ,3.4,3.2,2.6,4,2,2.8,1
R50_TJ04_04,Carapari - Com. Acheral,TJ,2.8,4,2,3.6,2.5,2.8,1
R50_TJ04_05,Com. Acheral - Choere,TJ,3.2,4,2.5,3.2,2,3.5,3
R50_TJ04_06,Choere - Palos Blancos,TJ,3.3,4,2,2.7,2,4.9,1
R51_CO10_01,Toro Toro - Anzaldo,CO,3.6,4,2.6,4.1,3,3,3
R51_CO10_02,Anzaldo - Cruce Tolata,CO,2.9,4,2.1,3.7,3,2.4,3
R52_CO01c_01,Parotani - Carmelitas,CO,2.3,4,2.4,4.4,3,2.5,5
R52_CO01c_02,Carmelitas - Colomi,CO,4,4,2.6,3.8,3,2.7,5
R53_OR01_01,Cruce R. 4 - Turco,OR,3.5,4,2.1,2.5,1.5,3.7,1
R53_OR01_02,Turco - Ancaravi,OR,3,4,2,2.9,1.6,3.5,1
R54_PT11_01,Villazon - Tincuya,PT,4.4,4,2,2.7,2,1.3,4
R54_TJ03_02,Tincuya - Cañas,TJ,4,4,2.6,3.2,2,2.1,4
R54_TJ03_03,Cañas - Mecoya,TJ,4,4,2.9,4.2,2,3.2,4
R54_TJ03_04,Mecoya - Mecoyita,TJ,4,4,2.4,4.4,2,3.1,4
R54_TJ03_05,Mecoya - Cr. Rosillas,TJ,4,3.2,2.7,4,2,2.9,4
R54_TJ03_06,Cañas - Abra De San Miguel,TJ,3.8,4,2.5,3.8,2.4,2.4,1
R54_TJ03_07,Abra De San Miguel - Cr. Rosillas,TJ,3.7,4,2.7,3.7,2,2.5,1
R54_TJ03_08,Cr. Rosillas - Padcaya,TJ,3.8,3.9,2.5,3.6,2,1.9,1
R54_TJ03_09,Abra De San Miguel - Cr. Concepcion,TJ,3.4,4,2.2,3.2,2.4,2,1
R55_LP12_01,Caquiaviri - Coro Coro,LP,4,4,2,2.7,1,1.7,4
R55_LP12_02,Caquiaviri - Coro Coro,LP,2.8,4,2.1,3.8,1.7,3.4,4
R55_LP12_03,Coro Coro - Topohoco,LP,2.4,4,2.1,3.8,1,3.9,4
R55_LP12_04,Topohoco - Patacamaya,LP,2.4,4,2,3.8,1,3.4,4
