ucod,nombre,cod_depto,fis,clima,pend,cons_amb,inund,cn,rodadura
R3_LP06_10,Sapecho - Quiquibey I.P.,LP,3.6,2,2.5,4.2,3.1,2,3
R3_LP03R_11,Quiquibey I.P. - Yucumo,LP,4.3,2,2.5,4.2,3,2,1
R3_BN01_12,Yucumo - San Borja,BN,4.5,2,2,2.6,3,1.3,3
R3_BN02_13,San Borja - San Ignacio De Moxos,BN,5,2,2,2,3,1.1,3
R3_BN03_14,San Ignacio De Moxos - Puerto Barador,BN,5,2,2,2.2,3.1,1,1
R3_NA01bn_15,Puerto Barador - Trinidad,BN,5,2,2,2.6,3.7,1.1,1
R4_OR05_01,Patacamaya - Curahuara De Carangas,OR,3.1,4,2,3.1,1.1,3.7,1
R4_OR05_02,Curahuara De Carangas - Cruce R. 4,OR,3.1,4,2,2.5,1.5,4.5,1
R4_OR05_03,Cruce R. 4 - Hito 18 (Tambo Quemado),OR,3.6,4,2.3,3,1,3.8,1
R4_OR04_04,Caracollo - Confital,OR,4,4,2,2.8,1,3,1
R4_OR04_05,Caracollo - Confital,OR,4.3,4,2.3,4.4,2,3,1
R4_OR04_06,Confital - Parotani,OR,4,4,2.6,4.5,3,3,1
R4_CO01a_07,Parotani - Suticollo,CO,2.7,4,2.4,4.5,3,3.1,1
R4_CO01a_08,Suticollo - Vinto,CO,3.4,4,2,3.8,3,2,1
R4_CO01a_09,Vinto - Quillacollo,CO,3.8,4,2,3.1,3,1.5,1
R4_CO01a_10,Quillacollo - Cochabamba,CO,3.9,4,2,3.1,3,1.2,1
R4_CO01a_11,Cochabamba - Sacaba,CO,4,4,2.7,3.6,3,1.7,1
R4_CO01a_12,Sacaba - Chiñata,CO,4,4,2.4,3.7,3,1.8,1
R4_CO01a_13,Chiñata - Colomi,CO,3.9,4,2.7,4.8,3,2.6,1
R4_CO01b_14,Colomi - San Jacinto,CO,4.1,3.6,3.1,4.6,3,2.1,1
R4_CO01b_15,San Jacinto - Cristal Mayu,CO,4,2.8,3.3,4.2,3,2,3
R4_CO01b_16,Cristal Mayu - Villa Tunari,CO,3.9,3,2.5,4.3,3.2,2.2,1
R4_CO04_17,Villa Tunari - Chimore,CO,3.4,3,2,3.4,3,2.3,2
R4_CO04_18,Chimore - Ivirgarzama,CO,3.3,3,2,3.4,3,2.1,2
R4_CO04_19,Ivirgarzama - Ichilo,CO,3.8,3,2,3.2,3.1,2.4,1
R4_SC01_20,Ichilo - Yapacani,SC,4.4,2.9,2,2.8,3.2,2.7,2
R4_SC01_21,Yapacani - Guabira,SC,3.9,2.3,2,3.3,3,1.6,2
R4_SC02-B_22,Montero - Guabira,SC,5,2,2,2.9,3,2.5,1
R4_SC02-B_23,Warnes - Montero,SC,5,2,2,2.9,3,2.8,1
R4_SC02-B_24,Santa Cruz - Warnes,SC,3.7,2,2,3.5,3,3,1
R4_SC02-B_25,Warnes Lado Este - Santa Cruz Lado Este,SC,4.7,2,2,2.9,3,2.8,3
R4_SC02-B_26,Santa Cruz - Cotoca,SC,4.4,2,2,3.3,3,3.8,1
R4_SC02-B_27,Cotoca - Paraiso,SC,5,2,2,2.6,3,2.5,1
R4_SC09A_28,Paraiso - El  Tinto,SC,5,3,2,2.2,3,1.3,1
R4_SC09A_29,El  Tinto - Quimome,SC,4.9,2.2,2,2.2,3.3,1.3,1
R4_SC09A_30,Quimome - San José De Chiquitos,SC,4.3,2,2.1,2.8,3.3,1.7,1
R4_SC01S_31,San José De Chiquitos (Urbano) - San José De Chiquitos (Urbano),SC,4,2,2,3,3,1,3
R4_SC09B_32,San José De Chiquitos - Roboré,SC,3.8,2,2,2.9,2.4,1.9,1
R4_SC09B_33,Roboré - El Carmen,SC,4.3,3.3,2,2.9,2.1,1.4,1
R4_SC09B_34,El Carmen - Puerto Suarez,SC,4.1,2.5,2,3.3,2.2,1.3,1
