,"AutoGluon 1.6 (noncommercial, 4h)","AutoGluon 1.6 (extreme, 4h)",TabFM+,EXAONE-Tabular (default),TabFM (default),"AutoGluon 1.5 (extreme, 4h)",TabPFN-3 (default),"AutoGluon 1.4 (best, 4h)",TabICLv2 (default),TabPFN-2.6 (default),ChimeraBoost (T+E),RealTabPFN-2.5 (T+E),RealMLP (T+E),ModernNCA (T+E),CatBoost (T+E),LightGBM (T+E),iLTM (T+E),TabDPT (T+E),TabDPT-Turbo (default),TabM (T+E),XGBoost (T+E),xRFM (T+E),TorchMLP (T+E),TabSwift (default),LimiX (default),EBM (T+E),RandomForest (T+E),FastaiMLP (T+E),SAP-RPT-OSS (default),ExtraTrees (T+E),PerpetualBooster (T+E),TabSTAR (T+E),KNN (T+E),Linear (T+E)
TabDPT (T+E),0.05925926,0.10370371,0.11111111,0.14074074,0.12592593,0.26666668,0.26666668,0.37037036,0.22962962,0.25925925,0.42222223,0.34074077,0.42222223,0.362963,0.46666667,0.5037037,0.4888889,,0.53333336,0.53333336,0.47407407,0.7037037,0.7185185,0.71111107,0.725926,0.6296297,0.77777773,0.7925926,0.82962966,0.78518516,0.98518527,0.9037037,0.8962963,0.837037
TabDPT-Turbo (default),0.037037037,0.02962963,0.02962963,0.08888889,0.037037037,0.27407408,0.08148148,0.37037036,0.21481483,0.28148147,0.44444448,0.37037036,0.4074074,0.45185184,0.53333336,0.4814815,0.56296295,0.4666667,,0.5185185,0.5185185,0.65925926,0.762963,0.8074074,0.7777778,0.6074074,0.7851852,0.762963,0.78518516,0.84444445,0.9111111,0.92592597,0.9037037,0.8222223
TabM (T+E),0.0074074073,0.059259262,0.0,0.0074074073,0.0074074073,0.12592593,0.14074074,0.20740741,0.25925928,0.26666668,0.43703705,0.3851852,0.4074074,0.4,0.5111111,0.52592593,0.5111111,0.4666667,0.4814815,,0.5111111,0.56296295,0.6666667,0.725926,0.71111107,0.71111107,0.8222223,0.88148147,0.8666667,0.8888889,0.9185185,1.0,0.962963,0.9555556
XGBoost (T+E),0.022222223,0.044444446,0.06666667,0.014814815,0.08148149,0.02962963,0.23703705,0.08888889,0.31851855,0.28148147,0.2888889,0.34074074,0.362963,0.3703704,0.3111111,0.3111111,0.4592592,0.52592593,0.4814815,0.48888886,,0.64444447,0.8000001,0.65185183,0.65185183,0.8666666,0.93333334,0.8666667,0.90370375,0.9481482,0.90370375,0.99259263,0.99259263,1.0
xRFM (T+E),0.014814815,0.0,0.08148148,0.037037037,0.074074075,0.037037037,0.2,0.08148149,0.26666665,0.1925926,0.28148147,0.23703705,0.14074074,0.24444444,0.28148147,0.35555556,0.37037036,0.2962963,0.34074074,0.43703705,0.35555553,,0.6,0.51111114,0.70370376,0.6296297,0.762963,0.8222222,0.725926,0.80740744,0.837037,0.9037037,0.9777777,0.9851852
TorchMLP (T+E),0.014814815,0.014814815,0.022222223,0.0074074073,0.022222223,0.0074074073,0.11111112,0.05925926,0.1925926,0.10370371,0.22222224,0.19259259,0.16296297,0.17777778,0.20740741,0.24444444,0.118518524,0.28148147,0.23703705,0.33333334,0.2,0.4,,0.51851857,0.6,0.54814816,0.725926,0.7407407,0.8148148,0.7555555,0.7333333,0.94814813,0.9407407,0.94074076
TabSwift (default),0.014814815,0.0074074073,0.022222223,0.0074074073,0.02962963,0.037037037,0.022222223,0.15555556,0.05925926,0.08888889,0.2962963,0.0962963,0.24444444,0.21481483,0.25185186,0.2740741,0.2962963,0.2888889,0.19259259,0.2740741,0.34814817,0.4888889,0.4814815,,0.59259254,0.54814816,0.5555556,0.7481482,0.6666667,0.6222222,0.79259264,0.8666667,0.8518519,0.8148148
LimiX (default),0.0074074073,0.06666667,0.10370371,0.06666667,0.096296296,0.14074074,0.13333334,0.14814815,0.12592593,0.14814815,0.2962963,0.22222224,0.11111112,0.118518524,0.31851852,0.34074074,0.3111111,0.27407408,0.22222224,0.2888889,0.34814817,0.2962963,0.4,0.4074074,,0.53333336,0.5111111,0.62222224,0.6,0.4814815,0.5629629,0.68888885,0.7111111,0.762963
EBM (T+E),0.0,0.0,0.0074074073,0.0074074073,0.0074074073,0.0074074073,0.15555556,0.02962963,0.22962965,0.08148148,0.014814815,0.17777778,0.17777778,0.17777778,0.10370371,0.15555556,0.20000002,0.3703704,0.3925926,0.2888889,0.13333334,0.3703704,0.45185184,0.45185187,0.46666667,,0.6148149,0.6444444,0.6666667,0.6666667,0.65185183,0.94074076,0.837037,0.93333334
RandomForest (T+E),0.0,0.0,0.0074074073,0.0074074073,0.014814815,0.0,0.037037037,0.0074074073,0.08148148,0.02962963,0.0,0.05925926,0.08148148,0.14074074,0.074074075,0.06666667,0.08888889,0.22222222,0.21481483,0.17777778,0.06666667,0.23703702,0.27407408,0.44444445,0.4888889,0.38518518,,0.5925926,0.66666675,0.5555555,0.65185183,0.87407404,0.92592597,0.8666667
FastaiMLP (T+E),0.0074074073,0.0074074073,0.044444446,0.0074074073,0.05925926,0.0,0.06666667,0.022222223,0.10370371,0.08888889,0.08148148,0.17777778,0.014814815,0.08888889,0.08888889,0.15555556,0.02962963,0.20740741,0.23703703,0.11851852,0.13333334,0.17777778,0.25925928,0.25185186,0.37777779,0.35555553,0.4074074,,0.46666667,0.45925924,0.5703704,0.7185185,0.7185185,0.92592597
SAP-RPT-OSS (default),0.0,0.0,0.0,0.0,0.014814815,0.02962963,0.051851854,0.059259262,0.051851854,0.02962963,0.074074075,0.0962963,0.074074075,0.096296296,0.08148148,0.096296296,0.08888889,0.17037037,0.21481483,0.13333334,0.096296296,0.27407408,0.18518518,0.33333334,0.4,0.33333334,0.33333337,0.53333336,,0.4074074,0.6814815,0.725926,0.8592593,0.87407404
ExtraTrees (T+E),0.0,0.0,0.0,0.0074074073,0.0074074073,0.0,0.022222223,0.0074074073,0.0074074073,0.014814815,0.037037037,0.022222223,0.06666667,0.06666667,0.02962963,0.014814815,0.06666667,0.21481483,0.15555556,0.11111112,0.051851854,0.1925926,0.24444444,0.37777776,0.5185185,0.33333334,0.44444448,0.5407407,0.5925926,,0.63703704,0.8148148,0.82962966,0.8148148
PerpetualBooster (T+E),0.0,0.0,0.0,0.0,0.0,0.0074074073,0.06666667,0.014814815,0.06666667,0.0074074073,0.08888889,0.022222223,0.014814815,0.0074074073,0.022222223,0.014814815,0.13333334,0.014814815,0.08888889,0.08148148,0.0962963,0.16296297,0.26666668,0.20740741,0.43703705,0.34814817,0.34814817,0.42962965,0.31851855,0.362963,,0.51111114,0.6296297,0.7037037
TabSTAR (T+E),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014814815,0.0,0.0,0.0,0.0,0.051851854,0.0,0.0074074073,0.0074074073,0.096296296,0.074074075,0.0,0.0074074073,0.0962963,0.051851854,0.13333334,0.31111112,0.059259262,0.12592593,0.28148147,0.27407408,0.18518518,0.4888889,,0.6074074,0.7111111
KNN (T+E),0.0,0.0,0.0,0.0,0.02962963,0.0074074073,0.044444446,0.0074074073,0.02962963,0.037037037,0.0074074073,0.05925926,0.0074074073,0.0074074073,0.0074074073,0.014814815,0.014814815,0.10370371,0.096296296,0.037037037,0.0074074073,0.022222223,0.05925926,0.14814815,0.2888889,0.16296296,0.074074075,0.28148147,0.14074074,0.17037039,0.3703704,0.39259258,,0.7185185
Linear (T+E),0.0,0.0,0.0,0.0,0.014814815,0.0,0.051851854,0.0,0.051851854,0.022222223,0.0,0.10370371,0.0,0.06666667,0.0074074073,0.014814815,0.014814815,0.16296296,0.17777778,0.044444446,0.0,0.014814815,0.05925926,0.18518518,0.23703703,0.06666667,0.13333334,0.074074075,0.12592593,0.1851852,0.2962963,0.28888887,0.28148147,
