,TabFM+,"AutoGluon 1.6 (noncommercial, 4h)",TabFM (default),EXAONE-Tabular (default),"AutoGluon 1.6 (extreme, 4h)","AutoGluon 1.5 (extreme, 4h)",TabPFN-3 (default),TabICLv2 (default),TabPFN-2.6 (default),RealTabPFN-2.5 (T+E),"AutoGluon 1.4 (best, 4h)",RealMLP (T+E),TabDPT (T+E),TabDPT-Turbo (default),TabM (T+E),LightGBM (T+E),CatBoost (T+E),LimiX (default),ModernNCA (T+E),iLTM (T+E),ChimeraBoost (T+E),TabSwift (default),XGBoost (T+E),xRFM (T+E),SAP-RPT-OSS (default),TorchMLP (T+E),EBM (T+E),ExtraTrees (T+E),FastaiMLP (T+E),RandomForest (T+E),TabSTAR (T+E),PerpetualBooster (T+E),KNN (T+E),Linear (T+E)
"AutoGluon 1.4 (best, 4h)",0.12592593,0.103267975,0.1366013,0.11285405,0.14270152,0.16949894,0.28061002,0.31285405,0.33638343,0.3074074,,0.5336602,0.5004357,0.50958616,0.61220044,0.7503269,0.7213508,0.58976036,0.6509805,0.73529416,0.73812634,0.6578432,0.80849665,0.74106747,0.70152515,0.84684104,0.81045747,0.81263626,0.86993474,0.8777779,0.8457516,0.9477125,0.92309386,0.93736386
RealMLP (T+E),0.097167775,0.111111104,0.1328976,0.114596955,0.12984748,0.16590413,0.23660132,0.30108938,0.2775599,0.30980387,0.46633986,,0.5011983,0.5185185,0.5873638,0.6832244,0.6779956,0.62461877,0.64204794,0.7211328,0.6649237,0.63485837,0.7673203,0.7873638,0.74400884,0.8043574,0.8021787,0.8533769,0.89727676,0.8949891,0.8551198,0.94858384,0.9296296,0.943573
TabDPT (T+E),0.09847495,0.087690644,0.12222224,0.18594772,0.11241832,0.24814817,0.2492375,0.26328975,0.31176475,0.3392157,0.49956426,0.49880174,,0.5028323,0.54651415,0.58736384,0.5869281,0.59226584,0.5880174,0.6372549,0.62200433,0.6667755,0.61383444,0.69008714,0.69847494,0.73061013,0.7038127,0.81111115,0.7825708,0.845316,0.80087155,0.9117648,0.9208061,0.8586056
TabDPT-Turbo (default),0.082570806,0.10065359,0.09607843,0.1594771,0.110675395,0.27886704,0.19041394,0.2712418,0.31220043,0.34705883,0.4904139,0.4814814,0.49716777,,0.527342,0.5732026,0.6126362,0.6368191,0.5834422,0.63224405,0.6172113,0.7221133,0.6366013,0.66427016,0.6799565,0.7461873,0.68169934,0.8277778,0.8,0.84596956,0.817865,0.88976043,0.9220044,0.87102413
TabM (T+E),0.062200435,0.08322441,0.0882353,0.07647059,0.121350765,0.14618737,0.19019604,0.24335514,0.23246187,0.2631808,0.38779953,0.41263613,0.45348582,0.472658,,0.5718955,0.58779955,0.52657944,0.56862754,0.58442265,0.6206972,0.60370374,0.6440087,0.6080611,0.6956428,0.7422659,0.7629631,0.775817,0.81633985,0.787146,0.85294116,0.89193904,0.9067539,0.93769056
LightGBM (T+E),0.07429194,0.043355122,0.092374735,0.068845324,0.065468416,0.09978215,0.18583877,0.23311546,0.20784314,0.23093684,0.2496732,0.3167756,0.41263622,0.42679742,0.42810455,,0.51437914,0.47668847,0.5034858,0.5253813,0.582135,0.58387804,0.7058825,0.59128547,0.6505447,0.68583876,0.75370383,0.7979304,0.76688445,0.8446623,0.83986926,0.93137264,0.9183006,0.93050116
CatBoost (T+E),0.08061002,0.057516348,0.0969499,0.0577342,0.085620925,0.106100224,0.18278866,0.2302832,0.19694988,0.23289761,0.27864918,0.32200435,0.4130719,0.38736382,0.41220048,0.4856209,,0.48104575,0.533769,0.532244,0.5732026,0.57930285,0.6332244,0.59629625,0.675817,0.6973856,0.7294118,0.796732,0.76274496,0.84923756,0.8387799,0.90740734,0.91437906,0.9172113
LimiX (default),0.0795207,0.09869282,0.097276695,0.102178656,0.14270152,0.21655773,0.21111111,0.22995642,0.22570808,0.23943357,0.4102396,0.3753812,0.40773416,0.3631808,0.4734205,0.52331156,0.5189543,,0.47930282,0.5423747,0.598475,0.50675386,0.55468404,0.5180828,0.6102397,0.6187363,0.67472774,0.6623093,0.69117653,0.69564265,0.7529412,0.74422663,0.8154685,0.86710244
ModernNCA (T+E),0.06013072,0.071459696,0.08867102,0.058387805,0.09477124,0.12788671,0.14553379,0.21023968,0.17886713,0.25446624,0.3490196,0.35795215,0.4119826,0.41655773,0.43137252,0.49651423,0.466231,0.5206972,,0.5122005,0.49738562,0.5703704,0.574292,0.5699346,0.6220044,0.65925926,0.672767,0.7470587,0.7244008,0.7753813,0.76949894,0.8492375,0.8700436,0.83769053
iLTM (T+E),0.07363834,0.04782135,0.09847494,0.07037037,0.059477124,0.08562091,0.15947711,0.2178649,0.1864924,0.23888883,0.26470584,0.27886707,0.36274514,0.367756,0.41557735,0.47461873,0.46775594,0.4576253,0.48779953,,0.49956426,0.54596955,0.5728758,0.5859478,0.6542484,0.7239652,0.6869281,0.78311557,0.8023966,0.8392158,0.8092593,0.8764707,0.9041394,0.8884533
ChimeraBoost (T+E),0.10283225,0.070370376,0.12069716,0.082788676,0.0832244,0.110239655,0.14183007,0.24052285,0.1973856,0.21078427,0.26187363,0.33507627,0.3779956,0.38278872,0.3793028,0.41786498,0.4267974,0.40152505,0.5026144,0.5004357,,0.5370371,0.54967326,0.50980395,0.64117646,0.64814824,0.72570807,0.7061002,0.70326793,0.7666667,0.83202624,0.8479304,0.8591503,0.8917212
TabSwift (default),0.07037037,0.06753813,0.100435734,0.0969499,0.06971678,0.12723312,0.0932462,0.15555556,0.17734204,0.19542484,0.3421569,0.36514163,0.33322442,0.27788672,0.3962963,0.41612196,0.42069712,0.4932462,0.4296296,0.45403045,0.46296293,,0.49150324,0.51677555,0.61089325,0.6148148,0.60348576,0.6795208,0.7614379,0.69564265,0.812854,0.83834434,0.8732026,0.85076255
XGBoost (T+E),0.047276698,0.035076257,0.074291945,0.04008715,0.059694994,0.07625273,0.15239652,0.21394335,0.16732025,0.18605666,0.1915033,0.23267974,0.3861656,0.36339873,0.35599133,0.29411763,0.3667756,0.44531593,0.42570803,0.4271242,0.45032677,0.5084967,,0.54912853,0.6069717,0.6589324,0.68344223,0.75533766,0.7252723,0.8282136,0.81851864,0.8570806,0.89825696,0.9141612
xRFM (T+E),0.07690632,0.057952076,0.08061002,0.06318083,0.060130723,0.0956427,0.14400873,0.2063181,0.16427013,0.18888889,0.25893244,0.21263619,0.30991286,0.33572984,0.39193892,0.4087146,0.4037037,0.48191726,0.43006533,0.41405225,0.49019605,0.48322442,0.4508715,,0.55795205,0.587146,0.61633986,0.7108933,0.69248366,0.7629629,0.75925916,0.8089325,0.922549,0.909586
SAP-RPT-OSS (default),0.075599134,0.1053377,0.09063181,0.07407408,0.112418324,0.15969501,0.15119825,0.18409587,0.15228757,0.1761438,0.29847497,0.2559913,0.3015251,0.32004356,0.30435732,0.34945533,0.32418305,0.3897603,0.3779956,0.34575164,0.3588235,0.38910675,0.3930283,0.44204798,,0.5030501,0.5071896,0.5803922,0.6381264,0.59901965,0.6921569,0.7361656,0.8058824,0.87450975
TorchMLP (T+E),0.03246188,0.023856211,0.053594775,0.030501092,0.0375817,0.05206972,0.09041394,0.15250546,0.10588236,0.122657955,0.15315904,0.1956427,0.26938996,0.25381267,0.2577342,0.31416118,0.3026144,0.38126364,0.34074074,0.27603483,0.3518518,0.38518515,0.34106752,0.412854,0.4969499,,0.5,0.66056645,0.68213516,0.70065355,0.7874729,0.7250545,0.8413943,0.8798476
EBM (T+E),0.048801746,0.03834423,0.06666666,0.041830067,0.04379085,0.074074075,0.12701525,0.17233114,0.11198258,0.13594772,0.18954249,0.19782133,0.2961873,0.31830066,0.23703705,0.2462963,0.27058825,0.32527232,0.3272331,0.31307185,0.27429193,0.3965142,0.31655777,0.38366014,0.49281046,0.5,,0.6171024,0.57592595,0.63159037,0.7851852,0.7061002,0.8313727,0.904793
ExtraTrees (T+E),0.04640523,0.04008715,0.049237475,0.0459695,0.047276687,0.06492375,0.057516348,0.10795209,0.07342048,0.11721134,0.18736383,0.14662309,0.1888889,0.17222221,0.22418296,0.20206973,0.20326798,0.33769068,0.2529412,0.21688454,0.29389977,0.3204793,0.24466233,0.2891068,0.41960785,0.33943355,0.3828976,,0.49389976,0.6332244,0.6583878,0.64444447,0.88583875,0.7785402
FastaiMLP (T+E),0.049019612,0.042919394,0.077342056,0.042919386,0.039106756,0.06797386,0.0953159,0.13028322,0.113725506,0.12363834,0.13006538,0.102723315,0.2174292,0.20000002,0.18366013,0.23311546,0.23725493,0.3088235,0.2755991,0.19760346,0.29673204,0.23856208,0.27472764,0.30751634,0.3618736,0.31786492,0.42407405,0.50610024,,0.56045747,0.6694989,0.6150327,0.7636166,0.86056644
RandomForest (T+E),0.032897603,0.039215688,0.039215688,0.026797386,0.040522873,0.04989107,0.06318083,0.100871466,0.0671024,0.091067545,0.12222224,0.10501088,0.15468411,0.15403052,0.21285401,0.15533769,0.15076254,0.30435732,0.22461875,0.1607843,0.23333332,0.30435726,0.1717865,0.23703706,0.40098038,0.2993464,0.36840957,0.3667756,0.4395425,,0.654902,0.6137255,0.8453159,0.76753813
TabSTAR (T+E),0.08605664,0.09302832,0.099128544,0.09302832,0.09324619,0.11198257,0.09716776,0.11917212,0.10784314,0.11372549,0.15424837,0.14488018,0.19912857,0.18213508,0.14705883,0.16013072,0.16122004,0.24705885,0.23050106,0.19074073,0.16797386,0.18714596,0.18148148,0.24074076,0.30784312,0.21252722,0.2148148,0.34161216,0.33050108,0.34509805,,0.5320262,0.6283224,0.67755985
PerpetualBooster (T+E),0.015904142,0.017647061,0.010239651,0.015250545,0.022657955,0.029411769,0.052505445,0.06993464,0.037254903,0.032026142,0.052287582,0.05141612,0.088235304,0.11023965,0.108061016,0.068627454,0.092592604,0.25577345,0.1507625,0.12352943,0.15206972,0.16165577,0.1429194,0.19106753,0.26383442,0.27494553,0.29389977,0.35555556,0.38496733,0.38627446,0.46797383,,0.61612195,0.68562084
KNN (T+E),0.024836602,0.020479305,0.039215688,0.02026144,0.019172113,0.033769064,0.0503268,0.047058824,0.04575164,0.067756,0.076906316,0.07037037,0.0791939,0.07799564,0.09324619,0.08169934,0.085620925,0.18453158,0.12995644,0.09586056,0.14084966,0.1267974,0.10174292,0.07745098,0.19411764,0.1586057,0.16862746,0.11416123,0.23638344,0.15468408,0.37167758,0.38387802,,0.6224401
Linear (T+E),0.02026144,0.026797388,0.025272332,0.025490195,0.025490198,0.038562093,0.0466231,0.04357299,0.047494557,0.06535949,0.06263617,0.056427017,0.14139433,0.12897603,0.06230937,0.06949892,0.082788676,0.13289759,0.16230936,0.111546844,0.10827887,0.14923747,0.08583879,0.09041394,0.1254902,0.12015251,0.09520697,0.22145969,0.13943355,0.23246187,0.32244012,0.31437913,0.37755993,
