,TabFM+,TabFM (default),"AutoGluon 1.6 (noncommercial, 4h)",EXAONE-Tabular (default),"AutoGluon 1.6 (extreme, 4h)","AutoGluon 1.5 (extreme, 4h)",TabPFN-3 (default),RealTabPFN-2.5 (T+E),TabPFN-2.6 (default),TabICLv2 (default),RealMLP (T+E),TabDPT-Turbo (default),TabDPT (T+E),"AutoGluon 1.4 (best, 4h)",LimiX (default),TabM (T+E),LightGBM (T+E),TabSwift (default),CatBoost (T+E),iLTM (T+E),SAP-RPT-OSS (default),ModernNCA (T+E),xRFM (T+E),XGBoost (T+E),ChimeraBoost (T+E),EBM (T+E),TorchMLP (T+E),ExtraTrees (T+E),FastaiMLP (T+E),TabSTAR (T+E),RandomForest (T+E),PerpetualBooster (T+E),KNN (T+E),Linear (T+E)
RealMLP (T+E),0.08827161,0.1388889,0.15123457,0.13765433,0.16851851,0.191821,0.23641975,0.27222222,0.2635802,0.2783951,,0.48765436,0.46929014,0.5371914,0.5145062,0.5851852,0.7148148,0.5845679,0.7444445,0.7561729,0.66820985,0.6873456,0.75740755,0.821605,0.7537038,0.79382706,0.7907407,0.82006174,0.86064816,0.79475313,0.8851852,0.9333333,0.90339494,0.92006177
TabDPT-Turbo (default),0.104629636,0.12067902,0.1271605,0.18888888,0.14444447,0.28086418,0.23580249,0.33734566,0.325,0.29475302,0.5123457,,0.50987655,0.54043204,0.57808644,0.5310185,0.61141974,0.68657416,0.6456791,0.6611111,0.6361111,0.6382716,0.66635805,0.6858024,0.6891974,0.71265435,0.7391975,0.8208333,0.81543213,0.7728395,0.8712963,0.88086426,0.9296296,0.8913581
TabDPT (T+E),0.09320988,0.12067902,0.099537045,0.20478398,0.116049394,0.2404321,0.24197531,0.33858025,0.33364204,0.2773148,0.53070986,0.49012348,,0.55339503,0.5365741,0.5520061,0.6222222,0.6483024,0.63703704,0.69907403,0.64382714,0.6817901,0.6844137,0.6720679,0.7052469,0.7347223,0.73564816,0.82191354,0.77839506,0.7580247,0.8734567,0.8811729,0.9310186,0.8675926
"AutoGluon 1.4 (best, 4h)",0.06419754,0.09166667,0.090740755,0.10432098,0.12191358,0.16604939,0.25246912,0.2256173,0.22962962,0.23333335,0.46280867,0.4595679,0.446605,,0.48055553,0.53703713,0.6987655,0.5800926,0.67932105,0.67129636,0.6018518,0.64444447,0.66712976,0.76574075,0.74320984,0.7438272,0.8077161,0.7376543,0.8250001,0.7814815,0.8299383,0.9320988,0.8941358,0.9112654
LimiX (default),0.06944445,0.09768519,0.1367284,0.11697531,0.17438272,0.24814814,0.24351852,0.24660495,0.25802475,0.27330247,0.48549378,0.42191356,0.4634259,0.5194444,,0.55030864,0.59938264,0.54814816,0.60246915,0.6387346,0.6145061,0.6296297,0.6104939,0.6407407,0.7243827,0.733642,0.70987654,0.73765427,0.7199074,0.7796296,0.7725308,0.8197531,0.8589507,0.91049385
TabM (T+E),0.08811728,0.12191358,0.114814825,0.105246924,0.14722222,0.15462962,0.2108025,0.21234567,0.21820986,0.2367284,0.41481486,0.46898153,0.44799387,0.46296296,0.44969136,,0.59104943,0.55277777,0.61975306,0.61496913,0.62438273,0.6388889,0.62685186,0.69938266,0.6972223,0.784568,0.77376544,0.72870374,0.78919756,0.79166675,0.77253085,0.8808642,0.8833334,0.930247
LightGBM (T+E),0.074382715,0.09074074,0.049074076,0.091358036,0.074228406,0.12283952,0.16141976,0.17283951,0.18333335,0.20987655,0.28518522,0.38858026,0.37777779,0.30123457,0.4006173,0.40895063,,0.5246914,0.5280864,0.5189815,0.5450618,0.53734565,0.56913584,0.712963,0.65185183,0.7158952,0.65679014,0.71990746,0.73456794,0.7762346,0.8077161,0.9089507,0.8904321,0.9077161
TabSwift (default),0.09043211,0.12993829,0.08950618,0.13425925,0.09567902,0.16481481,0.12283952,0.2367284,0.21419753,0.19567901,0.41543213,0.31342593,0.3516975,0.41990736,0.45185184,0.44722223,0.47530863,,0.4910494,0.5197531,0.58765435,0.5191357,0.528395,0.55123454,0.53240734,0.62654316,0.67037034,0.7033951,0.7669753,0.7904321,0.75401235,0.85740745,0.8820988,0.86574066
CatBoost (T+E),0.049382724,0.07561728,0.05679013,0.047839507,0.08734569,0.1287037,0.14783953,0.15709877,0.13395064,0.19043213,0.25555554,0.35432103,0.36296296,0.32067898,0.39753085,0.38024697,0.47191367,0.5089506,,0.50401235,0.5746913,0.55864197,0.5453704,0.6100309,0.6145061,0.6598765,0.65771604,0.7243827,0.700926,0.77160496,0.8172839,0.87808645,0.88179016,0.8858025
iLTM (T+E),0.06419754,0.0962963,0.05540124,0.08734568,0.075,0.10277777,0.13641974,0.1779321,0.14074074,0.17901236,0.24382716,0.33888894,0.30092594,0.32870367,0.36126536,0.38503084,0.48101842,0.48024696,0.49598774,,0.54722226,0.53055555,0.56774694,0.5862654,0.57500005,0.6398148,0.65833336,0.7205248,0.7324074,0.73287046,0.80925924,0.88055545,0.87037045,0.84814817
SAP-RPT-OSS (default),0.10709877,0.12222222,0.14922841,0.10493828,0.15925929,0.21388893,0.19259258,0.20941359,0.20339507,0.23919755,0.33179015,0.3638889,0.35617286,0.39814818,0.38549384,0.37561733,0.45493826,0.4123457,0.42530864,0.4527778,,0.49537033,0.51203704,0.51666665,0.4774691,0.5796296,0.6354938,0.6524691,0.6817901,0.67808646,0.7097223,0.7589506,0.783642,0.87469137
ModernNCA (T+E),0.057407405,0.09475309,0.09506173,0.07654321,0.11882716,0.110185176,0.14753085,0.1845679,0.11759261,0.18981482,0.3126543,0.3617284,0.31820983,0.35555553,0.37037036,0.36111107,0.46265432,0.48086426,0.44135797,0.46944442,0.5046296,,0.49259254,0.55123454,0.5101851,0.6104939,0.59135807,0.6694445,0.6466049,0.6950616,0.7404321,0.7895062,0.81898147,0.7978396
xRFM (T+E),0.07500001,0.08333334,0.07592593,0.07407408,0.08518519,0.120061725,0.12067902,0.16882716,0.15246914,0.18117285,0.24259263,0.33364198,0.31558645,0.33287036,0.38950616,0.37314814,0.4308642,0.47160494,0.45462963,0.4322531,0.48796293,0.5074074,,0.49058643,0.5771604,0.6108025,0.5817902,0.67067903,0.638426,0.69907403,0.762963,0.79722226,0.89953697,0.8780864
XGBoost (T+E),0.039197538,0.0712963,0.040432107,0.050617285,0.06604939,0.095679015,0.117129646,0.12160495,0.11975309,0.17037039,0.17839508,0.3141975,0.32793212,0.23425929,0.35925925,0.30061734,0.28703701,0.44876543,0.38996917,0.41373456,0.48333332,0.4487655,0.50941354,,0.5175925,0.6070987,0.60015434,0.6750001,0.6663581,0.7459877,0.7844136,0.83765435,0.8589507,0.87839514
ChimeraBoost (T+E),0.05617284,0.084567904,0.041049384,0.03703704,0.059259262,0.09753088,0.10833334,0.1103395,0.10987654,0.17098767,0.2462963,0.31080246,0.29475313,0.25679013,0.2756173,0.3027778,0.34814814,0.46759257,0.38549384,0.425,0.5225309,0.48981488,0.42283952,0.48240745,,0.6175927,0.5941358,0.59907407,0.6135803,0.76203704,0.66944444,0.82160497,0.8035494,0.846605
EBM (T+E),0.06604938,0.09135803,0.054320995,0.05617284,0.062037036,0.101851866,0.11512347,0.118518524,0.12469137,0.1484568,0.20617287,0.28734565,0.26527774,0.25617284,0.26635802,0.2154321,0.28410494,0.3734568,0.3401235,0.36018515,0.4203704,0.38950622,0.38919756,0.39290124,0.3824074,,0.52006173,0.59645057,0.5473765,0.72037035,0.6385802,0.72870374,0.82901233,0.8929012
TorchMLP (T+E),0.0367284,0.06666667,0.027623456,0.04012346,0.047067903,0.07067902,0.08179012,0.09351852,0.106790125,0.13580246,0.20925927,0.26080245,0.26435181,0.19228396,0.29012343,0.2262346,0.3432098,0.32962966,0.34228393,0.3416666,0.36450619,0.40864196,0.41820988,0.39984566,0.40586415,0.4799383,,0.6209877,0.65771604,0.7205247,0.69012344,0.721605,0.79999995,0.85447526
ExtraTrees (T+E),0.06574074,0.06666667,0.05679013,0.062037036,0.06697531,0.09197531,0.072222225,0.15679014,0.097839504,0.14984569,0.17993827,0.17916666,0.17808641,0.26234567,0.26234567,0.2712963,0.2800926,0.29660496,0.2756173,0.27947533,0.34753087,0.33055556,0.32932097,0.32500002,0.4009259,0.40354934,0.37901235,,0.47438273,0.59321,0.71188277,0.64753085,0.9092594,0.76342595
FastaiMLP (T+E),0.05092593,0.084876545,0.057716053,0.057716053,0.052314818,0.096296296,0.1072531,0.101080246,0.12407407,0.14135803,0.13935186,0.1845679,0.22160493,0.17500003,0.2800926,0.2108025,0.2654321,0.23302466,0.29907408,0.2675926,0.31820983,0.35339502,0.36157408,0.33364195,0.38641974,0.4526235,0.34228387,0.5256173,,0.6490741,0.62422836,0.633642,0.7824074,0.83333325
TabSTAR (T+E),0.12191358,0.1404321,0.13179012,0.13179012,0.13209876,0.15864198,0.13765433,0.16111112,0.15277778,0.16265434,0.20524691,0.22716051,0.24197531,0.21851853,0.22037038,0.20833333,0.22376543,0.20956792,0.22839506,0.26712963,0.32191357,0.30493823,0.30092594,0.25401232,0.23796296,0.27962962,0.27947527,0.4067901,0.35092592,,0.43641973,0.5500001,0.63703704,0.66358024
RandomForest (T+E),0.04351852,0.049382713,0.055555556,0.034876544,0.057407405,0.07067902,0.07407407,0.104320996,0.082716055,0.108950615,0.114814825,0.1287037,0.12654322,0.17006175,0.22746915,0.22746915,0.19228396,0.24598762,0.18271607,0.19074075,0.29027778,0.2595679,0.23703702,0.21558644,0.33055556,0.3614197,0.30987653,0.2881173,0.3757716,0.5635803,,0.5978396,0.8117283,0.7262345
PerpetualBooster (T+E),0.022530867,0.014506172,0.025000002,0.021604938,0.03209877,0.038580254,0.046604946,0.036111113,0.04969136,0.0712963,0.06666668,0.119135804,0.11882716,0.06790124,0.1802469,0.119135804,0.09104939,0.14259261,0.12191359,0.11944444,0.24104936,0.2104938,0.20277779,0.16234569,0.17839509,0.27129626,0.27839503,0.35246915,0.366358,0.44999996,0.40216053,,0.61049384,0.6780864
KNN (T+E),0.035185184,0.043209877,0.029012349,0.028703706,0.027160494,0.04475309,0.052777782,0.071296304,0.04938272,0.05432099,0.096604936,0.070370376,0.06898149,0.1058642,0.1410494,0.116666675,0.1095679,0.117901236,0.11820989,0.12962964,0.21635804,0.18101853,0.10046296,0.14104939,0.1964506,0.17098767,0.20000002,0.090740755,0.2175926,0.36296296,0.1882716,0.38950622,,0.58240736
Linear (T+E),0.028703706,0.029629631,0.037962966,0.03611111,0.036111113,0.054629635,0.04444444,0.04938272,0.058024697,0.040123463,0.07993827,0.10864198,0.13240741,0.088734575,0.08950618,0.06975309,0.09228396,0.13425927,0.11419753,0.15185185,0.12530865,0.20216049,0.12191358,0.12160495,0.15339507,0.10709876,0.1455247,0.23657407,0.16666667,0.3364198,0.27376544,0.3219136,0.4175926,
