,TabFM+,TabFM (default),"AutoGluon 1.6 (noncommercial, 4h)",EXAONE-Tabular (default),"AutoGluon 1.6 (extreme, 4h)","AutoGluon 1.5 (extreme, 4h)",TabPFN-3 (default),RealTabPFN-2.5 (T+E),TabPFN-2.6 (default),TabICLv2 (default),LimiX (default),RealMLP (T+E),TabDPT-Turbo (default),TabM (T+E),"AutoGluon 1.4 (best, 4h)",TabDPT (T+E),BetaTabPFN (default),LightGBM (T+E),TabSwift (default),SAP-RPT-OSS (default),CatBoost (T+E),iLTM (T+E),xRFM (T+E),ModernNCA (T+E),ChimeraBoost (T+E),XGBoost (T+E),EBM (T+E),TorchMLP (T+E),FastaiMLP (T+E),ExtraTrees (T+E),TabSTAR (T+E),OrionMSP (default),RandomForest (T+E),PerpetualBooster (T+E),TabFlex (default),Linear (T+E),KNN (T+E)
xRFM (T+E),0.083333336,0.09404762,0.08452381,0.079761915,0.09880953,0.12222222,0.12976192,0.15277779,0.16428573,0.17896827,0.26746032,0.26071432,0.365873,0.36071426,0.34146824,0.37718254,0.39007935,0.41309524,0.46904758,0.44642854,0.44126984,0.42519838,,0.50039685,0.5555555,0.469246,0.5507936,0.54682535,0.5839286,0.64960307,0.675,0.7309524,0.7380953,0.7809524,0.8369047,0.8444446,0.87916666
ModernNCA (T+E),0.053174604,0.097222224,0.084920645,0.057936512,0.10912698,0.096428566,0.14007938,0.14484127,0.09642857,0.18769841,0.28611112,0.3115079,0.36626983,0.31865078,0.35952377,0.3535714,0.4174603,0.44206342,0.46349207,0.49761897,0.4547618,0.46269837,0.4996032,,0.47857141,0.5333333,0.57539684,0.54126984,0.56468254,0.65714294,0.66984123,0.6579366,0.7043651,0.7638889,0.75317466,0.74126995,0.7791667
ChimeraBoost (T+E),0.06746032,0.100396834,0.04920635,0.04047619,0.071428575,0.101190485,0.11269842,0.120436504,0.12936507,0.16825397,0.19126986,0.26349205,0.3309524,0.2996032,0.2793651,0.3440476,0.36468253,0.3797619,0.48571423,0.5456349,0.43015876,0.45476195,0.4444445,0.5214286,,0.5361111,0.5630953,0.57817465,0.5619048,0.59523815,0.752381,0.71626985,0.65714294,0.7900794,0.8035715,0.8027778,0.7938492
XGBoost (T+E),0.042063497,0.08214285,0.048412703,0.055555552,0.08134921,0.10277779,0.12876984,0.115079366,0.1261905,0.17380953,0.259127,0.19007938,0.33531746,0.26626983,0.2531746,0.39424604,0.37301588,0.27896827,0.45000005,0.47182536,0.42281747,0.44265872,0.530754,0.46666673,0.46388885,,0.5484127,0.5759921,0.5992064,0.6642857,0.73412704,0.7025794,0.767262,0.80436504,0.7954365,0.8436509,0.83769846
EBM (T+E),0.078968264,0.11031746,0.06626985,0.06746031,0.07619048,0.12142859,0.1325397,0.14047621,0.15317462,0.16666667,0.21706347,0.234127,0.32539684,0.20674607,0.29007936,0.3172619,0.2662699,0.31527776,0.4170635,0.4392857,0.3944445,0.4007936,0.44920638,0.4246032,0.43690476,0.4515873,,0.5384921,0.5335317,0.64781743,0.71428573,0.7039682,0.6805555,0.76031744,0.8206349,0.865873,0.8420634
TorchMLP (T+E),0.04722223,0.07777779,0.03551587,0.047619052,0.05257937,0.0873016,0.089682534,0.10873016,0.10436509,0.13769843,0.24087302,0.22460318,0.2948413,0.23293655,0.218254,0.31765866,0.3043651,0.35357136,0.37539682,0.36666664,0.36984125,0.3924603,0.45317462,0.4587302,0.42182538,0.42400792,0.46150795,,0.61587304,0.6269841,0.71091276,0.64761907,0.70396835,0.77658737,0.81230164,0.83194447,0.8047619
FastaiMLP (T+E),0.065476194,0.109126985,0.07420635,0.07420635,0.06726191,0.12261905,0.13789684,0.12996031,0.14365081,0.14603175,0.26130953,0.17916667,0.22976191,0.25277779,0.22380957,0.28492063,0.31031746,0.3285714,0.281746,0.35158727,0.34285715,0.33769843,0.41607144,0.43531746,0.43809524,0.4007936,0.4664683,0.384127,,0.5686508,0.6452381,0.6202381,0.6549603,0.7047619,0.8051587,0.7916666,0.7833333
ExtraTrees (T+E),0.07579365,0.07579365,0.06468255,0.06785715,0.076587304,0.1015873,0.07579365,0.14563492,0.10634919,0.14345239,0.17579365,0.2047619,0.20654763,0.25357142,0.29166666,0.21587302,0.2559524,0.28630954,0.31388888,0.34920636,0.28333333,0.3029762,0.3503968,0.34285712,0.40476185,0.3357143,0.35218257,0.37301588,0.43134922,,0.559127,0.61190474,0.6728175,0.6484127,0.7289682,0.6958333,0.8904762
TabSTAR (T+E),0.13531746,0.16031747,0.1456349,0.14444445,0.14603174,0.17658731,0.14007936,0.17142858,0.1702381,0.1746032,0.21190478,0.21507935,0.23492064,0.20952381,0.22738096,0.26587301,0.1797619,0.22817461,0.21111111,0.35674602,0.24007939,0.28591272,0.325,0.3301587,0.24761906,0.26587304,0.2857143,0.28908733,0.35476187,0.440873,,0.45833334,0.46468252,0.6,0.58769846,0.63769835,0.66666657
OrionMSP (default),0.035317462,0.06666667,0.04880953,0.05873016,0.042857148,0.06448413,0.057936516,0.084920645,0.10277779,0.0936508,0.15496032,0.18968256,0.12222222,0.22857143,0.22996032,0.15238097,0.2357143,0.23492064,0.1468254,0.35595235,0.2920635,0.26170635,0.26904762,0.34206352,0.28373018,0.29742068,0.29603174,0.35238093,0.37976196,0.3880953,0.5416666,,0.47222224,0.640873,0.7464285,0.71706355,0.6837302
RandomForest (T+E),0.05595238,0.062301584,0.069047615,0.041269846,0.07261904,0.08253968,0.08928572,0.10555556,0.10396826,0.11230159,0.14801587,0.14285715,0.14999999,0.2234127,0.19603176,0.1579365,0.20753969,0.21309523,0.28055558,0.30813494,0.21071431,0.22698414,0.26190475,0.29563493,0.34285712,0.23273814,0.31944445,0.2960317,0.34503967,0.3271825,0.5353175,0.5277778,,0.60039675,0.6349206,0.64801586,0.7781745
PerpetualBooster (T+E),0.02777778,0.016269842,0.030952383,0.027777778,0.040079366,0.047222223,0.05753969,0.042857148,0.06269842,0.070634924,0.12103175,0.079761915,0.14126983,0.119841285,0.078968264,0.14920636,0.17301586,0.10992064,0.15238094,0.2345238,0.1484127,0.13293651,0.21904765,0.23611109,0.20992066,0.19563495,0.23968256,0.22341272,0.29523808,0.3515873,0.39999995,0.35912699,0.3996032,,0.53055555,0.59087306,0.58373016
TabFlex (default),0.04325397,0.060714286,0.038492065,0.06468254,0.038492065,0.06746032,0.05,0.08214285,0.0686508,0.08809524,0.14920636,0.15039682,0.06587302,0.13809524,0.15039684,0.11904763,0.13333334,0.1718254,0.06944445,0.20595238,0.20793651,0.15198413,0.16309522,0.24682538,0.19642857,0.20456348,0.17936507,0.18769841,0.19484127,0.27103174,0.41230157,0.25357142,0.3650794,0.46944448,,0.53373015,0.5587301
Linear (T+E),0.036904763,0.03809524,0.04880953,0.04642857,0.046428572,0.0702381,0.057142854,0.06349207,0.074603185,0.05158731,0.097222224,0.10277778,0.13968255,0.08968254,0.114087306,0.1702381,0.07539683,0.1186508,0.17261906,0.15992066,0.1468254,0.19126984,0.15555556,0.25873014,0.19722223,0.15634921,0.13412698,0.16805556,0.20833334,0.30416664,0.3623016,0.2829365,0.3519841,0.40912703,0.46626982,,0.5047619
KNN (T+E),0.041666668,0.051984128,0.03373016,0.029761905,0.03134921,0.051587306,0.059523813,0.083333336,0.05992064,0.06507937,0.12142857,0.11587302,0.08214287,0.12341271,0.11944444,0.08392858,0.1170635,0.12063492,0.14325395,0.25634924,0.13769843,0.15436508,0.12083334,0.22083333,0.2061508,0.16230159,0.1579365,0.19523811,0.21666668,0.109523825,0.3333333,0.31626984,0.22182539,0.41626987,0.44126987,0.49523807,
