vinBattery,currentBattery,velocity,distance,H2 Leak,powerW,energyWh,kmPerkWh,timeS,_capture_ts,latitude,longitude,wgsAltitude,ts,elapsed_s,lap_number
35.04006,4.466281,1.077648,0.0,False,156.4988,0.08742128,0.0,31,1784710969.200214,25.48841268,51.45014443,11.7,1784710966860,0.0,1.0
35.04616,4.362132,1.371552,0.0,False,152.876,0.1018405,0.0,31,1784710969.3855376,25.48841268,51.45014443,11.7,1784710966860,0.0,1.0
35.0451,4.344681,1.567488,0.0,False,152.2598,0.1147265,0.0,31,1784710969.3865442,25.48841518,51.45014019,11.7,1784710967874,1.01,1.0
35.09739,4.10257,1.861392,0.0,False,143.9895,0.1263489,0.0,32,1784710969.3865442,25.48841518,51.45014019,11.7,1784710967874,1.01,1.0
35.14045,4.103223,2.057328,0.0,False,144.1891,0.140275,0.0,32,1784710969.3865442,25.48841518,51.45014019,11.7,1784710967874,1.01,1.0
35.08945,4.297763,2.351232,0.0,False,150.8061,0.1525399,0.0,32,1784710969.3865442,25.48841518,51.45014019,11.7,1784710967874,1.01,1.0
35.11582,4.116245,2.547168,0.0,False,144.5453,0.1648044,0.0,33,1784710969.3875446,25.48842054,51.45013834,11.7,1784710968889,2.03,1.0
35.08224,4.217048,2.841072,0.0,False,147.9435,0.1786055,0.0,33,1784710969.3875446,25.48842054,51.45013834,11.7,1784710968889,2.03,1.0
35.10918,4.336555,3.037008,1.57,False,152.2529,0.1910081,8.219547,33,1784710969.3882885,25.48842054,51.45013834,11.7,1784710968889,2.03,1.0
35.10869,4.193783,3.232944,1.57,False,147.2382,0.2033275,7.721533,33,1784710969.8213923,25.48842054,51.45013834,11.7,1784710968889,2.03,1.0
35.08447,4.204195,3.526848,1.57,False,147.502,0.2161621,7.263068,34,1784710969.833691,25.48842054,51.45013834,11.7,1784710968889,2.03,1.0
35.10785,4.284777,3.722784,1.57,False,150.4293,0.2289248,6.858147,34,1784710970.3669577,25.48843011,51.45013573,11.7,1784710969898,3.04,1.0
35.05293,4.396332,3.91872,1.57,False,154.1043,0.2414004,6.503717,34,1784710970.7862303,25.48843011,51.45013573,11.7,1784710969898,3.04,1.0
35.03624,4.425788,4.212624,3.14,False,155.063,0.2549543,12.31593,35,1784710970.7862303,25.48843011,51.45013573,11.7,1784710969898,3.04,1.0
35.10243,4.243557,4.40856,3.14,False,148.9592,0.2670012,11.76025,35,1784710971.2077255,25.4884388,51.45013258,11.7,1784710970910,4.05,1.0
35.01572,4.526144,4.702464,3.14,False,158.4862,0.2816845,11.14722,35,1784710971.6251426,25.4884388,51.45013258,11.7,1784710970910,4.05,1.0
35.04964,4.32334,4.8984,3.14,False,151.5315,0.2954903,10.62641,36,1784710971.626154,25.4884388,51.45013258,11.7,1784710970910,4.05,1.0
35.12928,4.257643,5.094336,4.71,False,149.5679,0.3073286,15.32562,36,1784710972.0464437,25.48844866,51.45012659,11.7,1784710971923,5.06,1.0
35.07255,4.300525,5.38824,4.71,False,150.8304,0.3202817,14.7058,36,1784710972.5258558,25.48844866,51.45012659,11.7,1784710971923,5.06,1.0
35.10011,4.201934,5.584176,4.71,False,147.4883,0.3322228,14.17723,37,1784710972.526817,25.48844866,51.45012659,11.7,1784710971923,5.06,1.0
35.14022,4.140707,5.780112,6.28,False,145.5054,0.3436372,18.27509,37,1784710972.9459622,25.48846479,51.45011983,11.79,1784710972937,6.08,1.0
35.06327,4.330786,5.976048,6.28,False,151.8515,0.3567193,17.60488,37,1784710973.1360028,25.48846479,51.45011983,11.79,1784710972937,6.08,1.0
35.0483,4.341761,6.269952,6.28,False,152.1713,0.3707158,16.9402,37,1784710973.5170002,25.48846479,51.45011983,11.79,1784710972937,6.08,1.0
35.04233,4.322559,6.563856,7.85,False,151.4725,0.3842874,20.42742,38,1784710973.7475636,25.48846479,51.45011983,11.79,1784710972937,6.08,1.0
35.14035,4.136979,6.759792,7.85,False,145.3749,0.3958801,19.82924,38,1784710974.0154357,25.48847614,51.45010874,11.8,1784710973948,7.09,1.0
35.11451,4.156531,6.955728,7.85,False,145.9545,0.4076715,19.2557,38,1784710974.397402,25.48847614,51.45010874,11.8,1784710973948,7.09,1.0
35.09999,4.221663,7.151664,9.42,False,148.1803,0.4209745,22.37665,39,1784710974.6680472,25.48847614,51.45010874,11.8,1784710973948,7.09,1.0
