#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware,MethodClass,Tags
34,🧠🔁,Neural Network,[TabM (default)](https://arxiv.org/abs/2410.24210),1295.0,+61/-62,0.175,36.13,20.68,20.999,8.79,0.411,✔️,0.0,False,GPU,model,
35,🧠🔁,Neural Network,[ModernNCA (tuned + ensembled)](https://arxiv.org/abs/2407.03257),1295.0,+78/-73,0.187,36.17,18.79,21.003,6049.28,8.736,✔️,0.0,False,GPU,model,
36,🌳,Tree-based,[XGBoost (tuned)](https://arxiv.org/abs/1603.02754),1288.0,+39/-39,0.099,36.73,25.08,20.78,798.08,0.353,✔️,0.0,False,CPU,model,
37,🧠⚡,Foundation Model,[TabDPT (default)](https://arxiv.org/abs/2410.18164),1284.0,+72/-80,0.2,37.07,17.54,21.419,51.45,43.707,✔️,0.0,False,GPU,model,
38,🌳,Tree-based,[ChimeraBoost (tuned)](https://github.com/bbstats/chimeraboost),1275.0,+62/-49,0.114,37.93,26.74,21.842,1181.3,0.046,✔️,0.0,False,CPU,model,
39,🌳,Tree-based,[EBM (tuned + ensembled)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),1274.0,+41/-38,0.102,38.02,27.34,21.769,2499.4,0.174,✔️,0.0,False,CPU,model,
40,❓,Other,[xRFM (tuned)](https://arxiv.org/abs/2508.10053),1267.0,+58/-56,0.131,38.66,22.55,21.962,1053.94,0.169,✔️,0.0,False,GPU,model,
41,🧠🔁,Neural Network,[TorchMLP (tuned + ensembled)](https://arxiv.org/abs/2003.06505),1265.0,+49/-50,0.117,38.81,28.23,21.382,2977.91,2.415,✔️,0.0,False,CPU,model,
42,🌳,Tree-based,[EBM (tuned)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),1248.0,+45/-47,0.079,40.35,28.75,22.339,2499.4,0.022,✔️,0.0,False,CPU,model,
43,🌳,Tree-based,[ChimeraBoost (default)](https://github.com/bbstats/chimeraboost),1246.0,+65/-56,0.112,40.46,26.87,22.796,6.07,0.053,✔️,0.0,False,CPU,model,
44,🧠🔁,Neural Network,[ModernNCA (default)](https://arxiv.org/abs/2407.03257),1244.0,+52/-56,0.105,40.64,21.79,23.654,15.55,0.346,✔️,0.0,False,GPU,model,
45,🧠🔁,Neural Network,[FastaiMLP (tuned + ensembled)](https://arxiv.org/abs/2003.06505),1240.0,+69/-58,0.132,41.06,21.88,22.554,1424.22,9.206,✔️,0.0,False,CPU,model,
46,🧠⚡,Foundation Model,[iLTM (tuned)](https://arxiv.org/abs/2511.15941),1237.0,+41/-38,0.068,41.29,29.5,22.129,21290.02,161.221,✔️,0.0,False,GPU,model,
47,🌳,Tree-based,[EBM (default)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),1230.0,+58/-49,0.078,41.92,26.0,23.006,7.09,0.022,✔️,0.0,False,CPU,model,
48,🧠🔁,Neural Network,[RealMLP (default)](https://arxiv.org/abs/2407.04491),1209.0,+44/-40,0.059,43.74,29.75,22.999,14.89,4.432,✔️,0.0,False,GPU,model,
49,🌳,Tree-based,[ExtraTrees (tuned + ensembled)](https://link.springer.com/article/10.1007/s10994-006-6226-1),1200.0,+79/-72,0.087,44.5,27.13,24.131,703.03,1.431,✔️,0.0,False,CPU,model,
