,"AutoGluon 1.6 (noncommercial, 4h)",TabFM+,"AutoGluon 1.6 (extreme, 4h)",TabFM (default),EXAONE-Tabular (default),TabPFN-3 (default),RealTabPFN-2.5 (T+E),"AutoGluon 1.5 (extreme, 4h)",TabDPT (T+E),TabICLv2 (default),TabPFN-2.6 (default),TabDPT-Turbo (default),ModernNCA (T+E),RealMLP (T+E),"AutoGluon 1.4 (best, 4h)",Nori-30M (default),Nori (default),ChimeraBoost (T+E),xRFM (T+E),LightGBM (T+E),CatBoost (T+E),TabM (T+E),XGBoost (T+E),iLTM (T+E),LimiX (default),TabSwift (default),PerpetualBooster (T+E),TorchMLP (T+E),ExtraTrees (T+E),RandomForest (T+E),SAP-RPT-OSS (default),EBM (T+E),FastaiMLP (T+E),KNN (T+E),TabSTAR (T+E),Linear (T+E)
RealMLP (T+E),0.0,0.0,0.0,0.0,0.0,0.2,0.08888889,0.26666668,0.51111114,0.22222224,0.17777778,0.44444448,0.53333336,,0.62222224,0.51111114,0.73333335,0.7555555,0.88888896,0.7777778,0.8,0.9333333,0.91111106,1.0,0.9777778,0.95555556,1.0,1.0,1.0,1.0,1.0,0.95555556,1.0,1.0,1.0,1.0
"AutoGluon 1.4 (best, 4h)",0.0,0.0,0.0,0.0,0.0,0.2,0.22222224,0.022222223,0.28888887,0.2,0.35555556,0.26666668,0.42222223,0.37777779,,0.4888889,0.8,0.7555555,0.84444445,0.9333333,0.9333334,0.88888896,1.0,0.9777778,0.8,0.84444445,1.0,1.0,1.0,1.0,0.88888896,1.0,1.0,1.0,1.0,1.0
Nori-30M (default),0.0,0.0,0.0,0.0,0.13333334,0.2,0.17777778,0.33333334,0.33333334,0.2,0.33333334,0.42222223,0.35555556,0.4888889,0.51111114,,0.7555555,0.7555555,0.73333335,0.7555555,0.7555555,0.9333334,0.88888896,0.95555556,0.62222224,0.73333335,0.9777778,0.9777778,0.9777778,0.9777778,0.9333334,0.95555556,1.0,1.0,1.0,1.0
Nori (default),0.0,0.0,0.0,0.0,0.022222223,0.022222223,0.044444446,0.11111112,0.13333334,0.2,0.17777778,0.11111112,0.28888887,0.26666668,0.2,0.24444444,,0.73333335,0.6,0.7555555,0.7777778,0.7555555,0.8,0.84444445,0.8,0.7777778,0.8,1.0,1.0,1.0,0.8,0.8,1.0,1.0,1.0,1.0
ChimeraBoost (T+E),0.2,0.2,0.2,0.2,0.2,0.2,0.22222224,0.22222224,0.26666668,0.2,0.26666668,0.2,0.2888889,0.24444444,0.24444444,0.24444444,0.26666668,,0.3555556,0.37777776,0.46666664,0.3555556,0.73333335,0.7555555,0.6,0.7111111,0.9777778,0.8,0.9333333,1.0,0.8,1.0,1.0,1.0,1.0,1.0
xRFM (T+E),0.0,0.0,0.0,0.0,0.0,0.17777778,0.022222223,0.06666667,0.11111112,0.2,0.11111112,0.26666668,0.15555556,0.11111112,0.15555556,0.26666668,0.4,0.6444444,,0.6,0.6888889,0.62222224,0.7111111,0.88888896,0.73333335,0.7777778,0.88888896,1.0,0.95555556,1.0,0.8,0.8,1.0,1.0,1.0,1.0
LightGBM (T+E),0.0,0.0,0.0,0.0,0.022222223,0.2,0.17777778,0.0,0.26666668,0.2,0.17777778,0.22222224,0.24444446,0.22222224,0.06666667,0.24444444,0.24444446,0.62222224,0.4,,0.4666667,0.35555556,0.9777778,0.7555555,0.6,0.6888889,1.0,0.8,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0
CatBoost (T+E),0.0,0.0,0.0,0.0,0.022222223,0.2,0.2,0.0,0.26666668,0.2,0.17777778,0.2,0.24444444,0.2,0.06666667,0.24444444,0.22222224,0.53333336,0.31111112,0.53333336,,0.26666668,0.84444445,0.64444447,0.6,0.6888889,0.9777778,0.8,0.9333333,1.0,0.8,1.0,1.0,1.0,1.0,1.0
TabM (T+E),0.0,0.0,0.0,0.0,0.0,0.0,0.022222223,0.0,0.08888889,0.0,0.044444446,0.022222223,0.15555556,0.06666667,0.11111112,0.06666667,0.24444444,0.64444447,0.37777776,0.64444447,0.7333333,,0.7777778,0.6888889,0.6,0.6666667,0.8,0.7777778,1.0,0.8,0.84444445,0.8,1.0,1.0,1.0,1.0
XGBoost (T+E),0.0,0.0,0.0,0.0,0.0,0.2,0.022222223,0.0,0.2,0.2,0.0,0.2,0.06666667,0.08888889,0.0,0.11111112,0.2,0.26666668,0.28888887,0.022222223,0.15555556,0.22222224,,0.44444448,0.6,0.57777774,0.8666667,0.8,0.8666667,1.0,0.8,0.9777778,1.0,1.0,1.0,1.0
iLTM (T+E),0.0,0.0,0.0,0.0,0.0,0.06666667,0.0,0.0,0.044444446,0.2,0.0,0.08888889,0.022222223,0.0,0.022222223,0.044444446,0.15555556,0.24444444,0.11111112,0.24444444,0.35555556,0.31111112,0.5555556,,0.5555555,0.57777774,0.64444447,0.91111106,0.88888884,0.9777778,0.7777778,0.7777778,0.9777778,0.9777778,0.9777778,0.9777778
LimiX (default),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.15555556,0.0,0.0,0.2,0.06666667,0.022222223,0.2,0.37777779,0.2,0.4,0.26666668,0.4,0.4,0.4,0.4,0.44444448,,0.57777774,0.42222223,0.53333336,0.4,0.6,0.9777778,0.8,0.9777778,1.0,1.0,1.0
TabSwift (default),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08888889,0.0,0.0,0.0,0.044444446,0.044444446,0.15555556,0.26666668,0.22222224,0.28888887,0.22222224,0.31111112,0.31111112,0.33333334,0.42222223,0.42222223,0.42222223,,0.4666667,0.62222224,0.6,0.6,0.73333335,0.8,1.0,0.9777778,1.0,1.0
PerpetualBooster (T+E),0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.022222223,0.2,0.0,0.2,0.0,0.0,0.0,0.022222223,0.2,0.022222223,0.11111112,0.0,0.022222223,0.2,0.13333334,0.35555556,0.57777774,0.53333336,,0.7555555,0.6,0.7555555,0.64444447,0.8,1.0,0.95555556,1.0,1.0
TorchMLP (T+E),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.022222223,0.0,0.2,0.0,0.2,0.2,0.22222224,0.2,0.08888889,0.4666667,0.37777776,0.24444446,,0.6666667,0.7777778,0.8,0.7111111,0.91111106,1.0,1.0,1.0
ExtraTrees (T+E),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022222223,0.0,0.06666667,0.044444446,0.0,0.06666667,0.0,0.13333334,0.11111112,0.6,0.4,0.4,0.33333334,,0.6,0.8,0.6,0.8,1.0,1.0,1.0
RandomForest (T+E),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15555556,0.0,0.0,0.0,0.0,0.0,0.022222223,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.022222223,0.4,0.4,0.24444444,0.22222224,0.4,,0.7777778,0.6,0.9333334,1.0,1.0,1.0
SAP-RPT-OSS (default),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08888889,0.0,0.0,0.0,0.044444446,0.0,0.0,0.11111112,0.06666667,0.2,0.2,0.2,0.2,0.2,0.15555556,0.2,0.22222224,0.022222223,0.26666668,0.35555556,0.2,0.2,0.22222224,,0.7555555,0.82222223,0.8,0.8,1.0
EBM (T+E),0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.11111112,0.2,0.0,0.2,0.0,0.044444446,0.0,0.044444446,0.2,0.0,0.2,0.0,0.0,0.2,0.022222223,0.22222224,0.2,0.2,0.2,0.28888887,0.4,0.4,0.24444444,,0.6,0.6888889,0.88888896,1.0
FastaiMLP (T+E),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022222223,0.022222223,0.0,0.0,0.08888889,0.2,0.06666667,0.17777778,0.4,,0.4,0.8,1.0
KNN (T+E),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022222223,0.0,0.022222223,0.044444446,0.0,0.0,0.0,0.2,0.31111112,0.6,,0.4888889,1.0
TabSTAR (T+E),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022222223,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.11111112,0.2,0.51111114,,1.0
Linear (T+E),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
