,"AutoGluon 1.6 (noncommercial, 4h)",TabFM+,"AutoGluon 1.6 (extreme, 4h)",TabFM (default),EXAONE-Tabular (default),TabPFN-3 (default),"AutoGluon 1.5 (extreme, 4h)",Nori-30M (default),TabDPT (T+E),RealTabPFN-2.5 (T+E),TabICLv2 (default),TabPFN-2.6 (default),Nori (default),RealMLP (T+E),TabDPT-Turbo (default),"AutoGluon 1.4 (best, 4h)",ModernNCA (T+E),CatBoost (T+E),xRFM (T+E),LightGBM (T+E),TabM (T+E),iLTM (T+E),TabSwift (default),ChimeraBoost (T+E),XGBoost (T+E),SAP-RPT-OSS (default),LimiX (default),TorchMLP (T+E),ExtraTrees (T+E),EBM (T+E),PerpetualBooster (T+E),RandomForest (T+E),TabSTAR (T+E),FastaiMLP (T+E),KNN (T+E),Linear (T+E)
TabDPT-Turbo (default),0.047008548,0.03760684,0.047008548,0.04957265,0.2025641,0.15897435,0.34358975,0.36153847,0.21538463,0.317094,0.33846152,0.42478636,0.4940171,0.465812,,0.64017093,0.6247864,0.72649574,0.76153845,0.71025646,0.75555557,0.77179486,0.7811966,0.77521366,0.77521366,0.8290597,0.79999995,0.9128205,0.94871795,0.8282051,0.8974359,0.96666676,0.876923,0.9837607,0.98205125,1.0
"AutoGluon 1.4 (best, 4h)",0.015384616,0.007692308,0.02991453,0.02905983,0.023931624,0.1735043,0.10341881,0.26495728,0.24188034,0.24700856,0.2008547,0.26239318,0.39230773,0.38632482,0.3598291,,0.5675214,0.74700856,0.7538462,0.8470086,0.7333333,0.76923084,0.6931624,0.7965812,0.89658123,0.78547007,0.7811966,0.9376068,0.9017093,0.9153846,0.98205125,0.9512821,0.88461536,0.9974359,0.9641025,1.0
ModernNCA (T+E),0.08034188,0.044444446,0.094017096,0.052991454,0.08717949,0.18376067,0.26837608,0.33931625,0.32478637,0.2760684,0.1982906,0.26324785,0.38119656,0.37435898,0.37521368,0.4324787,,0.53333336,0.6128205,0.6196581,0.63846153,0.6794872,0.7008547,0.6555556,0.73675215,0.71025646,0.7683761,0.85641026,0.8230769,0.83589745,0.92564106,0.9179487,0.8666667,0.9589744,0.974359,0.9974359
CatBoost (T+E),0.017948719,0.017948719,0.017948719,0.020512821,0.026495727,0.15384616,0.11282051,0.12735042,0.22222222,0.22393163,0.18888889,0.12307692,0.105982915,0.23076923,0.27350426,0.25299147,0.4666667,,0.42649573,0.59487176,0.41111115,0.53162396,0.56495726,0.6794872,0.7709401,0.71452993,0.70598286,0.77179486,0.8213675,0.9076923,0.9735043,0.9478633,0.88461536,0.9102564,0.9692308,1.0
xRFM (T+E),0.028205128,0.028205128,0.023076924,0.028205128,0.033333335,0.12307693,0.0948718,0.14700855,0.104273506,0.14700855,0.19316238,0.11111112,0.2094017,0.15299146,0.23846155,0.24615385,0.3871795,0.57350427,,0.53418803,0.49572653,0.62307686,0.59487176,0.6495727,0.6213675,0.6974359,0.78461546,0.8179487,0.825641,0.8128205,0.86752135,0.9076923,0.8666667,0.8948718,0.98205125,0.9974359
LightGBM (T+E),0.012820513,0.0051282053,0.012820513,0.015384615,0.021367522,0.12393163,0.07008547,0.13247864,0.18888889,0.17435898,0.19145298,0.15555556,0.14102565,0.23076923,0.2897436,0.15299146,0.38034186,0.4051282,0.465812,,0.47606844,0.54273504,0.57094014,0.708547,0.7974359,0.63846153,0.6623932,0.7341881,0.84102565,0.89230764,0.9846154,0.9264957,0.87179494,0.9726496,0.9564103,1.0
TabM (T+E),0.017948719,0.017948719,0.015384615,0.025641026,0.046153847,0.06752137,0.051282052,0.08547009,0.15384616,0.0897436,0.102564104,0.0905983,0.191453,0.191453,0.24444446,0.26666668,0.36153847,0.5888889,0.5042735,0.5239316,,0.5452991,0.4854701,0.6700855,0.6555556,0.70598286,0.6649573,0.78974354,0.79487175,0.7717949,0.85128206,0.774359,0.874359,0.96068376,0.9427351,1.0
iLTM (T+E),0.015384615,0.015384615,0.020512821,0.020512821,0.041025642,0.094871804,0.05384616,0.104273506,0.07863248,0.15213676,0.17948717,0.12564102,0.17435898,0.14786325,0.22820511,0.23076923,0.32051283,0.46837604,0.3769231,0.45726496,0.4547009,,0.56666666,0.5119658,0.6367522,0.6982906,0.70000005,0.8649573,0.83589745,0.780342,0.8188035,0.9521369,0.86752135,0.97777784,0.9649573,0.98290604
TabSwift (default),0.017948719,0.020512821,0.020512821,0.06495727,0.11111111,0.041880343,0.07692308,0.16410255,0.15982905,0.13931625,0.14871795,0.11196581,0.22051284,0.22478631,0.21880342,0.30683762,0.29914534,0.4350427,0.4051282,0.42905983,0.51452994,0.43333337,,0.47777778,0.50427353,0.68717945,0.6333333,0.7504273,0.70085466,0.7871795,0.72820514,0.7692308,0.874359,0.96153843,0.9735043,1.0
ChimeraBoost (T+E),0.08461539,0.08717949,0.08717949,0.09487179,0.092307694,0.13418804,0.13760684,0.104273506,0.1777778,0.13162395,0.1880342,0.12820514,0.12564102,0.20854703,0.22478634,0.20341882,0.34444442,0.32051283,0.35042733,0.29145297,0.32991454,0.4880342,0.5222222,,0.4632479,0.5794872,0.58205134,0.70769227,0.7358974,0.88205135,0.9495727,0.8230769,0.874359,0.87350434,0.9,1.0
