synset,class_index,class_dir,copy_order,source_path,target_path
n01532829,12,class_0012,1,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0012/000012-class0012.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0012/000012-class0012.png
n01532829,12,class_0012,2,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0012/001012-class0012.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0012/001012-class0012.png
n01532829,12,class_0012,3,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0012/002012-class0012.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0012/002012-class0012.png
n01558993,15,class_0015,1,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0015/000015-class0015.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0015/000015-class0015.png
n01558993,15,class_0015,2,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0015/001015-class0015.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0015/001015-class0015.png
n01558993,15,class_0015,3,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0015/002015-class0015.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0015/002015-class0015.png
n01704323,51,class_0051,1,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0051/000051-class0051.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0051/000051-class0051.png
n01704323,51,class_0051,2,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0051/001051-class0051.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0051/001051-class0051.png
n01704323,51,class_0051,3,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0051/002051-class0051.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0051/002051-class0051.png
n01749939,64,class_0064,1,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0064/000064-class0064.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0064/000064-class0064.png
n01749939,64,class_0064,2,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0064/001064-class0064.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0064/001064-class0064.png
n01749939,64,class_0064,3,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0064/002064-class0064.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0064/002064-class0064.png
n01770081,70,class_0070,1,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0070/000070-class0070.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0070/000070-class0070.png
n01770081,70,class_0070,2,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0070/001070-class0070.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0070/001070-class0070.png
n01770081,70,class_0070,3,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0070/002070-class0070.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0070/002070-class0070.png
n01843383,96,class_0096,1,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0096/000096-class0096.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0096/000096-class0096.png
n01843383,96,class_0096,2,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0096/001096-class0096.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0096/001096-class0096.png
n01843383,96,class_0096,3,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0096/002096-class0096.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0096/002096-class0096.png
n01855672,99,class_0099,1,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0099/000099-class0099.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0099/000099-class0099.png
n01855672,99,class_0099,2,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0099/001099-class0099.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0099/001099-class0099.png
n01855672,99,class_0099,3,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0099/002099-class0099.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0099/002099-class0099.png
n01910747,107,class_0107,1,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0107/000107-class0107.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0107/000107-class0107.png
n01910747,107,class_0107,2,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0107/001107-class0107.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0107/001107-class0107.png
n01910747,107,class_0107,3,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0107/002107-class0107.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0107/002107-class0107.png
n01930112,111,class_0111,1,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0111/000111-class0111.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0111/000111-class0111.png
n01930112,111,class_0111,2,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0111/001111-class0111.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0111/001111-class0111.png
n01930112,111,class_0111,3,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0111/002111-class0111.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0111/002111-class0111.png
