,TabFM+,EXAONE-Tabular (default),"AutoGluon 1.6 (noncommercial, 4h)","AutoGluon 1.6 (extreme, 4h)","AutoGluon 1.5 (extreme, 4h)",TabFM (default),RealTabPFN-2.5 (T+E),TabPFN-2.6 (default),TabPFN-3 (default),LimiX (default),TabICLv2 (default),"AutoGluon 1.4 (best, 4h)",RealMLP (T+E),TabM (T+E),TabDPT-Turbo (default),LightGBM (T+E),TabDPT (T+E),CatBoost (T+E),SAP-RPT-OSS (default),xRFM (T+E),BetaTabPFN (default),XGBoost (T+E),ModernNCA (T+E),iLTM (T+E),ExtraTrees (T+E),EBM (T+E),RandomForest (T+E),ChimeraBoost (T+E),TorchMLP (T+E),TabSwift (default),FastaiMLP (T+E),KNN (T+E),TabSTAR (T+E),OrionMSP (default),Linear (T+E),PerpetualBooster (T+E),TabFlex (default)
ExtraTrees (T+E),0.13333334,0.12777779,0.14444445,0.18194444,0.15,0.13333334,0.18333334,0.18333334,0.14583333,0.14861111,0.2,0.3375,0.34166667,0.47083333,0.26666665,0.39583334,0.4236111,0.3125,0.50416666,0.47500002,0.51666665,0.3958333,0.25416666,0.33055556,,0.4125,0.6486111,0.5416667,0.47361112,0.65,0.5375,0.9611111,0.85833335,0.94722223,0.69861114,0.93472224,0.9583333
EBM (T+E),0.04027778,0.012500001,0.029166669,0.0625,0.05,0.15555556,0.09027778,0.14166667,0.2013889,0.19583336,0.22916667,0.18611111,0.2625,0.25694445,0.4625,0.26805556,0.4041667,0.37638888,0.49999997,0.5125,0.34722227,0.39722222,0.49722221,0.4388889,0.5875,,0.55694443,0.45000002,0.6791667,0.6555556,0.56388885,0.7875,0.9527778,0.92083335,0.9527778,0.95,0.99583334
RandomForest (T+E),0.123611115,0.091666676,0.13472223,0.14722222,0.12638889,0.14583333,0.16666667,0.19583334,0.16250001,0.13611111,0.18055555,0.29027778,0.29583332,0.4236111,0.30416667,0.41527778,0.36666667,0.3861111,0.5,0.4388889,0.47916666,0.4583333,0.3333333,0.42222223,0.3513889,0.44305557,,0.51250005,0.47083333,0.60833335,0.50416666,0.9222222,0.85694444,0.8694445,0.6458334,0.92638886,0.8986111
ChimeraBoost (T+E),0.083333336,0.055555556,0.0,0.0,0.022222223,0.19861111,0.072222225,0.16944446,0.17083333,0.15555556,0.28194445,0.12222223,0.2263889,0.2888889,0.44583336,0.2361111,0.35972223,0.33472225,0.57916665,0.3611111,0.4097222,0.45,0.5013889,0.46388888,0.4583333,0.54999995,0.4875,,0.6138889,0.59444445,0.5347222,0.76111114,0.90555555,0.9166667,0.8375,0.9208333,0.9916667
TorchMLP (T+E),0.026388891,0.012500001,0.020833336,0.0375,0.058333334,0.14305556,0.06666667,0.06944445,0.16250001,0.2611111,0.20555557,0.1875,0.29444444,0.2777778,0.32916668,0.2611111,0.35833332,0.29861113,0.41388887,0.44305557,0.31944448,0.3236111,0.39583337,0.36944446,0.5263889,0.32083333,0.5291667,0.3861111,,0.4666667,0.6277778,0.7652778,0.91249996,0.8541666,0.92083335,0.9,0.99583334
TabSwift (default),0.022222223,0.004166667,0.008333334,0.016666668,0.008333334,0.1375,0.02638889,0.068055555,0.11111111,0.19444445,0.1375,0.20833334,0.33194447,0.31666666,0.21527778,0.23333335,0.2541667,0.20555556,0.48333335,0.3013889,0.39722222,0.3611111,0.33888888,0.3402778,0.35000002,0.34444445,0.39166668,0.40555558,0.53333336,,0.6041667,0.8361111,0.825,0.95416665,0.70416665,0.9388889,0.9708333
FastaiMLP (T+E),0.018055556,0.041666668,0.0625,0.07083333,0.11805556,0.17916667,0.07083333,0.072222225,0.22083333,0.21944447,0.22916667,0.16666667,0.12638889,0.23888889,0.29305556,0.3138889,0.29722223,0.3277778,0.36805555,0.4125,0.2916667,0.35555556,0.36944443,0.38333333,0.4625,0.43611112,0.49583334,0.4652778,0.37222221,0.39583334,,0.70694447,0.6847222,0.62083334,0.8833333,0.7763889,0.95
KNN (T+E),0.059722222,0.05,0.045833334,0.045833334,0.041666668,0.12916666,0.11388889,0.087500006,0.11111111,0.101388894,0.12916666,0.16666667,0.11805556,0.10972223,0.12777779,0.15,0.05,0.14166668,0.35416666,0.06388889,0.15416667,0.1736111,0.13194445,0.16944446,0.03888889,0.2125,0.07777778,0.23888889,0.23472223,0.1638889,0.29305556,,0.39166665,0.35694444,0.3875,0.59583336,0.47361112
TabSTAR (T+E),0.018055556,0.004166667,0.004166667,0.004166667,0.004166667,0.12916666,0.004166667,0.004166667,0.041666668,0.059722222,0.12916666,0.056944445,0.04027778,0.03888889,0.17222223,0.033333335,0.14583333,0.02638889,0.2777778,0.05,0.08055556,0.048611112,0.10694444,0.10694444,0.14166667,0.047222223,0.14305556,0.094444446,0.0875,0.17500001,0.31527779,0.60833335,,0.41944444,0.6166666,0.69166666,0.55833334
OrionMSP (default),0.008333334,0.004166667,0.016666668,0.029166667,0.004166667,0.119444445,0.008333334,0.020833334,0.004166667,0.045833334,0.14166667,0.07777778,0.008333334,0.0375,0.0375,0.05,0.025,0.016666668,0.3,0.016666668,0.116666675,0.029166667,0.03888889,0.093055554,0.05277778,0.079166666,0.13055556,0.083333336,0.14583334,0.045833334,0.37916666,0.6430556,0.58055556,,0.54583335,0.7527778,0.7875
Linear (T+E),0.004166667,0.0,0.004166667,0.004166667,0.016666668,0.004166667,0.004166667,0.0125,0.008333334,0.008333334,0.008333334,0.033333335,0.004166667,0.025,0.17083333,0.07083333,0.175,0.025,0.12083334,0.025,0.0375,0.033333335,0.06388889,0.12222222,0.3013889,0.047222223,0.3541667,0.1625,0.079166666,0.29583335,0.11666667,0.61249995,0.38333333,0.45416665,,0.48055556,0.625
PerpetualBooster (T+E),0.0125,0.008333334,0.016666668,0.025,0.004166667,0.004166667,0.008333334,0.020833334,0.016666668,0.0125,0.016666668,0.0375,0.0125,0.029166667,0.056944445,0.0375,0.044444446,0.016666668,0.15,0.054166667,0.041666668,0.025,0.0125,0.07638889,0.06527778,0.05,0.07361111,0.079166666,0.1,0.061111115,0.22361112,0.40416664,0.30833334,0.24722223,0.51944447,,0.5902778
TabFlex (default),0.0,0.0,0.0,0.0,0.0,0.06944445,0.0,0.0,0.0,0.013888889,0.11111111,0.031944446,0.0,0.0,0.0,0.0,0.0,0.0,0.23194444,0.004166667,0.0,0.004166667,0.004166667,0.0,0.041666668,0.004166667,0.101388894,0.008333334,0.004166667,0.029166667,0.05,0.5263889,0.44166666,0.2125,0.375,0.4097222,
