#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware
0,🧠🔁,Neural Network,RealMLP (tuned + ensembled),1249.0,+130/-100,0.647,5.96,2.75,3.976,665.87,5.639,✔️,0.0,False,GPU
1,🌳,Tree-based,LightGBM (tuned + ensembled),1185.0,+100/-76,0.563,7.46,4.6,4.923,71.04,2.206,✔️,0.0,False,CPU
2,🧠🔁,Neural Network,RealMLP (tuned),1182.0,+115/-97,0.582,7.55,3.11,4.661,665.87,0.644,✔️,0.0,False,GPU
3,🌳,Tree-based,CatBoost (tuned + ensembled),1169.0,+104/-90,0.545,7.87,4.9,4.86,299.64,0.664,✔️,0.0,False,CPU
4,🌳,Tree-based,XGBoost (tuned + ensembled),1168.0,+117/-82,0.538,7.88,4.46,4.987,151.78,2.497,✔️,0.0,False,CPU
5,🌳,Tree-based,CatBoost (tuned),1162.0,+104/-89,0.543,8.04,5.06,4.556,299.64,0.143,✔️,0.0,False,CPU
6,🧠🔁,Neural Network,TabM (tuned + ensembled),1108.0,+74/-71,0.372,9.52,5.7,6.041,348.74,4.406,✔️,0.0,False,GPU
7,🌳,Tree-based,XGBoost (tuned),1107.0,+77/-68,0.457,9.56,5.36,5.248,151.78,0.488,✔️,0.0,False,CPU
8,🌳,Tree-based,CatBoost (default),1088.0,+94/-61,0.435,10.08,7.66,5.555,11.61,0.114,✔️,0.0,False,CPU
9,🌳,Tree-based,LightGBM (tuned),1087.0,+72/-49,0.39,10.11,7.18,6.465,71.04,0.662,✔️,0.0,False,CPU
10,🧠⚡,Foundation Model,TabPFN-3 (default),1049.0,+85/-78,0.306,11.22,4.52,7.573,16.44,9.788,✔️,0.0,False,GPU
11,🧠🔁,Neural Network,TabM (tuned),1031.0,+61/-56,0.221,11.75,6.88,7.562,348.74,0.952,✔️,0.0,False,GPU
12,🧠🔁,Neural Network,RealMLP (default),1007.0,+71/-73,0.27,12.46,8.1,6.146,14.95,0.542,✔️,0.0,False,GPU
13,🌳,Tree-based,XGBoost (default),1000.0,+69/-55,0.263,12.68,10.77,7.663,3.15,0.48,✔️,0.0,False,CPU
14,🧠⚡,Foundation Model,TabPFN-2.6 (default) [51.43% IMPUTED],969.0,+114/-105,0.351,13.6,3.47,10.378,10.85,1.164,✔️,51.43,True,GPU
15,🌳,Tree-based,LightGBM (default),968.0,+52/-38,0.172,13.64,10.24,7.942,0.84,0.173,✔️,0.0,False,CPU
16,🧠🔁,Neural Network,TabM (default),966.0,+59/-61,0.177,13.7,9.71,7.432,9.93,1.206,✔️,0.0,False,GPU
17,🧠⚡,Foundation Model,TabICLv2 (default),835.0,+112/-115,0.121,17.54,7.52,14.002,8.33,4.328,✔️,0.0,False,GPU
18,🌳,Tree-based,ExtraTrees (tuned + ensembled),757.0,+76/-110,0.006,19.68,17.69,14.35,28.91,1.035,✔️,0.0,False,CPU
19,🌳,Tree-based,RandomForest (tuned + ensembled),729.0,+77/-101,0.035,20.4,17.44,14.851,67.1,0.595,✔️,0.0,False,CPU
20,🧠⚡,Foundation Model,TabDPT (default) [51.43% IMPUTED],720.0,+80/-98,0.0,20.63,15.2,17.697,30.7,8.63,✔️,51.43,True,GPU
21,🌳,Tree-based,ExtraTrees (tuned),712.0,+99/-134,0.017,20.83,17.56,15.028,28.91,0.131,✔️,0.0,False,CPU
22,📏,Baseline,Linear (tuned + ensembled),690.0,+73/-110,0.002,21.36,18.38,18.427,33.81,1.141,✔️,0.0,False,CPU
23,🌳,Tree-based,RandomForest (default),688.0,+68/-80,0.016,21.4,17.55,15.496,2.59,0.415,✔️,0.0,False,CPU
24,🌳,Tree-based,RandomForest (tuned),669.0,+102/-112,0.036,21.85,18.57,16.419,67.1,0.138,✔️,0.0,False,CPU
25,📏,Baseline,Linear (tuned),639.0,+67/-103,0.0,22.53,19.58,19.452,33.81,0.225,✔️,0.0,False,CPU
26,🌳,Tree-based,ExtraTrees (default),618.0,+95/-115,0.0,22.97,17.45,16.474,1.3,0.471,✔️,0.0,False,CPU
27,📏,Baseline,Linear (default),582.0,+82/-137,0.0,23.7,20.15,21.346,1.31,0.208,✔️,0.0,False,CPU
