,TabFM+,"AutoGluon 1.6 (noncommercial, 4h)",TabFM (default),EXAONE-Tabular (default),"AutoGluon 1.6 (extreme, 4h)","AutoGluon 1.5 (extreme, 4h)",TabPFN-3 (default),TabPFN-2.6 (default),RealTabPFN-2.5 (T+E),TabICLv2 (default),"AutoGluon 1.4 (best, 4h)",RealMLP (T+E),LimiX (default),TabM (T+E),TabDPT-Turbo (default),iLTM (T+E),TabDPT (T+E),ChimeraBoost (T+E),CatBoost (T+E),LightGBM (T+E),TabICL (default),XGBoost (T+E),TabSwift (default),ModernNCA (T+E),TabPFNv2 (T+E),Mitra (default),BetaTabPFN (default),xRFM (T+E),EBM (T+E),SAP-RPT-OSS (default),TorchMLP (T+E),FastaiMLP (T+E),ExtraTrees (T+E),RandomForest (T+E),TabSTAR (T+E),PerpetualBooster (T+E),OrionMSP (default),KNN (T+E),TabFlex (default),Linear (T+E)
ModernNCA (T+E),0.078947365,0.078947365,0.13157895,0.05263158,0.078947365,0.078947365,0.078947365,0.10526316,0.23684211,0.15789473,0.34210527,0.31578946,0.39473686,0.39473686,0.5,0.47368422,0.5263158,0.42105263,0.42105263,0.47368422,0.55263156,0.5,0.5,,0.42105263,0.39473686,0.57894737,0.55263156,0.6052632,0.57894737,0.6052632,0.7368421,0.7368421,0.7368421,0.7368421,0.81578946,0.81578946,0.8552632,0.81578946,0.81578946
TabPFNv2 (T+E),0.02631579,0.10526316,0.02631579,0.05263158,0.15789473,0.23684211,0.21052632,0.18421052,0.10526316,0.23684211,0.42105263,0.42105263,0.34210527,0.5,0.36842105,0.47368422,0.39473686,0.5,0.5,0.5263158,0.46052632,0.6052632,0.5,0.57894737,,0.5263158,0.6052632,0.55263156,0.6052632,0.5263158,0.57894737,0.6052632,0.57894737,0.65789473,0.6315789,0.7368421,0.7631579,0.7368421,0.7631579,0.84210527
Mitra (default),0.02631579,0.02631579,0.0,0.078947365,0.13157895,0.21052632,0.13157895,0.13157895,0.13157895,0.21052632,0.34210527,0.36842105,0.39473686,0.5263158,0.36842105,0.5,0.39473686,0.57894737,0.47368422,0.5263158,0.47368422,0.5,0.5,0.6052632,0.47368422,,0.55263156,0.5263158,0.55263156,0.5263158,0.5263158,0.6052632,0.55263156,0.57894737,0.65789473,0.7368421,0.7763158,0.7368421,0.7894737,0.84210527
BetaTabPFN (default),0.02631579,0.10526316,0.05263158,0.02631579,0.15789473,0.15789473,0.078947365,0.15789473,0.13157895,0.10526316,0.23684211,0.28947368,0.39473686,0.31578946,0.47368422,0.5,0.4473684,0.42105263,0.47368422,0.4473684,0.4473684,0.5263158,0.47368422,0.42105263,0.39473686,0.4473684,,0.5263158,0.55263156,0.6052632,0.57894737,0.6315789,0.65789473,0.68421054,0.7631579,0.81578946,0.7894737,0.8947368,0.8947368,0.8947368
xRFM (T+E),0.13157895,0.02631579,0.078947365,0.05263158,0.05263158,0.078947365,0.15789473,0.15789473,0.18421052,0.21052632,0.21052632,0.28947368,0.36842105,0.42105263,0.39473686,0.34210527,0.42105263,0.39473686,0.36842105,0.36842105,0.4473684,0.4473684,0.39473686,0.4473684,0.4473684,0.47368422,0.47368422,,0.5,0.55263156,0.5263158,0.65789473,0.68421054,0.7368421,0.7368421,0.7631579,0.8684211,0.92105263,0.8947368,0.94736844
EBM (T+E),0.05263158,0.05263158,0.078947365,0.05263158,0.05263158,0.15789473,0.18421052,0.13157895,0.15789473,0.23684211,0.23684211,0.21052632,0.31578946,0.21052632,0.39473686,0.36842105,0.42105263,0.28947368,0.39473686,0.31578946,0.4473684,0.36842105,0.42105263,0.39473686,0.39473686,0.4473684,0.4473684,0.5,,0.65789473,0.57894737,0.7105263,0.7368421,0.7105263,0.7894737,0.7631579,0.7631579,0.8947368,0.92105263,0.94736844
SAP-RPT-OSS (default),0.078947365,0.13157895,0.10526316,0.078947365,0.13157895,0.18421052,0.21052632,0.18421052,0.13157895,0.23684211,0.23684211,0.21052632,0.34210527,0.28947368,0.34210527,0.28947368,0.34210527,0.31578946,0.2631579,0.34210527,0.34210527,0.36842105,0.34210527,0.42105263,0.47368422,0.47368422,0.39473686,0.4473684,0.34210527,,0.5,0.6052632,0.6052632,0.55263156,0.65789473,0.7894737,0.68421054,0.7894737,0.8684211,0.8684211
TorchMLP (T+E),0.05263158,0.02631579,0.05263158,0.02631579,0.02631579,0.078947365,0.13157895,0.10526316,0.18421052,0.13157895,0.10526316,0.18421052,0.31578946,0.28947368,0.34210527,0.2631579,0.34210527,0.31578946,0.28947368,0.2631579,0.28947368,0.31578946,0.5,0.39473686,0.42105263,0.47368422,0.42105263,0.47368422,0.42105263,0.5,,0.6052632,0.65789473,0.7105263,0.7368421,0.7631579,0.7631579,0.8684211,0.92105263,0.8947368
FastaiMLP (T+E),0.078947365,0.05263158,0.10526316,0.078947365,0.02631579,0.13157895,0.13157895,0.10526316,0.15789473,0.05263158,0.10526316,0.10526316,0.34210527,0.21052632,0.28947368,0.18421052,0.34210527,0.31578946,0.2631579,0.23684211,0.28947368,0.28947368,0.23684211,0.2631579,0.39473686,0.39473686,0.36842105,0.34210527,0.28947368,0.39473686,0.39473686,,0.57894737,0.55263156,0.6315789,0.7368421,0.68421054,0.81578946,0.8684211,0.81578946
ExtraTrees (T+E),0.05263158,0.02631579,0.05263158,0.05263158,0.05263158,0.078947365,0.05263158,0.078947365,0.05263158,0.13157895,0.15789473,0.18421052,0.2631579,0.28947368,0.23684211,0.18421052,0.28947368,0.2631579,0.18421052,0.18421052,0.23684211,0.18421052,0.34210527,0.2631579,0.42105263,0.4473684,0.34210527,0.31578946,0.2631579,0.39473686,0.34210527,0.42105263,,0.57894737,0.68421054,0.65789473,0.7368421,0.8947368,0.81578946,0.7631579
RandomForest (T+E),0.05263158,0.02631579,0.05263158,0.02631579,0.02631579,0.05263158,0.078947365,0.05263158,0.078947365,0.10526316,0.13157895,0.21052632,0.2631579,0.21052632,0.23684211,0.13157895,0.28947368,0.21052632,0.15789473,0.18421052,0.23684211,0.15789473,0.36842105,0.2631579,0.34210527,0.42105263,0.31578946,0.2631579,0.28947368,0.4473684,0.28947368,0.4473684,0.42105263,,0.68421054,0.6052632,0.6315789,0.7894737,0.7105263,0.7368421
TabSTAR (T+E),0.05263158,0.13157895,0.10526316,0.10526316,0.10526316,0.13157895,0.13157895,0.15789473,0.15789473,0.13157895,0.18421052,0.18421052,0.2631579,0.13157895,0.23684211,0.23684211,0.23684211,0.21052632,0.18421052,0.18421052,0.21052632,0.15789473,0.23684211,0.2631579,0.36842105,0.34210527,0.23684211,0.2631579,0.21052632,0.34210527,0.2631579,0.36842105,0.31578946,0.31578946,,0.6315789,0.5263158,0.6052632,0.65789473,0.65789473
PerpetualBooster (T+E),0.0,0.02631579,0.0,0.0,0.02631579,0.078947365,0.02631579,0.02631579,0.05263158,0.05263158,0.05263158,0.05263158,0.18421052,0.15789473,0.18421052,0.10526316,0.21052632,0.21052632,0.10526316,0.13157895,0.13157895,0.21052632,0.21052632,0.18421052,0.2631579,0.2631579,0.18421052,0.23684211,0.23684211,0.21052632,0.23684211,0.2631579,0.34210527,0.39473686,0.36842105,,0.4473684,0.55263156,0.6052632,0.65789473
OrionMSP (default),0.02631579,0.0,0.02631579,0.02631579,0.02631579,0.0,0.0,0.02631579,0.02631579,0.078947365,0.078947365,0.05263158,0.17105263,0.13157895,0.078947365,0.15789473,0.05263158,0.13157895,0.21052632,0.15789473,0.13157895,0.15789473,0.10526316,0.18421052,0.23684211,0.2236842,0.21052632,0.13157895,0.23684211,0.31578946,0.23684211,0.31578946,0.2631579,0.36842105,0.47368422,0.55263156,,0.6052632,0.7105263,0.68421054
KNN (T+E),0.05263158,0.02631579,0.078947365,0.02631579,0.02631579,0.02631579,0.05263158,0.02631579,0.078947365,0.05263158,0.078947365,0.05263158,0.13157895,0.13157895,0.078947365,0.05263158,0.10526316,0.15789473,0.13157895,0.078947365,0.10526316,0.13157895,0.13157895,0.14473684,0.2631579,0.2631579,0.10526316,0.078947365,0.10526316,0.21052632,0.13157895,0.18421052,0.10526316,0.21052632,0.39473686,0.4473684,0.39473686,,0.55263156,0.6052632
TabFlex (default),0.02631579,0.0,0.0,0.05263158,0.0,0.05263158,0.05263158,0.078947365,0.10526316,0.02631579,0.05263158,0.10526316,0.15789473,0.078947365,0.05263158,0.078947365,0.078947365,0.10526316,0.15789473,0.13157895,0.10526316,0.15789473,0.02631579,0.18421052,0.23684211,0.21052632,0.10526316,0.10526316,0.078947365,0.13157895,0.078947365,0.13157895,0.18421052,0.28947368,0.34210527,0.39473686,0.28947368,0.4473684,,0.55263156
Linear (T+E),0.0,0.02631579,0.02631579,0.02631579,0.02631579,0.02631579,0.05263158,0.02631579,0.078947365,0.05263158,0.02631579,0.02631579,0.10526316,0.05263158,0.15789473,0.078947365,0.13157895,0.05263158,0.02631579,0.02631579,0.10526316,0.078947365,0.15789473,0.18421052,0.15789473,0.15789473,0.10526316,0.05263158,0.05263158,0.13157895,0.10526316,0.18421052,0.23684211,0.2631579,0.34210527,0.34210527,0.31578946,0.39473686,0.4473684,
