,EXAONE-Tabular (default),RealTabPFN-2.5 (T+E),TabFM (default),TabPFN-2.6 (default),TabPFN-3 (default),TabICLv2 (default),LimiX (default),RealMLP (T+E),TabPFNv2 (T+E),TabM (T+E),Mitra (default),TabDPT-Turbo (default),LightGBM (T+E),TabDPT (T+E),CatBoost (T+E),ModernNCA (T+E),XGBoost (T+E),SAP-RPT-OSS (default),BetaTabPFN (default),xRFM (T+E),iLTM (T+E),EBM (T+E),ChimeraBoost (T+E),ExtraTrees (T+E),RandomForest (T+E),TabICL (default),TorchMLP (T+E),TabSwift (default),FastaiMLP (T+E),KNN (T+E),TabSTAR (T+E),OrionMSP (default),Linear (T+E),PerpetualBooster (T+E),TabFlex (default)
EXAONE-Tabular (default),,0.6958333,0.48194444,0.7944445,0.72499996,0.77500004,0.7763889,0.9222222,0.8458333,0.9263889,0.87083334,0.87083334,0.9222222,0.8152778,0.9916667,0.97083336,0.9875,0.8833333,0.93611115,0.9083333,0.975,0.9875,0.9444444,0.87222224,0.9083333,0.9041667,0.9875,0.99583334,0.9583333,0.95,0.99583334,0.99583334,1.0,0.9916667,1.0
RealTabPFN-2.5 (T+E),0.30416667,,0.425,0.70277786,0.6305555,0.7430556,0.69722223,0.81805557,0.7916667,0.79722226,0.7916667,0.7986111,0.84583336,0.75138897,0.93333334,0.9125,0.95,0.80277777,0.8777778,0.8375,0.9097222,0.9097222,0.92777777,0.81666666,0.8333334,0.87083334,0.93333334,0.9736111,0.9291666,0.88611114,0.99583334,0.9916667,0.99583334,0.9916667,1.0
TabFM (default),0.51805556,0.57500005,,0.70416665,0.6958333,0.88472223,0.67222226,0.7513889,0.85694444,0.7861111,0.9305555,0.8416667,0.825,0.85,0.8541667,0.8625,0.83194447,0.8111111,0.8486111,0.8625,0.8527778,0.84444445,0.80138886,0.8666667,0.8541667,0.98333335,0.85694444,0.8625,0.8208333,0.87083334,0.87083334,0.88055557,0.99583334,0.99583334,0.9305556
TabPFN-2.6 (default),0.20555554,0.29722226,0.29583332,,0.5416666,0.5305556,0.59027773,0.74583334,0.58611107,0.71805555,0.81527776,0.8,0.7916667,0.6930555,0.83055556,0.9125,0.92777777,0.7,0.8125,0.7833333,0.93472224,0.85833335,0.83055556,0.81666666,0.8041667,0.8666667,0.9305556,0.9319445,0.92777777,0.9125,0.99583334,0.9791666,0.9875,0.9791666,1.0
TabPFN-3 (default),0.27499998,0.36944443,0.30416664,0.45833334,,0.57222223,0.5222222,0.50416666,0.58055556,0.60694444,0.6958333,0.73194444,0.73888886,0.74583334,0.7458333,0.81527776,0.7888889,0.63055557,0.70555556,0.7833333,0.7916667,0.7986111,0.82916665,0.8541667,0.8375,0.9583333,0.83750004,0.8888889,0.7791667,0.8888889,0.9583333,0.99583334,0.9916667,0.98333335,1.0
TabICLv2 (default),0.22500001,0.25694445,0.11527778,0.46944445,0.4277778,,0.49583334,0.6027778,0.5972222,0.6791667,0.79305553,0.71250004,0.75,0.75,0.75555557,0.74444443,0.76111114,0.5541667,0.73055553,0.75,0.8138889,0.7708333,0.71805555,0.8,0.8194444,0.975,0.79444444,0.8625,0.7708333,0.87083334,0.87083334,0.85833335,0.9916667,0.98333335,0.8888889
LimiX (default),0.22361112,0.3027778,0.32777777,0.40972224,0.47777778,0.50416666,,0.5277778,0.49305558,0.67777777,0.6027778,0.5833334,0.73472226,0.6166667,0.7263889,0.6875,0.7527778,0.65833336,0.71944445,0.79305553,0.7486111,0.8041667,0.84444445,0.85138893,0.8638889,0.7958333,0.73888886,0.8055556,0.78055555,0.8986111,0.9402778,0.95416665,0.9916667,0.9875,0.9861111
RealMLP (T+E),0.07777778,0.18194444,0.24861111,0.25416666,0.49583328,0.39722222,0.4722222,,0.4236111,0.58611107,0.5597222,0.5402778,0.6736111,0.50277776,0.65416664,0.6888889,0.8,0.5833334,0.7763889,0.79444444,0.7152778,0.7375,0.7736111,0.65833336,0.70416665,0.64166665,0.7055556,0.66805553,0.8736111,0.8819445,0.9597222,0.9916667,0.99583334,0.9875,1.0
TabPFNv2 (T+E),0.15416667,0.20833334,0.14305556,0.41388887,0.41944444,0.4027778,0.5069444,0.5763889,,0.65555555,0.53749996,0.54583335,0.68472224,0.5541667,0.675,0.6166667,0.69166666,0.5375,0.82916665,0.80833334,0.67083335,0.7125,0.7375,0.6583333,0.67083335,0.6,0.71250004,0.72499996,0.80833334,0.8458333,0.8666667,0.85833335,0.9916667,0.98333335,0.875
TabM (T+E),0.07361112,0.20277779,0.21388888,0.28194442,0.39305556,0.32083333,0.32222223,0.41388887,0.34444442,,0.47083333,0.56527776,0.5111111,0.49305555,0.5194444,0.62777776,0.65138894,0.60138893,0.7083334,0.66944444,0.56805557,0.7430555,0.7111111,0.5291667,0.5763889,0.5958333,0.7222222,0.6833333,0.76111114,0.8902778,0.9611111,0.9625,0.975,0.9708333,1.0
