#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware,MethodClass,Tags
0,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),1742.0,+299/-172,0.833,6.5,1.46,3.57,40.79,6.31,✔️,0.0,False,GPU,model,
1,🧠⚡,Foundation Model,[EXAONE-Tabular (default)](https://github.com/LGAI-Research/EXAONE-Tabular),1688.0,+122/-71,0.712,8.12,3.81,9.689,6.81,0.496,✔️,0.0,False,GPU,model,
2,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),1593.0,+107/-82,0.581,11.91,6.24,11.562,7.56,0.399,✔️,0.0,False,GPU,model,
3,🧠⚡,Foundation Model,[RealTabPFN-2.5 (default)](https://arxiv.org/abs/2511.08667),1587.0,+81/-66,0.531,12.18,8.1,13.043,6.03,0.703,✔️,0.0,False,GPU,model,
4,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),1567.0,+116/-87,0.55,13.12,5.57,11.064,2280.19,9.666,✔️,0.0,False,GPU,model,
5,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),1562.0,+112/-79,0.548,13.39,7.48,12.753,6.28,0.531,✔️,0.0,False,GPU,model,
6,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned)](https://arxiv.org/abs/2511.08667),1535.0,+113/-75,0.523,14.8,8.39,13.541,2280.19,0.968,✔️,0.0,False,GPU,model,
7,🧠⚡,Foundation Model,[TabICLv2 (default)](https://arxiv.org/abs/2602.11139),1533.0,+105/-91,0.531,14.93,7.3,12.899,3.45,0.182,✔️,0.0,False,GPU,model,
8,🧠🔁,Neural Network,[RealMLP (tuned + ensembled)](https://arxiv.org/abs/2407.04491),1469.0,+76/-68,0.395,18.68,11.19,16.077,3487.23,22.857,✔️,0.0,False,GPU,model,
9,🧠⚡,Foundation Model,[LimiX (default)](https://arxiv.org/abs/2509.03505),1460.0,+100/-84,0.421,19.29,7.52,14.69,28.08,5.033,➖,0.0,False,GPU,model,
10,🧠🔁,Neural Network,[RealMLP (tuned)](https://arxiv.org/abs/2407.04491),1403.0,+71/-73,0.35,23.16,13.26,17.265,3487.23,1.001,✔️,0.0,False,GPU,model,
11,🧠⚡,Foundation Model,[TabDPT-Turbo (default)](https://openreview.net/pdf?id=Y00pwFyrHR),1395.0,+82/-79,0.347,23.73,11.02,17.792,4.86,0.17,➖,0.0,False,GPU,model,
12,🧠⚡,Foundation Model,[TabDPT (tuned + ensembled)](https://arxiv.org/abs/2410.18164),1380.0,+83/-70,0.344,24.82,10.33,17.285,7432.95,404.053,✔️,0.0,False,GPU,model,
13,🧠🔁,Neural Network,[TabM (tuned + ensembled)](https://arxiv.org/abs/2410.24210),1376.0,+85/-79,0.335,25.18,11.09,18.111,2478.69,3.189,✔️,0.0,False,GPU,model,
14,🧠🔁,Neural Network,[TabM (tuned)](https://arxiv.org/abs/2410.24210),1347.0,+82/-81,0.299,27.36,13.22,18.84,2478.69,0.447,✔️,0.0,False,GPU,model,
15,🌳,Tree-based,[CatBoost (tuned)](https://arxiv.org/abs/1706.09516),1346.0,+71/-50,0.255,27.43,14.47,17.645,1580.61,0.047,✔️,0.0,False,CPU,model,
16,🧠⚡,Foundation Model,[BetaTabPFN (default)](https://arxiv.org/abs/2502.02527),1344.0,+86/-68,0.263,27.57,18.67,20.039,303.59,2.323,➖,0.0,False,GPU,model,
17,🌳,Tree-based,[LightGBM (tuned + ensembled)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1344.0,+59/-51,0.22,27.64,21.46,18.911,774.79,1.455,✔️,0.0,False,CPU,model,
18,🧠⚡,Foundation Model,[iLTM (tuned + ensembled)](https://arxiv.org/abs/2511.15941),1343.0,+61/-68,0.259,27.7,15.37,18.31,21108.98,510.049,✔️,0.0,False,GPU,model,
19,🧠⚡,Foundation Model,[TabDPT (tuned)](https://arxiv.org/abs/2410.18164),1337.0,+84/-87,0.299,28.14,13.88,18.402,7432.95,39.789,✔️,0.0,False,GPU,model,
20,🌳,Tree-based,[CatBoost (tuned + ensembled)](https://arxiv.org/abs/1706.09516),1336.0,+64/-60,0.228,28.25,21.51,18.213,1580.61,0.381,✔️,0.0,False,CPU,model,
21,🧠🔁,Neural Network,[ModernNCA (tuned)](https://arxiv.org/abs/2407.03257),1308.0,+76/-72,0.23,30.43,16.59,19.162,6288.36,0.473,✔️,0.0,False,GPU,model,
22,🧠⚡,Foundation Model,[TabSwift (default)](https://github.com/LAMDA-Tabular/TabSwift),1307.0,+68/-65,0.223,30.52,19.65,20.421,2.25,0.055,➖,0.0,False,GPU,model,
23,🌳,Tree-based,[XGBoost (tuned + ensembled)](https://arxiv.org/abs/1603.02754),1305.0,+62/-60,0.196,30.66,21.46,19.924,829.5,1.642,✔️,0.0,False,CPU,model,
24,🌳,Tree-based,[ChimeraBoost (tuned + ensembled)](https://github.com/bbstats/chimeraboost),1304.0,+93/-65,0.19,30.77,20.69,20.416,1146.87,0.503,✔️,0.0,False,CPU,model,
25,🌳,Tree-based,[CatBoost (default)](https://arxiv.org/abs/1706.09516),1301.0,+53/-45,0.178,31.04,26.4,19.826,7.32,0.04,✔️,0.0,False,CPU,model,
26,🌳,Tree-based,[ChimeraBoost (tuned)](https://github.com/bbstats/chimeraboost),1300.0,+96/-74,0.201,31.05,17.87,20.719,1146.87,0.042,✔️,0.0,False,CPU,model,
27,❓,Other,[xRFM (tuned + ensembled)](https://arxiv.org/abs/2508.10053),1299.0,+76/-69,0.229,31.14,17.29,19.895,1165.31,2.067,✔️,0.0,False,GPU,model,
28,🌳,Tree-based,[LightGBM (tuned)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1296.0,+66/-57,0.188,31.45,24.69,19.856,774.79,0.282,✔️,0.0,False,CPU,model,
29,🌳,Tree-based,[XGBoost (tuned)](https://arxiv.org/abs/1603.02754),1284.0,+68/-58,0.181,32.36,14.02,20.106,829.5,0.241,✔️,0.0,False,CPU,model,
30,🧠🔁,Neural Network,[TabM (default)](https://arxiv.org/abs/2410.24210),1281.0,+80/-83,0.215,32.62,19.19,20.887,9.94,0.367,✔️,0.0,False,GPU,model,
31,🌳,Tree-based,[EBM (tuned + ensembled)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),1281.0,+71/-62,0.148,32.64,22.64,20.722,2068.2,0.165,✔️,0.0,False,CPU,model,
32,🧠🔁,Neural Network,[ModernNCA (tuned + ensembled)](https://arxiv.org/abs/2407.03257),1272.0,+89/-80,0.201,33.36,22.72,20.674,6288.36,9.385,✔️,0.0,False,GPU,model,
33,🧠⚡,Foundation Model,[iLTM (tuned)](https://arxiv.org/abs/2511.15941),1272.0,+49/-58,0.185,33.39,25.21,19.822,21108.98,120.297,✔️,0.0,False,GPU,model,
34,🧠⚡,Foundation Model,[SAP-RPT-OSS (default)](https://arxiv.org/abs/2506.10707),1270.0,+82/-86,0.26,33.54,14.84,21.917,13.41,1.64,➖,0.0,False,GPU,model,
35,🧠🔁,Neural Network,[RealMLP (default)](https://arxiv.org/abs/2407.04491),1250.0,+66/-72,0.149,35.14,24.38,20.893,14.59,4.033,✔️,0.0,False,GPU,model,
36,❓,Other,[xRFM (tuned)](https://arxiv.org/abs/2508.10053),1241.0,+73/-88,0.175,35.93,14.48,21.007,1165.31,0.105,✔️,0.0,False,GPU,model,
37,🌳,Tree-based,[EBM (default)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),1240.0,+77/-66,0.14,35.95,14.89,21.846,7.27,0.022,✔️,0.0,False,CPU,model,
38,🌳,Tree-based,[ChimeraBoost (default)](https://github.com/bbstats/chimeraboost),1240.0,+75/-70,0.155,36.0,25.7,22.775,6.07,0.056,✔️,0.0,False,CPU,model,
39,🌳,Tree-based,[EBM (tuned)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),1237.0,+54/-72,0.11,36.21,26.1,21.491,2068.2,0.02,✔️,0.0,False,CPU,model,
40,🧠🔁,Neural Network,[TorchMLP (tuned + ensembled)](https://arxiv.org/abs/2003.06505),1236.0,+67/-74,0.153,36.32,28.76,21.195,2895.01,2.42,✔️,0.0,False,CPU,model,
41,🧠⚡,Foundation Model,[TabDPT (default)](https://arxiv.org/abs/2410.18164),1235.0,+75/-97,0.194,36.39,18.25,21.21,51.79,39.921,✔️,0.0,False,GPU,model,
42,🧠🔁,Neural Network,[FastaiMLP (tuned + ensembled)](https://arxiv.org/abs/2003.06505),1195.0,+92/-80,0.137,39.7,27.4,23.649,1425.59,7.352,✔️,0.0,False,CPU,model,
43,🧠🔁,Neural Network,[TorchMLP (tuned)](https://arxiv.org/abs/2003.06505),1190.0,+85/-73,0.14,40.09,27.73,23.117,2895.01,0.145,✔️,0.0,False,CPU,model,
44,🌳,Tree-based,[ExtraTrees (tuned + ensembled)](https://link.springer.com/article/10.1007/s10994-006-6226-1),1178.0,+84/-84,0.126,41.07,26.03,23.504,669.3,1.187,✔️,0.0,False,CPU,model,
45,🧠🔁,Neural Network,[ModernNCA (default)](https://arxiv.org/abs/2407.03257),1176.0,+78/-90,0.114,41.18,14.07,24.794,14.22,0.352,✔️,0.0,False,GPU,model,
46,🌳,Tree-based,[ExtraTrees (tuned)](https://link.springer.com/article/10.1007/s10994-006-6226-1),1153.0,+85/-76,0.098,43.05,26.55,24.823,669.3,0.166,✔️,0.0,False,CPU,model,
47,🌳,Tree-based,[XGBoost (default)](https://arxiv.org/abs/1603.02754),1143.0,+60/-66,0.058,43.86,36.96,23.492,2.85,0.19,✔️,0.0,False,CPU,model,
48,🧠🔁,Neural Network,[FastaiMLP (tuned)](https://arxiv.org/abs/2003.06505),1138.0,+84/-89,0.102,44.29,28.82,25.026,1425.59,0.561,✔️,0.0,False,CPU,model,
49,🌳,Tree-based,[LightGBM (default)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1134.0,+66/-80,0.089,44.55,35.39,23.812,3.27,0.193,✔️,0.0,False,CPU,model,
50,🧠⚡,Foundation Model,[TabSTAR (tuned)](https://arxiv.org/abs/2505.18125),1133.0,+107/-117,0.168,44.64,15.02,25.736,45012.0,5.273,✔️,0.0,False,GPU,model,
51,🌳,Tree-based,[RandomForest (tuned + ensembled)](https://link.springer.com/article/10.1023/A:1010933404324),1132.0,+74/-90,0.107,44.75,34.28,24.917,562.08,1.155,✔️,0.0,False,CPU,model,
52,🧠⚡,Foundation Model,[TabSTAR (tuned + ensembled)](https://arxiv.org/abs/2505.18125),1125.0,+111/-121,0.154,45.3,17.78,26.003,45012.0,21.34,✔️,0.0,False,GPU,model,
53,🧠⚡,Foundation Model,[iLTM (default)](https://arxiv.org/abs/2511.15941),1100.0,+101/-88,0.076,47.2,24.79,25.949,454.83,146.788,✔️,0.0,False,GPU,model,
54,🧠⚡,Foundation Model,[OrionMSP (default)](https://arxiv.org/abs/2511.02818),1097.0,+67/-77,0.061,47.43,40.09,26.327,15.58,2.601,➖,0.0,False,GPU,model,
55,🌳,Tree-based,[RandomForest (tuned)](https://link.springer.com/article/10.1023/A:1010933404324),1096.0,+66/-85,0.052,47.52,40.28,25.81,562.08,0.138,✔️,0.0,False,CPU,model,
56,🌳,Tree-based,[PerpetualBooster (tuned + ensembled)](https://perpetual-ml.com/),1091.0,+89/-103,0.102,47.86,37.03,31.693,399.28,0.696,✔️,0.0,False,CPU,model,
57,🌳,Tree-based,[PerpetualBooster (tuned)](https://perpetual-ml.com/),1042.0,+79/-98,0.058,51.45,45.64,33.252,399.28,0.184,✔️,0.0,False,CPU,model,
58,🧠⚡,Foundation Model,[TabSTAR (default)](https://arxiv.org/abs/2505.18125),1041.0,+123/-154,0.12,51.46,14.66,32.215,461.86,5.723,✔️,0.0,False,GPU,model,
59,🧠🔁,Neural Network,[TorchMLP (default)](https://arxiv.org/abs/2003.06505),1024.0,+77/-82,0.035,52.68,46.54,28.546,9.06,0.195,✔️,0.0,False,CPU,model,
60,🌳,Tree-based,[ExtraTrees (default)](https://link.springer.com/article/10.1007/s10994-006-6226-1),1010.0,+94/-115,0.047,53.57,43.12,29.954,3.76,0.597,✔️,0.0,False,CPU,model,
61,🧠⚡,Foundation Model,[TabFlex (default)](https://arxiv.org/abs/2506.05584),1010.0,+91/-110,0.06,53.57,43.24,30.753,2.45,0.519,➖,0.0,False,GPU,model,
62,❓,Other,[xRFM (default)](https://arxiv.org/abs/2508.10053),1010.0,+82/-124,0.049,53.61,47.24,28.957,5.43,0.835,✔️,0.0,False,GPU,model,
63,🌳,Tree-based,[RandomForest (default)](https://link.springer.com/article/10.1023/A:1010933404324),1000.0,+85/-106,0.021,54.23,43.95,31.018,0.46,0.07,✔️,0.0,False,CPU,model,
64,🧠🔁,Neural Network,[FastaiMLP (default)](https://arxiv.org/abs/2003.06505),991.0,+78/-85,0.034,54.82,50.43,28.62,5.03,0.601,✔️,0.0,False,CPU,model,
65,📏,Baseline,[KNN (tuned + ensembled)](https://scikit-learn.org/stable/modules/neighbors.html),986.0,+91/-112,0.041,55.12,45.62,31.067,123.01,1.578,✔️,0.0,False,CPU,model,
66,🌳,Tree-based,[PerpetualBooster (default)](https://perpetual-ml.com/),977.0,+95/-128,0.045,55.7,27.78,37.912,48.1,0.05,✔️,0.0,False,CPU,model,
67,📏,Baseline,[Linear (tuned + ensembled)](https://scikit-learn.org/stable/modules/linear_model.html),950.0,+87/-105,0.036,57.25,19.09,34.506,479.33,0.495,✔️,0.0,False,CPU,model,
68,📏,Baseline,[Linear (tuned)](https://scikit-learn.org/stable/modules/linear_model.html),929.0,+88/-112,0.031,58.45,29.27,35.098,479.33,0.098,✔️,0.0,False,CPU,model,
69,📏,Baseline,[Linear (default)](https://scikit-learn.org/stable/modules/linear_model.html),890.0,+105/-119,0.013,60.43,55.61,37.984,2.34,0.132,✔️,0.0,False,CPU,model,
70,📏,Baseline,[KNN (tuned)](https://scikit-learn.org/stable/modules/neighbors.html),834.0,+101/-132,0.024,62.89,57.19,37.895,123.01,0.092,✔️,0.0,False,CPU,model,
71,📏,Baseline,[KNN (default)](https://scikit-learn.org/stable/modules/neighbors.html),591.0,+102/-155,0.0,69.46,69.09,51.353,0.28,0.024,✔️,0.0,False,CPU,model,
