#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware
30,🧠⚡,Foundation Model,[TabDPT (tuned)](https://arxiv.org/abs/2410.18164),1341.0,+57/-53,0.185,34.5,16.38,17.398,4982.66,42.199,✔️,0.0,False,GPU
31,🧠⚡,Foundation Model,[Mitra (default)](https://arxiv.org/abs/2510.21204) [33.33% IMPUTED],1334.0,+87/-82,0.283,35.11,14.16,19.129,103.88,2.615,✔️,33.33,True,GPU
32,🌳,Tree-based,[ChimeraBoost (tuned)](https://github.com/bbstats/chimeraboost),1333.0,+72/-54,0.165,35.15,20.92,18.657,281.39,0.027,✔️,0.0,False,CPU
33,🌳,Tree-based,[XGBoost (tuned)](https://arxiv.org/abs/1603.02754),1329.0,+45/-40,0.127,35.52,24.3,18.294,473.04,0.13,✔️,0.0,False,CPU
34,🧠⚡,Foundation Model,[TabPFNv2 (tuned + ensembled)](https://www.nature.com/articles/s41586-024-08328-6) [33.33% IMPUTED],1324.0,+83/-73,0.245,36.01,16.61,19.352,3031.98,27.042,✔️,33.33,True,GPU
35,❓,Other,[xRFM (tuned + ensembled)](https://arxiv.org/abs/2508.10053),1310.0,+57/-54,0.137,37.29,24.02,18.684,642.4,2.766,✔️,0.0,False,GPU
36,🌳,Tree-based,[ChimeraBoost (default)](https://github.com/bbstats/chimeraboost),1308.0,+80/-58,0.144,37.5,21.87,19.28,1.25,0.026,✔️,0.0,False,CPU
37,🧠🔁,Neural Network,[TorchMLP (tuned + ensembled)](https://arxiv.org/abs/2003.06505),1302.0,+43/-39,0.122,37.97,27.81,18.5,2241.92,2.415,✔️,0.0,False,CPU
38,🧠🔁,Neural Network,[TabM (default)](https://arxiv.org/abs/2410.24210),1299.0,+57/-56,0.144,38.25,23.6,18.806,5.03,0.208,✔️,0.0,False,GPU
39,🌳,Tree-based,[EBM (tuned + ensembled)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),1294.0,+45/-44,0.093,38.73,27.83,19.898,936.75,0.134,✔️,0.0,False,CPU
40,🧠⚡,Foundation Model,[iLTM (tuned)](https://arxiv.org/abs/2511.15941),1290.0,+44/-49,0.103,39.11,23.73,19.414,8305.07,52.875,✔️,0.0,False,GPU
41,❓,Other,[xRFM (tuned)](https://arxiv.org/abs/2508.10053),1285.0,+47/-60,0.105,39.52,26.02,19.761,642.4,0.146,✔️,0.0,False,GPU
42,🧠⚡,Foundation Model,[SAP-RPT-OSS (default)](https://arxiv.org/abs/2506.10707),1282.0,+60/-59,0.138,39.79,19.64,20.974,12.86,3.167,➖,0.0,False,GPU
43,🧠⚡,Foundation Model,[TabPFNv2 (tuned)](https://www.nature.com/articles/s41586-024-08328-6) [33.33% IMPUTED],1280.0,+78/-78,0.2,39.99,17.65,20.968,3031.98,0.514,✔️,33.33,True,GPU
44,🧠⚡,Foundation Model,[TabDPT (default)](https://arxiv.org/abs/2410.18164),1268.0,+61/-67,0.146,41.12,22.97,20.212,49.67,43.824,✔️,0.0,False,GPU
45,🌳,Tree-based,[EBM (tuned)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),1262.0,+45/-43,0.062,41.64,30.26,20.565,936.75,0.016,✔️,0.0,False,CPU
46,🧠🔁,Neural Network,[ModernNCA (default)](https://arxiv.org/abs/2407.03257),1260.0,+44/-43,0.094,41.85,23.26,20.779,13.51,0.31,✔️,0.0,False,GPU
47,🧠🔁,Neural Network,[RealMLP (default)](https://arxiv.org/abs/2407.04491),1255.0,+41/-46,0.066,42.3,29.56,19.676,9.33,1.116,✔️,0.0,False,GPU
48,🧠🔁,Neural Network,[FastaiMLP (tuned + ensembled)](https://arxiv.org/abs/2003.06505),1254.0,+57/-59,0.101,42.42,28.64,20.001,559.38,4.079,✔️,0.0,False,CPU
49,🧠⚡,Foundation Model,[TabPFNv2 (default)](https://www.nature.com/articles/s41586-024-08328-6) [33.33% IMPUTED],1254.0,+78/-77,0.195,42.43,18.52,21.738,2.71,0.276,✔️,33.33,True,GPU
50,🌳,Tree-based,[EBM (default)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),1239.0,+47/-50,0.058,43.76,28.49,21.339,3.27,0.015,✔️,0.0,False,CPU
51,🌳,Tree-based,[XGBoost (default)](https://arxiv.org/abs/1603.02754),1222.0,+59/-54,0.06,45.26,33.29,20.805,1.24,0.11,✔️,0.0,False,CPU
52,🧠🔁,Neural Network,[TorchMLP (tuned)](https://arxiv.org/abs/2003.06505),1220.0,+41/-37,0.048,45.48,34.64,20.507,2241.92,0.136,✔️,0.0,False,CPU
53,🧠🔁,Neural Network,[FastaiMLP (tuned)](https://arxiv.org/abs/2003.06505),1187.0,+52/-60,0.04,48.39,32.18,21.905,559.38,0.276,✔️,0.0,False,CPU
54,🌳,Tree-based,[ExtraTrees (tuned + ensembled)](https://link.springer.com/article/10.1007/s10994-006-6226-1),1184.0,+49/-55,0.026,48.67,39.73,21.825,182.35,0.686,✔️,0.0,False,CPU
55,🌳,Tree-based,[LightGBM (default)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1178.0,+42/-35,0.025,49.2,42.01,21.516,0.81,0.093,✔️,0.0,False,CPU
56,🧠⚡,Foundation Model,[iLTM (default)](https://arxiv.org/abs/2511.15941),1170.0,+63/-66,0.054,49.83,30.21,23.348,210.38,43.847,✔️,0.0,False,GPU
57,🧠⚡,Foundation Model,[TabSTAR (tuned)](https://arxiv.org/abs/2505.18125),1165.0,+75/-86,0.159,50.28,12.96,24.636,25373.34,3.667,✔️,0.0,False,GPU
58,🌳,Tree-based,[ExtraTrees (tuned)](https://link.springer.com/article/10.1007/s10994-006-6226-1),1161.0,+56/-57,0.026,50.64,38.9,22.623,182.35,0.058,✔️,0.0,False,CPU
59,🧠⚡,Foundation Model,[TabSTAR (tuned + ensembled)](https://arxiv.org/abs/2505.18125),1159.0,+74/-86,0.151,50.82,12.48,24.763,25373.34,14.078,✔️,0.0,False,GPU
60,🌳,Tree-based,[RandomForest (tuned + ensembled)](https://link.springer.com/article/10.1023/A:1010933404324),1151.0,+51/-60,0.02,51.51,39.09,23.212,169.75,0.603,✔️,0.0,False,CPU
61,🧠⚡,Foundation Model,[OrionMSP (default)](https://arxiv.org/abs/2511.02818),1141.0,+72/-71,0.084,52.33,34.91,24.319,14.46,2.705,➖,0.0,False,GPU
62,🌳,Tree-based,[RandomForest (tuned)](https://link.springer.com/article/10.1023/A:1010933404324),1119.0,+42/-59,0.006,54.11,42.28,23.868,169.75,0.059,✔️,0.0,False,CPU
63,🌳,Tree-based,[PerpetualBooster (tuned + ensembled)](https://perpetual-ml.com/),1099.0,+60/-69,0.03,55.72,41.63,25.667,117.85,0.773,✔️,0.0,False,CPU
64,🧠🔁,Neural Network,[TorchMLP (default)](https://arxiv.org/abs/2003.06505),1098.0,+50/-46,0.01,55.8,41.98,24.178,4.95,0.091,✔️,0.0,False,CPU
65,🌳,Tree-based,[PerpetualBooster (tuned)](https://perpetual-ml.com/),1067.0,+58/-71,0.015,58.15,44.46,27.037,117.85,0.29,✔️,0.0,False,CPU
66,🧠⚡,Foundation Model,[TabSTAR (default)](https://arxiv.org/abs/2505.18125),1067.0,+86/-107,0.099,58.18,20.64,29.359,391.11,4.052,✔️,0.0,False,GPU
67,🧠🔁,Neural Network,[FastaiMLP (default)](https://arxiv.org/abs/2003.06505),1066.0,+58/-80,0.011,58.27,37.97,25.492,2.56,0.267,✔️,0.0,False,CPU
68,📏,Baseline,[Linear (tuned + ensembled)](https://scikit-learn.org/stable/modules/linear_model.html),1053.0,+86/-103,0.053,59.18,37.62,29.989,162.68,0.405,✔️,0.0,False,CPU
69,🧠⚡,Foundation Model,[TabFlex (default)](https://arxiv.org/abs/2506.05584),1044.0,+99/-99,0.055,59.78,37.15,29.25,0.85,0.129,➖,0.0,False,GPU
70,📏,Baseline,[KNN (tuned + ensembled)](https://scikit-learn.org/stable/modules/neighbors.html),1030.0,+58/-96,0.013,60.79,44.81,27.442,139.88,3.917,✔️,0.0,False,CPU
71,📏,Baseline,[Linear (tuned)](https://scikit-learn.org/stable/modules/linear_model.html),1028.0,+88/-112,0.033,60.88,40.01,30.607,162.68,0.054,✔️,0.0,False,CPU
72,🌳,Tree-based,[ExtraTrees (default)](https://link.springer.com/article/10.1007/s10994-006-6226-1),1002.0,+71/-93,0.009,62.61,54.55,27.56,1.09,0.191,✔️,0.0,False,CPU
73,🌳,Tree-based,[RandomForest (default)](https://link.springer.com/article/10.1023/A:1010933404324),1000.0,+60/-76,0.004,62.74,55.98,27.899,0.25,0.029,✔️,0.0,False,CPU
74,❓,Other,[xRFM (default)](https://arxiv.org/abs/2508.10053),984.0,+71/-100,0.01,63.76,55.28,30.698,2.8,0.564,✔️,0.0,False,GPU
75,📏,Baseline,[Linear (default)](https://scikit-learn.org/stable/modules/linear_model.html),972.0,+79/-109,0.021,64.42,44.2,32.438,0.84,0.094,✔️,0.0,False,CPU
76,🌳,Tree-based,[PerpetualBooster (default)](https://perpetual-ml.com/),947.0,+55/-73,0.0,65.85,53.67,31.077,15.8,0.029,✔️,0.0,False,CPU
77,📏,Baseline,[KNN (tuned)](https://scikit-learn.org/stable/modules/neighbors.html),926.0,+66/-125,0.001,66.97,49.62,32.224,139.88,0.193,✔️,0.0,False,CPU
78,📏,Baseline,[KNN (default)](https://scikit-learn.org/stable/modules/neighbors.html),624.0,+100/-160,0.0,76.48,69.69,46.112,0.15,0.023,✔️,0.0,False,CPU
