,TabFM+,TabFM (default),"AutoGluon 1.6 (noncommercial, 4h)",EXAONE-Tabular (default),"AutoGluon 1.6 (extreme, 4h)","AutoGluon 1.5 (extreme, 4h)",TabPFN-3 (default),TabICLv2 (default),TabPFN-2.6 (default),RealTabPFN-2.5 (T+E),"AutoGluon 1.4 (best, 4h)",RealMLP (T+E),TabM (T+E),TabDPT-Turbo (default),LimiX (default),TabICL (default),TabDPT (T+E),LightGBM (T+E),CatBoost (T+E),iLTM (T+E),TabPFNv2 (T+E),Mitra (default),ChimeraBoost (T+E),BetaTabPFN (default),TabSwift (default),XGBoost (T+E),ModernNCA (T+E),xRFM (T+E),SAP-RPT-OSS (default),EBM (T+E),TorchMLP (T+E),FastaiMLP (T+E),ExtraTrees (T+E),RandomForest (T+E),TabSTAR (T+E),OrionMSP (default),PerpetualBooster (T+E),Linear (T+E),KNN (T+E),TabFlex (default)
ModernNCA (T+E),0.06549708,0.100877196,0.06842105,0.048538014,0.095029235,0.07982456,0.13245614,0.21432748,0.15,0.24707603,0.32046783,0.35233915,0.3605263,0.43070185,0.43596488,0.4423977,0.44181287,0.45438597,0.44327486,0.45497075,0.43888885,0.4564328,0.44327486,0.5239766,0.52573097,0.5187135,,0.5552631,0.5918129,0.61695915,0.5918129,0.644152,0.72105265,0.72660816,0.7362573,0.7362573,0.82309943,0.78304094,0.83435667,0.80058485
xRFM (T+E),0.09356726,0.09853802,0.06812866,0.07339182,0.07280702,0.09590644,0.1511696,0.21081872,0.18245615,0.20321639,0.26330408,0.23304093,0.35643274,0.36900586,0.37836257,0.34532166,0.38026318,0.3657895,0.34561405,0.34254387,0.40116957,0.4333333,0.43567246,0.45409355,0.4450292,0.39254388,0.44473684,,0.5102339,0.54912275,0.5081871,0.62324566,0.6716375,0.7134503,0.7225146,0.79298246,0.78888893,0.87953216,0.90219295,0.8739765
SAP-RPT-OSS (default),0.08654971,0.10847952,0.12733918,0.08362574,0.13596492,0.16666669,0.17836256,0.22953217,0.17456141,0.19225147,0.32719302,0.3032164,0.3078948,0.37105265,0.36491227,0.35116956,0.3652047,0.34532169,0.33742693,0.36081874,0.4761696,0.46111113,0.33771935,0.40643272,0.4152047,0.4008772,0.40818715,0.48976612,,0.44532165,0.5134503,0.58011705,0.6140351,0.6121345,0.6552632,0.70263165,0.7862573,0.8324562,0.7818713,0.8394737
EBM (T+E),0.06111112,0.08421052,0.048830416,0.05263158,0.056140352,0.09239767,0.13274854,0.18713452,0.14502926,0.17368424,0.22543857,0.23684213,0.24005847,0.36842108,0.31783625,0.35292396,0.36535084,0.29371345,0.33157897,0.3450292,0.37938595,0.36461982,0.32777777,0.37748536,0.45935676,0.38245615,0.383041,0.4508772,0.55467844,,0.53713447,0.5685673,0.68786544,0.6915204,0.78070176,0.7497076,0.79122806,0.87485373,0.8602339,0.86198837
TorchMLP (T+E),0.043567263,0.066081874,0.032017548,0.0380117,0.044590645,0.067251466,0.10994152,0.15116958,0.11783626,0.15614036,0.18421054,0.22982454,0.27397662,0.31081873,0.35292396,0.31929827,0.34517542,0.33070168,0.32807016,0.324269,0.4307017,0.3991228,0.3722222,0.38216367,0.43157893,0.36505845,0.40818712,0.49181286,0.48654974,0.46286553,,0.6263158,0.6725147,0.70292395,0.7665205,0.7403509,0.8295322,0.8527778,0.8327485,0.86169595
FastaiMLP (T+E),0.06578948,0.103801176,0.057602342,0.057602335,0.052485384,0.09035088,0.12792398,0.14853801,0.14093569,0.16593567,0.17368424,0.1378655,0.23304093,0.26286548,0.33874267,0.29970756,0.29181287,0.30350876,0.28771934,0.25760233,0.3861111,0.36988297,0.35497075,0.33391815,0.3070175,0.3479532,0.35584792,0.37675437,0.41988298,0.43143272,0.37368417,,0.57397664,0.6346491,0.65380114,0.6499999,0.74444443,0.8172514,0.80818707,0.8388889
ExtraTrees (T+E),0.055847954,0.05877193,0.047660824,0.05292398,0.05643275,0.0748538,0.064619884,0.10862574,0.08421052,0.11608188,0.21783628,0.17719297,0.23070174,0.21359646,0.25526318,0.1871345,0.24385966,0.2168129,0.2116959,0.23494153,0.3881579,0.39005846,0.30409354,0.2909357,0.3277778,0.25029242,0.27894735,0.32836255,0.3859649,0.3121345,0.3274854,0.4260234,,0.59225154,0.6020468,0.6994152,0.6766082,0.70277774,0.8520468,0.7915206
RandomForest (T+E),0.044152047,0.051754385,0.05087719,0.033333335,0.05350877,0.06081871,0.080409355,0.09444445,0.0883041,0.1011696,0.14736843,0.1374269,0.20847954,0.19532165,0.2494152,0.19152047,0.20409358,0.18333335,0.18450293,0.19941522,0.35409352,0.3769006,0.25263157,0.26988307,0.32953215,0.19780703,0.2733918,0.28654978,0.38786548,0.3084795,0.29707602,0.36535084,0.40774852,,0.6078947,0.6345029,0.6675439,0.68801165,0.8073099,0.72222227
TabSTAR (T+E),0.0997076,0.118128665,0.10730993,0.10643275,0.107602336,0.13011697,0.10321638,0.13450293,0.1254386,0.12631579,0.16754386,0.15847953,0.15438597,0.20233919,0.27894738,0.21140352,0.23391815,0.17105263,0.1769006,0.21067253,0.32690057,0.3108187,0.18245615,0.14415205,0.20818715,0.19883044,0.2637427,0.2774854,0.3447368,0.21929824,0.23347954,0.3461988,0.3979532,0.39210525,,0.50731003,0.6350878,0.6190058,0.66374266,0.6640351
OrionMSP (default),0.026023393,0.049122807,0.035964917,0.043274853,0.03157895,0.04751462,0.042690065,0.069005854,0.075731,0.06549708,0.16944444,0.1397661,0.16842106,0.11637427,0.21067253,0.13011697,0.1152047,0.17602341,0.21812865,0.19576025,0.28976607,0.27967834,0.20906433,0.21169592,0.10818714,0.21915208,0.2637427,0.20701754,0.2973684,0.25029242,0.2596491,0.35000005,0.30058482,0.36549708,0.49269003,,0.57748544,0.6365498,0.6149123,0.7166667
PerpetualBooster (T+E),0.020467838,0.011988305,0.022807019,0.020467836,0.029532166,0.0377193,0.042397667,0.052046787,0.04912281,0.04035088,0.064035095,0.064619884,0.09415205,0.112865485,0.1856725,0.07777778,0.1128655,0.08684211,0.115204684,0.103801176,0.24093565,0.24502923,0.18684213,0.16257308,0.12397662,0.1646199,0.17690057,0.21111111,0.21374269,0.20877193,0.17046784,0.25555554,0.32339182,0.33245614,0.36491227,0.42251462,,0.5815789,0.552924,0.5517545
Linear (T+E),0.027192986,0.03391813,0.035964917,0.034210525,0.03421053,0.05175439,0.062573105,0.058479536,0.0637427,0.08771931,0.084064335,0.075730994,0.083625734,0.17309941,0.16520466,0.16812867,0.18976608,0.09327486,0.11111111,0.14385965,0.21403506,0.19736843,0.14532165,0.11988304,0.2002924,0.115204684,0.21695907,0.12046784,0.16754386,0.1251462,0.14722224,0.18274854,0.29722223,0.3119883,0.3809942,0.3634503,0.4184211,,0.48304096,0.5248538
KNN (T+E),0.030701756,0.05,0.024853801,0.021929825,0.023099417,0.040935673,0.061403513,0.05964913,0.05877193,0.084795326,0.09093567,0.088304095,0.10555556,0.09853802,0.20350876,0.100584805,0.10277778,0.094736844,0.10438597,0.11666667,0.25058478,0.26549703,0.15482455,0.10964913,0.16111112,0.12251461,0.16564327,0.09780702,0.21812865,0.1397661,0.16725147,0.19181287,0.14795323,0.19269004,0.3362573,0.3850877,0.447076,0.5169591,,0.5005848
TabFlex (default),0.03187135,0.044736844,0.028362576,0.04766082,0.028362576,0.049707603,0.036842104,0.06491228,0.050584797,0.060526315,0.11081872,0.110818714,0.10175439,0.07777778,0.2005848,0.104385965,0.09649123,0.12660818,0.15614034,0.111988306,0.22309941,0.19502924,0.14473684,0.107017554,0.051169593,0.15073098,0.19941519,0.12602338,0.16052632,0.1380117,0.1383041,0.16111112,0.20847952,0.2777778,0.3359649,0.2833333,0.4482456,0.4751462,0.4994152,
