,EXAONE-Tabular (default),"AutoGluon 1.6 (noncommercial, 4h)",TabFM (default),TabFM+,"AutoGluon 1.6 (extreme, 4h)","AutoGluon 1.5 (extreme, 4h)","AutoGluon 1.4 (best, 4h)",TabPFN-3 (default),TabICLv2 (default),ChimeraBoost (T+E),TabPFN-2.6 (default),CatBoost (T+E),iLTM (T+E),RealMLP (T+E),TabM (T+E),XGBoost (T+E),LightGBM (T+E),ModernNCA (T+E),RealTabPFN-2.5 (T+E),TabICL (default),TabDPT (T+E),TabDPT-Turbo (default),TorchMLP (T+E),xRFM (T+E),EBM (T+E),TabSwift (default),BetaTabPFN (default),FastaiMLP (T+E),RandomForest (T+E),SAP-RPT-OSS (default),LimiX (default),ExtraTrees (T+E),Linear (T+E),TabSTAR (T+E),KNN (T+E),PerpetualBooster (T+E),OrionMSP (default),TabFlex (default)
EXAONE-Tabular (default),,0.60493827,0.43209875,0.5185185,0.65432096,0.8148148,0.8518518,0.7530864,0.80246913,0.83950615,0.97530866,0.8765432,0.95061725,0.9012345,0.9876544,0.97530866,0.9876544,0.97530866,0.97530866,0.96296287,0.9876544,0.9876544,0.9876544,0.93827164,0.9876544,0.9876544,0.9876544,0.9876544,0.9876544,1.0,1.0,0.9876544,1.0,1.0,1.0,1.0,1.0,1.0
"AutoGluon 1.6 (noncommercial, 4h)",0.39506173,,0.35802472,0.41975304,0.7654321,0.79012346,0.77777785,0.83950615,0.82716054,0.8765432,0.962963,0.9012345,0.95061725,0.97530866,0.9876544,0.962963,0.95061725,0.97530866,0.9876544,0.95061725,0.97530866,0.93827164,0.97530866,0.97530866,1.0,0.97530866,1.0,0.9876544,1.0,1.0,0.9876544,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TabFM (default),0.56790125,0.6419753,,0.5061729,0.6419753,0.6666667,0.67901236,0.9012345,0.9012345,0.82716054,0.95061725,0.7530864,0.8271605,0.80246913,0.9876544,0.8641975,0.83950615,0.8765432,0.96296287,0.95061725,0.96296287,0.96296287,0.96296287,0.8765432,0.9876544,0.95061725,1.0,0.9012345,0.97530866,0.97530866,0.95061725,0.9876544,0.97530866,1.0,0.95061725,1.0,1.0,1.0
TabFM+,0.4814815,0.5802469,0.4938272,,0.60493827,0.6419753,0.6419753,0.8148148,0.83950615,0.8148148,0.96296287,0.7407408,0.8395062,0.8024691,1.0,0.8888889,0.8765432,0.8888889,0.97530866,0.95061725,0.95061725,0.95061725,0.962963,0.8641975,0.9876544,0.96296287,1.0,0.92592597,0.9876544,1.0,0.93827164,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"AutoGluon 1.6 (extreme, 4h)",0.34567904,0.23456791,0.35802472,0.39506173,,0.71604943,0.67901236,0.72839504,0.79012346,0.8765432,0.95061725,0.8641975,0.96296287,0.93827164,0.9012346,0.92592597,0.92592597,0.93827164,0.97530866,0.95061725,0.97530866,0.95061725,0.97530866,1.0,1.0,0.9876544,1.0,0.9876544,1.0,1.0,0.9876544,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"AutoGluon 1.5 (extreme, 4h)",0.1851852,0.20987655,0.33333334,0.35802472,0.28395066,,0.71604943,0.45679012,0.64197534,0.88888884,0.80246913,0.91358024,0.92592597,0.97530866,0.79012346,0.95061725,0.9259259,0.96296287,0.9135802,0.8888889,0.9135802,0.9012345,0.9876544,0.97530866,0.9876544,0.93827164,1.0,1.0,1.0,1.0,0.9876544,1.0,1.0,1.0,0.9876544,0.9876544,1.0,1.0
"AutoGluon 1.4 (best, 4h)",0.14814816,0.22222222,0.32098767,0.35802472,0.32098764,0.28395063,,0.46913582,0.617284,0.691358,0.67901236,0.7407408,0.82716054,0.8518518,0.71604943,0.8518519,0.8271605,0.7654321,0.7037037,0.7407408,0.77777785,0.79012346,0.9012345,0.95061725,0.95061725,0.82716054,0.9012346,0.96296287,0.9876544,0.96296287,0.97530866,0.9876544,1.0,1.0,0.9876544,0.97530866,1.0,1.0
TabPFN-3 (default),0.2469136,0.16049382,0.09876543,0.1851852,0.27160496,0.5432098,0.5308642,,0.53086424,0.7407407,0.72839504,0.6666667,0.67901236,0.71604943,0.7654321,0.71604943,0.7037037,0.8765432,0.8518518,0.8518519,0.8765432,0.95061725,0.8148148,0.7654321,0.8518519,0.962963,0.93827164,0.8888889,0.93827164,0.91358024,0.8888889,0.962963,0.91358024,1.0,0.92592597,1.0,1.0,1.0
TabICLv2 (default),0.19753088,0.17283951,0.09876544,0.16049382,0.20987655,0.35802472,0.38271606,0.46913582,,0.5432099,0.48148143,0.5679012,0.59259254,0.53086424,0.5679012,0.58024687,0.654321,0.67901236,0.8148148,0.8148148,0.8888889,0.8641975,0.79012346,0.66666675,0.7530864,0.9012345,0.91358024,0.82716054,0.96296287,0.91358024,0.9012345,0.9876544,0.91358024,0.97530866,0.95061725,1.0,1.0,1.0
ChimeraBoost (T+E),0.16049385,0.1234568,0.17283951,0.18518518,0.1234568,0.11111113,0.30864197,0.25925928,0.45679012,,0.45679012,0.5061729,0.60493827,0.6666667,0.6296297,0.6666667,0.65432096,0.61728394,0.6296296,0.66666675,0.7037037,0.7037037,0.7407408,0.8888889,0.97530866,0.6666667,0.93827164,0.8641975,1.0,0.9876544,0.83950615,0.97530866,1.0,1.0,0.9876544,0.8641975,1.0,1.0
