,TabFM (default),TabPFN-3 (default),TabPFN-2.6 (default),RealTabPFN-2.5 (T+E),TabICLv2 (default),EXAONE-Tabular (default),TabPFNv2 (T+E),RealMLP (T+E),TabDPT-Turbo (default),TabDPT (T+E),Mitra (default),TabM (T+E),LimiX (default),LightGBM (T+E),TabSwift (default),CatBoost (T+E),iLTM (T+E),TabICL (default),xRFM (T+E),SAP-RPT-OSS (default),ModernNCA (T+E),BetaTabPFN (default),XGBoost (T+E),ChimeraBoost (T+E),EBM (T+E),TorchMLP (T+E),ExtraTrees (T+E),FastaiMLP (T+E),Nori-30M (default),RandomForest (T+E),Nori (default),TabSTAR (T+E),OrionMSP (default),PerpetualBooster (T+E),TabFlex (default),KNN (T+E),Linear (T+E)
Mitra (default),0.10555556,0.22314817,0.26635802,0.26820987,0.28564808,0.3339506,0.44814813,0.47006172,0.5188272,0.5,,0.60370374,0.5378086,0.6277778,0.6154321,0.6441358,0.65509254,0.6765433,0.65,0.6598766,0.67839503,0.7302469,0.6912037,0.7592593,0.81882715,0.8191358,0.7759259,0.80956787,0.7194444,0.8055556,0.73240733,0.81543213,0.82453704,0.8580247,0.88611114,0.9018519,0.9441358
TabM (T+E),0.12191358,0.2108025,0.21820986,0.21234567,0.2367284,0.29737654,0.34104937,0.41481486,0.46898153,0.44799387,0.39629626,,0.44969136,0.59104943,0.55277777,0.61975306,0.61496913,0.5910494,0.62685186,0.62438273,0.6388889,0.6666666,0.69938266,0.7376543,0.784568,0.77376544,0.72870374,0.78919756,0.7185185,0.77253085,0.73209876,0.79166675,0.8092592,0.8808642,0.8796297,0.8833334,0.930247
LimiX (default),0.09768519,0.24351852,0.25802475,0.24660495,0.27330247,0.25740743,0.4367284,0.48549378,0.42191356,0.4634259,0.46219137,0.55030864,,0.59938264,0.54814816,0.60246915,0.6387346,0.6157407,0.6104939,0.6145061,0.6296297,0.6246913,0.6407407,0.7265432,0.733642,0.70987654,0.73765427,0.7199074,0.7364198,0.7725308,0.7546297,0.7796296,0.8023148,0.8197531,0.8067902,0.8589507,0.91049385
LightGBM (T+E),0.09074074,0.16141976,0.18333335,0.17283951,0.20987655,0.29135805,0.3322531,0.28518522,0.38858026,0.37777779,0.37222221,0.40895063,0.4006173,,0.5246914,0.5280864,0.5189815,0.5407407,0.56913584,0.5450618,0.53734565,0.5496914,0.712963,0.7029321,0.7158952,0.65679014,0.71990746,0.73456794,0.7388889,0.8077161,0.7419753,0.7762346,0.8117284,0.9089507,0.86080253,0.8904321,0.9077161
TabSwift (default),0.12993829,0.12283952,0.21419753,0.2367284,0.19567901,0.3092593,0.35925925,0.41543213,0.31342593,0.3516975,0.38456786,0.44722223,0.45185184,0.47530863,,0.4910494,0.5197531,0.4987654,0.528395,0.58765435,0.5191357,0.54444444,0.55123454,0.5808642,0.62654316,0.67037034,0.7033951,0.7669753,0.6978395,0.75401235,0.72438264,0.7904321,0.8774692,0.85740745,0.93765426,0.8820988,0.86574066
CatBoost (T+E),0.07561728,0.14783953,0.13395064,0.15709877,0.19043213,0.26435187,0.32870376,0.25555554,0.35432103,0.36296296,0.35586423,0.38024697,0.39753085,0.47191367,0.5089506,,0.50401235,0.53549385,0.5453704,0.5746913,0.55864197,0.5632716,0.6100309,0.65709877,0.6598765,0.65771604,0.7243827,0.700926,0.7240741,0.8172839,0.71944445,0.77160496,0.77006173,0.87808645,0.83549386,0.88179016,0.8858025
iLTM (T+E),0.0962963,0.13641974,0.14074074,0.1779321,0.17901236,0.28888887,0.3219136,0.24382716,0.33888894,0.30092594,0.34490737,0.38503084,0.36126536,0.48101842,0.48024696,0.49598774,,0.48780864,0.56774694,0.54722226,0.53055555,0.53240734,0.5862654,0.64012355,0.6398148,0.65833336,0.7205248,0.7324074,0.74938273,0.80925924,0.7592593,0.73287046,0.7905864,0.88055545,0.8759259,0.87037045,0.84814817
TabICL (default),0.04969136,0.12515432,0.19074073,0.22021607,0.15941358,0.21188271,0.35154322,0.36080247,0.37592593,0.4060185,0.3234568,0.40895066,0.3842592,0.4592593,0.50123465,0.46450615,0.51219136,,0.5135802,0.49969134,0.4941358,0.5228395,0.5108025,0.5700618,0.5851851,0.6,0.6453703,0.6191358,0.7271605,0.65771604,0.72623456,0.70617276,0.7515433,0.78827167,0.7848766,0.87777776,0.8811729
xRFM (T+E),0.08333334,0.12067902,0.15246914,0.16882716,0.18117285,0.27314815,0.26296297,0.24259263,0.33364198,0.31558645,0.35000002,0.37314814,0.38950616,0.4308642,0.47160494,0.45462963,0.4322531,0.4864198,,0.48796293,0.5074074,0.52098763,0.49058643,0.58919746,0.6108025,0.5817902,0.67067903,0.638426,0.7382716,0.762963,0.74228394,0.69907403,0.7861111,0.79722226,0.86851853,0.89953697,0.8780864
SAP-RPT-OSS (default),0.12222222,0.19259258,0.20339507,0.20941359,0.23919755,0.28240737,0.3375,0.33179015,0.3638889,0.35617286,0.34012344,0.37561733,0.38549384,0.45493826,0.4123457,0.42530864,0.4527778,0.50030863,0.51203704,,0.49537033,0.52160496,0.51666665,0.5237654,0.5796296,0.6354938,0.6524691,0.6817901,0.6459877,0.7097223,0.64969134,0.67808646,0.6922839,0.7589506,0.80895066,0.783642,0.87469137
ModernNCA (T+E),0.09475309,0.14753085,0.11759261,0.1845679,0.18981482,0.26388887,0.2697531,0.3126543,0.3617284,0.31820983,0.32160488,0.36111107,0.37037036,0.46265432,0.48086426,0.44135797,0.46944442,0.50586426,0.49259254,0.5046296,,0.5395062,0.55123454,0.5743827,0.6104939,0.59135807,0.6694445,0.6466049,0.6700617,0.7404321,0.6759259,0.6950616,0.72654325,0.7895062,0.80061734,0.81898147,0.7978396
BetaTabPFN (default),0.108179,0.17330247,0.1925926,0.16759259,0.20030865,0.2058642,0.24861111,0.32469133,0.36666667,0.39166668,0.26975307,0.3333333,0.37530863,0.45030865,0.4555556,0.4367284,0.46759266,0.47716057,0.47901237,0.4783951,0.46049383,,0.491358,0.5763889,0.64567906,0.5984568,0.5882717,0.60771614,0.6842592,0.61820996,0.6833332,0.7740741,0.70555556,0.72962964,0.78518516,0.8527777,0.9320987
XGBoost (T+E),0.0712963,0.117129646,0.11975309,0.12160495,0.17037039,0.26080245,0.27175924,0.17839508,0.3141975,0.32793212,0.30879632,0.30061734,0.35925925,0.28703701,0.44876543,0.38996917,0.41373456,0.48919746,0.50941354,0.48333332,0.4487655,0.508642,,0.5746914,0.6070987,0.60015434,0.6750001,0.6663581,0.7209876,0.7844136,0.7259259,0.7459877,0.7649691,0.83765435,0.83719134,0.8589507,0.87839514
ChimeraBoost (T+E),0.07777778,0.10030866,0.10061728,0.11064815,0.15925927,0.24351852,0.22901233,0.22299382,0.27160493,0.26882717,0.24074072,0.26234567,0.27345678,0.29706788,0.41913584,0.34290123,0.3598766,0.42993826,0.41080248,0.47623459,0.42561728,0.4236111,0.42530864,,0.5716049,0.5546296,0.59104943,0.5808642,0.6148148,0.67253095,0.6175926,0.74629635,0.7231481,0.8021605,0.82777774,0.7787037,0.829321
EBM (T+E),0.09135803,0.11512347,0.12469137,0.118518524,0.1484568,0.20462963,0.2029321,0.20617287,0.28734565,0.26527774,0.18117286,0.2154321,0.26635802,0.28410494,0.3734568,0.3401235,0.36018515,0.41481483,0.38919756,0.4203704,0.38950622,0.35432097,0.39290124,0.42839512,,0.52006173,0.59645057,0.5473765,0.6453704,0.6385802,0.6462963,0.72037035,0.6947531,0.72870374,0.78549385,0.82901233,0.8929012
TorchMLP (T+E),0.06666667,0.08179012,0.106790125,0.09351852,0.13580246,0.20185184,0.23179013,0.20925927,0.26080245,0.26435181,0.1808642,0.2262346,0.29012343,0.3432098,0.32962966,0.34228393,0.3416666,0.39999998,0.41820988,0.36450619,0.40864196,0.40154314,0.39984566,0.44537035,0.4799383,,0.6209877,0.65771604,0.6231482,0.69012344,0.62932104,0.7205247,0.66851854,0.721605,0.79660493,0.79999995,0.85447526
ExtraTrees (T+E),0.06666667,0.072222225,0.097839504,0.15679014,0.14984569,0.2654321,0.21003087,0.17993827,0.17916666,0.17808641,0.2240741,0.2712963,0.26234567,0.2800926,0.29660496,0.2756173,0.27947533,0.35462964,0.32932097,0.34753087,0.33055556,0.4117284,0.32500002,0.40895063,0.40354934,0.37901235,,0.47438273,0.6552469,0.71188277,0.6580246,0.59321,0.6885803,0.64753085,0.77962965,0.9092594,0.76342595
FastaiMLP (T+E),0.084876545,0.1072531,0.12407407,0.101080246,0.14135803,0.20555557,0.20941359,0.13935186,0.1845679,0.22160493,0.1904321,0.2108025,0.2800926,0.2654321,0.23302466,0.29907408,0.2675926,0.38086417,0.36157408,0.31820983,0.35339502,0.39228398,0.33364195,0.4191358,0.4526235,0.34228387,0.5256173,,0.5947531,0.62422836,0.6030864,0.6490741,0.6333333,0.633642,0.77716047,0.7824074,0.83333325
Nori-30M (default),0.11697531,0.1345679,0.19567901,0.1941358,0.19351853,0.23395061,0.2753086,0.20555554,0.22006173,0.17839506,0.28055558,0.28148147,0.26358023,0.2611111,0.30216044,0.2759259,0.2506173,0.27283955,0.2617284,0.35401234,0.3299383,0.3157407,0.27901232,0.38518518,0.35462964,0.37685183,0.3447531,0.40524688,,0.320679,0.5462963,0.4469135,0.47314814,0.53395057,0.5651235,0.67623454,0.63796294
RandomForest (T+E),0.049382713,0.07407407,0.082716055,0.104320996,0.108950615,0.25246912,0.14969137,0.114814825,0.1287037,0.12654322,0.19444445,0.22746915,0.22746915,0.19228396,0.24598762,0.18271607,0.19074075,0.34228393,0.23703702,0.29027778,0.2595679,0.38179013,0.21558644,0.32746914,0.3614197,0.30987653,0.2881173,0.3757716,0.679321,,0.67839503,0.5635803,0.63086414,0.5978396,0.7141975,0.8117283,0.7262345
Nori (default),0.06604939,0.11574074,0.1728395,0.16512345,0.17901234,0.23487653,0.25123456,0.18271606,0.2154321,0.17314814,0.26759258,0.2679012,0.24537039,0.2580247,0.27561724,0.28055558,0.24074075,0.27376544,0.25771606,0.35030863,0.3240741,0.31666666,0.27407405,0.3824074,0.3537037,0.37067902,0.34197533,0.3969136,0.45370373,0.3216049,,0.4441358,0.47407404,0.53395057,0.5660494,0.67530864,0.63796294
TabSTAR (T+E),0.1404321,0.13765433,0.15277778,0.16111112,0.16265434,0.1984568,0.22006173,0.20524691,0.22716051,0.24197531,0.1845679,0.20833333,0.22037038,0.22376543,0.20956792,0.22839506,0.26712963,0.29382718,0.30092594,0.32191357,0.30493823,0.22592592,0.25401232,0.25370368,0.27962962,0.27947527,0.4067901,0.35092592,0.55308646,0.43641973,0.5558642,,0.44259262,0.5500001,0.5432099,0.63703704,0.66358024
OrionMSP (default),0.05277778,0.04598766,0.080864206,0.06790124,0.08919754,0.15493828,0.17870371,0.14845678,0.097839504,0.11851854,0.17546298,0.19074076,0.1976852,0.1882716,0.12253087,0.22993827,0.2094136,0.24845679,0.2138889,0.307716,0.27345678,0.29444444,0.23503089,0.27685183,0.30524695,0.3314815,0.31141979,0.36666667,0.5268519,0.36913577,0.52592593,0.5574074,,0.5848766,0.6916666,0.6978395,0.77067906
PerpetualBooster (T+E),0.014506172,0.046604946,0.04969136,0.036111113,0.0712963,0.15030864,0.12962963,0.06666668,0.119135804,0.11882716,0.14197531,0.119135804,0.1802469,0.09104939,0.14259261,0.12191359,0.11944444,0.2117284,0.20277779,0.24104936,0.2104938,0.27037036,0.16234569,0.19783953,0.27129626,0.27839503,0.35246915,0.366358,0.4660494,0.40216053,0.4660494,0.44999996,0.41512346,,0.5484568,0.61049384,0.6780864
TabFlex (default),0.04814815,0.039814815,0.054320987,0.06574074,0.084876545,0.16141976,0.13611111,0.117901236,0.054012347,0.0925926,0.1138889,0.12037037,0.19320989,0.13919753,0.062345676,0.16450618,0.12407407,0.21512347,0.13148147,0.1910494,0.19938271,0.21481483,0.16280863,0.17222223,0.21450618,0.20339507,0.22037037,0.22283949,0.43487656,0.28580248,0.4339506,0.4567901,0.3083333,0.4515432,,0.6006173,0.6280864
KNN (T+E),0.043209877,0.052777782,0.04938272,0.071296304,0.05432099,0.07623457,0.075925924,0.096604936,0.070370376,0.06898149,0.098148145,0.116666675,0.1410494,0.1095679,0.117901236,0.11820989,0.12962964,0.12222222,0.10046296,0.21635804,0.18101853,0.14722222,0.14104939,0.2212963,0.17098767,0.20000002,0.090740755,0.2175926,0.32376546,0.1882716,0.32469139,0.36296296,0.30216047,0.38950622,0.39938274,,0.58240736
Linear (T+E),0.029629631,0.04444444,0.058024697,0.04938272,0.040123463,0.045370374,0.07160494,0.07993827,0.10864198,0.13240741,0.0558642,0.06975309,0.08950618,0.09228396,0.13425927,0.11419753,0.15185185,0.11882717,0.12191358,0.12530865,0.20216049,0.067901224,0.12160495,0.17067903,0.10709876,0.1455247,0.23657407,0.16666667,0.36203706,0.27376544,0.36203706,0.3364198,0.22932097,0.3219136,0.37191355,0.4175926,
