,TabFM (default),TabPFN-3 (default),TabPFN-2.6 (default),RealTabPFN-2.5 (T+E),TabICLv2 (default),EXAONE-Tabular (default),TabPFNv2 (T+E),RealMLP (T+E),TabDPT-Turbo (default),TabDPT (T+E),Mitra (default),TabM (T+E),LimiX (default),LightGBM (T+E),TabSwift (default),CatBoost (T+E),iLTM (T+E),TabICL (default),xRFM (T+E),SAP-RPT-OSS (default),ModernNCA (T+E),BetaTabPFN (default),XGBoost (T+E),ChimeraBoost (T+E),EBM (T+E),TorchMLP (T+E),ExtraTrees (T+E),FastaiMLP (T+E),Nori-30M (default),RandomForest (T+E),Nori (default),TabSTAR (T+E),OrionMSP (default),PerpetualBooster (T+E),TabFlex (default),KNN (T+E),Linear (T+E)
TabFM (default),,0.78888893,0.79043204,0.80077165,0.8200618,0.792284,0.8864198,0.86111116,0.87932104,0.8793209,0.89444447,0.87808645,0.9023149,0.90925926,0.8700617,0.92438275,0.9037037,0.9503087,0.9166667,0.8777778,0.905247,0.8918209,0.9287037,0.92222226,0.90864205,0.9333333,0.9333334,0.9151234,0.8830247,0.95061725,0.9339507,0.8595679,0.9472222,0.9854938,0.95185184,0.9567901,0.9703704
TabPFN-3 (default),0.21111113,,0.57345676,0.5756173,0.57253087,0.51172847,0.7404321,0.76358014,0.7641975,0.75802463,0.7768519,0.7891976,0.7564814,0.83858037,0.8771605,0.8521605,0.8635802,0.8748457,0.87932104,0.8074074,0.8524691,0.8266976,0.88287044,0.89969134,0.88487655,0.9182099,0.9277778,0.89274704,0.865432,0.9259258,0.8842592,0.86234576,0.95401233,0.953395,0.96018517,0.9472222,0.9555556
TabPFN-2.6 (default),0.20956792,0.42654324,,0.4746914,0.47067901,0.40771604,0.6521605,0.7364198,0.675,0.66635805,0.73364204,0.7817901,0.74197537,0.8166667,0.7858025,0.86604947,0.85925925,0.8092593,0.84753084,0.79660493,0.8824074,0.80740744,0.880247,0.8993827,0.8753087,0.8932099,0.9021604,0.875926,0.804321,0.917284,0.82716054,0.84722215,0.9191358,0.9503087,0.945679,0.95061725,0.9419753
RealTabPFN-2.5 (T+E),0.19922839,0.42438275,0.5253086,,0.5268519,0.42746913,0.7141976,0.72777784,0.6626543,0.6614197,0.73179007,0.7876543,0.7533952,0.8271606,0.76327163,0.8429013,0.822068,0.77978396,0.83117276,0.7905864,0.8154321,0.83240736,0.8783951,0.88935196,0.8814816,0.90648144,0.8432099,0.89891964,0.8058642,0.89567894,0.83487654,0.8388889,0.9320988,0.9638888,0.9342592,0.9287037,0.95061725
TabICLv2 (default),0.17993829,0.42746916,0.529321,0.47314808,,0.4660493,0.67067903,0.721605,0.70524687,0.72268516,0.7143519,0.7632717,0.7266975,0.7901235,0.804321,0.8095679,0.8209876,0.8405865,0.81882733,0.7608025,0.81018525,0.7996914,0.82962966,0.8407408,0.8515432,0.86419755,0.85015434,0.85864204,0.8064815,0.8910495,0.82098764,0.8373457,0.9108024,0.9287037,0.9151234,0.945679,0.9598765
EXAONE-Tabular (default),0.20771606,0.4882716,0.59228396,0.5725309,0.5339506,,0.6669753,0.6864197,0.625,0.65925926,0.6660494,0.7026235,0.74259263,0.70864207,0.6907408,0.73564816,0.71111107,0.78811723,0.7268519,0.71759266,0.7361111,0.7941358,0.73919755,0.75648147,0.7953704,0.79814816,0.7345679,0.79444444,0.7660493,0.7475309,0.7651234,0.8015432,0.8450618,0.84969133,0.83858025,0.9237655,0.95462966
TabPFNv2 (T+E),0.11358026,0.2595679,0.3478395,0.28580242,0.329321,0.33302468,,0.5695988,0.55339503,0.5314815,0.55185187,0.6589506,0.56327164,0.6677469,0.64074075,0.6712963,0.67808646,0.6484568,0.737037,0.66249996,0.7302469,0.7513889,0.7282407,0.77098763,0.79706794,0.7682099,0.78996915,0.79058635,0.7246914,0.85030866,0.74876547,0.7799382,0.8212963,0.87037045,0.8638889,0.92407405,0.92839503
RealMLP (T+E),0.1388889,0.23641975,0.2635802,0.27222222,0.2783951,0.31358027,0.43040124,,0.48765436,0.46929014,0.5299383,0.5851852,0.5145062,0.7148148,0.5845679,0.7444445,0.7561729,0.6391976,0.75740755,0.66820985,0.6873456,0.67530864,0.821605,0.77700615,0.79382706,0.7907407,0.82006174,0.86064816,0.79444444,0.8851852,0.817284,0.79475313,0.8515432,0.9333333,0.88209873,0.90339494,0.92006177
TabDPT-Turbo (default),0.12067902,0.23580249,0.325,0.33734566,0.29475302,0.375,0.44660494,0.5123457,,0.50987655,0.48117283,0.5310185,0.57808644,0.61141974,0.68657416,0.6456791,0.6611111,0.62407416,0.66635805,0.6361111,0.6382716,0.6333333,0.6858024,0.7283951,0.71265435,0.7391975,0.8208333,0.81543213,0.7799382,0.8712963,0.7845679,0.7728395,0.9021605,0.88086426,0.9459877,0.9296296,0.8913581
TabDPT (T+E),0.12067902,0.24197531,0.33364204,0.33858025,0.2773148,0.34074074,0.46851853,0.53070986,0.49012348,,0.5,0.5520061,0.5365741,0.6222222,0.6483024,0.63703704,0.69907403,0.59398144,0.6844137,0.64382714,0.6817901,0.60833335,0.6720679,0.7311728,0.7347223,0.73564816,0.82191354,0.77839506,0.82160497,0.8734567,0.82685196,0.7580247,0.88148147,0.8811729,0.90740746,0.9310186,0.8675926
