#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware,MethodClass,Tags
59,🧠⚡,Foundation Model,[TabSTAR (default)](https://arxiv.org/abs/2505.18125),1020.0,+98/-151,0.105,51.19,17.1,31.159,459.76,5.723,✔️,0.0,False,GPU,model,
60,🌳,Tree-based,[RandomForest (default)](https://link.springer.com/article/10.1023/A:1010933404324),1000.0,+69/-87,0.016,52.4,44.56,28.299,0.51,0.085,✔️,0.0,False,CPU,model,
61,🧠🔁,Neural Network,[FastaiMLP (default)](https://arxiv.org/abs/2003.06505),985.0,+53/-88,0.029,53.28,49.62,26.754,5.83,0.571,✔️,0.0,False,CPU,model,
62,📏,Baseline,[KNN (tuned + ensembled)](https://scikit-learn.org/stable/modules/neighbors.html),972.0,+65/-94,0.031,54.01,46.51,29.115,116.33,1.242,✔️,0.0,False,CPU,model,
63,🌳,Tree-based,[PerpetualBooster (default)](https://perpetual-ml.com/),962.0,+84/-95,0.034,54.57,30.88,34.14,38.53,0.041,✔️,0.0,False,CPU,model,
64,📏,Baseline,[Linear (tuned + ensembled)](https://scikit-learn.org/stable/modules/linear_model.html),909.0,+84/-100,0.028,57.24,22.37,34.602,520.74,0.491,✔️,0.0,False,CPU,model,
65,📏,Baseline,[Linear (tuned)](https://scikit-learn.org/stable/modules/linear_model.html),886.0,+88/-102,0.024,58.25,32.8,35.081,520.74,0.097,✔️,0.0,False,CPU,model,
66,📏,Baseline,[Linear (default)](https://scikit-learn.org/stable/modules/linear_model.html),842.0,+95/-133,0.011,60.08,55.88,37.795,2.59,0.129,✔️,0.0,False,CPU,model,
67,📏,Baseline,[KNN (tuned)](https://scikit-learn.org/stable/modules/neighbors.html),827.0,+79/-110,0.019,60.67,56.42,34.862,116.33,0.075,✔️,0.0,False,CPU,model,
68,📏,Baseline,[KNN (default)](https://scikit-learn.org/stable/modules/neighbors.html),635.0,+76/-162,0.0,65.86,65.37,46.719,0.37,0.035,✔️,0.0,False,CPU,model,
