method,family,x_train,x_infer,imp,elo,n_configs,imputed,imputed_pct
"AutoGluon 1.4 (best, 4h)",System,3351.516151404505,1.5583412662221652,15.130317389702586,1483.3,1.0,False,0.0
"AutoGluon 1.5 (extreme, 4h)",System,345.57237876284324,5.1682902299830396,9.60603142403337,1626.4,1.0,False,0.0
"AutoGluon 1.6 (extreme, 4h)",System,16.4031822835993,0.669591281971178,8.919615285983049,1743.9,1.0,False,0.0
"AutoGluon 1.6 (noncommercial, 4h)",System,21.242808916772635,0.7683619971028925,8.110708951557719,1805.4,1.0,False,0.0
BetaTabPFN,Foundation Model,269.2082934935851,1.8806983387423704,20.653711099102665,1284.1,1.0,True,22.22222222222222
CatBoost,Tree-based,9.035913617563317,0.040885196766327445,18.936454010270758,1307.6,1.0,False,0.0
CatBoost,Tree-based,21.999277796688236,0.0905042500700049,18.18499538453004,1334.5,2.0,False,0.0
CatBoost,Tree-based,53.81410658018028,0.172973570999789,17.718886503580674,1353.6,5.0,False,0.0
CatBoost,Tree-based,96.9989733937028,0.207953085521156,17.474857742786483,1362.8,10.0,False,0.0
CatBoost,Tree-based,231.16469097222762,0.24599976986646652,17.297990973304977,1365.2,25.0,False,0.0
CatBoost,Tree-based,468.62008776139066,0.29167419602486394,17.28863936379036,1360.5,50.0,False,0.0
CatBoost,Tree-based,950.6643741644814,0.34357120199326013,17.128010261229296,1360.1,100.0,False,0.0
CatBoost,Tree-based,1384.6574015382805,0.3883571804880928,17.120079363021453,1355.2,150.0,False,0.0
CatBoost,Tree-based,1827.947236698953,0.39078466016558655,17.04152218419505,1360.4,201.0,False,0.0
ChimeraBoost,Tree-based,6.64027397675574,0.05051592458906829,21.574862882728603,1232.7,1.0,False,0.0
ChimeraBoost,Tree-based,13.132269687418427,0.08739975597310991,20.9293880716945,1256.2,2.0,False,0.0
ChimeraBoost,Tree-based,32.105273890442085,0.1651915960730008,20.40522025160486,1278.6,5.0,False,0.0
ChimeraBoost,Tree-based,63.44768051084664,0.24142550952947325,20.13833536427837,1290.4,10.0,False,0.0
ChimeraBoost,Tree-based,159.6682083941996,0.313171440900174,19.710761234043552,1305.1,25.0,False,0.0
ChimeraBoost,Tree-based,320.83053070466434,0.33358655377353214,19.47709479621662,1313.4,50.0,False,0.0
ChimeraBoost,Tree-based,640.2201263329812,0.37659056797287804,19.36472550710518,1316.2,100.0,False,0.0
ChimeraBoost,Tree-based,959.8260241395661,0.39341228109116577,19.319738843077882,1315.5,150.0,False,0.0
ChimeraBoost,Tree-based,1286.6902635299734,0.46511829937791993,19.37654229080328,1314.0,201.0,False,0.0
EBM,Tree-based,7.596524568416612,0.017011208517573616,21.496460965139953,1201.8,1.0,False,0.0
EBM,Tree-based,20.5778802426717,0.03318811773273807,21.175066117716323,1217.2,2.0,False,0.0
EBM,Tree-based,58.00535294442879,0.05908547571842652,20.833377409951805,1239.4,5.0,False,0.0
EBM,Tree-based,114.25809392014716,0.07830426850939345,20.71575073277844,1243.8,10.0,False,0.0
EBM,Tree-based,281.70596262390995,0.10393537043332769,20.581383133067348,1252.0,25.0,False,0.0
EBM,Tree-based,567.1802440046911,0.1218997246998271,20.430436233668082,1257.7,50.0,False,0.0
EBM,Tree-based,1120.6313986654875,0.1354779967517733,20.2864635244181,1265.4,100.0,False,0.0
EBM,Tree-based,1665.6646846813064,0.1434728710709137,20.24981234361728,1268.4,150.0,False,0.0
EBM,Tree-based,2241.855942091226,0.15230845361948014,20.214811106133467,1269.1,201.0,False,0.0
EXAONE-Tabular,Foundation Model,7.434629968592443,0.5529475230711687,9.668305334106902,1728.8,1.0,False,0.0
ExtraTrees,Tree-based,4.368440402710104,0.6288369945697371,27.755611276687947,1040.7,1.0,False,0.0
ExtraTrees,Tree-based,8.97444279500095,0.7303730135427373,26.189751154688203,1067.7,2.0,False,0.0
