#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware,MethodClass,Tags
59,🧠🔁,Neural Network,[TorchMLP (default)](https://arxiv.org/abs/2003.06505),1052.0,+152/-233,0.019,56.43,54.15,33.336,14.88,0.391,✔️,0.0,False,CPU,model,
60,🧠⚡,Foundation Model,[TabSTAR (tuned)](https://arxiv.org/abs/2505.18125),1034.0,+170/-275,0.025,57.5,51.82,33.002,45499.58,9.024,✔️,0.0,False,GPU,model,
61,🧠⚡,Foundation Model,[TabSTAR (tuned + ensembled)](https://arxiv.org/abs/2505.18125),1022.0,+139/-243,0.005,58.21,54.5,33.35,45499.58,43.922,✔️,0.0,False,GPU,model,
62,🧠⚡,Foundation Model,[OrionMSP (default)](https://arxiv.org/abs/2511.02818),1010.0,+99/-208,0.0,58.86,57.35,35.253,23.33,3.304,➖,0.0,False,GPU,model,
63,🌳,Tree-based,[RandomForest (default)](https://link.springer.com/article/10.1023/A:1010933404324),1000.0,+104/-282,0.0,59.43,57.11,39.739,0.78,0.155,✔️,0.0,False,CPU,model,
64,🧠⚡,Foundation Model,[iLTM (default)](https://arxiv.org/abs/2511.15941),995.0,+88/-206,0.0,59.71,58.58,32.294,559.69,266.319,✔️,0.0,False,GPU,model,
65,🌳,Tree-based,[ExtraTrees (default)](https://link.springer.com/article/10.1007/s10994-006-6226-1),987.0,+137/-237,0.006,60.14,57.43,37.341,5.96,0.898,✔️,0.0,False,CPU,model,
66,📏,Baseline,[Linear (tuned + ensembled)](https://scikit-learn.org/stable/modules/linear_model.html),975.0,+71/-262,0.0,60.79,58.99,42.359,913.37,0.738,✔️,0.0,False,CPU,model,
67,🧠🔁,Neural Network,[FastaiMLP (default)](https://arxiv.org/abs/2003.06505),973.0,+162/-259,0.018,60.86,56.84,35.274,8.78,0.688,✔️,0.0,False,CPU,model,
68,📏,Baseline,[Linear (tuned)](https://scikit-learn.org/stable/modules/linear_model.html),949.0,+76/-295,0.0,62.07,60.24,43.001,913.37,0.13,✔️,0.0,False,CPU,model,
69,📏,Baseline,[KNN (tuned)](https://scikit-learn.org/stable/modules/neighbors.html),868.0,+305/-510,0.093,65.71,52.1,49.425,180.48,0.136,✔️,0.0,False,CPU,model,
70,🌳,Tree-based,[PerpetualBooster (tuned + ensembled)](https://perpetual-ml.com/),857.0,+109/-212,0.0,66.14,65.36,53.974,1679.96,11.05,✔️,0.0,False,CPU,model,
71,🧠⚡,Foundation Model,[TabFlex (default)](https://arxiv.org/abs/2506.05584),835.0,+47/-173,0.0,67.0,66.63,41.317,5.48,0.909,➖,0.0,False,GPU,model,
72,🧠⚡,Foundation Model,[TabSTAR (default)](https://arxiv.org/abs/2505.18125),820.0,+125/-270,0.0,67.57,66.75,44.308,866.21,9.353,✔️,0.0,False,GPU,model,
73,🌳,Tree-based,[PerpetualBooster (tuned)](https://perpetual-ml.com/),775.0,+96/-272,0.0,69.07,68.58,57.821,1679.96,1.824,✔️,0.0,False,CPU,model,
74,📏,Baseline,[Linear (default)](https://scikit-learn.org/stable/modules/linear_model.html),768.0,+89/-290,0.0,69.29,68.64,49.503,4.65,0.14,✔️,0.0,False,CPU,model,
75,🌳,Tree-based,[PerpetualBooster (default)](https://perpetual-ml.com/),727.0,+118/-336,0.0,70.5,69.77,63.126,273.7,0.508,✔️,0.0,False,CPU,model,
76,📏,Baseline,[KNN (default)](https://scikit-learn.org/stable/modules/neighbors.html),279.0,+73/-486,0.0,76.43,76.41,70.415,0.58,0.07,✔️,0.0,False,CPU,model,
