,EXAONE-Tabular (default),TabFM (default),TabPFN-3 (default),TabICLv2 (default),TabPFN-2.6 (default),CatBoost (T+E),iLTM (T+E),ChimeraBoost (T+E),XGBoost (T+E),RealMLP (T+E),LightGBM (T+E),RealTabPFN-2.5 (T+E),TabM (T+E),ModernNCA (T+E),TabICL (default),TabDPT-Turbo (default),TabDPT (T+E),TorchMLP (T+E),EBM (T+E),xRFM (T+E),TabSwift (default),BetaTabPFN (default),FastaiMLP (T+E),RandomForest (T+E),LimiX (default),SAP-RPT-OSS (default),ExtraTrees (T+E),TabSTAR (T+E),Linear (T+E),KNN (T+E),PerpetualBooster (T+E),OrionMSP (default),TabFlex (default)
EXAONE-Tabular (default),,0.47777778,0.67777777,0.82222223,0.9333333,0.88888896,0.9444445,0.8666667,0.9777778,0.91111106,0.9888889,0.87777776,0.9888889,0.9666667,0.95555556,0.9777778,0.9888889,0.9777778,0.9888889,0.9444445,0.9888889,0.9888889,0.9888889,0.9888889,0.9,1.0,0.9888889,1.0,1.0,1.0,1.0,1.0,1.0
TabFM (default),0.5222222,,0.8111111,0.91111106,0.9,0.7777778,0.84444445,0.87777776,0.87777776,0.82222223,0.85555553,0.8666666,0.9888889,0.88888896,0.95555556,0.9666666,0.9666666,0.9666666,0.9888889,0.88888896,0.95555556,1.0,0.91111106,0.9777778,0.85555553,0.9777778,0.9888889,1.0,0.9777778,0.95555556,1.0,1.0,1.0
TabPFN-3 (default),0.3222222,0.18888888,,0.5777778,0.7555555,0.7,0.7111111,0.7777778,0.74444443,0.7444445,0.73333335,0.85555553,0.78888893,0.88888896,0.8666667,0.95555556,0.88888896,0.8333333,0.8666667,0.7888889,0.9666667,0.9444445,0.9,0.9444445,0.8,0.9222223,0.9666667,1.0,0.92222226,0.9333334,1.0,1.0,1.0
TabICLv2 (default),0.1777778,0.0888889,0.42222223,,0.4333333,0.6111111,0.6333333,0.62222224,0.62222224,0.5777778,0.6666667,0.73333335,0.61111116,0.7111111,0.8333334,0.87777776,0.9,0.8111111,0.7555555,0.7,0.91111106,0.92222226,0.84444445,0.95555556,0.8111111,0.92222226,0.9888889,0.9777778,0.92222226,0.95555556,1.0,1.0,1.0
TabPFN-2.6 (default),0.06666667,0.1,0.24444444,0.5666667,,0.56666666,0.5555555,0.67777777,0.5777778,0.62222224,0.6888889,0.7,0.62222224,0.7,0.7777778,0.85555553,0.85555553,0.84444445,0.87777776,0.7666667,0.8666667,0.9,0.8666666,0.95555556,0.7777778,0.95555556,0.9777778,1.0,0.9666667,0.9444445,0.9888889,1.0,1.0
CatBoost (T+E),0.11111112,0.22222224,0.3,0.3888889,0.43333334,,0.5777778,0.58888894,0.6111111,0.6222223,0.51111114,0.52222216,0.6,0.5888889,0.6888889,0.6,0.6666667,0.7888889,0.84444445,0.92222226,0.7777778,0.84444445,0.8666667,0.88888896,0.7222222,0.9777778,0.9888889,1.0,0.9888889,0.9888889,0.9777778,0.9888889,0.9888889
iLTM (T+E),0.05555556,0.15555558,0.28888887,0.3666667,0.44444448,0.42222223,,0.5,0.5333334,0.54444444,0.56666666,0.57777774,0.57777774,0.5666667,0.73333335,0.6111111,0.7444445,0.8666667,0.81111115,0.88888896,0.76666665,0.8666667,0.9666667,0.87777776,0.7555555,0.9777778,0.95555556,1.0,0.9888889,0.9888889,0.9777778,0.9888889,1.0
ChimeraBoost (T+E),0.13333336,0.12222222,0.22222224,0.37777776,0.32222223,0.41111112,0.5,,0.47777778,0.62222224,0.5222222,0.51111114,0.6111111,0.5222223,0.6333333,0.6111111,0.70000005,0.71111107,0.82222223,0.9,0.6666666,0.8777779,0.85555553,0.88888896,0.74444443,0.9777778,0.88888896,1.0,1.0,0.9888889,0.87777776,1.0,1.0
XGBoost (T+E),0.022222223,0.12222223,0.25555557,0.37777779,0.42222223,0.3888889,0.4666667,0.5222222,,0.5,0.45555553,0.5,0.6222222,0.5222222,0.6,0.62222224,0.6888889,0.8,0.8111111,0.82222223,0.6888889,0.8777779,0.8,0.9,0.67777777,0.95555556,0.9888889,0.9888889,1.0,0.9888889,0.92222226,1.0,1.0
RealMLP (T+E),0.08888889,0.17777778,0.25555557,0.42222223,0.3777778,0.37777779,0.4555556,0.37777779,0.5,,0.5222222,0.5555555,0.42222223,0.53333336,0.57777774,0.6666666,0.6111111,0.7555555,0.7555555,0.8444444,0.65555555,0.85555553,0.9777778,0.87777776,0.84444445,0.88888896,0.9,1.0,1.0,0.9888889,0.9777778,1.0,1.0
