,EXAONE-Tabular (default),TabFM (default),TabPFN-3 (default),TabICLv2 (default),TabPFN-2.6 (default),CatBoost (T+E),iLTM (T+E),ChimeraBoost (T+E),XGBoost (T+E),RealMLP (T+E),LightGBM (T+E),RealTabPFN-2.5 (T+E),TabM (T+E),ModernNCA (T+E),TabICL (default),TabDPT-Turbo (default),TabDPT (T+E),TorchMLP (T+E),EBM (T+E),xRFM (T+E),TabSwift (default),BetaTabPFN (default),FastaiMLP (T+E),RandomForest (T+E),LimiX (default),SAP-RPT-OSS (default),ExtraTrees (T+E),TabSTAR (T+E),Linear (T+E),KNN (T+E),PerpetualBooster (T+E),OrionMSP (default),TabFlex (default)
LightGBM (T+E),0.011111111,0.14444445,0.26666668,0.33333337,0.31111112,0.4888889,0.43333334,0.47777778,0.54444444,0.4777778,,0.4666667,0.53333336,0.51111114,0.6666667,0.6666667,0.61111104,0.7333333,0.76666665,0.76666665,0.74444443,0.8666666,0.76666665,0.9,0.6888889,0.95555556,0.97777784,0.9888889,0.9777778,0.9777778,0.9777778,0.9888889,1.0
RealTabPFN-2.5 (T+E),0.12222223,0.13333334,0.14444444,0.26666668,0.3,0.47777778,0.42222223,0.4888889,0.50000006,0.44444448,0.5333333,,0.4333333,0.4666667,0.7,0.64444447,0.6888889,0.71111107,0.73333335,0.6555556,0.85555565,0.8,0.73333335,0.9111112,0.6666666,0.85555565,0.9666667,1.0,0.84444445,0.91111106,0.9666667,0.9888889,1.0
TabM (T+E),0.011111111,0.011111111,0.21111111,0.3888889,0.37777779,0.4,0.42222223,0.3888889,0.37777776,0.57777774,0.4666667,0.5666667,,0.5222222,0.57777774,0.7111111,0.6555556,0.6111111,0.6666666,0.65555555,0.7555555,0.91111106,0.82222223,0.8333334,0.76666665,0.87777776,0.8333333,1.0,0.9333334,0.9444445,0.9777778,1.0,1.0
ModernNCA (T+E),0.033333335,0.11111112,0.11111112,0.2888889,0.3,0.41111112,0.43333334,0.47777778,0.47777778,0.46666664,0.48888892,0.53333336,0.4777778,,0.6333334,0.6111111,0.6888889,0.7333333,0.73333335,0.7111111,0.70000005,0.8222221,0.8666667,0.7888889,0.85555553,0.85555553,0.9,0.92222226,0.9,0.9888889,0.9888889,0.95555556,0.9333333
TabICL (default),0.044444446,0.044444446,0.13333334,0.16666667,0.22222224,0.31111112,0.26666668,0.36666667,0.4,0.42222223,0.3333333,0.3,0.42222223,0.36666664,,0.53333336,0.6444444,0.6333333,0.6222222,0.6555556,0.65555555,0.6888889,0.6888889,0.7111111,0.6888889,0.7777778,0.8,0.9444445,0.7555555,0.85555553,0.9777778,1.0,0.9777778
TabDPT-Turbo (default),0.022222223,0.033333335,0.044444446,0.12222222,0.14444444,0.4,0.3888889,0.3888889,0.37777779,0.33333334,0.33333334,0.35555556,0.28888887,0.3888889,0.46666664,,0.58888894,0.64444447,0.51111114,0.62222224,0.7111111,0.6111111,0.64444447,0.67777777,0.76666665,0.7,0.7666667,0.88888896,0.73333335,0.85555553,0.9666667,0.9,0.88888896
TabDPT (T+E),0.011111111,0.033333335,0.11111112,0.1,0.14444444,0.33333334,0.25555557,0.3,0.31111112,0.3888889,0.3888889,0.31111115,0.34444445,0.31111112,0.35555556,0.41111112,,0.57777774,0.5,0.6111111,0.61111104,0.6222223,0.6888889,0.6666666,0.6666666,0.74444443,0.67777777,0.85555553,0.7555555,0.84444445,0.9888889,0.9888889,0.9666667
TorchMLP (T+E),0.022222223,0.033333335,0.16666667,0.18888889,0.15555556,0.21111111,0.13333334,0.2888889,0.2,0.24444446,0.26666668,0.28888887,0.3888889,0.26666668,0.36666667,0.3555556,0.42222223,,0.4666667,0.6,0.58888894,0.6,0.65555555,0.7,0.6666666,0.82222223,0.8,0.92222226,0.9111112,0.91111106,0.9777778,1.0,1.0
EBM (T+E),0.011111111,0.011111111,0.13333334,0.24444446,0.12222222,0.15555556,0.18888889,0.1777778,0.18888888,0.24444446,0.23333335,0.26666668,0.3333333,0.26666668,0.3777778,0.48888892,0.5,0.53333336,,0.4555556,0.5777778,0.6888889,0.6666666,0.7222222,0.6,0.87777776,0.8,0.9666666,0.9,0.91111106,0.87777776,0.87777776,0.9777778
xRFM (T+E),0.05555556,0.11111112,0.21111111,0.3,0.23333335,0.07777778,0.11111112,0.1,0.17777778,0.15555556,0.23333335,0.34444445,0.34444445,0.28888887,0.34444445,0.37777779,0.3888889,0.4,0.54444444,,0.37777779,0.6333333,0.73333335,0.64444447,0.6888889,0.6888889,0.73333335,0.85555553,0.9777778,0.9666666,0.8111111,0.9666666,0.9777778
TabSwift (default),0.011111111,0.044444446,0.033333335,0.08888889,0.13333334,0.22222224,0.23333335,0.3333333,0.31111112,0.34444445,0.25555557,0.14444445,0.24444446,0.3,0.34444445,0.28888887,0.3888889,0.41111112,0.42222223,0.62222224,,0.56666666,0.62222224,0.53333336,0.67777777,0.6333333,0.6333333,0.8,0.7222222,0.7888889,0.9555556,1.0,1.0
BetaTabPFN (default),0.011111111,0.0,0.05555556,0.07777778,0.1,0.15555556,0.13333334,0.12222222,0.12222222,0.14444444,0.13333334,0.20000002,0.0888889,0.17777778,0.31111115,0.3888889,0.37777779,0.4,0.31111112,0.36666667,0.43333334,,0.6,0.5555556,0.65555555,0.64444447,0.6111111,0.95555556,0.75555557,0.91111106,0.8666667,0.85555553,0.9666667
FastaiMLP (T+E),0.011111111,0.08888889,0.1,0.15555556,0.13333334,0.13333334,0.033333335,0.14444444,0.2,0.022222223,0.23333335,0.26666668,0.17777778,0.13333334,0.31111112,0.35555556,0.31111112,0.34444445,0.3333333,0.26666668,0.37777779,0.4,,0.57777774,0.5555556,0.6111111,0.5888889,0.67777777,0.88888896,0.87777776,0.85555553,0.7333333,0.9333334
RandomForest (T+E),0.011111111,0.022222223,0.05555556,0.044444446,0.044444446,0.11111112,0.12222222,0.11111112,0.1,0.12222222,0.1,0.08888889,0.16666667,0.21111111,0.28888887,0.32222223,0.3333333,0.3,0.2777778,0.35555553,0.46666664,0.44444448,0.42222223,,0.53333336,0.61111116,0.6333333,0.8111111,0.8,0.88888896,0.85555553,0.9333334,0.9666667
LimiX (default),0.1,0.14444444,0.2,0.18888888,0.22222224,0.27777776,0.24444444,0.25555557,0.3222222,0.15555556,0.31111112,0.33333334,0.23333335,0.14444445,0.31111112,0.23333335,0.33333334,0.33333334,0.4,0.31111112,0.32222223,0.34444445,0.44444448,0.46666664,,0.41111112,0.5222222,0.53333336,0.64444447,0.5666667,0.6333333,0.6333333,0.65555555
SAP-RPT-OSS (default),0.0,0.022222223,0.07777778,0.07777778,0.044444446,0.022222223,0.022222223,0.022222223,0.044444446,0.11111112,0.044444446,0.14444445,0.12222223,0.14444444,0.22222224,0.3,0.25555557,0.17777778,0.12222223,0.31111112,0.36666667,0.35555556,0.3888889,0.3888889,0.5888889,,0.51111114,0.6888889,0.8111111,0.88888896,0.84444445,0.8666666,0.9666667
ExtraTrees (T+E),0.011111111,0.011111111,0.033333335,0.011111111,0.022222223,0.011111111,0.044444446,0.11111112,0.011111111,0.1,0.022222223,0.033333335,0.16666667,0.1,0.2,0.23333335,0.32222223,0.2,0.2,0.26666668,0.36666664,0.3888889,0.41111112,0.36666667,0.47777778,0.48888892,,0.7222222,0.7222222,0.7444445,0.75555557,0.9444445,0.9666667
TabSTAR (T+E),0.0,0.0,0.0,0.022222223,0.0,0.0,0.0,0.0,0.011111111,0.0,0.011111111,0.0,0.0,0.07777778,0.05555556,0.11111112,0.14444444,0.07777778,0.033333335,0.14444445,0.2,0.044444446,0.32222223,0.18888888,0.4666667,0.31111112,0.27777776,,0.5666667,0.65555555,0.73333335,0.6444444,0.87777776
Linear (T+E),0.0,0.022222223,0.07777778,0.07777778,0.033333335,0.011111111,0.011111111,0.0,0.0,0.0,0.022222223,0.15555556,0.06666667,0.1,0.24444444,0.26666668,0.24444444,0.08888889,0.1,0.022222223,0.27777776,0.24444444,0.11111112,0.2,0.35555556,0.18888889,0.2777778,0.4333333,,0.42222223,0.44444448,0.5888889,0.6888889
KNN (T+E),0.0,0.044444446,0.06666667,0.044444446,0.05555556,0.011111111,0.011111111,0.011111111,0.011111111,0.011111111,0.022222223,0.08888889,0.05555556,0.011111111,0.14444444,0.14444444,0.15555556,0.08888889,0.08888889,0.033333335,0.21111111,0.08888889,0.12222222,0.11111112,0.43333334,0.11111112,0.25555557,0.34444445,0.57777774,,0.53333336,0.57777774,0.6666667
PerpetualBooster (T+E),0.0,0.0,0.0,0.0,0.011111111,0.022222223,0.022222223,0.12222222,0.07777778,0.022222223,0.022222223,0.033333335,0.022222223,0.011111111,0.022222223,0.033333335,0.011111111,0.022222223,0.12222222,0.18888889,0.044444446,0.13333334,0.14444444,0.14444444,0.36666667,0.15555556,0.24444446,0.26666668,0.5555555,0.46666664,,0.6,0.6111111
OrionMSP (default),0.0,0.0,0.0,0.0,0.0,0.011111111,0.011111111,0.0,0.0,0.0,0.011111111,0.011111111,0.0,0.044444446,0.0,0.1,0.011111111,0.0,0.12222222,0.033333335,0.0,0.14444444,0.26666668,0.06666667,0.36666667,0.13333334,0.05555556,0.35555556,0.41111106,0.42222223,0.4,,0.6333333
TabFlex (default),0.0,0.0,0.0,0.0,0.0,0.011111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666667,0.022222223,0.11111112,0.033333335,0.0,0.022222223,0.022222223,0.0,0.033333335,0.06666667,0.033333335,0.34444445,0.033333335,0.033333335,0.12222222,0.31111112,0.33333334,0.3888889,0.36666667,
