#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware
37,🧠🔁,Neural Network,[TabM (default)](https://arxiv.org/abs/2410.24210),1407.0,+116/-127,0.118,37.5,29.62,16.446,1.56,0.055,✔️,0.0,False,GPU
38,❓,Other,[xRFM (tuned)](https://arxiv.org/abs/2508.10053),1393.0,+142/-146,0.118,38.47,30.92,17.831,709.86,0.19,✔️,0.0,False,GPU
39,🧠🔁,Neural Network,[RealMLP (default)](https://arxiv.org/abs/2407.04491),1369.0,+80/-88,0.047,40.18,36.55,17.295,6.98,0.233,✔️,0.0,False,GPU
40,🧠⚡,Foundation Model,[BetaTabPFN (default)](https://arxiv.org/abs/2502.02527),1363.0,+132/-126,0.063,40.57,33.21,19.384,84.36,0.919,➖,0.0,False,GPU
41,🧠🔁,Neural Network,[TorchMLP (tuned)](https://arxiv.org/abs/2003.06505),1359.0,+76/-79,0.047,40.86,35.23,16.078,1169.32,0.053,✔️,0.0,False,CPU
42,🧠🔁,Neural Network,[FastaiMLP (tuned + ensembled)](https://arxiv.org/abs/2003.06505),1356.0,+108/-166,0.087,41.07,33.14,18.202,389.62,2.114,✔️,0.0,False,CPU
43,🌳,Tree-based,[EBM (default)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),1354.0,+117/-108,0.062,41.2,36.61,18.831,1.44,0.007,✔️,0.0,False,CPU
44,🧠⚡,Foundation Model,[TabDPT (tuned)](https://arxiv.org/abs/2410.18164),1335.0,+100/-118,0.046,42.53,30.75,17.552,4805.68,43.211,✔️,0.0,False,GPU
45,🌳,Tree-based,[RandomForest (tuned + ensembled)](https://link.springer.com/article/10.1023/A:1010933404324),1334.0,+117/-106,0.046,42.56,35.09,17.178,52.45,0.219,✔️,0.0,False,CPU
46,🧠⚡,Foundation Model,[iLTM (default)](https://arxiv.org/abs/2511.15941),1315.0,+136/-106,0.05,43.86,39.43,20.171,68.97,8.043,✔️,0.0,False,GPU
47,🌳,Tree-based,[LightGBM (default)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1313.0,+75/-101,0.028,44.03,40.91,17.584,0.28,0.033,✔️,0.0,False,CPU
48,🧠⚡,Foundation Model,[LimiX (default)](https://arxiv.org/abs/2509.03505),1304.0,+235/-281,0.168,44.61,7.87,20.69,5.06,2.932,➖,0.0,False,GPU
49,🌳,Tree-based,[RandomForest (tuned)](https://link.springer.com/article/10.1023/A:1010933404324),1300.0,+126/-111,0.048,44.87,37.23,17.996,52.45,0.021,✔️,0.0,False,CPU
50,🧠🔁,Neural Network,[ModernNCA (default)](https://arxiv.org/abs/2407.03257),1292.0,+62/-77,0.008,45.38,42.5,18.321,10.5,0.606,✔️,0.0,False,GPU
51,🌳,Tree-based,[ExtraTrees (tuned + ensembled)](https://link.springer.com/article/10.1007/s10994-006-6226-1),1278.0,+74/-95,0.017,46.37,44.02,17.434,50.19,0.154,✔️,0.0,False,CPU
52,🧠⚡,Foundation Model,[SAP-RPT-OSS (default)](https://arxiv.org/abs/2506.10707),1276.0,+80/-107,0.01,46.48,43.25,19.923,14.85,13.554,➖,0.0,False,GPU
53,🧠⚡,Foundation Model,[TabDPT (default)](https://arxiv.org/abs/2410.18164),1251.0,+122/-148,0.015,48.08,39.25,21.174,46.9,45.623,✔️,0.0,False,GPU
54,🧠🔁,Neural Network,[FastaiMLP (tuned)](https://arxiv.org/abs/2003.06505),1227.0,+97/-148,0.025,49.6,43.5,21.09,389.62,0.112,✔️,0.0,False,CPU
55,🌳,Tree-based,[ExtraTrees (tuned)](https://link.springer.com/article/10.1007/s10994-006-6226-1),1226.0,+66/-95,0.0,49.66,47.46,18.796,50.19,0.015,✔️,0.0,False,CPU
56,🧠🔁,Neural Network,[TorchMLP (default)](https://arxiv.org/abs/2003.06505),1203.0,+57/-75,0.0,51.08,49.41,20.135,1.87,0.046,✔️,0.0,False,CPU
57,🧠🔁,Neural Network,[FastaiMLP (default)](https://arxiv.org/abs/2003.06505),1160.0,+116/-214,0.029,53.64,47.03,24.654,1.61,0.112,✔️,0.0,False,CPU
58,🧠⚡,Foundation Model,[TabSTAR (tuned)](https://arxiv.org/abs/2505.18125),1103.0,+87/-103,0.0,56.76,55.11,27.218,2951.8,1.689,✔️,0.0,False,GPU
