#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware
0,🧠⚡,Foundation Model,[EXAONE-Tabular (default)](https://github.com/LGAI-Research/EXAONE-Tabular),1826.0,+171/-81,0.813,6.59,3.24,9.206,8.62,0.669,✔️,0.0,False,GPU
1,📊,Reference Pipeline,"[AutoGluon 1.5 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",1720.0,+185/-77,0.694,10.25,5.84,12.158,251.72,2.753,✔️,0.0,False,GPU
2,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned)](https://arxiv.org/abs/2511.08667),1706.0,+178/-80,0.685,10.84,5.68,12.684,2710.49,1.346,✔️,0.0,False,GPU
3,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),1702.0,+228/-121,0.684,11.03,5.1,11.626,2710.49,8.095,✔️,0.0,False,GPU
4,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),1678.0,+359/-221,0.79,12.14,2.08,9.081,55.13,7.685,✔️,0.0,False,GPU
5,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),1627.0,+195/-106,0.59,14.72,9.78,14.955,9.94,0.613,✔️,0.0,False,GPU
6,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),1583.0,+213/-144,0.548,17.32,6.6,13.766,11.66,0.489,✔️,0.0,False,GPU
7,🧠⚡,Foundation Model,[RealTabPFN-2.5 (default)](https://arxiv.org/abs/2511.08667),1578.0,+196/-132,0.527,17.62,8.3,14.309,10.23,0.844,✔️,0.0,False,GPU
8,🧠⚡,Foundation Model,[LimiX (default)](https://arxiv.org/abs/2509.03505),1554.0,+212/-133,0.515,19.15,5.01,14.163,44.33,7.062,➖,0.0,False,GPU
9,🧠⚡,Foundation Model,[TabICLv2 (default)](https://arxiv.org/abs/2602.11139),1552.0,+236/-179,0.521,19.24,7.51,16.117,5.64,0.197,✔️,0.0,False,GPU
10,📊,Reference Pipeline,"[AutoGluon 1.4 (best, 4h)](https://arxiv.org/abs/2003.06505)",1514.0,+173/-93,0.361,21.89,11.15,18.044,6219.75,3.78,✔️,0.0,False,CPU
11,🧠🔁,Neural Network,[RealMLP (tuned + ensembled)](https://arxiv.org/abs/2407.04491),1494.0,+163/-115,0.404,23.26,11.77,17.674,4150.82,19.128,✔️,0.0,False,GPU
12,🧠⚡,Foundation Model,[TabPFNv2 (tuned + ensembled)](https://www.nature.com/articles/s41586-024-08328-6) [25.00% IMPUTED],1477.0,+266/-220,0.477,24.5,8.61,20.988,2590.72,10.803,✔️,25.0,True,GPU
13,🧠🔁,Neural Network,[RealMLP (tuned)](https://arxiv.org/abs/2407.04491),1470.0,+126/-91,0.384,25.04,13.98,18.54,4150.82,3.42,✔️,0.0,False,GPU
