#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware
36,🧠🔁,Neural Network,[ModernNCA (default)](https://arxiv.org/abs/2407.03257),1276.0,+88/-73,0.085,37.8,30.54,10.694,15.5,0.298,✔️,0.0,False,GPU
37,🧠⚡,Foundation Model,[SAP-RPT-OSS (default)](https://arxiv.org/abs/2506.10707),1275.0,+148/-130,0.161,37.81,20.4,10.758,20.24,6.621,➖,0.0,False,GPU
38,🧠⚡,Foundation Model,[LimiX (default)](https://arxiv.org/abs/2509.03505),1261.0,+167/-155,0.142,38.75,18.05,10.298,74.68,19.758,➖,0.0,False,GPU
39,🧠🔁,Neural Network,[TorchMLP (tuned + ensembled)](https://arxiv.org/abs/2003.06505),1237.0,+112/-101,0.094,40.27,29.75,10.885,4608.59,1.233,✔️,0.0,False,CPU
40,🧠🔁,Neural Network,[RealMLP (default)](https://arxiv.org/abs/2407.04491),1224.0,+108/-85,0.077,41.13,35.31,10.435,8.9,1.644,✔️,0.0,False,GPU
41,🌳,Tree-based,[ExtraTrees (tuned + ensembled)](https://link.springer.com/article/10.1007/s10994-006-6226-1),1223.0,+110/-98,0.097,41.18,32.46,12.872,263.04,0.808,✔️,0.0,False,CPU
42,🌳,Tree-based,[ChimeraBoost (default)](https://github.com/bbstats/chimeraboost),1221.0,+103/-129,0.045,41.32,36.88,12.492,2.68,0.03,✔️,0.0,False,CPU
43,🌳,Tree-based,[ExtraTrees (tuned)](https://link.springer.com/article/10.1007/s10994-006-6226-1),1200.0,+104/-98,0.083,42.68,31.66,13.097,263.04,0.066,✔️,0.0,False,CPU
44,🌳,Tree-based,[LightGBM (default)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1198.0,+37/-38,0.005,42.82,41.23,11.319,2.11,0.275,✔️,0.0,False,CPU
45,🧠🔁,Neural Network,[TorchMLP (tuned)](https://arxiv.org/abs/2003.06505),1183.0,+91/-95,0.059,43.74,37.21,11.663,4608.59,0.097,✔️,0.0,False,CPU
46,🌳,Tree-based,[XGBoost (default)](https://arxiv.org/abs/1603.02754),1181.0,+92/-82,0.026,43.87,38.97,11.973,2.24,0.242,✔️,0.0,False,CPU
47,🌳,Tree-based,[PerpetualBooster (tuned + ensembled)](https://perpetual-ml.com/),1173.0,+68/-90,0.017,44.39,41.55,13.153,162.38,0.363,✔️,0.0,False,CPU
48,🌳,Tree-based,[EBM (tuned + ensembled)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),1154.0,+126/-162,0.059,45.6,36.03,14.422,1865.27,0.117,✔️,0.0,False,CPU
49,❓,Other,[xRFM (default)](https://arxiv.org/abs/2508.10053),1147.0,+112/-114,0.035,46.03,39.41,13.678,2.45,0.742,✔️,0.0,False,GPU
