ticker,date,pred_time,direction,confidence,entry,ret_lo,ret_hi,est_high_pct,max_up,min_down,close_ret,dir_hit,graded_hit,midpoint_hit,exp_hit,far_cov,should_buy,pnl,dip_pnl,dip_filled,dip_pct
20MICRONS.NS,2026-05-06,12:00,BEARISH,LOW,182.34,-1.85,-0.06,-0.43,0.96,-0.94,0.09,1,1,0,1,1,0,,,0,-1.03
20MICRONS.NS,2026-05-06,14:00,BEARISH,LOW,182.82,-1.07,-0.03,-0.25,0.69,-0.8,-0.18,1,1,1,1,1,0,,,0,-0.59
20MICRONS.NS,2026-05-07,09:15,BEARISH,LOW,183.8,-3.8,-0.13,-0.98,1.58,-0.81,0.24,1,1,0,0,1,0,,,0,-2.34
20MICRONS.NS,2026-05-07,12:00,BEARISH,LOW,184.7,-2.75,-0.09,-0.71,0.7,-1.29,-0.24,1,1,0,1,1,0,,,0,-1.69
20MICRONS.NS,2026-05-07,14:00,BEARISH,LOW,185.0,-1.59,-0.05,-0.41,0.04,-0.56,-0.41,1,1,0,1,1,0,,,0,-0.97
20MICRONS.NS,2026-05-08,09:15,BEARISH,LOW,185.0,-3.5,-0.11,-0.88,1.05,-1.97,-1.21,1,1,1,1,1,0,,,0,-2.1
20MICRONS.NS,2026-05-08,12:00,BEARISH,LOW,183.23,-2.53,-0.08,-0.64,0.42,-1.03,-0.26,1,1,0,1,1,0,,,0,-1.52
20MICRONS.NS,2026-05-08,14:00,BEARISH,LOW,183.15,-1.46,-0.04,-0.37,0.02,-0.98,-0.21,1,1,1,1,1,0,,,0,-0.88
20MICRONS.NS,2026-05-11,09:15,BULLISH,MEDIUM,181.0,0.15,4.08,1.1,1.91,-2.07,-0.65,1,1,0,1,1,1,-1.78,0.805,1,-0.96
20MICRONS.NS,2026-05-11,12:00,BULLISH,MEDIUM,181.67,0.11,2.95,0.8,1.53,-1.03,-1.02,1,1,1,1,1,1,0.498,-0.631,1,-0.69
20MICRONS.NS,2026-05-11,14:00,BULLISH,MEDIUM,183.35,0.06,1.7,0.46,0.22,-1.94,-1.93,1,1,0,0,1,1,-1.77,0.164,1,-0.4
20MICRONS.NS,2026-05-12,09:15,BULLISH,MEDIUM,181.7,0.21,4.61,1.25,0.15,-4.18,-3.84,1,0,0,0,1,1,-1.89,-1.89,1,-0.93
20MICRONS.NS,2026-05-12,12:00,BULLISH,MEDIUM,178.5,0.15,3.33,0.9,0.06,-2.46,-2.12,1,0,0,0,1,1,-1.81,-1.81,1,-0.67
20MICRONS.NS,2026-05-12,14:00,BULLISH,MEDIUM,176.6,0.09,1.92,0.52,0.14,-1.42,-1.06,1,1,0,0,1,1,-1.365,0.221,1,-0.39
20MICRONS.NS,2026-05-13,09:15,BULLISH,MEDIUM,177.5,0.17,3.56,1.08,1.06,-1.79,-0.83,1,1,0,0,1,1,-1.93,0.776,1,-0.96
20MICRONS.NS,2026-05-13,12:00,BULLISH,MEDIUM,177.5,0.12,2.57,0.78,1.06,-1.21,-0.83,1,1,0,1,1,1,0.477,0.477,1,-0.69
20MICRONS.NS,2026-05-13,14:00,BULLISH,MEDIUM,178.7,0.07,1.48,0.45,0.21,-1.87,-1.5,1,1,0,0,1,1,-1.9,-1.404,1,-0.4
20MICRONS.NS,2026-05-14,09:15,BEARISH,LOW,179.24,-2.24,-0.07,-0.59,1.68,-2.28,-1.21,1,1,1,1,0,0,,,0,-1.39
20MICRONS.NS,2026-05-14,12:00,BEARISH,LOW,180.69,-1.62,-0.05,-0.42,0.87,-3.07,-2.0,1,1,1,1,0,0,,,0,-1.01
20MICRONS.NS,2026-05-14,14:00,BEARISH,LOW,181.0,-0.93,-0.03,-0.24,0.2,-3.23,-2.17,1,1,1,1,0,0,,,0,-0.58
20MICRONS.NS,2026-05-15,09:15,BULLISH,LOW,179.49,0.1,3.02,0.71,0.28,-3.33,-2.68,1,1,0,0,1,1,-1.86,0.413,1,-1.16
20MICRONS.NS,2026-05-15,12:00,BULLISH,LOW,176.97,0.07,2.18,0.51,0.3,-1.95,-1.29,1,1,0,0,1,1,-1.85,0.214,1,-0.84
20MICRONS.NS,2026-05-15,14:00,BULLISH,LOW,175.23,0.04,1.26,0.3,0.09,-0.98,-0.31,1,1,0,0,1,1,-0.614,-0.003,1,-0.48
20MICRONS.NS,2026-05-18,09:15,BULLISH,HIGH,173.0,0.25,5.26,1.42,0.0,-3.87,-2.31,0,0,0,0,1,1,-1.9,-1.9,1,-1.02
20MICRONS.NS,2026-05-18,12:00,BULLISH,HIGH,169.84,0.18,3.8,1.02,0.45,-0.73,-0.49,1,1,0,0,1,1,-0.795,0.724,1,-0.73
20MICRONS.NS,2026-05-18,14:00,BULLISH,HIGH,169.38,0.1,2.19,0.59,0.72,-0.25,-0.22,1,1,0,1,1,1,0.29,,0,-0.42
20MICRONS.NS,2026-05-19,09:15,BULLISH,HIGH,171.01,0.33,5.68,2.01,0.92,-5.0,-3.4,1,1,0,0,1,1,-1.98,-1.98,1,-1.0
20MICRONS.NS,2026-05-19,12:00,BULLISH,HIGH,166.6,0.24,4.1,1.45,0.54,-1.53,-0.85,1,1,0,0,1,1,-1.146,-0.427,1,-0.72
20MICRONS.NS,2026-05-19,14:00,BULLISH,HIGH,166.34,0.14,2.37,0.84,0.39,-1.38,-0.69,1,1,0,0,1,1,-0.991,-0.572,1,-0.42
20MICRONS.NS,2026-05-20,09:15,BULLISH,HIGH,162.1,0.47,8.29,2.7,15.36,0.0,10.29,1,1,1,1,0,1,2.402,,0,-1.06
20MICRONS.NS,2026-05-20,12:00,BULLISH,HIGH,176.0,0.34,5.98,1.95,6.25,-0.56,1.58,1,1,1,1,0,1,1.655,,0,-0.76
20MICRONS.NS,2026-05-20,14:00,BULLISH,HIGH,179.29,0.19,3.46,1.13,0.4,-1.68,-0.28,1,1,0,0,1,1,-0.584,-0.144,1,-0.44
20MICRONS.NS,2026-05-21,09:15,BEARISH,MEDIUM,181.9,-10.36,-0.61,-3.28,0.05,-4.34,-3.58,1,1,0,1,1,0,,,0,-7.81
20MICRONS.NS,2026-05-21,12:00,BEARISH,MEDIUM,177.66,-7.49,-0.44,-2.37,0.28,-2.05,-1.28,1,1,0,0,1,0,,,0,-5.64
20MICRONS.NS,2026-05-21,14:00,BEARISH,MEDIUM,176.58,-4.32,-0.25,-1.36,0.24,-1.46,-0.67,1,1,0,1,1,0,,,0,-3.26
20MICRONS.NS,2026-05-22,09:15,BULLISH,HIGH,176.5,0.26,5.17,1.45,3.37,-0.79,0.84,1,1,1,1,1,1,1.15,,0,-0.91
20MICRONS.NS,2026-05-22,12:00,BULLISH,HIGH,179.78,0.19,3.74,1.05,0.96,-1.25,-1.0,1,1,0,0,1,1,-1.296,0.746,1,-0.65
20MICRONS.NS,2026-05-22,14:00,BULLISH,HIGH,179.38,0.11,2.16,0.61,0.76,-1.03,-0.77,1,1,0,1,1,1,0.308,0.308,1,-0.38
20MICRONS.NS,2026-05-25,09:15,BEARISH,LOW,180.0,-4.07,-0.14,-1.03,15.5,0.0,10.14,0,0,0,0,1,0,,,0,-2.46
20MICRONS.NS,2026-05-25,12:00,BEARISH,LOW,203.83,-2.94,-0.1,-0.75,2.0,-3.19,-2.74,1,1,1,1,0,0,,,0,-1.78
20MICRONS.NS,2026-05-25,14:00,BEARISH,LOW,207.4,-1.7,-0.06,-0.43,0.05,-4.86,-4.41,1,1,1,1,0,0,,,0,-1.03
20MICRONS.NS,2026-05-26,09:15,BEARISH,LOW,193.52,-11.4,-0.36,-3.41,1.62,-2.34,-2.1,1,1,0,0,1,0,,,0,-8.12
20MICRONS.NS,2026-05-26,12:00,BEARISH,LOW,193.0,-8.24,-0.26,-2.46,0.66,-2.07,-1.83,1,1,0,0,1,0,,,0,-5.86
20MICRONS.NS,2026-05-26,14:00,BEARISH,LOW,191.22,-4.75,-0.15,-1.42,0.19,-1.16,-0.92,1,1,0,0,1,0,,,0,-3.39
20MICRONS.NS,2026-05-27,09:15,BULLISH,HIGH,191.79,0.3,5.67,1.87,1.57,-2.11,-1.98,1,1,0,0,1,1,-2.276,1.572,1,-0.91
20MICRONS.NS,2026-05-27,12:00,BULLISH,HIGH,188.91,0.21,4.09,1.36,0.58,-0.61,-0.48,1,1,0,0,1,1,-0.782,,0,-0.66
20MICRONS.NS,2026-05-27,14:00,BULLISH,HIGH,188.89,0.12,2.36,0.78,0.32,-0.6,-0.47,1,1,0,0,1,1,-0.771,-0.392,1,-0.38
20MICRONS.NS,2026-05-29,09:15,NEUTRAL,HIGH,188.5,-0.5,0.5,0.0,0.08,-3.44,-3.41,0,1,1,0,1,0,,,0,-0.0
20MICRONS.NS,2026-05-29,12:00,NEUTRAL,HIGH,184.66,-0.5,0.5,-0.0,0.44,-1.43,-1.4,0,1,1,0,1,0,,,0,-0.0
20MICRONS.NS,2026-05-29,14:00,NEUTRAL,HIGH,184.0,-0.5,0.5,0.0,0.52,-1.08,-1.04,0,1,1,0,1,0,,,0,-0.0
20MICRONS.NS,2026-06-01,09:15,BULLISH,HIGH,186.42,0.22,5.45,1.46,0.85,-2.34,-2.11,1,1,0,0,1,1,-2.28,1.164,1,-0.77
20MICRONS.NS,2026-06-01,12:00,BULLISH,HIGH,185.62,0.16,3.94,1.06,0.69,-1.92,-1.69,1,1,0,0,1,1,-1.986,-1.433,1,-0.56
20MICRONS.NS,2026-06-01,14:00,BULLISH,HIGH,182.81,0.09,2.27,0.61,0.81,-0.41,-0.18,1,1,0,1,1,1,0.313,0.313,1,-0.32
20MICRONS.NS,2026-06-02,09:15,BULLISH,HIGH,181.73,0.2,4.91,1.34,2.07,-0.21,1.27,1,1,0,1,1,1,1.043,,0,-0.89
20MICRONS.NS,2026-06-02,12:00,BULLISH,HIGH,183.22,0.14,3.54,0.97,1.09,-0.58,0.45,1,1,0,1,1,1,0.672,,0,-0.65
20MICRONS.NS,2026-06-02,14:00,BULLISH,HIGH,184.6,0.08,2.05,0.56,0.34,-0.66,-0.3,1,1,0,0,1,1,-0.603,-0.233,1,-0.37
20MICRONS.NS,2026-06-03,09:15,BULLISH,LOW,182.95,0.08,2.31,0.58,4.18,-1.16,3.09,1,1,1,1,0,1,0.285,,0,-1.27
20MICRONS.NS,2026-06-03,12:00,BULLISH,LOW,181.67,0.06,1.67,0.42,4.91,-0.2,3.81,1,1,1,1,0,1,0.124,,0,-0.92
20MICRONS.NS,2026-06-03,14:00,BULLISH,LOW,188.08,0.03,0.96,0.24,0.71,-0.42,0.28,1,1,1,1,1,1,-0.055,,0,-0.53
20MICRONS.NS,2026-06-04,09:15,BEARISH,MEDIUM,188.36,-4.85,-0.16,-1.43,3.53,-0.64,0.81,1,1,0,0,1,0,,,0,-3.4
20MICRONS.NS,2026-06-04,12:00,BEARISH,MEDIUM,192.3,-3.5,-0.11,-1.03,0.25,-1.97,-1.25,1,1,1,1,1,0,,,0,-2.45
20MICRONS.NS,2026-06-04,14:00,BEARISH,MEDIUM,189.98,-2.02,-0.07,-0.59,0.27,-0.77,-0.05,1,1,0,1,1,0,,,0,-1.42
20MICRONS.NS,2026-06-05,09:15,BEARISH,LOW,191.49,-3.62,-0.12,-0.91,7.46,-0.51,2.6,1,1,0,0,1,0,,,0,-2.16
20MICRONS.NS,2026-06-05,12:00,BEARISH,LOW,193.74,-2.61,-0.08,-0.66,2.23,-0.38,1.4,1,1,0,0,1,0,,,0,-1.56
20MICRONS.NS,2026-06-05,14:00,BEARISH,LOW,193.82,-1.51,-0.05,-0.38,2.19,-0.31,1.36,1,1,0,0,1,0,,,0,-0.9
20MICRONS.NS,2026-06-08,09:15,BEARISH,HIGH,195.9,-6.14,-0.19,-1.7,0.0,-5.97,-5.31,1,1,1,1,1,0,,,0,-4.05
20MICRONS.NS,2026-06-08,12:00,BEARISH,HIGH,188.89,-4.44,-0.14,-1.23,0.45,-2.48,-1.79,1,1,1,1,1,0,,,0,-2.92
20MICRONS.NS,2026-06-08,14:00,BEARISH,HIGH,185.48,-2.56,-0.08,-0.71,1.36,-0.26,0.01,1,1,0,0,1,0,,,0,-1.69
20MICRONS.NS,2026-06-09,09:15,BULLISH,HIGH,187.99,0.28,6.64,1.97,1.22,-1.38,-0.05,1,1,0,0,1,1,-0.348,0.835,1,-1.17
20MICRONS.NS,2026-06-09,12:00,BULLISH,HIGH,186.32,0.2,4.8,1.43,1.21,-0.17,0.85,1,1,0,0,1,1,0.548,,0,-0.84
20MICRONS.NS,2026-06-09,14:00,BULLISH,HIGH,186.78,0.12,2.77,0.82,0.96,-0.35,0.6,1,1,0,1,1,1,0.525,,0,-0.49
20MICRONS.NS,2026-06-10,09:15,BEARISH,LOW,187.75,-2.86,-0.08,-0.63,0.23,-1.62,-1.08,1,1,1,1,1,0,,,0,-1.49
20MICRONS.NS,2026-06-10,12:00,BEARISH,LOW,186.91,-2.07,-0.06,-0.45,0.0,-1.18,-0.63,1,1,1,1,1,0,,,0,-1.08
20MICRONS.NS,2026-06-10,14:00,BEARISH,LOW,185.45,-1.19,-0.03,-0.26,0.25,-0.4,0.15,1,1,0,1,1,0,,,0,-0.62
20MICRONS.NS,2026-06-11,09:15,BULLISH,HIGH,184.0,0.17,4.21,1.28,2.53,-2.87,-2.72,1,1,1,1,1,1,-2.21,0.977,1,-0.59
20MICRONS.NS,2026-06-11,12:00,BULLISH,HIGH,183.43,0.12,3.04,0.92,0.16,-2.57,-2.42,1,1,0,0,1,1,-2.21,-2.21,1,-0.42
20MICRONS.NS,2026-06-11,14:00,BULLISH,HIGH,180.43,0.07,1.75,0.53,0.2,-0.95,-0.79,1,1,0,0,1,1,-1.093,-0.844,1,-0.25
20MICRONS.NS,2026-06-12,09:15,BULLISH,HIGH,182.2,0.22,5.72,1.63,1.25,-0.88,0.48,1,1,0,0,1,1,0.178,1.33,1,-0.82
20MICRONS.NS,2026-06-12,12:00,BULLISH,HIGH,183.77,0.16,4.13,1.18,0.39,-1.73,-0.38,1,1,0,0,1,1,-0.681,-0.09,1,-0.59
20MICRONS.NS,2026-06-12,14:00,BULLISH,HIGH,184.0,0.09,2.38,0.68,0.24,-1.85,-0.51,1,1,0,0,1,1,-0.805,-0.466,1,-0.34
20MICRONS.NS,2026-06-15,09:15,BEARISH,LOW,185.2,-2.82,-0.09,-0.61,6.9,-1.16,1.65,1,1,0,1,1,0,,,0,-1.45
20MICRONS.NS,2026-06-15,12:00,BEARISH,LOW,191.62,-2.03,-0.06,-0.44,0.72,-2.04,-1.76,1,1,1,1,0,0,,,0,-1.05
20MICRONS.NS,2026-06-15,14:00,BEARISH,LOW,190.38,-1.17,-0.04,-0.25,0.15,-1.4,-1.12,1,1,1,1,0,0,,,0,-0.6
20MICRONS.NS,2026-06-16,09:15,BEARISH,LOW,190.0,-4.95,-0.16,-1.31,1.57,-4.41,-2.72,1,1,1,1,1,0,,,0,-3.11
20MICRONS.NS,2026-06-16,12:00,BEARISH,LOW,188.81,-3.57,-0.12,-0.94,0.71,-3.8,-2.11,1,1,1,1,0,0,,,0,-2.25
20MICRONS.NS,2026-06-16,14:00,BEARISH,LOW,182.8,-2.06,-0.07,-0.55,1.31,-0.32,1.11,1,1,0,0,1,0,,,0,-1.3
20MICRONS.NS,2026-06-17,09:15,BULLISH,HIGH,186.99,0.22,5.45,1.58,0.0,-1.79,-1.08,0,0,0,0,1,1,-1.38,-0.381,1,-1.0
20MICRONS.NS,2026-06-17,12:00,BULLISH,HIGH,184.9,0.16,3.94,1.14,0.73,-0.49,0.04,1,1,0,0,1,1,-0.262,,0,-0.73
20MICRONS.NS,2026-06-17,14:00,BULLISH,HIGH,185.15,0.09,2.27,0.66,0.19,-0.59,-0.1,1,1,0,0,1,1,-0.397,0.024,1,-0.42
20MICRONS.NS,2026-06-18,09:15,BEARISH,LOW,187.0,-2.82,-0.09,-0.65,0.0,-1.76,-1.07,1,1,1,1,1,0,,,0,-1.55
20MICRONS.NS,2026-06-18,12:00,BEARISH,LOW,183.81,-2.03,-0.07,-0.47,1.07,-0.05,0.65,1,0,0,0,1,0,,,0,-1.12
20MICRONS.NS,2026-06-18,14:00,BEARISH,LOW,184.87,-1.17,-0.04,-0.27,0.34,-0.63,0.07,1,1,1,1,1,0,,,0,-0.65
20MICRONS.NS,2026-06-19,09:15,BULLISH,MEDIUM,186.14,0.15,3.29,0.83,1.16,-1.9,-0.95,1,1,0,1,1,1,-2.16,0.533,1,-0.65
20MICRONS.NS,2026-06-19,12:00,BULLISH,MEDIUM,185.84,0.11,2.37,0.6,0.06,-1.74,-0.79,1,0,0,0,1,1,-1.086,-0.617,1,-0.47
20MICRONS.NS,2026-06-19,14:00,BULLISH,MEDIUM,184.3,0.06,1.37,0.35,0.27,-0.49,0.04,1,1,0,0,1,1,-0.257,0.047,1,-0.27
20MICRONS.NS,2026-06-22,09:15,BULLISH,MEDIUM,187.69,0.13,3.1,0.7,1.51,-1.71,0.43,1,1,0,1,1,1,0.398,0.398,1,-0.77
20MICRONS.NS,2026-06-22,12:00,BULLISH,MEDIUM,186.5,0.1,2.24,0.5,2.16,-0.95,1.07,1,1,1,1,1,1,0.204,0.204,1,-0.56
20MICRONS.NS,2026-06-22,14:00,BULLISH,MEDIUM,186.64,0.05,1.29,0.29,2.08,0.0,0.99,1,1,1,1,0,1,-0.011,,0,-0.32
20MICRONS.NS,2026-06-23,09:15,BEARISH,LOW,190.99,-4.03,-0.16,-1.08,14.83,0.0,8.1,0,0,0,0,1,0,,,0,-2.58
20MICRONS.NS,2026-06-23,12:00,BEARISH,LOW,209.36,-2.91,-0.11,-0.78,0.04,-3.96,-1.39,1,1,1,1,0,0,,,0,-1.86
20MICRONS.NS,2026-06-23,14:00,BEARISH,LOW,202.0,-1.68,-0.06,-0.45,2.91,-0.46,2.21,1,1,0,1,1,0,,,0,-1.07
20MICRONS.NS,2026-06-24,09:15,BEARISH,HIGH,208.35,-11.89,-0.47,-4.42,1.75,-2.01,-0.22,1,1,0,0,1,0,,,0,-10.52
20MICRONS.NS,2026-06-24,12:00,BEARISH,HIGH,206.46,-8.59,-0.34,-3.19,1.13,-0.95,0.7,1,1,0,0,1,0,,,0,-7.6
20MICRONS.NS,2026-06-24,14:00,BEARISH,HIGH,207.66,-4.96,-0.2,-1.84,0.31,-0.18,0.12,1,0,0,0,1,0,,,0,-4.39
20MICRONS.NS,2026-06-25,09:15,BEARISH,LOW,209.3,-4.54,-0.14,-1.01,0.41,-4.81,-4.46,1,1,1,1,0,0,,,0,-2.41
20MICRONS.NS,2026-06-25,12:00,BEARISH,LOW,203.99,-3.28,-0.1,-0.73,0.07,-2.33,-1.97,1,1,1,1,1,0,,,0,-1.74
20MICRONS.NS,2026-06-25,14:00,BEARISH,LOW,200.68,-1.89,-0.06,-0.42,0.33,-0.72,-0.35,1,1,0,1,1,0,,,0,-1.01
20MICRONS.NS,2026-06-29,09:15,NEUTRAL,HIGH,203.0,-0.5,0.5,0.0,0.0,-3.3,-2.78,0,1,1,0,1,0,,,0,-0.16
20MICRONS.NS,2026-06-29,12:00,NEUTRAL,HIGH,197.36,-0.5,0.5,-0.0,0.57,-0.54,-0.01,1,1,1,1,1,0,,,0,-0.12
20MICRONS.NS,2026-06-29,14:00,NEUTRAL,HIGH,198.24,-0.5,0.5,-0.0,0.13,-0.61,-0.45,1,1,1,1,1,0,,,0,-0.07
20MICRONS.NS,2026-06-30,09:15,BULLISH,HIGH,198.36,0.17,4.0,1.18,3.73,-0.63,1.53,1,1,1,1,1,1,0.885,0.885,1,-0.44
20MICRONS.NS,2026-06-30,12:00,BULLISH,HIGH,201.67,0.13,2.89,0.86,0.7,-0.88,-0.13,1,1,0,0,1,1,-0.434,0.558,1,-0.32
20MICRONS.NS,2026-06-30,14:00,BULLISH,HIGH,200.45,0.07,1.67,0.49,0.64,-0.22,0.47,1,1,0,1,1,1,0.194,0.194,1,-0.18
20MICRONS.NS,2026-07-01,09:15,BEARISH,LOW,204.6,-3.89,-0.1,-0.88,0.1,-2.63,-2.49,1,1,1,1,1,0,,,0,-2.11
20MICRONS.NS,2026-07-01,12:00,BEARISH,LOW,202.0,-2.81,-0.07,-0.64,0.12,-1.38,-1.23,1,1,0,1,1,0,,,0,-1.53
20MICRONS.NS,2026-07-01,14:00,BEARISH,LOW,200.74,-1.62,-0.04,-0.37,0.23,-0.76,-0.61,1,1,0,1,1,0,,,0,-0.88
20MICRONS.NS,2026-07-02,09:15,BULLISH,HIGH,201.0,0.16,3.6,1.0,0.99,-1.24,0.44,1,1,0,0,1,1,0.143,0.7,1,-0.74
20MICRONS.NS,2026-07-02,12:00,BULLISH,HIGH,200.57,0.12,2.6,0.72,1.2,-0.88,0.66,1,1,0,1,1,1,0.423,0.423,1,-0.53
20MICRONS.NS,2026-07-02,14:00,BULLISH,HIGH,199.82,0.07,1.5,0.42,1.58,-0.41,1.04,1,1,1,1,0,1,0.115,0.115,1,-0.31
20MICRONS.NS,2026-07-03,09:15,BEARISH,LOW,202.01,-3.63,-0.08,-0.87,3.46,-0.75,1.48,1,1,0,0,1,0,,,0,-2.07
20MICRONS.NS,2026-07-03,12:00,BEARISH,LOW,207.22,-2.62,-0.06,-0.63,0.67,-2.04,-1.07,1,1,1,1,1,0,,,0,-1.49
20MICRONS.NS,2026-07-03,14:00,BEARISH,LOW,204.35,-1.51,-0.03,-0.36,0.6,-0.66,0.32,1,1,0,1,1,0,,,0,-0.86
20MICRONS.NS,2026-07-06,09:15,BEARISH,MEDIUM,205.18,-4.09,-0.11,-0.96,2.3,-4.71,-4.52,1,1,1,1,0,0,,,0,-2.29
20MICRONS.NS,2026-07-06,12:00,BEARISH,MEDIUM,206.06,-2.96,-0.08,-0.69,0.85,-5.12,-4.93,1,1,1,1,0,0,,,0,-1.65
20MICRONS.NS,2026-07-06,14:00,BEARISH,MEDIUM,202.51,-1.71,-0.05,-0.4,0.44,-3.46,-3.26,1,1,1,1,0,0,,,0,-0.95
20MICRONS.NS,2026-07-07,09:15,BULLISH,HIGH,195.89,0.24,6.11,1.65,0.69,-0.95,-0.18,1,1,0,0,1,1,-0.479,0.479,1,-0.95
20MICRONS.NS,2026-07-07,12:00,BULLISH,HIGH,196.39,0.17,4.41,1.2,0.08,-0.88,-0.43,1,0,0,0,1,1,-0.733,-0.041,1,-0.69
20MICRONS.NS,2026-07-07,14:00,BULLISH,HIGH,195.1,0.1,2.55,0.69,0.72,-0.14,0.23,1,1,0,1,1,1,0.392,,0,-0.4
20MICRONS.NS,2026-07-08,09:15,BULLISH,HIGH,193.1,0.16,3.56,1.0,4.6,-1.61,-0.52,1,1,1,1,0,1,0.705,0.705,1,-0.6
20MICRONS.NS,2026-07-08,12:00,BULLISH,HIGH,196.03,0.11,2.57,0.72,3.04,-3.08,-2.0,1,1,1,1,0,1,-2.07,0.424,1,-0.43
20MICRONS.NS,2026-07-08,14:00,BULLISH,HIGH,195.16,0.07,1.49,0.42,0.36,-2.64,-1.57,1,1,0,0,1,1,-2.07,0.12,1,-0.25
20MICRONS.NS,2026-07-09,09:15,BULLISH,HIGH,192.78,0.19,4.48,1.26,2.71,-0.11,0.41,1,1,1,1,1,1,0.955,,0,-0.84
20MICRONS.NS,2026-07-09,12:00,BULLISH,HIGH,195.02,0.14,3.24,0.91,1.08,-1.01,-0.74,1,1,0,1,1,1,0.608,-0.434,1,-0.61
20MICRONS.NS,2026-07-09,14:00,BULLISH,HIGH,195.4,0.08,1.87,0.52,0.31,-1.2,-0.94,1,1,0,0,1,1,-1.237,-0.889,1,-0.35
20MICRONS.NS,2026-07-10,09:15,BULLISH,LOW,196.3,0.09,2.4,0.66,2.33,0.0,0.9,1,1,1,1,1,1,0.362,,0,-1.22
20MICRONS.NS,2026-07-10,12:00,BULLISH,LOW,197.16,0.07,1.74,0.48,1.29,-0.24,0.46,1,1,1,1,1,1,0.182,,0,-0.88
20MICRONS.NS,2026-07-10,14:00,BULLISH,LOW,198.45,0.04,1.0,0.28,0.63,-0.89,-0.2,1,1,1,1,1,1,-0.023,-0.023,1,-0.51
20MICRONS.NS,2026-07-13,09:15,BEARISH,LOW,197.0,-3.04,-0.09,-0.79,5.08,-1.52,2.54,1,1,0,1,1,0,,,0,-1.88
20MICRONS.NS,2026-07-13,12:00,BEARISH,LOW,199.45,-2.19,-0.07,-0.57,3.79,-0.11,1.28,1,1,0,0,1,0,,,0,-1.36
20MICRONS.NS,2026-07-13,14:00,BEARISH,LOW,205.95,-1.27,-0.04,-0.33,0.51,-2.09,-1.92,1,1,1,1,0,0,,,0,-0.78
20MICRONS.NS,2026-07-14,09:15,BEARISH,MEDIUM,202.0,-3.72,-0.11,-0.94,3.66,-2.09,1.54,1,1,1,1,1,0,,,0,-2.23
20MICRONS.NS,2026-07-14,12:00,BEARISH,MEDIUM,202.0,-2.68,-0.08,-0.68,3.66,0.0,1.54,0,0,0,0,1,0,,,0,-1.61
20MICRONS.NS,2026-07-14,14:00,BEARISH,MEDIUM,205.68,-1.55,-0.05,-0.39,0.26,-0.43,-0.28,1,1,0,1,1,0,,,0,-0.93
20MICRONS.NS,2026-07-15,09:15,BEARISH,MEDIUM,205.0,-4.77,-0.12,-1.28,1.36,-0.51,-0.2,1,1,0,0,1,0,,,0,-3.05
