date,ticker,exp_up_q50,confidence,ret_1d_net,ret_3d_net,ret_5d_net
2022-09-06,KEEPLEARN.NS,14.04,MEDIUM,4.462,14.938,26.367
2022-09-06,REGENCERAM.NS,13.22,MEDIUM,4.565,15.105,26.727
2022-09-06,BCONCEPTS.NS,11.03,MEDIUM,4.695,15.399,17.832
2022-09-06,SOLEX.NS,10.36,MEDIUM,4.683,15.299,27.126
2022-09-06,SERVOTECH.NS,10.28,MEDIUM,4.665,15.391,15.657
2022-09-16,APTUS.NS,4.84,LOW,-5.922,-9.654,-4.855
2022-09-20,REGENCERAM.NS,13.61,MEDIUM,4.558,15.11,26.836
2022-09-20,SERVOTECH.NS,12.34,MEDIUM,4.676,-4.047,-4.287
2022-09-20,TRF.NS,12.05,MEDIUM,4.692,4.428,-5.762
2022-09-20,SOLEX.NS,11.75,MEDIUM,-5.299,-5.274,-14.552
2022-09-20,DBSTOCKBRO.NS,11.42,MEDIUM,-5.232,-14.41,-22.629
2022-09-26,PRITIKAUTO.NS,7.67,MEDIUM,0.014,-2.187,0.643
2022-09-26,SBC.NS,5.82,MEDIUM,1.529,3.359,0.92
2022-09-26,SJS.NS,4.35,LOW,1.541,-0.241,4.83
2022-09-28,SMLT.NS,8.61,MEDIUM,-0.179,2.331,4.718
2022-09-28,KOTYARK.NS,6.5,MEDIUM,2.183,-3.694,-6.484
2022-09-28,ASIANENE.NS,4.38,LOW,-0.503,-2.673,2.819
2022-10-04,MKPL.NS,13.12,MEDIUM,4.693,15.44,22.929
2022-10-04,SONAL.NS,10.76,MEDIUM,4.685,15.442,15.142
2022-10-04,FOCUS.NS,9.51,MEDIUM,4.677,0.837,0.069
2022-10-04,JAIPURKURT.NS,9.33,MEDIUM,4.667,11.972,1.088
2022-10-04,TI.NS,8.18,MEDIUM,4.655,1.452,0.601
2022-10-13,SMLT.NS,6.46,LOW,-0.834,-1.328,-2.766
2022-10-19,ZENITHEXPO.NS,13.02,MEDIUM,-5.291,-14.528,-22.876
2022-10-19,RKDL.NS,12.28,MEDIUM,-5.146,-14.177,-14.397
2022-10-19,ORIENTALTL.NS,10.07,MEDIUM,-3.729,-2.586,-0.3
2022-10-19,LANDSMILL.NS,8.75,MEDIUM,-0.3,-0.3,-0.3
2022-10-19,MKPL.NS,8.62,MEDIUM,3.633,12.369,22.312
2022-10-21,GUJRAFFIA.NS,5.89,LOW,3.7,5.613,3.874
2022-10-25,KPIGREEN.NS,7.76,MEDIUM,-1.199,-7.368,-5.101
2022-10-28,NYKAA.NS,7.61,MEDIUM,16.903,16.939,12.013
2022-10-28,MONARCH.NS,4.23,LOW,-0.756,0.369,0.597
2022-11-01,EXXARO.NS,5.51,LOW,-0.579,3.529,1.375
2022-11-03,MKPL.NS,12.24,MEDIUM,-0.3,9.946,21.243
2022-11-03,JAIPURKURT.NS,11.13,MEDIUM,4.66,15.338,8.911
2022-11-03,LYPSAGEMS.NS,10.09,MEDIUM,0.385,-9.204,-5.095
2022-11-03,RUCHINFRA.NS,9.84,MEDIUM,4.7,4.245,6.064
2022-11-03,TREEHOUSE.NS,9.4,MEDIUM,-5.129,-5.33,-6.94
2022-11-07,CMSINFO.NS,4.24,LOW,1.52,0.822,-0.452
2022-11-10,POLICYBZR.NS,4.04,LOW,6.493,3.538,-0.929
2022-11-10,GOCOLORS.NS,4.01,LOW,-0.32,-6.706,-8.634
2022-11-10,SUPRIYA.NS,3.12,LOW,-4.114,-7.641,-8.331
2022-11-16,ROLEXRINGS.NS,3.52,LOW,2.612,5.848,3.893
2022-11-18,MKPL.NS,13.06,MEDIUM,4.082,13.082,19.664
2022-11-18,BOHRAIND.NS,11.5,MEDIUM,4.683,15.414,15.139
2022-11-18,GANGAFORGE.NS,11.32,MEDIUM,9.577,18.219,20.688
2022-11-18,AIROLAM.NS,10.27,MEDIUM,-8.605,1.533,1.705
2022-11-18,NURECA.NS,9.3,MEDIUM,0.897,-6.319,-11.471
2022-11-22,PAYTM.NS,5.51,MEDIUM,-5.417,-2.733,1.189
2022-12-02,WILLAMAGOR.NS,11.9,MEDIUM,4.542,-5.353,-13.563
2022-12-02,LANDSMILL.NS,11.64,MEDIUM,8.791,8.791,8.791
2022-12-02,SKIPPER.NS,11.06,MEDIUM,6.005,5.544,18.522
2022-12-02,PIGL.NS,10.14,MEDIUM,-5.225,-12.24,-16.419
2022-12-02,PVP.NS,9.68,MEDIUM,4.351,0.63,-7.277
2022-12-12,KOTYARK.NS,5.62,MEDIUM,3.7,-0.899,3.137
2022-12-12,GRAUWEIL.NS,4.11,LOW,0.445,-1.258,-4.558
2022-12-16,SAKHTISUG.NS,11.21,MEDIUM,15.031,-6.223,-16.502
2022-12-16,BTML.NS,10.52,MEDIUM,-5.268,-8.711,-0.546
2022-12-16,ARVEE.NS,10.11,MEDIUM,4.697,15.413,15.103
2022-12-16,RAJSREESUG.NS,9.65,MEDIUM,19.682,1.86,-9.391
2022-12-16,MADHUCON.NS,9.44,MEDIUM,1.262,-8.112,-15.925
2022-12-22,IRIS.NS,6.72,MEDIUM,-5.152,-0.57,2.935
2022-12-22,STEELCAS.NS,5.38,MEDIUM,-3.615,-2.879,-6.415
2022-12-22,PRITIKAUTO.NS,5.16,MEDIUM,-7.14,1.003,2.632
2022-12-22,KPIGREEN.NS,5.0,MEDIUM,-6.342,3.231,1.742
2022-12-22,MEGASTAR.NS,4.95,LOW,-5.26,1.331,-1.975
2022-12-26,NYKAA.NS,5.89,LOW,-0.898,4.68,2.721
2022-12-26,MONARCH.NS,5.47,LOW,-2.718,-1.229,0.496
2022-12-26,NRL.NS,5.15,LOW,1.985,0.353,1.332
2022-12-26,GRAUWEIL.NS,4.99,LOW,-0.242,-0.012,1.713
2022-12-26,KOTYARK.NS,4.8,LOW,1.443,-4.961,-11.636
2022-12-28,IONEXCHANG.NS,4.0,LOW,-2.613,3.19,2.829
2022-12-30,AVROIND.NS,9.6,MEDIUM,6.122,1.795,1.074
2022-12-30,BTML.NS,8.58,MEDIUM,4.286,9.516,15.388
2022-12-30,MAHAPEXLTD.NS,8.23,MEDIUM,4.69,-5.482,-2.296
2022-12-30,PARACABLES.NS,7.62,MEDIUM,4.428,14.886,26.061
2022-12-30,APOLLO.NS,7.58,MEDIUM,4.428,8.557,12.498
2023-01-03,VIJAYA.NS,4.72,LOW,-2.401,-5.866,-1.942
2023-01-03,DATAPATTNS.NS,3.51,LOW,0.591,1.913,0.925
2023-01-03,EUROBOND.NS,2.97,LOW,-2.479,-4.958,-4.574
2023-01-13,TOUCHWOOD.NS,11.52,MEDIUM,4.677,15.397,27.227
2023-01-13,SHRADHA.NS,10.61,MEDIUM,4.686,15.41,26.898
2023-01-13,BTML.NS,9.59,MEDIUM,2.6,7.059,-0.768
2023-01-13,SPECTRUM.NS,9.04,MEDIUM,4.664,9.882,21.126
2023-01-13,KAMATHOTEL.NS,8.72,MEDIUM,-2.311,5.158,7.373
2023-01-17,ETERNAL.NS,5.56,MEDIUM,1.395,2.292,3.588
2023-01-23,NYKAA.NS,5.35,LOW,7.395,0.622,9.279
2023-01-23,NRL.NS,4.71,LOW,-0.185,-18.159,-11.007
2023-01-25,IONEXCHANG.NS,4.52,LOW,-1.158,3.889,11.487
2023-01-30,ARIHANTCAP.NS,12.1,MEDIUM,1.785,-4.769,-7.45
2023-01-30,GTLINFRA.NS,11.45,MEDIUM,17.347,17.347,17.347
2023-01-30,NORBTEAEXP.NS,10.67,MEDIUM,4.682,4.326,-5.638
2023-01-30,PANACHE.NS,10.31,MEDIUM,4.663,13.626,25.181
2023-01-30,PRAENG.NS,9.6,MEDIUM,6.952,5.044,3.135
2023-02-01,MEDICAMEQ.NS,6.04,LOW,1.886,-2.389,1.463
2023-02-01,GMRP&UI.NS,4.92,LOW,-1.083,-0.3,-1.083
2023-02-01,RATEGAIN.NS,4.16,LOW,-0.329,3.747,2.732
2023-02-01,STARHEALTH.NS,4.12,MEDIUM,2.7,3.985,5.53
2023-02-01,EUROBOND.NS,3.51,LOW,-0.343,5.953,2.479
2023-02-03,VCL.NS,7.99,MEDIUM,0.72,35.414,24.19
2023-02-03,SUPRIYA.NS,5.19,MEDIUM,0.76,6.54,6.212
2023-02-03,MEGASTAR.NS,4.13,LOW,-2.176,-0.532,-0.11
2023-02-07,MONARCH.NS,8.8,MEDIUM,7.737,2.294,-0.151
2023-02-07,NRL.NS,7.46,MEDIUM,5.002,8.622,0.778
2023-02-09,KRISHIVAL.NS,6.36,MEDIUM,4.093,0.784,0.784
2023-02-09,OBCL.NS,5.75,LOW,-2.542,-6.258,-13.817
2023-02-09,AWL.NS,5.65,LOW,-1.164,-10.83,-5.372
2023-02-13,BHAGCHEM.NS,11.52,MEDIUM,-5.712,-7.821,-5.065
2023-02-13,SOMATEX.NS,11.5,MEDIUM,4.462,15.085,26.44
2023-02-13,PANACHE.NS,10.58,MEDIUM,-5.273,-14.488,-22.826
2023-02-13,GILLANDERS.NS,9.96,MEDIUM,-0.152,1.553,-2.524
2023-02-13,WILLAMAGOR.NS,9.94,MEDIUM,9.547,-1.175,-8.177
2023-02-15,GMRP&UI.NS,4.92,LOW,5.933,5.662,2.952
2023-02-15,MEDICAMEQ.NS,4.63,LOW,-1.435,-3.249,-3.649
2023-02-15,GUJRAFFIA.NS,4.61,LOW,0.909,-4.791,-6.69
2023-02-15,TARSONS.NS,4.27,LOW,0.724,-0.999,-0.649
2023-02-17,SBC.NS,8.16,MEDIUM,4.144,2.24,4.144
2023-02-17,NPST.NS,5.42,MEDIUM,-0.3,15.442,21.729
2023-02-17,GOCOLORS.NS,4.23,LOW,2.694,-1.145,-4.593
2023-02-21,NRL.NS,6.11,LOW,-0.891,-0.709,-6.979
2023-02-21,MONARCH.NS,6.1,MEDIUM,-6.645,-11.959,-6.354
2023-02-21,KOTYARK.NS,4.89,LOW,-3.763,-6.416,-14.807
2023-02-23,OBCL.NS,7.49,MEDIUM,-2.42,-16.554,-9.664
2023-02-23,AWL.NS,7.34,MEDIUM,-3.439,-3.68,6.205
2023-02-27,SOMATEX.NS,13.91,MEDIUM,4.689,15.346,21.695
2023-02-27,TREEHOUSE.NS,12.59,MEDIUM,9.61,31.682,34.385
2023-02-27,SAMBHAAV.NS,11.6,MEDIUM,-0.3,12.427,8.791
2023-02-27,NECCLTD.NS,11.34,MEDIUM,-3.927,-9.626,-4.704
2023-02-27,SGL.NS,11.13,MEDIUM,3.209,19.437,15.489
2023-03-01,GUJRAFFIA.NS,5.0,LOW,-0.677,-2.187,-0.3
2023-03-01,MEDICAMEQ.NS,4.55,LOW,-1.446,5.881,-0.957
2023-03-14,SOMATEX.NS,13.04,MEDIUM,4.671,15.197,26.893
2023-03-14,ABMINTLLTD.NS,11.73,MEDIUM,4.624,15.277,27.005
2023-03-14,BEDMUTHA.NS,10.95,MEDIUM,1.69,5.878,3.47
2023-03-14,DNAMEDIA.NS,10.7,MEDIUM,-2.223,-0.3,-2.223
2023-03-14,AJOONI.NS,10.61,MEDIUM,-1.476,-8.535,-7.359
2023-03-16,MEDICAMEQ.NS,4.21,LOW,1.146,2.255,1.927
2023-03-20,MEGASTAR.NS,7.78,MEDIUM,0.245,9.018,-0.399
2023-03-20,PRITIKAUTO.NS,6.83,MEDIUM,3.184,0.397,-4.481
2023-03-20,NPST.NS,6.24,MEDIUM,-0.718,-1.574,3.137
2023-03-20,EMUDHRA.NS,5.0,LOW,2.008,0.696,-5.075
2023-03-22,RITCO.NS,4.33,LOW,0.137,-3.389,-9.66
2023-03-24,OBCL.NS,6.19,MEDIUM,-2.956,-8.542,-6.436
2023-03-28,INVENTURE.NS,13.22,MEDIUM,3.033,26.367,26.367
2023-03-28,NDL.NS,12.71,MEDIUM,3.921,10.414,49.7
2023-03-28,SUPERSPIN.NS,12.58,MEDIUM,8.629,26.486,27.379
2023-03-28,MANUGRAPH.NS,12.55,MEDIUM,-1.297,12.989,9.002
2023-03-28,WSI.NS,12.51,MEDIUM,4.607,15.267,26.942
2023-03-31,PASUPTAC.NS,5.32,MEDIUM,13.346,16.604,17.826
2023-03-31,LEMERITE.NS,5.28,LOW,2.941,15.426,20.468
2023-03-31,CAMPUS.NS,4.96,LOW,-0.84,0.285,0.18
2023-03-31,TARSONS.NS,3.78,LOW,1.654,5.779,3.712
2023-04-05,VCL.NS,5.78,LOW,-2.522,-0.3,-0.3
2023-04-05,STARTECK.NS,5.67,LOW,0.638,0.102,0.638
2023-04-05,EMUDHRA.NS,3.94,LOW,5.12,10.233,5.559
2023-04-10,HARDWYN.NS,5.99,LOW,-1.574,15.66,21.576
2023-04-10,MONARCH.NS,5.45,MEDIUM,10.07,6.325,-1.236
2023-04-12,GUJRAFFIA.NS,7.88,MEDIUM,-3.687,-2.261,7.543
2023-04-17,WSI.NS,14.73,MEDIUM,4.611,15.269,27.077
2023-04-17,ABINFRA.NS,12.25,MEDIUM,4.567,15.187,14.892
2023-04-17,TPHQ.NS,11.71,MEDIUM,4.369,14.695,25.96
2023-04-17,MARINE.NS,9.92,MEDIUM,-0.3,2.041,-0.523
2023-04-17,XELPMOC.NS,9.68,MEDIUM,-5.269,-5.476,-7.588
2023-04-19,EUROBOND.NS,4.5,MEDIUM,-1.201,4.655,4.835
2023-04-21,INTLCONV.NS,5.0,LOW,-0.638,-3.678,-5.199
2023-04-21,SBC.NS,3.79,LOW,3.73,4.234,3.478
2023-04-25,NRL.NS,5.14,LOW,-2.623,-2.054,-3.05
2023-04-25,GRAUWEIL.NS,4.34,LOW,2.696,1.788,0.926
2023-04-25,NYKAA.NS,4.11,LOW,-0.3,4.531,5.771
2023-04-27,AXITA.NS,5.56,MEDIUM,-20.3,-42.7,-53.592
2023-05-02,TPHQ.NS,13.63,MEDIUM,4.685,14.949,26.386
2023-05-02,WSI.NS,12.5,MEDIUM,4.661,15.357,4.146
2023-05-02,MICEL.NS,11.61,MEDIUM,9.377,25.865,38.41
2023-05-02,TARAPUR.NS,10.99,MEDIUM,4.245,5.003,-4.845
2023-05-02,KOHINOOR.NS,10.41,MEDIUM,-5.267,-8.357,-16.304
2023-05-04,AKSHAR.NS,4.86,LOW,-4.432,-6.636,-4.845
2023-05-08,STARTECK.NS,5.14,LOW,4.629,2.015,1.415
2023-05-08,JSLL.NS,2.87,LOW,1.94,4.65,11.141
2023-05-16,TPHQ.NS,14.0,MEDIUM,4.627,15.028,3.897
2023-05-16,ASMS.NS,11.03,MEDIUM,-1.948,-5.245,-8.542
2023-05-16,KANANIIND.NS,10.53,MEDIUM,4.194,-5.356,-9.289
2023-05-16,RAJMET.NS,10.12,MEDIUM,6.222,4.048,-3.561
2023-05-16,BCG.NS,9.93,MEDIUM,4.508,-5.428,3.867
2023-05-18,ALIVUS.NS,3.16,LOW,0.005,-1.386,1.31
2023-05-22,VCL.NS,4.55,LOW,-4.467,-0.3,-2.383
2023-05-22,FIBERWEB.NS,4.35,LOW,4.638,-2.152,-1.072
2023-05-22,MALLCOM.NS,4.16,LOW,-1.988,-1.545,13.436
2023-05-22,NPST.NS,2.82,LOW,-0.3,-9.669,-10.387
2023-05-26,AXITA.NS,6.94,MEDIUM,4.7,15.277,14.892
2023-05-26,STYLAMIND.NS,3.71,LOW,-0.108,2.085,4.758
2023-05-26,KRISHIVAL.NS,3.2,LOW,0.459,1.494,-0.231
2023-05-30,ACL.NS,13.99,MEDIUM,4.679,15.173,10.73
2023-05-30,VENUSREM.NS,12.32,MEDIUM,0.397,1.58,-3.764
2023-05-30,EUROTEXIND.NS,11.83,MEDIUM,4.333,7.808,7.808
2023-05-30,SERVOTECH.NS,10.13,MEDIUM,4.673,15.156,26.955
2023-05-30,MAGNUM.NS,10.04,MEDIUM,4.626,-3.736,-9.922
2023-06-01,LEMERITE.NS,7.25,MEDIUM,-0.726,-7.336,-7.336
2023-06-05,EMUDHRA.NS,4.69,LOW,1.267,1.44,2.785
2023-06-05,NPST.NS,3.76,LOW,0.975,-0.3,5.932
2023-06-13,JITFINFRA.NS,12.27,MEDIUM,4.693,15.437,27.287
2023-06-13,MADHUCON.NS,12.01,MEDIUM,3.937,-6.232,-1.147
2023-06-13,DNAMEDIA.NS,10.67,MEDIUM,-4.648,-13.343,-19.141
2023-06-13,LCCINFOTEC.NS,10.64,MEDIUM,3.782,-4.382,-12.545
2023-06-13,BCG.NS,9.82,MEDIUM,4.7,15.277,27.008
2023-06-23,AXITA.NS,3.94,LOW,0.268,-1.626,-1.626
2023-06-27,JITFINFRA.NS,12.43,MEDIUM,4.699,15.443,22.732
2023-06-27,APOLLO.NS,12.08,MEDIUM,4.673,-5.544,-14.676
2023-06-27,AXISCADES.NS,9.79,MEDIUM,4.692,0.846,1.234
2023-06-27,PIGL.NS,8.97,MEDIUM,-5.268,-5.592,0.132
2023-06-27,PRAENG.NS,8.59,MEDIUM,5.89,8.748,8.271
2023-07-04,CHOICEIN.NS,4.26,MEDIUM,0.899,1.847,0.944
2023-07-06,SMLT.NS,6.63,MEDIUM,4.691,9.917,9.917
2023-07-06,MANORAMA.NS,3.08,LOW,-2.618,0.136,0.447
2023-07-10,TRU.NS,5.55,LOW,-9.465,-6.289,-11.552
2023-07-12,PCJEWELLER.NS,10.69,MEDIUM,-5.214,-14.377,-21.681
2023-07-12,GOLDTECH.NS,10.57,MEDIUM,-5.284,-0.3,-0.3
2023-07-12,PREMEXPLN.NS,9.82,MEDIUM,1.944,22.349,25.227
2023-07-12,SECURKLOUD.NS,9.41,MEDIUM,9.642,13.033,2.624
2023-07-12,HPL.NS,8.69,LOW,4.206,25.469,13.219
2023-07-18,DYCL.NS,3.68,LOW,3.297,14.982,18.964
2023-07-20,ROTO.NS,4.72,MEDIUM,-1.877,-3.656,-6.116
2023-07-20,NGLFINE.NS,4.33,LOW,-2.649,2.379,2.034
2023-07-24,KRSNAA.NS,4.71,LOW,0.68,2.816,13.706
2023-07-26,TIL.NS,11.83,MEDIUM,4.695,15.428,18.78
2023-07-26,KARMAENG.NS,8.55,MEDIUM,-4.807,-2.501,-8.581
2023-07-26,SIGMA.NS,8.45,MEDIUM,-0.798,9.385,17.042
2023-07-26,SILLYMONKS.NS,7.98,MEDIUM,3.365,-4.488,-4.75
2023-07-26,REFEX.NS,7.91,MEDIUM,-0.398,9.83,12.637
2023-08-01,NPST.NS,9.23,MEDIUM,2.689,10.978,16.718
2023-08-01,EMUDHRA.NS,4.24,MEDIUM,-2.209,1.07,-1.861
2023-08-01,PRITIKAUTO.NS,3.78,LOW,3.393,3.677,26.689
2023-08-01,SYRMA.NS,3.19,LOW,-4.017,-4.679,-4.959
2023-08-03,RAMRAT.NS,3.74,LOW,2.967,4.023,-1.188
2023-08-03,SMLT.NS,3.23,MEDIUM,1.689,5.788,4.074
2023-08-03,ASIANENE.NS,2.63,MEDIUM,1.693,3.526,7.153
2023-08-07,IONEXCHANG.NS,4.88,MEDIUM,0.29,4.787,7.673
2023-08-09,PANACHE.NS,11.01,MEDIUM,-5.264,-14.527,-14.732
2023-08-09,PVP.NS,8.76,MEDIUM,4.287,5.663,1.994
2023-08-09,ZENTEC.NS,8.68,LOW,0.822,1.061,3.764
2023-08-09,SKMEGGPROD.NS,8.51,MEDIUM,4.687,6.219,-1.504
2023-08-09,PFOCUS.NS,8.49,MEDIUM,-2.547,-8.659,-5.368
2023-08-11,ARTEMISMED.NS,4.03,LOW,-1.947,0.523,-1.329
2023-08-16,JSLL.NS,8.95,MEDIUM,4.699,-4.391,-9.595
2023-08-16,INTLCONV.NS,4.04,LOW,-3.275,-0.841,1.661
2023-08-16,SYRMA.NS,3.43,LOW,2.472,3.785,5.989
2023-08-18,PIXTRANS.NS,5.88,MEDIUM,-2.728,-1.112,-3.959
2023-08-18,BAJAJHCARE.NS,4.26,LOW,-0.861,-3.929,-4.272
2023-08-18,RAMRAT.NS,3.86,LOW,1.125,0.359,-1.173
2023-08-22,IONEXCHANG.NS,5.87,MEDIUM,1.172,2.917,11.04
2023-08-22,TEGA.NS,3.52,LOW,-5.038,-5.512,0.19
2023-08-24,DOLPHIN.NS,11.73,MEDIUM,4.683,15.442,27.258
2023-08-24,RKDL.NS,11.46,MEDIUM,4.674,15.407,27.187
2023-08-24,VIVIDHA.NS,9.21,MEDIUM,4.462,-0.3,-5.062
2023-08-24,LANDSMILL.NS,8.76,MEDIUM,-0.3,-0.3,-0.3
2023-08-24,TNTELE.NS,8.72,MEDIUM,4.7,14.7,26.129
2023-08-28,MEDICAMEQ.NS,5.18,MEDIUM,1.548,6.99,4.193
2023-08-30,SBC.NS,3.71,LOW,-2.07,-3.397,-4.946
2023-09-05,GUJRAFFIA.NS,6.1,MEDIUM,-1.049,-4.492,-6.288
2023-09-07,GTLINFRA.NS,10.94,MEDIUM,16.367,16.367,33.033
2023-09-07,NEXTMEDIA.NS,10.25,MEDIUM,4.373,13.719,10.915
2023-09-07,KALYANIFRG.NS,10.19,MEDIUM,4.695,-5.54,-3.379
2023-09-07,AURIONPRO.NS,9.35,MEDIUM,-4.978,-3.463,-1.875
2023-09-07,KAVDEFENCE.NS,8.95,MEDIUM,-2.3,-6.3,-9.3
2023-09-13,MALLCOM.NS,5.5,MEDIUM,-0.487,3.898,7.252
2023-09-13,JSLL.NS,5.07,MEDIUM,2.864,6.964,6.928
2023-09-13,RELCHEMQ.NS,5.06,MEDIUM,1.642,2.535,4.897
2023-09-13,SYRMA.NS,4.52,MEDIUM,2.115,2.673,3.365
2023-09-13,SBC.NS,3.95,LOW,1.407,0.187,-1.036
2023-09-15,ASIANENE.NS,10.05,MEDIUM,4.694,6.821,-0.608
2023-09-15,GOYALALUM.NS,5.34,MEDIUM,1.475,5.025,0.292
2023-09-15,RAMRAT.NS,5.23,MEDIUM,-1.731,-0.911,-3.842
2023-09-15,SMLT.NS,4.33,LOW,-2.944,-1.697,8.47
2023-09-20,IONEXCHANG.NS,4.15,LOW,-1.648,-2.745,-3.715
2023-09-20,STYLAMIND.NS,3.77,LOW,-0.961,-0.094,1.326
2023-09-22,UNITECH.NS,12.34,MEDIUM,-4.845,-13.936,-15.452
2023-09-22,DIACABS.NS,12.06,MEDIUM,4.533,15.128,26.838
2023-09-22,NORBTEAEXP.NS,9.47,MEDIUM,4.497,-5.466,-14.691
2023-09-22,LANDSMILL.NS,8.96,LOW,-0.3,-0.3,-0.3
2023-09-22,SIMPLEXINF.NS,8.91,MEDIUM,4.664,0.661,0.18
2023-09-26,AKSHAR.NS,6.03,MEDIUM,-3.33,-3.33,-7.118
2023-09-26,GMRP&UI.NS,5.91,LOW,-5.314,-1.136,-3.364
2023-09-26,EUROBOND.NS,4.03,MEDIUM,1.559,2.302,-1.973
2023-09-26,RATEGAIN.NS,3.25,LOW,3.058,4.866,2.349
2023-09-28,VCL.NS,6.12,LOW,2.641,5.582,17.347
2023-09-28,JSLL.NS,4.35,LOW,-1.775,1.8,10.151
2023-09-28,ABCOTS.NS,3.75,MEDIUM,-0.3,9.486,14.929
2023-10-03,ASIANENE.NS,6.76,LOW,-0.193,1.687,0.801
2023-10-03,GOYALALUM.NS,6.72,MEDIUM,4.417,0.643,-3.13
2023-10-03,JTLIND.NS,3.92,LOW,-2.074,6.57,4.213
2023-10-05,VENUSPIPES.NS,6.77,MEDIUM,7.419,4.877,4.448
2023-10-09,STEELXIND.NS,10.88,MEDIUM,5.989,21.084,14.165
2023-10-09,RUCHINFRA.NS,10.77,MEDIUM,4.7,7.641,3.524
2023-10-09,PVP.NS,10.33,MEDIUM,9.664,14.291,3.259
2023-10-09,BEDMUTHA.NS,10.27,MEDIUM,1.863,-2.168,-6.001
2023-10-09,ZENITHSTL.NS,9.64,MEDIUM,8.791,24.7,36.064
