date,ticker,exp_up_q50,confidence,ret_1d_net,ret_3d_net,ret_5d_net
2022-05-12,ZENITHSTL.NS,15.6,MEDIUM,3.824,14.133,24.442
2022-05-12,AYMSYNTEX.NS,14.11,MEDIUM,4.784,10.444,6.356
2022-05-12,AROGRANITE.NS,13.76,MEDIUM,3.421,12.065,6.783
2022-05-12,DCM.NS,13.76,MEDIUM,2.335,5.525,4.069
2022-05-12,LAMBODHARA.NS,13.56,MEDIUM,5.141,14.334,8.581
2022-05-26,ZENITHSTL.NS,15.64,MEDIUM,4.305,14.174,25.358
2022-05-26,GMDCLTD.NS,12.63,MEDIUM,6.242,15.663,14.354
2022-05-26,KOHINOOR.NS,12.35,MEDIUM,4.618,15.274,27.022
2022-05-26,NAHARINDUS.NS,12.14,MEDIUM,6.409,8.998,10.175
2022-05-26,SIKKO.NS,11.63,MEDIUM,9.33,5.635,2.052
2022-06-09,ZENITHSTL.NS,14.81,MEDIUM,-5.259,-13.936,-21.788
2022-06-09,SIL.NS,13.2,MEDIUM,4.692,15.301,15.145
2022-06-09,ACCURACY.NS,12.88,MEDIUM,19.649,24.719,19.522
2022-06-09,DNAMEDIA.NS,12.81,MEDIUM,4.112,-4.712,-13.535
2022-06-09,KOHINOOR.NS,11.97,MEDIUM,4.675,15.383,27.187
2022-06-13,ARTEMISMED.NS,4.75,LOW,-0.537,-3.022,-7.874
2022-06-21,CHEMPLASTS.NS,7.05,MEDIUM,-1.874,16.752,15.278
2022-06-21,APTUS.NS,6.27,LOW,0.255,12.634,9.056
2022-06-21,STYLAMIND.NS,5.21,LOW,-0.519,-0.319,-0.256
2022-06-23,GICL.NS,12.17,MEDIUM,-2.802,5.329,11.583
2022-06-23,ADROITINFO.NS,12.15,MEDIUM,4.7,4.343,3.986
2022-06-23,KOHINOOR.NS,12.12,MEDIUM,4.682,15.424,27.256
2022-06-23,NAGREEKEXP.NS,11.08,MEDIUM,1.687,9.799,7.316
2022-06-23,NDL.NS,10.66,MEDIUM,4.14,5.561,8.936
2022-06-27,GUJRAFFIA.NS,4.59,LOW,3.585,4.261,1.558
2022-07-05,APTUS.NS,4.29,LOW,0.196,3.933,6.487
2022-07-07,SPCENET.NS,12.67,MEDIUM,4.194,13.183,24.419
2022-07-07,GICL.NS,12.0,MEDIUM,1.616,-3.394,-11.548
2022-07-07,BCG.NS,9.67,MEDIUM,4.587,15.114,14.863
2022-07-07,OIL.NS,8.66,MEDIUM,4.033,3.608,0.521
2022-07-07,CHENNPETRO.NS,8.23,MEDIUM,-0.168,1.395,0.811
2022-07-21,SPCENET.NS,12.63,MEDIUM,4.017,14.088,24.88
2022-07-21,REGENCERAM.NS,12.56,MEDIUM,-0.3,8.302,24.431
2022-07-21,PCJEWELLER.NS,12.27,MEDIUM,-5.252,-14.462,-22.715
2022-07-21,KEEPLEARN.NS,11.19,MEDIUM,3.271,12.2,22.914
2022-07-21,SUPREMEINF.NS,11.14,MEDIUM,4.49,14.969,14.67
2022-07-25,ETERNAL.NS,6.58,MEDIUM,-12.8,-4.292,-3.031
2022-07-27,PRITIKAUTO.NS,7.27,MEDIUM,9.775,6.043,0.446
2022-08-04,KEEPLEARN.NS,13.41,MEDIUM,4.406,13.818,24.406
2022-08-04,REGENCERAM.NS,13.21,MEDIUM,4.528,14.183,25.217
2022-08-04,SPCENET.NS,12.7,MEDIUM,4.602,14.896,26.171
2022-08-04,HECPROJECT.NS,10.79,MEDIUM,4.578,-1.345,1.442
2022-08-04,EUROTEXIND.NS,10.32,MEDIUM,2.624,12.565,17.244
2022-08-18,KRSNAA.NS,4.88,LOW,-0.083,0.068,4.529
2022-08-22,KEEPLEARN.NS,14.23,MEDIUM,4.211,13.986,24.512
2022-08-22,REGENCERAM.NS,13.51,MEDIUM,4.462,14.852,26.107
2022-08-22,SPCENET.NS,12.42,MEDIUM,4.608,15.037,26.387
2022-08-22,NAVKARCORP.NS,11.14,MEDIUM,2.578,4.496,-0.06
2022-08-22,TVVISION.NS,10.0,MEDIUM,4.178,4.178,-3.285
2022-08-24,MEDICAMEQ.NS,10.86,MEDIUM,-2.807,4.894,11.235
