tf,strats,dir,dir_correct,median
1D,PED|SUPER,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,PED,NEUTRAL,0,1
1D,PED,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,S3,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,S5|S5V2,NEUTRAL,0,1
1D,S5|S5V2,NEUTRAL,1,1
1D,S5,NEUTRAL,1,1
1D,S14,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,SUPER,NEUTRAL,1,1
1D,S20,NEUTRAL,0,1
1D,MFS|S13|S3,NEUTRAL,1,1
1D,MFS|S13|S3|S4|S5,NEUTRAL,1,1
1D,S5|S5V2,NEUTRAL,0,1
1D,S5,NEUTRAL,0,1
1D,MFS,NEUTRAL,0,1
1D,MFS|SUPER,NEUTRAL,0,1
1D,MFS|S5,NEUTRAL,0,1
1D,MFS|S5|S5V2,NEUTRAL,1,1
1D,S5|S_SEASONAL,NEUTRAL,0,1
1D,MFS|S_SEASONAL,NEUTRAL,1,1
1D,S3|S_SEASONAL,NEUTRAL,1,1
1D,S3|S4V2|S5|S5V2|S7,NEUTRAL,0,0
1D,MFS|PED|S5|S5V2,NEUTRAL,0,1
1D,S5,NEUTRAL,0,1
1D,MFS|S12|S5,NEUTRAL,0,1
1D,MFS|S5,NEUTRAL,0,1
1D,S5,NEUTRAL,0,1
1D,S5,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,0,0
1D,PED,NEUTRAL,1,1
1D,PED|SUPER,NEUTRAL,1,1
1D,,NEUTRAL,1,1
