latitude,longitude,distance_m,distance_km,r_min_m,v_safe_kmh,altitude_m,heading_deg,grade_pct,stop_event,lap,s_m,t_s,v_kmh,a_ms2,v_ceiling_kmh,f_traction_n,f_drag_n,f_roll_n,f_grade_n,f_cornering_n,p_wheel_w,p_motor_mech_w,p_motor_elec_w,p_fc_elec_w,h2_flow_m3_s,h2_cumulative_m3,accessory_energy_cumulative_j,motor_clipped,motor_state,active_motor,weather_scenario,motor_name,fc_name,rule_violation,p_fc_out_w,p_supercap_w,supercap_voltage_v,supercap_energy_j,supercap_soc_frac,supercap_v_start,supercap_v_end,supercap_recharge_s,is_recharge
25.487955495553,51.459702688543345,9360.78451246236,9.36078451246236,651.0974813399432,265.25860112739866,8.3,209.8751921040563,0.8704196573293133,False,3,9360.78451246236,1376.0363799433337,24.133136665813566,-0.01041178692795202,132.02910879646413,18.61672629718455,0.026023944608565337,6.199685150957337,13.490819561614792,0.5452599746202721,124.80000000000001,156.0,301.74081237911025,311.74081237911025,0.0,0.04255882729822606,20565.54569914996,True,accel,BG 42x30 dCore,shamal_strong,BLDC 650W + BG 42x30 dCore,SZFC-1000,0,0.0,311.74081237911025,37.219059034655295,13390.830769109838,0.6012406056532794,45.536798306424664,45.536798306424664,3.3954479031444698,False
25.48791611550607,51.4596776276737,9365.822755658774,9.365822755658774,650.452958874046,265.12727865786115,8.8,210.31300511644335,0.8689391853974215,False,3,9365.822755658774,1376.7883863721906,24.10494963527301,-0.010139551620466909,130.53701306003384,18.638495694783128,0.02845771604878156,6.199685949128785,13.467875145889517,0.5445260397498167,124.80000000000003,156.00000000000003,301.74081237911025,311.74081237911025,0.0,0.04255882729822606,20576.825795582816,True,accel,BG 42x30 dCore,shamal_strong,BLDC 650W + BG 42x30 dCore,SZFC-1000,0,0.0,311.74081237911025,36.88694432343217,13152.917728026518,0.590558446840271,45.536798306424664,45.536798306424664,3.3954479031444698,False
25.487877752107803,51.4596527799622,9370.752899678695,9.370752899678696,669.8006870788886,269.04149133270647,9.3,210.7327207642018,0.8557714470385992,False,3,9370.752899678695,1377.52509914268,24.078057861476008,-0.008624836245129308,129.06023314579264,18.659312249549465,0.030925024420847942,6.199692988519538,13.263800599951056,0.5276177633884506,124.80000000000003,156.00000000000003,301.74081237911025,311.74081237911025,0.0,0.04255882729822606,20587.876487140154,True,accel,BG 42x30 dCore,shamal_strong,BLDC 650W + BG 42x30 dCore,SZFC-1000,0,0.0,311.74081237911025,36.5585710350467,12919.781455870701,0.5800907622068382,45.536798306424664,45.536798306424664,3.3954479031444698,False
25.48783971378336,51.45962772681066,9375.662605222502,9.375662605222502,699.5291057140381,274.947238367718,9.7,211.13956717156788,0.8392446663054045,False,3,9375.662605222502,1378.2595152477234,24.055254674365585,-0.006760325633163877,127.57258748085312,18.677000351144653,0.03352497664124087,6.199701671551355,13.007666401335438,0.5042387516565108,124.80000000000001,156.0,301.74081237911025,311.74081237911025,0.0,0.04255882729822606,20598.892728715804,True,accel,BG 42x30 dCore,shamal_strong,BLDC 650W + BG 42x30 dCore,SZFC-1000,0,0.0,311.74081237911025,36.228169887488775,12687.309502835235,0.5696529051201165,45.536798306424664,45.536798306424664,3.3954479031444698,False
25.48780074800543,51.45960164618959,9380.713649484765,9.380713649484765,903.5999148716464,312.4888731722101,10.2,211.45849694410924,0.81533196516302,False,3,9380.713649484765,1379.0157208318453,24.03685076878617,-0.0036131746781948608,126.02379090761518,18.691300467007398,0.03564237578056505,6.199713935406708,12.637062366009278,0.3897633889656384,124.80000000000001,156.0,301.74081237911025,311.74081237911025,0.0,0.04255882729822606,20610.235812477633,True,accel,BG 42x30 dCore,shamal_strong,BLDC 650W + BG 42x30 dCore,SZFC-1000,0,0.0,311.74081237911025,35.88469150499397,12447.873815949666,0.5589023803856711,45.536798306424664,45.536798306424664,3.3954479031444698,False
25.48776204254528,51.45957541290678,9385.748099436281,9.385748099436281,970.8696248852086,323.9119153684916,10.7,211.752744757045,0.7870023454733843,False,3,9385.748099436281,1379.7698844729412,24.027041038889767,-0.0006273451965117162,124.46090569530836,18.69893172749832,0.03786166393335551,6.199728005861688,12.198001204775439,0.36246139397668775,124.80000000000001,156.0,301.74081237911025,311.74081237911025,8.349329721375818e-05,0.04262091222662866,20621.54826709407,True,accel,BG 42x30 dCore,shamal_strong,BLDC 650W + BG 42x30 dCore,SZFC-1000,0,558.0,-246.25918762088975,35.53873133324646,12209.013772841176,0.5481777017259867,45.536798306424664,45.536798306424664,3.3954479031444698,False
25.48772401015208,51.4595493375064,9390.710789858911,9.390710789858911,975.2697181281876,324.64508870175456,11.1,212.04318500676249,0.7531319470658415,False,3,9390.710789858911,1380.5134762398784,24.025361679486412,0.0026981039117740763,122.9008471867983,18.700238772413947,0.0403550230850185,6.199744175352275,11.67306350523292,0.3607756506834293,124.80000000000003,156.00000000000003,301.74081237911025,311.74081237911025,8.349329721376697e-05,0.04268282237266285,20632.702143598126,True,accel,BG 42x30 dCore,shamal_strong,BLDC 650W + BG 42x30 dCore,SZFC-1000,0,558.0,-246.25918762088975,35.80084802517281,12389.773620108028,0.5562937149832987,45.536798306424664,45.536798306424664,3.3954479031444698,False
25.487686200925825,51.45952312054497,9395.660078030538,9.395660078030538,950.2660461195686,320.45649126731945,11.5,212.3434016079578,0.7178538640082999,False,3,9395.660078030538,1381.2549746367579,24.032563982497113,0.006042976315664313,121.32502458688,18.694634510375593,0.04328883010256628,6.199760260842197,11.126304647926691,0.3704905136291792,124.80000000000001,156.0,301.74081237911025,311.74081237911025,8.349329721376202e-05,0.042745750404255684,20643.824619551317,True,accel,BG 42x30 dCore,shamal_strong,BLDC 650W + BG 42x30 dCore,SZFC-1000,0,558.0,-246.25918762088975,36.060378780929526,12570.05887229975,0.5643884191944931,45.536798306424664,45.536798306424664,3.3954479031444698,False
25.487647878851355,51.45949623736405,9400.693209396766,9.400693209396767,935.7224777714772,317.99478545477933,11.8,212.650530310597,0.6831397292028087,False,3,9400.693209396766,1382.0086642584736,24.048960285217316,0.009306235124127298,119.701233477225,18.681888724984447,0.04668365637367834,6.199775336164297,10.588282110663828,0.37676247217053066,124.80000000000003,156.00000000000003,301.74081237911025,311.74081237911025,8.34932972137662e-05,0.04280848854661826,20655.12996387705,True,accel,BG 42x30 dCore,shamal_strong,BLDC 650W + BG 42x30 dCore,SZFC-1000,0,558.0,-246.25918762088975,36.322324300269685,12753.342011548295,0.5726177268116153,45.536798306424664,45.536798306424664,3.3954479031444698,False
25.48760977078286,51.45946918619431,9405.715491415223,9.405715491415224,784.5881617134493,291.18388947254766,12.2,213.01178502313027,0.6455021629761001,False,3,9405.715491415223,1382.7600795751061,24.074134536622147,0.012381575129761518,118.05868306149235,18.66235312910396,0.051048420476553814,6.199790837059936,10.004945988303987,0.45027901276116156,124.8,156.0,301.74081237911025,311.74081237911025,8.349329721376464e-05,0.04286955498647056,20666.401193626538,True,accel,BG 42x30 dCore,shamal_strong,BLDC 650W + BG 42x30 dCore,SZFC-1000,0,558.0,-246.25918762088975,36.58165922806808,12936.105321492147,0.5808236943917092,45.536798306424664,45.536798306424664,3.3954479031444698,False
