latitude,longitude,distance_m,distance_km,r_min_m,v_safe_kmh,altitude_m,heading_deg,grade_pct,stop_event,lap,s_m,t_s,v_kmh,a_ms2,v_ceiling_kmh,f_traction_n,f_drag_n,f_roll_n,f_grade_n,f_cornering_n,p_wheel_w,p_motor_mech_w,p_motor_elec_w,p_fc_elec_w,h2_flow_m3_s,h2_cumulative_m3,accessory_energy_cumulative_j,buffer_soc_wh,motor_clipped,motor_state,active_motor,weather_scenario,motor_name,fc_name,rule_violation,v_cmd_mpc,v_cmd_corrected,driver_deviation,mpc_mode,driver_throttle_pct,driver_brake_pct,p_fc_out_w,p_supercap_w,supercap_voltage_v,supercap_energy_j,supercap_soc_frac,supercap_v_start,supercap_v_end,supercap_recharge_s,is_recharge,drive_phase,gas_glide_num,x_m,y_m,lap_distance_km,stop_label
25.488415852960205,51.45018741356243,0.0,0.0,1242.1002872317251,366.3741285301943,11.7,330.44049736846927,-0.8187942298030916,True,1,0.0,0.0,0.0,0.833,0.0,128.09028326838154,2.9672924887149676,6.1997121816939815,-12.69072140202742,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,False,accel,BG 42x30 dCore,shamal_strong,BLDC 650W + BG 42x30 dCore,SZFC-1000,0,26.0,26.0,-4.272240673658002,tracking,100.0,0.0,0.0,10.0,45.536798306424664,20044.8,0.9,45.536798306424664,45.536798306424664,12.659036118030135,False,gas,1,-319.6091385424602,-50.16426473241442,0.0,stop-and-go 1
25.488456810871455,51.45016167989994,5.223524091758317,0.0052235240917583164,1525.8146332279932,406.066680406635,11.7,330.2495218245918,-0.8392799134999422,False,1,5.223524091758317,3.541394416043482,10.619933574831194,0.833,216.5436088558898,130.48548590363637,5.634939748073606,6.199701653212912,-13.008212668084951,0.04505717043480155,384.929775771164,481.1622197139549,555.8363459454679,627.5959399394087,0.0,0.0,53.12091624065223,0.0,False,accel,BLDC 650W,shamal_strong,BLDC 650W + BG 42x30 dCore,SZFC-1000,0,26.0,26.0,-3.099654610306069,correction,100.0,0.0,0.0,627.5959399394087,45.49654187393717,20009.374784040207,0.8984094281627248,45.536798306424664,45.536798306424664,12.659036118030135,False,gas,1,-322.19498828993443,-45.61253013946268,0.0052235240917583164,
25.48849576814852,51.45013701273625,10.2014187964106,0.0102014187964106,2345.329891037917,503.4408321954021,11.8,330.12819465936525,-0.8411753765936891,False,1,10.2014187964106,4.949060758602826,14.841243402898153,0.833,215.6479850221162,131.7682626000655,6.934903000075342,6.199700665905503,-13.037588856028016,0.0572477901126566,543.2235716734926,679.0294645918658,796.1174223867149,894.5749137630165,0.0,0.0,74.23591137904239,0.0,False,accel,BLDC 650W,shamal_strong,BLDC 650W + BG 42x30 dCore,SZFC-1000,0,26.0,26.0,-2.192419481550745,correction,100.0,0.0,0.0,894.5749137630165,44.46026959346629,19108.250532462465,0.8579494671543851,45.536798306424664,45.536798306424664,12.659036118030135,False,gas,1,-324.6736707950638,-41.283130024509845,0.0102014187964106,
25.488534725538255,51.4501122241018,15.185423535453964,0.015185423535453964,3360.0949378534524,602.590445696919,11.9,330.04324985788315,-0.8411753765936891,False,1,15.185423535453964,6.0381785602298645,18.107289866417318,0.833,214.74751974258245,132.91384272351647,8.078250024849813,6.199700665905503,-13.037588856028016,0.05948088878917283,668.5304104039208,835.6630130049009,1009.2466832692897,1131.385203632544,0.0,0.0,90.57267840344798,0.0,False,accel,BLDC 650W,shamal_strong,BLDC 650W + BG 42x30 dCore,SZFC-1000,0,26.0,26.0,-1.4219595645288372,correction,100.0,0.0,0.0,1131.385203632544,43.27719642491749,18104.85206054195,0.8128974524309425,45.536798306424664,45.536798306424664,12.659036118030135,False,gas,1,-327.16455930164614,-36.95371738862475,0.015185423535453964,
25.4885738405863,51.45008724963076,20.193905701219883,0.020193905701219882,4261.472153369187,678.6194373426551,11.9,329.9761251656322,-0.8576684402443792,False,1,20.193905701219883,6.963100429403823,20.880945567696187,0.8187053378161141,213.8388123385951,131.44232339009056,9.118020277537221,6.199691981024477,-13.293200378402119,0.06236813498497357,762.4000000000001,953.0000000000001,1173.6453201970442,1314.0503557744935,0.0,0.0,104.44650644105735,0.0,True,accel,BLDC 650W,shamal_strong,BLDC 650W + BG 42x30 dCore,SZFC-1000,0,26.0,26.0,-0.7538316078594969,correction,98.28395411958152,0.0,0.0,1314.0503557744935,41.9564903066414,17016.688428895835,0.7640395307514294,45.536798306424664,45.536798306424664,12.659036118030135,False,gas,1,-329.6741216173283,-32.606783869091416,0.020193905701219882,
25.488612910321496,51.4500622364867,25.19999877471134,0.025199998774711338,5701.379017303223,784.9399328660421,11.9,329.92599541997026,-0.8516365069275059,False,1,25.19999877471134,7.779179091418611,23.286206211705814,0.7261793106725545,212.92666311428962,117.86548547441313,10.071201219560674,6.199695176861246,-13.199716861093544,0.05797485282116082,762.4000000000001,953.0000000000001,1173.6453201970442,1314.0503557744935,0.0,0.0,116.68768637127918,0.0,True,accel,BLDC 650W,shamal_strong,BLDC 650W + BG 42x30 dCore,SZFC-1000,0,26.0,26.0,-0.21491469710582844,tracking,87.17638783584087,0.0,0.0,1314.0503557744935,40.54561595950782,15891.487410846985,0.7135186517082878,45.536798306424664,45.536798306424664,12.659036118030135,False,gas,1,-332.18756999565375,-28.264886057441785,0.025199998774711338,
25.488651915209797,51.45003721439266,30.200335127485587,0.030200335127485586,7781.435191896543,917.014746678196,11.8,329.8893149772072,-0.8485427460642819,False,1,30.200335127485587,8.521305592178523,25.22630709041902,0.3062281407361786,212.01164522307369,52.35666085664087,10.874836671459377,6.199696807247363,-13.151769383969095,0.049850525587005985,366.8792236107065,458.59902951338313,530.9030429429026,599.8922699365585,0.0,0.0,127.81958388267786,0.0,False,accel,BLDC 650W,shamal_strong,BLDC 650W + BG 42x30 dCore,SZFC-1000,0,26.0,26.0,0.0,tracking,36.762081721029844,0.0,0.0,599.8922699365585,39.2140664218963,14864.849051628646,0.6674231794014298,45.536798306424664,45.536798306424664,12.659036118030135,False,gas,1,-334.7019177138588,-23.930194810824688,0.030200335127485586,
25.488690850091363,51.45001220031393,35.19356512303047,0.035193565123030464,14407.925783183897,1247.806370914295,11.8,329.86949202717216,-0.8335768133093718,False,1,35.19356512303047,9.223117961835893,26.0,-0.02855700178911671,211.09396994168472,0.0,11.20352661884104,6.199704610409958,-12.919825031512383,0.028600084941824856,0.0,0.0,0.0,10.0,0.0,0.0,138.34676942753842,0.0,False,cruise,BG 42x30 dCore,shamal_strong,BLDC 650W + BG 42x30 dCore,SZFC-1000,0,26.0,26.0,-0.019831110735893276,tracking,0.0,0.9519000596372238,0.0,10.0,38.64024694045178,14432.997274984566,0.6480332828207869,45.536798306424664,45.536798306424664,12.659036118030135,False,glide,0,-337.21546001251903,-19.60328355264066,0.035193565123030464,
25.488729896217265,51.44998709475425,40.20207593336746,0.040202075933367463,20363.717967204557,1483.4571429647626,11.8,329.8554394424393,-0.8109709434540017,False,1,40.20207593336746,9.917557486066704,25.928608001350785,0.028523809302622573,210.16946101926675,9.32891883539444,11.1717905149993,6.199716133786403,-12.569474105409387,0.020124422203756986,67.1905220998223,83.98815262477787,128.2543412876116,138.2543412876116,0.0,0.0,148.7633622910006,0.0,False,accel,BG 42x30 dCore,shamal_strong,BLDC 650W + BG 42x30 dCore,SZFC-1000,0,26.0,26.0,0.0,tracking,3.424226807037524,0.0,0.0,138.2543412876116,38.63094588988554,14426.049810023556,0.6477213456368335,45.536798306424664,45.536798306424664,12.659036118030135,False,gas,1,-339.7381947838427,-15.264009488862797,0.040202075933367463,
25.488768982163656,51.44996194938349,45.21641503002024,0.04521641503002024,25215.022487357823,1650.7303918388366,11.8,329.84409372048543,-0.7794308177102502,False,1,45.21641503002024,10.612805113250564,26.0,-0.03377861322772664,209.23978430731898,-8.881784197001252e-16,11.201601885568136,6.199731682166538,-12.080654836538026,0.016342158784160052,0.0,0.0,0.0,10.0,0.0,0.0,159.1920766987585,0.0,False,cruise,BG 42x30 dCore,shamal_strong,BLDC 650W + BG 42x30 dCore,SZFC-1000,0,26.0,26.0,-0.02345614140394492,tracking,0.0,1.1259537742575547,0.0,10.0,38.50124192465766,14329.341087496494,0.643379179575094,45.536798306424664,45.536798306424664,12.659036118030135,False,glide,0,-342.2649299753829,-10.92031009458583,0.04521641503002024,
