#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware
0,🧠🔁,Neural Network,RealMLP (tuned + ensembled),1213.0,+120/-97,0.647,5.78,2.99,5.272,610.05,4.078,✔️,0.0,False,GPU
1,🌳,Tree-based,CatBoost (tuned + ensembled),1200.0,+88/-68,0.626,6.06,3.41,5.404,233.25,0.505,✔️,0.0,False,CPU
2,🌳,Tree-based,CatBoost (tuned),1172.0,+94/-75,0.605,6.67,3.44,5.417,233.25,0.114,✔️,0.0,False,CPU
3,🌳,Tree-based,XGBoost (tuned + ensembled),1153.0,+66/-50,0.548,7.1,5.29,6.053,129.78,1.547,✔️,0.0,False,CPU
4,🧠🔁,Neural Network,RealMLP (tuned),1125.0,+96/-83,0.558,7.75,3.64,6.58,610.05,0.383,✔️,0.0,False,GPU
5,🌳,Tree-based,LightGBM (tuned + ensembled),1114.0,+84/-58,0.479,8.02,4.53,7.121,47.06,1.788,✔️,0.0,False,CPU
6,🌳,Tree-based,CatBoost (default),1098.0,+86/-68,0.53,8.43,5.82,6.057,5.99,0.081,✔️,0.0,False,CPU
7,🌳,Tree-based,XGBoost (tuned),1080.0,+78/-63,0.464,8.88,4.84,6.448,129.78,0.275,✔️,0.0,False,CPU
8,🧠🔁,Neural Network,TabM (tuned + ensembled),1076.0,+90/-56,0.382,8.97,4.88,7.927,370.9,3.464,✔️,0.0,False,GPU
9,🌳,Tree-based,LightGBM (tuned),1025.0,+81/-68,0.356,10.31,6.2,8.214,47.06,0.435,✔️,0.0,False,CPU
10,🧠⚡,Foundation Model,TabPFN-3 (default),1020.0,+87/-67,0.369,10.44,3.93,7.187,8.37,2.944,✔️,0.0,False,GPU
11,🌳,Tree-based,XGBoost (default),1000.0,+52/-40,0.315,10.98,8.5,8.194,1.41,0.225,✔️,0.0,False,CPU
12,🧠🔁,Neural Network,TabM (tuned),980.0,+86/-56,0.268,11.51,7.62,9.128,370.9,0.511,✔️,0.0,False,GPU
13,🧠🔁,Neural Network,TabM (default),860.0,+95/-79,0.19,14.76,11.47,11.637,9.97,0.464,✔️,0.0,False,GPU
14,🧠🔁,Neural Network,RealMLP (default),860.0,+79/-70,0.152,14.77,11.19,9.95,18.03,0.367,✔️,0.0,False,GPU
15,🧠⚡,Foundation Model,TabPFN-2.6 (default) [43.33% IMPUTED],860.0,+117/-112,0.251,14.78,5.71,10.742,6.66,0.469,✔️,43.33,True,GPU
16,🧠⚡,Foundation Model,TabICLv2 (default),848.0,+97/-105,0.201,15.09,6.27,11.011,5.91,2.446,✔️,0.0,False,GPU
17,🌳,Tree-based,LightGBM (default),833.0,+54/-56,0.088,15.48,13.82,10.842,0.49,0.073,✔️,0.0,False,CPU
18,🌳,Tree-based,ExtraTrees (tuned + ensembled),693.0,+75/-80,0.025,19.03,17.5,15.41,21.23,0.595,✔️,0.0,False,CPU
19,🌳,Tree-based,RandomForest (tuned + ensembled),664.0,+66/-64,0.012,19.74,18.62,16.006,32.94,0.391,✔️,0.0,False,CPU
20,🌳,Tree-based,ExtraTrees (tuned),610.0,+78/-85,0.01,20.97,19.19,16.675,21.23,0.095,✔️,0.0,False,CPU
21,🌳,Tree-based,RandomForest (tuned),595.0,+69/-81,0.011,21.3,20.03,17.388,32.94,0.078,✔️,0.0,False,CPU
22,🧠⚡,Foundation Model,TabDPT (default) [43.33% IMPUTED],579.0,+94/-132,0.032,21.64,17.73,20.086,35.74,47.548,✔️,43.33,True,GPU
23,📏,Baseline,Linear (tuned + ensembled),546.0,+78/-94,0.009,22.33,20.87,22.351,36.37,0.533,✔️,0.0,False,CPU
24,🌳,Tree-based,RandomForest (default),507.0,+61/-99,0.0,23.1,22.28,19.575,1.76,0.173,✔️,0.0,False,CPU
25,📏,Baseline,Linear (tuned),498.0,+85/-103,0.008,23.26,22.02,23.4,36.37,0.19,✔️,0.0,False,CPU
26,🌳,Tree-based,ExtraTrees (default),440.0,+58/-83,0.0,24.28,23.85,21.088,0.87,0.193,✔️,0.0,False,CPU
27,📏,Baseline,Linear (default),423.0,+84/-122,0.008,24.55,23.48,25.526,1.38,0.199,✔️,0.0,False,CPU
