,TabFM (default),EXAONE-Tabular (default),TabPFN-3 (default),TabPFN-2.6 (default),TabICLv2 (default),RealTabPFN-2.5 (T+E),RealMLP (T+E),TabM (T+E),TabDPT-Turbo (default),LightGBM (T+E),LimiX (default),TabDPT (T+E),CatBoost (T+E),iLTM (T+E),BetaTabPFN (default),XGBoost (T+E),ModernNCA (T+E),TabSwift (default),ChimeraBoost (T+E),xRFM (T+E),EBM (T+E),SAP-RPT-OSS (default),TorchMLP (T+E),FastaiMLP (T+E),ExtraTrees (T+E),RandomForest (T+E),TabSTAR (T+E),OrionMSP (default),PerpetualBooster (T+E),Linear (T+E),KNN (T+E),TabFlex (default)
TabFM (default),,0.67836267,0.798538,0.81111103,0.8517544,0.8165205,0.84093577,0.89035094,0.88801163,0.8812866,0.8761696,0.9064328,0.8769005,0.87485385,0.89839184,0.90731007,0.89912283,0.88742685,0.89941525,0.90146196,0.9157894,0.89152044,0.9339181,0.89619887,0.94122815,0.9482456,0.8818713,0.95087713,0.9880116,0.9660819,0.95,0.95526314
EXAONE-Tabular (default),0.32163745,,0.64005846,0.805848,0.7067251,0.77163744,0.88918126,0.9135965,0.8467836,0.9263158,0.8672516,0.8847954,0.9282162,0.91666675,0.90731,0.95409364,0.9447368,0.9067251,0.9251462,0.9327486,0.9426901,0.91374266,0.95906436,0.9453216,0.947076,0.9666666,0.89356726,0.9584795,0.9862574,0.9657894,0.98099416,0.9523392
TabPFN-3 (default),0.201462,0.35994157,,0.6081872,0.5625731,0.6514621,0.7432748,0.7678363,0.7988305,0.7929826,0.7450293,0.8239766,0.8073099,0.81842107,0.8220761,0.8378655,0.86754376,0.8891813,0.8643275,0.84883046,0.8672516,0.82163745,0.8900585,0.87207615,0.9353802,0.9195906,0.8967837,0.9573099,0.9576023,0.9374269,0.93859655,0.96315783
TabPFN-2.6 (default),0.1888889,0.19415207,0.3918129,,0.48216373,0.5216374,0.72485375,0.7190058,0.72631574,0.77426904,0.72280705,0.7423977,0.77777785,0.79269004,0.79210526,0.7959064,0.8500001,0.8002924,0.82865494,0.8175438,0.8549708,0.8254387,0.8821637,0.8590643,0.9157894,0.91169596,0.8745614,0.92426914,0.95087713,0.9362573,0.94122815,0.9494152
TabICLv2 (default),0.14824562,0.29327485,0.43742695,0.51783633,,0.5356725,0.68508774,0.70847964,0.75175434,0.75263166,0.72295314,0.7980994,0.75555557,0.7690058,0.8052631,0.7725146,0.78567255,0.84210527,0.78771925,0.7891814,0.8128655,0.7704679,0.84883046,0.851462,0.8913744,0.9055556,0.8654971,0.93099415,0.94795316,0.9415205,0.9403509,0.9350877
RealTabPFN-2.5 (T+E),0.18347953,0.22836259,0.34853804,0.4783626,0.46432757,,0.6716375,0.67748535,0.64269006,0.7497077,0.7137428,0.69269,0.7640351,0.73143274,0.79035085,0.7836258,0.75292397,0.7853802,0.7747076,0.7967836,0.82631594,0.80774856,0.84385973,0.8340643,0.88391817,0.8988304,0.8736841,0.93450296,0.95964915,0.9122806,0.9152047,0.9394737
RealMLP (T+E),0.15906434,0.110818714,0.25672513,0.27514616,0.3149123,0.32836252,,0.511696,0.51315796,0.65380114,0.5353801,0.533772,0.64678365,0.6763158,0.6552632,0.72836256,0.64766073,0.5868421,0.66213447,0.76695913,0.76315784,0.6967836,0.77017546,0.8621345,0.822807,0.86257315,0.8415205,0.8602339,0.93538016,0.9242689,0.9116959,0.88918126
TabM (T+E),0.10964913,0.08640352,0.23216373,0.28099415,0.2915205,0.3225146,0.48830408,,0.55073106,0.58830404,0.4792397,0.5559942,0.5874269,0.597807,0.67309934,0.64005846,0.63947374,0.64415205,0.6567251,0.64356726,0.7599416,0.6921053,0.7260235,0.766959,0.76929826,0.7915205,0.8456141,0.8315789,0.90584797,0.9163743,0.8944444,0.89824563
TabDPT-Turbo (default),0.111988306,0.15321636,0.20116961,0.27368423,0.2482456,0.3573099,0.4868421,0.449269,,0.5263158,0.5809941,0.59356725,0.5736842,0.584503,0.552924,0.58918124,0.5692982,0.7019006,0.628655,0.63099414,0.6315789,0.6289474,0.6891813,0.7371345,0.7864035,0.80467844,0.7976608,0.8836256,0.88713455,0.8269006,0.9014621,0.92222226
LightGBM (T+E),0.11871345,0.073684216,0.20701754,0.225731,0.24736844,0.25029242,0.34619886,0.41169587,0.47368422,,0.4131579,0.4891813,0.5517544,0.5194444,0.5435672,0.67456144,0.54561406,0.58830416,0.63201755,0.6342106,0.7062866,0.6546784,0.6692983,0.69649136,0.78318715,0.81666666,0.8289474,0.82397664,0.91315794,0.9067251,0.9052632,0.8733918
