vinBattery,currentBattery,velocity,distance,H2 Leak,powerW,energyWh,kmPerkWh,timeS,_capture_ts,latitude,longitude,wgsAltitude,ts,elapsed_s,lap_number
36.58604,0.07096674,27.333072,1453.82,False,2.596392,4.852966,299.5735,244,1784710044.2152944,25.48990918,51.45483719,12.59,1784710044823,0.0,1.0
36.55838,0.07390214,27.333072,1456.96,False,2.701743,4.85322,300.2048,245,1784710044.6342075,25.48990918,51.45483719,12.59,1784710044823,0.0,1.0
36.60243,0.07903307,27.235104,1458.53,False,2.892802,4.853472,300.5127,245,1784710044.8614438,25.48990918,51.45483719,12.59,1784710044823,0.0,1.0
36.58757,0.07127634,27.137136,1461.67,False,2.607828,4.853692,301.146,245,1784710045.0515938,25.48990918,51.45483719,12.59,1784710044823,0.0,1.0
36.56515,0.08322254,27.137136,1463.24,False,3.043045,4.85397,301.4522,245,1784710045.4331484,25.48990918,51.45483719,12.59,1784710044823,0.0,1.0
36.56337,0.08236314,27.039168,1466.38,False,3.011474,4.854211,302.0841,246,1784710045.6212783,25.48990918,51.45483719,12.59,1784710044823,0.0,1.0
36.60561,0.08117894,27.039168,1467.95,False,2.971605,4.854447,302.3928,246,1784710045.8727286,25.4899194,51.45490615,12.31,1784710045839,1.02,1.0
36.55468,0.07656682,26.9412,1471.09,False,2.798876,4.854696,303.0241,246,1784710046.2513838,25.4899194,51.45490615,12.31,1784710045839,1.02,1.0
36.58179,0.1062828,26.843232,1472.66,False,3.888015,4.855007,303.3281,247,1784710046.481711,25.4899194,51.45490615,12.31,1784710045839,1.02,1.0
36.58923,0.08408486,26.843232,1474.23,False,3.0766,4.855273,303.6348,247,1784710046.8016672,25.4899269,51.45497546,12.1,1784710046848,2.02,1.0
36.53809,0.08593271,26.745264,1477.37,False,3.139817,4.855538,304.2649,247,1784710047.3519003,25.4899269,51.45497546,12.1,1784710046848,2.02,1.0
36.58324,0.08060831,26.745264,1478.94,False,2.948913,4.855782,304.573,248,1784710047.5464811,25.4899269,51.45497546,12.1,1784710046848,2.02,1.0
36.54357,0.08907075,26.647296,1482.08,False,3.254963,4.856083,305.2007,248,1784710047.7316663,25.48993119,51.45506596,11.8,1784710047860,3.04,1.0
36.56808,0.08165798,26.549328,1483.65,False,2.986076,4.856318,305.5092,248,1784710048.047492,25.48993119,51.45506596,11.8,1784710047860,3.04,1.0
36.58222,0.07502245,26.549328,1486.79,False,2.744488,4.856552,306.1411,249,1784710048.4652455,25.48993119,51.45506596,11.8,1784710047860,3.04,1.0
36.56645,0.08013342,26.45136,1488.36,False,2.930195,4.856799,306.4488,249,1784710048.651004,25.48993119,51.45506596,11.8,1784710047860,3.04,1.0
36.53975,0.07556318,26.45136,1491.5,False,2.76106,4.857064,307.0785,249,1784710048.9717958,25.48991913,51.45513498,11.5,1784710048866,4.04,1.0
36.60391,0.07861125,26.353392,1493.07,False,2.877479,4.85733,307.3849,249,1784710049.401765,25.48991913,51.45513498,11.5,1784710048866,4.04,1.0
36.5961,0.07027423,26.255424,1496.21,False,2.571763,4.857556,308.017,250,1784710049.6140091,25.48991913,51.45513498,11.5,1784710048866,4.04,1.0
36.56028,0.08984664,26.255424,1497.78,False,3.284818,4.857842,308.3221,250,1784710049.934378,25.48990434,51.45520374,11.3,1784710049880,5.06,1.0
36.55455,0.07059299,26.157456,1500.92,False,2.580495,4.858074,308.9537,250,1784710050.310213,25.48990434,51.45520374,11.3,1784710049880,5.06,1.0
36.57118,0.07553178,26.059488,1502.49,False,2.762286,4.858332,309.2605,251,1784710050.592489,25.48990434,51.45520374,11.3,1784710049880,5.06,1.0
36.58371,0.08632472,26.059488,1505.63,False,3.158079,4.858604,309.8894,251,1784710050.9015045,25.48988914,51.45527256,11.01,1784710050893,6.07,1.0
36.58235,0.08261649,25.96152,1507.2,False,3.022305,4.858883,310.1948,251,1784710051.295262,25.48988914,51.45527256,11.01,1784710050893,6.07,1.0
36.56019,0.06821649,25.96152,1510.34,False,2.494008,4.859117,310.826,252,1784710051.9916606,25.48986782,51.455339,11.0,1784710051908,7.08,1.0
36.59841,0.0897355,25.863552,1511.91,False,3.284177,4.859375,311.1326,252,1784710052.1919572,25.48986782,51.455339,11.0,1784710051908,7.08,1.0
36.53743,0.09377055,25.863552,1513.48,False,3.426135,4.859648,311.4382,252,1784710052.6115608,25.48986782,51.455339,11.0,1784710051908,7.08,1.0
36.59768,0.07236027,25.765584,1516.62,False,2.648218,4.859874,312.0698,253,1784710052.6115608,25.48986782,51.455339,11.0,1784710051908,7.08,1.0
36.56767,0.07635929,25.667616,1518.19,False,2.792281,4.860098,312.3785,253,1784710053.0316908,25.48984617,51.45542297,11.0,1784710052920,8.1,1.0
36.57969,0.05009806,25.667616,1521.33,False,1.832572,4.86026,313.0141,253,1784710053.2201903,25.48984617,51.45542297,11.0,1784710052920,8.1,1.0
36.54089,0.09489026,25.569648,1522.9,False,3.467375,4.860595,313.3156,254,1784710053.6021588,25.48984617,51.45542297,11.0,1784710052920,8.1,1.0
36.57119,0.07776803,25.47168,1526.04,False,2.844069,4.860854,313.9448,254,1784710053.7913098,25.48984617,51.45542297,11.0,1784710052920,8.1,1.0
36.59168,0.06401971,25.47168,1527.61,False,2.342589,4.861058,314.2546,254,1784710054.0420496,25.48983716,51.45549227,11.0,1784710053931,9.11,1.0
36.56156,0.072909,25.373712,1529.18,False,2.665667,4.861277,314.5634,255,1784710054.4221046,25.48983716,51.45549227,11.0,1784710053931,9.11,1.0
36.5423,0.07592558,25.373712,1532.32,False,2.774495,4.861536,315.1926,255,1784710054.6712763,25.48983716,51.45549227,11.0,1784710053931,9.11,1.0
36.57713,0.07018401,25.275744,1533.89,False,2.56713,4.861755,315.5013,255,1784710054.9817464,25.48982898,51.45555776,11.0,1784710054944,10.12,1.0
36.56092,0.0746517,25.275744,1535.46,False,2.729335,4.861972,315.8101,255,1784710055.3621633,25.48982898,51.45555776,11.0,1784710054944,10.12,1.0
36.57858,0.08457572,25.177776,1538.6,False,3.09366,4.862268,316.4367,256,1784710055.6101031,25.48982898,51.45555776,11.0,1784710054944,10.12,1.0
36.57048,0.08774602,25.079808,1540.17,False,3.208914,4.862565,316.7402,256,1784710055.9414952,25.48982099,51.45562411,11.0,1784710055960,11.14,1.0
36.54008,0.07745245,25.079808,1543.31,False,2.830119,4.862791,317.3712,256,1784710056.3413084,25.48982099,51.45562411,11.0,1784710055960,11.14,1.0
36.58432,0.08630086,24.98184,1544.88,False,3.157258,4.863059,317.6766,257,1784710056.5432217,25.48982099,51.45562411,11.0,1784710055960,11.14,1.0
36.58601,0.07016156,24.98184,1548.02,False,2.566932,4.863301,318.3064,257,1784710056.8744314,25.48981246,51.45568822,11.0,1784710056971,12.15,1.0
36.54339,0.08064238,24.883872,1549.59,False,2.946946,4.863547,318.6131,257,1784710057.3515337,25.48981246,51.45568822,11.0,1784710056971,12.15,1.0
36.55859,0.07523597,24.785904,1551.16,False,2.750521,4.863775,318.921,258,1784710057.5416722,25.48981246,51.45568822,11.0,1784710056971,12.15,1.0
36.56338,0.0760488,24.785904,1554.3,False,2.780601,4.864013,319.551,258,1784710057.7816377,25.48980365,51.45576952,11.0,1784710057986,13.16,1.0
36.56344,0.07427195,24.687936,1555.87,False,2.715638,4.864227,319.8597,258,1784710058.0711057,25.48980365,51.45576952,11.0,1784710057986,13.16,1.0
36.5875,0.06779029,24.687936,1557.44,False,2.480277,4.864434,320.1688,259,1784710058.451518,25.48980365,51.45576952,11.0,1784710057986,13.16,1.0
36.56647,0.08121945,24.589968,1560.58,False,2.969909,4.864713,320.7959,259,1784710058.7113967,25.48980365,51.45576952,11.0,1784710057986,13.16,1.0
36.54998,0.07746465,24.492,1562.15,False,2.831331,4.864988,321.1005,259,1784710059.0519028,25.48979662,51.4558369,11.0,1784710058995,14.17,1.0
36.56991,0.07948851,24.492,1563.72,False,2.906888,4.865239,321.4066,260,1784710059.4412613,25.48979662,51.4558369,11.0,1784710058995,14.17,1.0
36.60959,0.07477076,24.394032,1566.86,False,2.737327,4.865464,322.0371,260,1784710059.662242,25.48979662,51.4558369,11.0,1784710058995,14.17,1.0
