#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware
0,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),1774.0,+257/-158,0.826,5.81,1.53,4.812,37.34,5.423,✔️,0.0,False,GPU
1,🧠⚡,Foundation Model,[EXAONE-Tabular (default)](https://github.com/LGAI-Research/EXAONE-Tabular),1677.0,+140/-87,0.672,8.79,4.09,10.899,4.73,0.435,✔️,0.0,False,GPU
2,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),1605.0,+106/-69,0.594,11.69,6.26,11.957,4.66,0.361,✔️,0.0,False,GPU
3,🧠⚡,Foundation Model,[RealTabPFN-2.5 (default)](https://arxiv.org/abs/2511.08667),1597.0,+92/-54,0.533,12.07,8.25,13.532,5.54,0.55,✔️,0.0,False,GPU
4,🧠⚡,Foundation Model,[TabICLv2 (default)](https://arxiv.org/abs/2602.11139),1553.0,+141/-90,0.532,14.29,7.88,12.684,1.96,0.151,✔️,0.0,False,GPU
5,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),1538.0,+127/-83,0.523,15.1,8.07,13.276,5.75,0.434,✔️,0.0,False,GPU
6,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),1529.0,+140/-80,0.492,15.6,8.1,13.843,2125.17,9.785,✔️,0.0,False,GPU
7,📊,Reference Pipeline,"[AutoGluon 1.5 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",1523.0,+145/-99,0.528,15.95,6.14,9.706,369.86,6.202,✔️,0.0,False,GPU
8,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned)](https://arxiv.org/abs/2511.08667),1505.0,+131/-94,0.486,17.0,8.8,14.124,2125.17,0.881,✔️,0.0,False,GPU
9,🧠⚡,Foundation Model,[LimiX (default)](https://arxiv.org/abs/2509.03505),1455.0,+153/-107,0.419,20.19,6.74,14.94,19.33,4.519,➖,0.0,False,GPU
10,🧠🔁,Neural Network,[RealMLP (tuned + ensembled)](https://arxiv.org/abs/2407.04491),1455.0,+91/-82,0.369,20.19,13.53,15.965,2791.97,23.933,✔️,0.0,False,GPU
11,📊,Reference Pipeline,"[AutoGluon 1.4 (best, 4h)](https://arxiv.org/abs/2003.06505)",1450.0,+95/-77,0.358,20.57,15.45,15.526,1886.83,1.333,✔️,0.0,False,CPU
12,🧠⚡,Foundation Model,[TabDPT-Turbo (default)](https://openreview.net/pdf?id=Y00pwFyrHR),1410.0,+96/-84,0.355,23.4,10.16,16.132,2.4,0.116,➖,0.0,False,GPU
13,🧠🔁,Neural Network,[RealMLP (tuned)](https://arxiv.org/abs/2407.04491),1387.0,+93/-78,0.327,25.07,12.55,17.328,2791.97,0.543,✔️,0.0,False,GPU
14,🧠⚡,Foundation Model,[TabDPT (tuned + ensembled)](https://arxiv.org/abs/2410.18164),1370.0,+105/-82,0.309,26.38,9.55,16.174,6619.83,408.772,✔️,0.0,False,GPU
15,🧠🔁,Neural Network,[TabM (tuned + ensembled)](https://arxiv.org/abs/2410.24210),1350.0,+93/-87,0.294,27.95,10.75,18.023,2289.51,2.042,✔️,0.0,False,GPU
16,🧠⚡,Foundation Model,[BetaTabPFN (default)](https://arxiv.org/abs/2502.02527),1350.0,+117/-89,0.265,27.95,18.24,19.288,298.47,2.036,➖,0.0,False,GPU
17,🧠⚡,Foundation Model,[iLTM (tuned + ensembled)](https://arxiv.org/abs/2511.15941),1348.0,+79/-79,0.268,28.12,14.63,17.623,15318.17,500.783,✔️,0.0,False,GPU
18,🧠⚡,Foundation Model,[TabSwift (default)](https://github.com/LAMDA-Tabular/TabSwift),1343.0,+91/-79,0.254,28.55,17.55,18.076,1.21,0.052,➖,0.0,False,GPU
19,🧠⚡,Foundation Model,[TabDPT (tuned)](https://arxiv.org/abs/2410.18164),1335.0,+87/-83,0.272,29.19,16.97,17.325,6619.83,39.71,✔️,0.0,False,GPU
20,🌳,Tree-based,[LightGBM (tuned + ensembled)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1320.0,+72/-54,0.184,30.43,24.55,18.67,512.21,1.17,✔️,0.0,False,CPU
21,🧠🔁,Neural Network,[TabM (tuned)](https://arxiv.org/abs/2410.24210),1317.0,+122/-100,0.253,30.64,17.17,18.988,2289.51,0.259,✔️,0.0,False,GPU
