#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware
0,🧠⚡,Foundation Model,[EXAONE-Tabular (default)](https://github.com/LGAI-Research/EXAONE-Tabular),1843.0,+194/-80,0.816,6.12,3.16,9.189,8.62,0.669,✔️,0.0,False,GPU
1,📊,Reference Pipeline,"[AutoGluon 1.5 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",1742.0,+203/-82,0.703,9.27,5.4,12.141,251.72,2.753,✔️,0.0,False,GPU
2,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned)](https://arxiv.org/abs/2511.08667),1723.0,+192/-88,0.692,10.0,5.29,12.666,2710.49,1.346,✔️,0.0,False,GPU
3,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),1716.0,+249/-126,0.69,10.28,4.71,11.608,2710.49,8.095,✔️,0.0,False,GPU
4,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),1680.0,+388/-231,0.791,11.78,2.05,9.064,55.13,7.685,✔️,0.0,False,GPU
5,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),1644.0,+219/-115,0.599,13.49,8.78,14.938,9.94,0.613,✔️,0.0,False,GPU
6,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),1597.0,+237/-149,0.558,15.97,6.31,13.749,11.66,0.489,✔️,0.0,False,GPU
7,🧠⚡,Foundation Model,[RealTabPFN-2.5 (default)](https://arxiv.org/abs/2511.08667),1587.0,+209/-138,0.534,16.53,7.66,14.292,10.23,0.844,✔️,0.0,False,GPU
8,🧠⚡,Foundation Model,[LimiX (default)](https://arxiv.org/abs/2509.03505),1573.0,+234/-143,0.528,17.36,4.78,14.146,44.33,7.062,➖,0.0,False,GPU
9,🧠⚡,Foundation Model,[TabICLv2 (default)](https://arxiv.org/abs/2602.11139),1561.0,+268/-191,0.531,18.06,7.08,16.1,5.64,0.197,✔️,0.0,False,GPU
10,📊,Reference Pipeline,"[AutoGluon 1.4 (best, 4h)](https://arxiv.org/abs/2003.06505)",1535.0,+187/-100,0.373,19.63,10.36,18.028,6219.75,3.78,✔️,0.0,False,CPU
11,🧠🔁,Neural Network,[RealMLP (tuned + ensembled)](https://arxiv.org/abs/2407.04491),1513.0,+172/-124,0.419,21.06,10.83,17.658,4150.82,19.128,✔️,0.0,False,GPU
12,🧠🔁,Neural Network,[RealMLP (tuned)](https://arxiv.org/abs/2407.04491),1491.0,+137/-95,0.398,22.52,12.65,18.523,4150.82,3.42,✔️,0.0,False,GPU
13,🌳,Tree-based,[LightGBM (tuned + ensembled)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1472.0,+103/-70,0.328,23.79,18.78,19.842,1377.48,5.201,✔️,0.0,False,CPU
14,🧠🔁,Neural Network,[TabM (tuned + ensembled)](https://arxiv.org/abs/2410.24210),1469.0,+145/-110,0.364,24.0,13.74,20.453,3881.83,4.213,✔️,0.0,False,GPU
