#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware
30,🌳,Tree-based,[XGBoost (tuned)](https://arxiv.org/abs/1603.02754),1327.0,+75/-77,0.203,34.1,14.07,17.782,463.01,0.108,✔️,0.0,False,CPU
31,🧠⚡,Foundation Model,[BetaTabPFN (default)](https://arxiv.org/abs/2502.02527),1326.0,+83/-60,0.214,34.27,22.68,18.769,248.52,1.699,➖,0.0,False,GPU
32,🌳,Tree-based,[LightGBM (tuned)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1315.0,+59/-59,0.169,35.2,29.24,18.05,328.64,0.089,✔️,0.0,False,CPU
33,🧠⚡,Foundation Model,[iLTM (tuned)](https://arxiv.org/abs/2511.15941),1314.0,+55/-53,0.172,35.27,24.07,17.678,8274.67,40.268,✔️,0.0,False,GPU
34,🧠⚡,Foundation Model,[TabPFNv2 (tuned + ensembled)](https://www.nature.com/articles/s41586-024-08328-6) [33.33% IMPUTED],1301.0,+86/-79,0.24,36.48,19.35,19.53,2916.21,17.907,✔️,33.33,True,GPU
35,🌳,Tree-based,[EBM (tuned + ensembled)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),1300.0,+63/-59,0.137,36.5,26.3,18.944,976.68,0.14,✔️,0.0,False,CPU
36,🧠🔁,Neural Network,[RealMLP (default)](https://arxiv.org/abs/2407.04491),1293.0,+53/-53,0.126,37.2,26.12,18.306,9.04,1.162,✔️,0.0,False,GPU
37,❓,Other,[xRFM (tuned + ensembled)](https://arxiv.org/abs/2508.10053),1292.0,+66/-83,0.183,37.27,27.86,17.982,559.77,1.513,✔️,0.0,False,GPU
38,🧠⚡,Foundation Model,[Mitra (default)](https://arxiv.org/abs/2510.21204) [33.33% IMPUTED],1291.0,+100/-77,0.212,37.38,16.69,19.709,106.36,2.667,✔️,33.33,True,GPU
39,🧠🔁,Neural Network,[TabM (default)](https://arxiv.org/abs/2410.24210),1290.0,+82/-75,0.174,37.42,25.63,18.539,5.88,0.202,✔️,0.0,False,GPU
40,🌳,Tree-based,[ChimeraBoost (default)](https://github.com/bbstats/chimeraboost),1287.0,+76/-72,0.164,37.73,27.47,19.027,1.52,0.03,✔️,0.0,False,CPU
41,🧠🔁,Neural Network,[TorchMLP (tuned + ensembled)](https://arxiv.org/abs/2003.06505),1273.0,+65/-52,0.143,38.97,30.44,18.367,2206.64,2.301,✔️,0.0,False,CPU
42,❓,Other,[xRFM (tuned)](https://arxiv.org/abs/2508.10053),1255.0,+59/-68,0.124,40.6,31.52,19.445,559.77,0.086,✔️,0.0,False,GPU
43,🧠⚡,Foundation Model,[TabPFNv2 (tuned)](https://www.nature.com/articles/s41586-024-08328-6) [33.33% IMPUTED],1254.0,+84/-67,0.176,40.72,23.14,21.036,2916.21,0.225,✔️,33.33,True,GPU
44,🌳,Tree-based,[EBM (tuned)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),1248.0,+64/-54,0.083,41.23,29.24,19.744,976.68,0.015,✔️,0.0,False,CPU
45,🌳,Tree-based,[EBM (default)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),1248.0,+64/-59,0.115,41.25,16.54,20.34,2.84,0.015,✔️,0.0,False,CPU
46,🧠⚡,Foundation Model,[SAP-RPT-OSS (default)](https://arxiv.org/abs/2506.10707),1239.0,+88/-78,0.152,41.98,26.43,21.416,13.07,3.169,➖,0.0,False,GPU
47,🧠⚡,Foundation Model,[TabDPT (default)](https://arxiv.org/abs/2410.18164),1219.0,+68/-88,0.129,43.82,27.34,20.33,47.89,39.444,✔️,0.0,False,GPU
48,🧠⚡,Foundation Model,[TabPFNv2 (default)](https://www.nature.com/articles/s41586-024-08328-6) [33.33% IMPUTED],1214.0,+77/-77,0.146,44.27,18.29,21.721,2.61,0.256,✔️,33.33,True,GPU
49,🧠🔁,Neural Network,[FastaiMLP (tuned + ensembled)](https://arxiv.org/abs/2003.06505),1213.0,+74/-93,0.106,44.32,32.99,20.911,561.29,4.462,✔️,0.0,False,CPU
50,🌳,Tree-based,[XGBoost (default)](https://arxiv.org/abs/1603.02754),1201.0,+80/-76,0.109,45.37,23.97,20.657,1.42,0.118,✔️,0.0,False,CPU
51,🧠🔁,Neural Network,[ModernNCA (default)](https://arxiv.org/abs/2407.03257),1200.0,+64/-64,0.1,45.52,15.33,21.528,11.15,0.312,✔️,0.0,False,GPU
52,🧠🔁,Neural Network,[TorchMLP (tuned)](https://arxiv.org/abs/2003.06505),1198.0,+75/-65,0.1,45.72,37.51,20.59,2206.64,0.107,✔️,0.0,False,CPU
53,🌳,Tree-based,[ExtraTrees (tuned + ensembled)](https://link.springer.com/article/10.1007/s10994-006-6226-1),1168.0,+67/-65,0.063,48.32,41.2,21.704,180.03,0.779,✔️,0.0,False,CPU
54,🧠⚡,Foundation Model,[iLTM (default)](https://arxiv.org/abs/2511.15941),1165.0,+92/-78,0.09,48.55,25.25,23.242,202.68,44.667,✔️,0.0,False,GPU
55,🌳,Tree-based,[ExtraTrees (tuned)](https://link.springer.com/article/10.1007/s10994-006-6226-1),1144.0,+72/-90,0.056,50.3,39.63,22.836,180.03,0.056,✔️,0.0,False,CPU
56,🧠⚡,Foundation Model,[TabSTAR (tuned)](https://arxiv.org/abs/2505.18125),1143.0,+95/-106,0.139,50.4,16.25,24.512,34925.3,3.663,✔️,0.0,False,GPU
57,🧠🔁,Neural Network,[FastaiMLP (tuned)](https://arxiv.org/abs/2003.06505),1142.0,+79/-94,0.072,50.53,34.16,22.843,561.29,0.236,✔️,0.0,False,CPU
58,🌳,Tree-based,[LightGBM (default)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1140.0,+62/-66,0.062,50.62,44.09,21.45,0.93,0.094,✔️,0.0,False,CPU
59,🌳,Tree-based,[RandomForest (tuned + ensembled)](https://link.springer.com/article/10.1023/A:1010933404324),1139.0,+62/-78,0.05,50.73,44.63,23.083,171.61,0.552,✔️,0.0,False,CPU
60,🧠⚡,Foundation Model,[TabSTAR (tuned + ensembled)](https://arxiv.org/abs/2505.18125),1134.0,+100/-115,0.133,51.17,17.7,24.7,34925.3,16.932,✔️,0.0,False,GPU
61,🌳,Tree-based,[RandomForest (tuned)](https://link.springer.com/article/10.1023/A:1010933404324),1108.0,+62/-66,0.012,53.33,49.56,23.667,171.61,0.053,✔️,0.0,False,CPU
62,🌳,Tree-based,[PerpetualBooster (tuned + ensembled)](https://perpetual-ml.com/),1106.0,+89/-108,0.093,53.47,41.69,25.53,130.48,0.498,✔️,0.0,False,CPU
63,🧠⚡,Foundation Model,[OrionMSP (default)](https://arxiv.org/abs/2511.02818),1086.0,+72/-87,0.044,55.02,46.53,24.389,14.37,2.74,➖,0.0,False,GPU
64,🧠⚡,Foundation Model,[TabSTAR (default)](https://arxiv.org/abs/2505.18125),1060.0,+111/-144,0.111,57.03,15.41,29.647,387.37,4.09,✔️,0.0,False,GPU
65,🌳,Tree-based,[PerpetualBooster (tuned)](https://perpetual-ml.com/),1056.0,+66/-91,0.049,57.33,51.6,26.47,130.48,0.143,✔️,0.0,False,CPU
66,🧠🔁,Neural Network,[TorchMLP (default)](https://arxiv.org/abs/2003.06505),1051.0,+66/-71,0.025,57.7,50.8,24.935,4.97,0.092,✔️,0.0,False,CPU
67,🧠🔁,Neural Network,[FastaiMLP (default)](https://arxiv.org/abs/2003.06505),1018.0,+70/-92,0.026,60.0,55.15,25.512,2.79,0.259,✔️,0.0,False,CPU
68,🧠⚡,Foundation Model,[TabFlex (default)](https://arxiv.org/abs/2506.05584),1010.0,+99/-115,0.045,60.6,49.79,29.854,0.81,0.115,➖,0.0,False,GPU
69,🌳,Tree-based,[RandomForest (default)](https://link.springer.com/article/10.1023/A:1010933404324),1000.0,+76/-95,0.02,61.23,49.4,27.698,0.29,0.031,✔️,0.0,False,CPU
70,🌳,Tree-based,[ExtraTrees (default)](https://link.springer.com/article/10.1007/s10994-006-6226-1),996.0,+90/-113,0.04,61.47,50.07,27.45,1.15,0.22,✔️,0.0,False,CPU
71,📏,Baseline,[KNN (tuned + ensembled)](https://scikit-learn.org/stable/modules/neighbors.html),993.0,+59/-81,0.007,61.72,59.17,27.413,140.69,3.209,✔️,0.0,False,CPU
72,📏,Baseline,[Linear (tuned + ensembled)](https://scikit-learn.org/stable/modules/linear_model.html),979.0,+94/-121,0.04,62.6,20.37,30.916,155.53,0.277,✔️,0.0,False,CPU
73,🌳,Tree-based,[PerpetualBooster (default)](https://perpetual-ml.com/),976.0,+78/-125,0.04,62.73,40.92,32.116,12.44,0.027,✔️,0.0,False,CPU
74,📏,Baseline,[Linear (tuned)](https://scikit-learn.org/stable/modules/linear_model.html),956.0,+93/-125,0.029,63.98,31.35,31.507,155.53,0.05,✔️,0.0,False,CPU
75,❓,Other,[xRFM (default)](https://arxiv.org/abs/2508.10053),937.0,+87/-107,0.03,65.07,58.41,30.792,2.71,0.392,✔️,0.0,False,GPU
76,📏,Baseline,[Linear (default)](https://scikit-learn.org/stable/modules/linear_model.html),915.0,+88/-99,0.009,66.27,61.63,33.165,0.8,0.088,✔️,0.0,False,CPU
77,📏,Baseline,[KNN (tuned)](https://scikit-learn.org/stable/modules/neighbors.html),845.0,+45/-80,0.0,69.57,68.8,33.291,140.69,0.188,✔️,0.0,False,CPU
78,📏,Baseline,[KNN (default)](https://scikit-learn.org/stable/modules/neighbors.html),611.0,+90/-160,0.0,76.27,75.96,45.91,0.15,0.024,✔️,0.0,False,CPU
