s_m,grade_pct,heading_deg,v_safe_kmh,r_min_m,stop_event,lap,distance_km,altitude_m,v_kmh,weather_scenario,motor_name,fc_name
0.0,0.6607599549986574,330.34485000341067,366.4142253025199,1242.3721783609517,True,1,0.0,11.7,0.0,typical_january,Innotec Power 145-DZS48-010,G-HFCS 600W 24V
10.20141908041536,0.28414283933890383,330.08559529255655,503.4781281235009,2345.677397594458,False,1,0.01020141908041536,11.8,14.4,typical_january,Innotec Power 145-DZS48-010,G-HFCS 600W 24V
20.193906526211297,0.26796694720222247,329.9509541056425,678.6701621366448,4262.109242034565,False,1,0.020193906526211298,11.9,18.0,typical_january,Innotec Power 145-DZS48-010,G-HFCS 600W 24V
30.200336387411426,-0.5530223481961338,329.87930873869686,917.0839908659908,7782.610395468629,False,1,0.030200336387411427,11.8,18.900000000000002,typical_january,Innotec Power 145-DZS48-010,G-HFCS 600W 24V
40.20207774371226,-1.2838541401534609,329.84967792492336,1483.6146881525651,20368.04350656328,False,1,0.04020207774371226,11.8,20.7,typical_january,Innotec Power 145-DZS48-010,G-HFCS 600W 24V
50.22344209463792,-2.3737830197938012,329.8410430047665,3103.74023988982,89141.06103022899,False,1,0.050223442094637916,11.7,22.5,typical_january,Innotec Power 145-DZS48-010,G-HFCS 600W 24V
60.23928497037482,-3.37628694784529,329.85426344672624,1778.4284237302109,29267.110487160204,False,1,0.06023928497037482,11.5,24.3,typical_january,Innotec Power 145-DZS48-010,G-HFCS 600W 24V
70.25051415716594,-3.889742346302907,329.8787914495175,1261.9959691615154,14737.472268859165,False,1,0.07025051415716593,11.1,27.0,typical_january,Innotec Power 145-DZS48-010,G-HFCS 600W 24V
80.19022834457326,-3.8746086763596788,329.9341671933943,938.0377032825436,8142.310404397323,False,1,0.08019022834457326,10.7,29.7,typical_january,Innotec Power 145-DZS48-010,G-HFCS 600W 24V
90.21068423482237,-3.2475195897346536,329.9750976851452,1000.6721303014276,9265.965401099444,False,1,0.09021068423482237,10.3,31.5,typical_january,Innotec Power 145-DZS48-010,G-HFCS 600W 24V
100.23739534895142,-1.8900074197544878,330.02883207799823,1058.7393541823812,10372.541432594437,False,1,0.10023739534895143,9.9,32.4,typical_january,Innotec Power 145-DZS48-010,G-HFCS 600W 24V
110.27654227026912,-0.24974026981257816,330.0713404243199,1150.6738370349992,12252.128488085978,False,1,0.11027654227026912,9.7,33.300000000000004,typical_january,Innotec Power 145-DZS48-010,G-HFCS 600W 24V
120.25946195366228,0.5000684643417358,330.1058337318783,1401.769201900577,18182.77200910417,False,1,0.12025946195366229,9.7,33.300000000000004,typical_january,Innotec Power 145-DZS48-010,G-HFCS 600W 24V
130.25672406420057,0.8748956768955405,330.13280261906857,1508.2081089025696,21048.909858845527,False,1,0.13025672406420058,9.7,33.300000000000004,typical_january,Innotec Power 145-DZS48-010,G-HFCS 600W 24V
140.25216538182016,1.4806963499802195,330.1643123094706,1312.9462317966718,15951.478672011128,False,1,0.14025216538182017,9.9,33.300000000000004,typical_january,Innotec Power 145-DZS48-010,G-HFCS 600W 24V
150.2668929980463,1.2843940963902258,330.1974305111405,1260.6568981345793,14706.21376611592,False,1,0.1502668929980463,10.0,32.4,typical_january,Innotec Power 145-DZS48-010,G-HFCS 600W 24V
160.2912125189844,0.6254560586226653,330.2405021784893,1150.9344695638688,12257.679435326614,False,1,0.1602912125189844,10.2,31.5,typical_january,Innotec Power 145-DZS48-010,G-HFCS 600W 24V
170.28961976980594,-0.2501789426858861,330.29322848397027,986.9666411057508,9013.885008475929,False,1,0.17028961976980594,10.3,31.5,typical_january,Innotec Power 145-DZS48-010,G-HFCS 600W 24V
180.26059251438923,-0.8755762971441747,330.3727683980956,783.2793023815804,5677.28069281652,False,1,0.18026059251438922,10.3,31.5,typical_january,Innotec Power 145-DZS48-010,G-HFCS 600W 24V
190.2423996527129,-2.0009987285930535,330.43515749361035,1108.864577338488,11377.951696578342,False,1,0.1902423996527129,10.2,31.5,typical_january,Innotec Power 145-DZS48-010,G-HFCS 600W 24V
200.2626021676949,-3.318568851093109,330.47230348574885,1325.5995789736298,16260.420796282831,False,1,0.2002626021676949,10.0,32.4,typical_january,Innotec Power 145-DZS48-010,G-HFCS 600W 24V
210.26916953192708,-3.8555796880810655,330.4976664554611,1554.8692775265897,22371.485884270816,False,1,0.21026916953192706,9.6,33.300000000000004,typical_january,Innotec Power 145-DZS48-010,G-HFCS 600W 24V
220.26963934383383,-3.8748568117249786,330.51944661368134,1617.7487981139882,24217.4960209786,False,1,0.22026963934383384,9.2,35.1,typical_january,Innotec Power 145-DZS48-010,G-HFCS 600W 24V
230.2700192942,-3.856666194977791,330.5408083364965,1688.3843283780354,26378.47534817811,False,1,0.23027001929420002,8.8,36.0,typical_january,Innotec Power 145-DZS48-010,G-HFCS 600W 24V
240.2718969866614,-3.998736155706619,330.56636056709795,1424.5856096528291,18779.506328575568,False,1,0.2402718969866614,8.4,36.9,typical_january,Innotec Power 145-DZS48-010,G-HFCS 600W 24V
250.27187741339984,-3.74523058440996,330.6038708634633,1112.9381014375572,11461.701315845605,False,1,0.25027187741339985,8.1,37.800000000000004,typical_january,Innotec Power 145-DZS48-010,G-HFCS 600W 24V
260.2763487357436,-2.1784559157288483,330.6791026936511,790.371547358343,5780.556637048192,False,1,0.2602763487357436,7.6,38.7,typical_january,Innotec Power 145-DZS48-010,G-HFCS 600W 24V
270.3074344840217,-0.25018196798591286,330.8459271329482,488.9600015499576,2212.34948328087,False,1,0.2703074344840217,7.2,39.6,typical_january,Innotec Power 145-DZS48-010,G-HFCS 600W 24V
280.3036332229963,0.7491553806340632,331.17034022017276,410.7602598621416,1561.2911761560983,False,1,0.28030363322299634,7.3,39.6,typical_january,Innotec Power 145-DZS48-010,G-HFCS 600W 24V
