#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware
32,🧠🔁,Neural Network,[TorchMLP (tuned + ensembled)](https://arxiv.org/abs/2003.06505),1453.0,+112/-86,0.128,33.2,26.98,14.8,1128.74,1.573,✔️,0.0,False,CPU
33,🧠⚡,Foundation Model,[TabDPT-Turbo (default)](https://openreview.net/pdf?id=Y00pwFyrHR),1452.0,+190/-163,0.168,33.3,23.14,15.594,0.79,0.232,➖,0.0,False,GPU
34,🧠⚡,Foundation Model,[TabDPT (tuned + ensembled)](https://arxiv.org/abs/2410.18164),1421.0,+125/-126,0.118,35.4,30.12,15.238,4546.14,406.102,✔️,0.0,False,GPU
35,🧠🔁,Neural Network,[TabM (default)](https://arxiv.org/abs/2410.24210),1415.0,+122/-109,0.123,35.8,31.65,16.511,1.61,0.055,✔️,0.0,False,GPU
36,❓,Other,[xRFM (tuned + ensembled)](https://arxiv.org/abs/2508.10053),1413.0,+149/-164,0.182,35.9,26.3,15.502,713.01,2.317,✔️,0.0,False,GPU
37,❓,Other,[xRFM (tuned)](https://arxiv.org/abs/2508.10053),1401.0,+166/-163,0.127,36.7,28.94,17.93,713.01,0.155,✔️,0.0,False,GPU
38,🧠🔁,Neural Network,[RealMLP (default)](https://arxiv.org/abs/2407.04491),1365.0,+92/-114,0.067,39.1,36.05,18.008,6.53,0.294,✔️,0.0,False,GPU
39,🧠⚡,Foundation Model,[TabDPT (tuned)](https://arxiv.org/abs/2410.18164),1354.0,+165/-154,0.082,39.85,26.69,18.432,4546.14,39.323,✔️,0.0,False,GPU
40,🌳,Tree-based,[EBM (tuned)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),1350.0,+181/-127,0.098,40.1,33.0,17.951,421.22,0.007,✔️,0.0,False,CPU
41,🌳,Tree-based,[RandomForest (tuned + ensembled)](https://link.springer.com/article/10.1023/A:1010933404324),1338.0,+134/-108,0.057,40.9,34.26,17.676,52.7,0.202,✔️,0.0,False,CPU
42,🌳,Tree-based,[EBM (default)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),1334.0,+134/-124,0.072,41.2,37.68,19.231,1.4,0.007,✔️,0.0,False,CPU
43,🧠🔁,Neural Network,[FastaiMLP (tuned + ensembled)](https://arxiv.org/abs/2003.06505),1328.0,+114/-177,0.08,41.6,34.86,19.098,387.73,2.446,✔️,0.0,False,CPU
