,TabFM (default),EXAONE-Tabular (default),TabPFN-3 (default),TabICLv2 (default),TabPFN-2.6 (default),RealTabPFN-2.5 (T+E),RealMLP (T+E),TabM (T+E),TabDPT-Turbo (default),LightGBM (T+E),TabDPT (T+E),iLTM (T+E),CatBoost (T+E),LimiX (default),TabSwift (default),BetaTabPFN (default),ChimeraBoost (T+E),XGBoost (T+E),ModernNCA (T+E),xRFM (T+E),TorchMLP (T+E),EBM (T+E),SAP-RPT-OSS (default),FastaiMLP (T+E),TabSTAR (T+E),ExtraTrees (T+E),OrionMSP (default),RandomForest (T+E),PerpetualBooster (T+E),Linear (T+E),TabFlex (default),KNN (T+E)
TabDPT (T+E),0.078518525,0.1062963,0.1551852,0.18907407,0.24444446,0.32296297,0.45796296,0.42722225,0.40592593,0.5096296,,0.5192593,0.53777784,0.5416667,0.57055557,0.51592594,0.5496296,0.5287038,0.56666666,0.63537043,0.6583334,0.64500004,0.6674074,0.70962965,0.74259263,0.80407405,0.8607407,0.8392592,0.8688889,0.8062963,0.87777776,0.8831482
iLTM (T+E),0.11925926,0.09888889,0.17444445,0.24296294,0.24518518,0.31611106,0.33407405,0.39425924,0.4488889,0.5227778,0.48074073,,0.4862963,0.40759256,0.5066667,0.54407406,0.54185176,0.57833344,0.5433333,0.68388885,0.6877778,0.68,0.65925926,0.77592593,0.7616667,0.7905556,0.77685183,0.86,0.88888896,0.8503704,0.85814816,0.89740753
CatBoost (T+E),0.117037036,0.08870371,0.17629631,0.24444446,0.23629631,0.2811111,0.35518518,0.39444447,0.4125926,0.45148152,0.4622222,0.5137037,,0.43888888,0.5281481,0.5396297,0.55222225,0.5738889,0.5296296,0.6674074,0.66407406,0.6803704,0.69148153,0.72296304,0.782963,0.81518525,0.72814816,0.8692592,0.85851854,0.8659259,0.80222225,0.90555555
LimiX (default),0.06944445,0.10851852,0.19555555,0.21648146,0.24185187,0.28185183,0.44777775,0.4788889,0.3751852,0.5474073,0.45833337,0.5924074,0.56111115,,0.4877778,0.49851853,0.6011111,0.59814817,0.53111106,0.57592595,0.6225926,0.64962965,0.6288889,0.6294445,0.6625926,0.7162962,0.74537045,0.7203704,0.7681482,0.7929629,0.74962974,0.7692593
TabSwift (default),0.10592594,0.11703704,0.11074076,0.16333336,0.23481481,0.2648148,0.43481487,0.3662963,0.32018515,0.45925924,0.42944443,0.4933333,0.47185186,0.5122222,,0.47962958,0.5181481,0.5207407,0.5103704,0.6225926,0.5777778,0.5929629,0.6118519,0.71666664,0.7829629,0.7581481,0.8751852,0.7448148,0.8592593,0.8251851,0.9429629,0.8396297
BetaTabPFN (default),0.08833333,0.10518519,0.14685185,0.17481484,0.21333335,0.23296298,0.37703702,0.3362963,0.43592593,0.46962965,0.4840741,0.45592594,0.4603704,0.5014815,0.52037036,,0.5212963,0.5059259,0.47148153,0.5748148,0.6011111,0.6144445,0.6433334,0.6548149,0.8388889,0.7692593,0.76296294,0.785926,0.8051852,0.85814816,0.86444443,0.9022223
ChimeraBoost (T+E),0.089259274,0.091111116,0.13370371,0.23074074,0.19259259,0.26462963,0.36499998,0.367037,0.4074074,0.4587038,0.45037034,0.4581482,0.44777778,0.39888895,0.4818519,0.4787037,,0.5485185,0.49888888,0.62777776,0.5903704,0.66666675,0.6451852,0.65814817,0.78814816,0.73222226,0.7337037,0.8244445,0.78777784,0.8559259,0.8237037,0.85592586
XGBoost (T+E),0.0725926,0.053703707,0.14907408,0.22444445,0.23925924,0.26074073,0.29074076,0.362963,0.40962964,0.3311111,0.47129625,0.42166662,0.42611116,0.40185183,0.4792593,0.49407408,0.4514815,,0.46185187,0.6224074,0.62388897,0.6214815,0.60296303,0.65407413,0.76111114,0.7885186,0.7301852,0.87166667,0.79814816,0.862963,0.81018525,0.89111114
ModernNCA (T+E),0.09111111,0.062222227,0.11851852,0.20333335,0.16666667,0.2896296,0.3633333,0.35740742,0.45111117,0.46703702,0.43333334,0.45666662,0.47037035,0.4688889,0.48962966,0.5285185,0.50111115,0.5381481,,0.5551852,0.5885185,0.64740753,0.60111123,0.64777774,0.6944444,0.71444446,0.6762963,0.74259263,0.7792593,0.74222225,0.7485186,0.8253704
xRFM (T+E),0.08814816,0.064444445,0.13370371,0.20037037,0.17333335,0.2140741,0.24037038,0.36333334,0.3407407,0.35444444,0.36462966,0.31611112,0.33259258,0.42407402,0.37740737,0.42518514,0.37222221,0.37759262,0.4448148,,0.4951852,0.5655555,0.53407407,0.63277787,0.6618519,0.7107408,0.7422222,0.7540741,0.7470371,0.8540741,0.8414814,0.8931482
