#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware
30,🌳,Tree-based,[ChimeraBoost (tuned)](https://github.com/bbstats/chimeraboost),1344.0,+76/-58,0.172,32.49,19.86,18.64,281.39,0.027,✔️,0.0,False,CPU
31,🌳,Tree-based,[XGBoost (tuned)](https://arxiv.org/abs/1603.02754),1339.0,+47/-40,0.132,32.88,23.2,18.278,473.04,0.13,✔️,0.0,False,CPU
32,❓,Other,[xRFM (tuned + ensembled)](https://arxiv.org/abs/2508.10053),1318.0,+57/-56,0.148,34.61,22.56,18.666,642.4,2.766,✔️,0.0,False,GPU
33,🌳,Tree-based,[ChimeraBoost (default)](https://github.com/bbstats/chimeraboost),1317.0,+86/-58,0.148,34.72,20.78,19.264,1.25,0.026,✔️,0.0,False,CPU
34,🧠🔁,Neural Network,[TorchMLP (tuned + ensembled)](https://arxiv.org/abs/2003.06505),1311.0,+44/-40,0.129,35.19,25.86,18.482,2241.92,2.415,✔️,0.0,False,CPU
35,🧠🔁,Neural Network,[TabM (default)](https://arxiv.org/abs/2410.24210),1308.0,+60/-56,0.148,35.49,22.3,18.788,5.03,0.208,✔️,0.0,False,GPU
36,🌳,Tree-based,[EBM (tuned + ensembled)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),1304.0,+48/-46,0.1,35.8,25.93,19.881,936.75,0.134,✔️,0.0,False,CPU
37,🧠⚡,Foundation Model,[iLTM (tuned)](https://arxiv.org/abs/2511.15941),1298.0,+46/-48,0.106,36.29,22.37,19.396,8305.07,52.875,✔️,0.0,False,GPU
38,❓,Other,[xRFM (tuned)](https://arxiv.org/abs/2508.10053),1293.0,+48/-63,0.125,36.69,24.12,19.744,642.4,0.146,✔️,0.0,False,GPU
39,🧠⚡,Foundation Model,[SAP-RPT-OSS (default)](https://arxiv.org/abs/2506.10707),1289.0,+64/-60,0.152,37.03,18.27,20.957,12.86,3.167,➖,0.0,False,GPU
40,🧠⚡,Foundation Model,[TabDPT (default)](https://arxiv.org/abs/2410.18164),1276.0,+61/-68,0.154,38.15,21.29,20.193,49.67,43.824,✔️,0.0,False,GPU
