#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware,MethodClass,Tags
0,📊,System,[TabFM+](https://github.com/google-research/tabfm),1836.0,+115/-113,0.805,6.67,2.19,5.164,19.97,7.697,✔️,0.0,False,GPU,system,
1,📊,System,"[AutoGluon 1.6 (noncommercial, 4h)](https://arxiv.org/abs/2003.06505)",1831.0,+106/-68,0.749,6.83,3.11,6.289,15.64,0.74,✔️,0.0,False,GPU,system,
2,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),1796.0,+122/-111,0.769,7.86,2.54,5.574,40.79,6.991,✔️,0.0,False,GPU,model,
3,📊,System,"[AutoGluon 1.6 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",1757.0,+100/-66,0.696,9.2,4.58,7.112,12.35,0.647,✔️,0.0,False,GPU,system,
4,🧠⚡,Foundation Model,[EXAONE-Tabular (default)](https://github.com/LGAI-Research/EXAONE-Tabular),1746.0,+94/-61,0.705,9.58,4.07,7.77,6.17,0.623,✔️,0.0,False,GPU,model,
5,📊,System,"[AutoGluon 1.5 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",1646.0,+98/-81,0.583,13.92,6.38,8.384,293.65,4.358,✔️,0.0,False,GPU,system,
6,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),1639.0,+86/-59,0.568,14.28,7.74,9.567,3.59,0.395,✔️,0.0,False,GPU,model,
7,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),1604.0,+78/-54,0.521,16.12,10.61,10.971,5.75,0.6,✔️,0.0,False,GPU,model,
8,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),1595.0,+82/-58,0.511,16.64,8.82,9.909,2059.94,9.785,✔️,0.0,False,GPU,model,
9,🧠⚡,Foundation Model,[TabICLv2 (default)](https://arxiv.org/abs/2602.11139),1555.0,+76/-70,0.49,19.02,10.39,11.42,1.96,0.146,✔️,0.0,False,GPU,model,
10,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned)](https://arxiv.org/abs/2511.08667),1542.0,+70/-57,0.458,19.84,12.95,11.767,2059.94,1.03,✔️,0.0,False,GPU,model,
11,📊,System,"[AutoGluon 1.4 (best, 4h)](https://arxiv.org/abs/2003.06505)",1523.0,+54/-58,0.408,21.16,13.0,12.608,1754.94,1.766,✔️,0.0,False,CPU,system,
12,🧠⚡,Foundation Model,[RealTabPFN-2.5 (default)](https://arxiv.org/abs/2511.08667),1522.0,+63/-46,0.418,21.24,14.28,11.964,5.72,0.611,✔️,0.0,False,GPU,model,
13,🧠🔁,Neural Network,[RealMLP (tuned + ensembled)](https://arxiv.org/abs/2407.04491),1486.0,+51/-41,0.369,23.73,16.71,13.47,2791.97,13.886,✔️,0.0,False,GPU,model,
14,🧠⚡,Foundation Model,[TabDPT (tuned + ensembled)](https://arxiv.org/abs/2410.18164),1423.0,+65/-56,0.338,28.57,11.66,14.459,6155.04,386.158,✔️,0.0,False,GPU,model,
15,🧠🔁,Neural Network,[RealMLP (tuned)](https://arxiv.org/abs/2407.04491),1415.0,+48/-58,0.308,29.25,18.55,14.738,2791.97,0.373,✔️,0.0,False,GPU,model,
16,🧠⚡,Foundation Model,[TabDPT-Turbo (default)](https://openreview.net/pdf?id=Y00pwFyrHR),1413.0,+54/-44,0.31,29.44,18.91,15.069,2.02,0.183,➖,0.0,False,GPU,model,
17,🧠🔁,Neural Network,[TabM (tuned + ensembled)](https://arxiv.org/abs/2410.24210),1399.0,+63/-45,0.283,30.57,16.02,15.112,2462.02,1.988,✔️,0.0,False,GPU,model,
18,🌳,Tree-based,[LightGBM (tuned + ensembled)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1390.0,+40/-40,0.214,31.3,25.85,15.945,416.63,2.236,✔️,0.0,False,CPU,model,
19,🌳,Tree-based,[CatBoost (tuned)](https://arxiv.org/abs/1706.09516),1387.0,+45/-40,0.24,31.55,19.06,14.94,1347.32,0.037,✔️,0.0,False,CPU,model,
20,🧠⚡,Foundation Model,[iLTM (tuned + ensembled)](https://arxiv.org/abs/2511.15941),1386.0,+56/-47,0.246,31.71,22.47,15.462,12741.09,397.882,✔️,0.0,False,GPU,model,
21,🌳,Tree-based,[CatBoost (tuned + ensembled)](https://arxiv.org/abs/1706.09516),1384.0,+55/-37,0.229,31.79,23.08,15.196,1347.32,0.364,✔️,0.0,False,CPU,model,
22,🧠⚡,Foundation Model,[TabDPT (tuned)](https://arxiv.org/abs/2410.18164),1377.0,+65/-53,0.29,32.42,19.44,15.797,6155.04,39.452,✔️,0.0,False,GPU,model,
23,🌳,Tree-based,[ChimeraBoost (tuned + ensembled)](https://github.com/bbstats/chimeraboost),1365.0,+55/-54,0.226,33.48,19.29,16.519,518.46,0.522,✔️,0.0,False,CPU,model,
24,🧠🔁,Neural Network,[ModernNCA (tuned + ensembled)](https://arxiv.org/abs/2407.03257),1365.0,+70/-56,0.268,33.49,16.27,16.286,4618.5,7.735,✔️,0.0,False,GPU,model,
25,🧠🔁,Neural Network,[TabM (tuned)](https://arxiv.org/abs/2410.24210),1363.0,+59/-50,0.245,33.65,20.48,15.773,2462.02,0.231,✔️,0.0,False,GPU,model,
26,🧠⚡,Foundation Model,[LimiX (default)](https://arxiv.org/abs/2509.03505),1358.0,+86/-66,0.283,34.08,12.42,15.514,27.33,6.11,➖,0.0,False,GPU,model,
27,🌳,Tree-based,[XGBoost (tuned + ensembled)](https://arxiv.org/abs/1603.02754),1350.0,+41/-44,0.176,34.77,27.23,16.528,700.96,1.438,✔️,0.0,False,CPU,model,
28,🌳,Tree-based,[ChimeraBoost (tuned)](https://github.com/bbstats/chimeraboost),1342.0,+58/-58,0.212,35.44,15.92,17.036,518.46,0.045,✔️,0.0,False,CPU,model,
29,🌳,Tree-based,[CatBoost (default)](https://arxiv.org/abs/1706.09516),1337.0,+38/-44,0.183,35.92,26.08,16.56,5.81,0.025,✔️,0.0,False,CPU,model,
30,🌳,Tree-based,[LightGBM (tuned)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1337.0,+44/-46,0.171,35.95,30.16,16.811,416.63,0.381,✔️,0.0,False,CPU,model,
31,🧠🔁,Neural Network,[ModernNCA (tuned)](https://arxiv.org/abs/2407.03257),1335.0,+56/-56,0.211,36.07,23.24,16.766,4618.5,0.47,✔️,0.0,False,GPU,model,
32,🧠⚡,Foundation Model,[TabSwift (default)](https://github.com/LAMDA-Tabular/TabSwift),1332.0,+68/-52,0.208,36.36,23.96,16.827,1.19,0.07,➖,0.0,False,GPU,model,
33,🌳,Tree-based,[XGBoost (tuned)](https://arxiv.org/abs/1603.02754),1329.0,+40/-46,0.159,36.65,24.26,16.691,700.96,0.213,✔️,0.0,False,CPU,model,
34,❓,Other,[xRFM (tuned + ensembled)](https://arxiv.org/abs/2508.10053),1325.0,+57/-46,0.209,36.96,23.85,16.793,866.12,2.007,✔️,0.0,False,GPU,model,
35,🧠⚡,Foundation Model,[TabPFNv2 (tuned + ensembled)](https://www.nature.com/articles/s41586-024-08328-6) [35.29% IMPUTED],1315.0,+68/-68,0.252,37.88,21.69,17.538,2943.39,17.365,✔️,35.29,True,GPU,model,
36,🧠⚡,Foundation Model,[Mitra (default)](https://arxiv.org/abs/2510.21204) [35.29% IMPUTED],1292.0,+54/-66,0.2,39.94,23.69,18.293,87.36,2.432,✔️,35.29,True,GPU,model,
37,🧠⚡,Foundation Model,[iLTM (tuned)](https://arxiv.org/abs/2511.15941),1292.0,+44/-42,0.14,40.0,32.14,17.071,12741.09,60.101,✔️,0.0,False,GPU,model,
38,🌳,Tree-based,[ChimeraBoost (default)](https://github.com/bbstats/chimeraboost),1284.0,+52/-52,0.166,40.69,25.69,18.394,2.54,0.05,✔️,0.0,False,CPU,model,
39,❓,Other,[xRFM (tuned)](https://arxiv.org/abs/2508.10053),1281.0,+54/-44,0.153,40.92,20.82,18.003,866.12,0.097,✔️,0.0,False,GPU,model,
40,🧠⚡,Foundation Model,[TabDPT (default)](https://arxiv.org/abs/2410.18164),1278.0,+69/-68,0.203,41.26,25.06,18.263,45.42,39.405,✔️,0.0,False,GPU,model,
41,🧠🔁,Neural Network,[TabM (default)](https://arxiv.org/abs/2410.24210),1273.0,+46/-50,0.145,41.7,29.25,18.023,7.81,0.237,✔️,0.0,False,GPU,model,
42,🧠⚡,Foundation Model,[TabICL (default)](https://arxiv.org/abs/2502.05564) [29.41% IMPUTED],1272.0,+56/-60,0.175,41.75,21.38,18.21,6.86,1.52,✔️,29.41,True,GPU,model,
43,🌳,Tree-based,[EBM (tuned + ensembled)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),1255.0,+50/-52,0.125,43.35,31.51,19.185,1877.68,0.14,✔️,0.0,False,CPU,model,
44,🧠⚡,Foundation Model,[TabPFNv2 (tuned)](https://www.nature.com/articles/s41586-024-08328-6) [35.29% IMPUTED],1253.0,+69/-57,0.175,43.55,28.34,19.001,2943.39,0.262,✔️,35.29,True,GPU,model,
45,🧠🔁,Neural Network,[TorchMLP (tuned + ensembled)](https://arxiv.org/abs/2003.06505),1247.0,+47/-53,0.114,44.06,37.36,18.098,2832.93,1.801,✔️,0.0,False,CPU,model,
46,🧠🔁,Neural Network,[RealMLP (default)](https://arxiv.org/abs/2407.04491),1243.0,+42/-49,0.098,44.39,33.95,18.735,10.44,1.714,✔️,0.0,False,GPU,model,
47,🧠⚡,Foundation Model,[SAP-RPT-OSS (default)](https://arxiv.org/abs/2506.10707),1241.0,+66/-66,0.166,44.62,23.44,19.74,13.96,2.081,➖,0.0,False,GPU,model,
48,🧠⚡,Foundation Model,[BetaTabPFN (default)](https://arxiv.org/abs/2502.02527) [25.49% IMPUTED],1238.0,+63/-56,0.142,44.93,31.67,19.818,203.0,1.155,➖,25.49,True,GPU,model,
49,🧠⚡,Foundation Model,[TabPFNv2 (default)](https://www.nature.com/articles/s41586-024-08328-6) [35.29% IMPUTED],1224.0,+65/-76,0.156,46.19,22.77,19.456,3.27,0.315,✔️,35.29,True,GPU,model,
50,🧠🔁,Neural Network,[ModernNCA (default)](https://arxiv.org/abs/2407.03257),1215.0,+60/-48,0.095,46.95,21.62,20.75,13.74,0.316,✔️,0.0,False,GPU,model,
51,🌳,Tree-based,[EBM (tuned)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),1206.0,+54/-51,0.092,47.76,34.86,20.01,1877.68,0.014,✔️,0.0,False,CPU,model,
52,🌳,Tree-based,[ExtraTrees (tuned + ensembled)](https://link.springer.com/article/10.1007/s10994-006-6226-1),1197.0,+51/-51,0.084,48.63,35.47,20.49,257.64,0.846,✔️,0.0,False,CPU,model,
53,🌳,Tree-based,[EBM (default)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),1187.0,+54/-56,0.093,49.46,23.61,20.72,6.9,0.015,✔️,0.0,False,CPU,model,
54,🧠🔁,Neural Network,[TorchMLP (tuned)](https://arxiv.org/abs/2003.06505),1186.0,+51/-62,0.084,49.62,38.03,19.808,2832.93,0.112,✔️,0.0,False,CPU,model,
55,🌳,Tree-based,[XGBoost (default)](https://arxiv.org/abs/1603.02754),1183.0,+51/-54,0.074,49.82,31.47,19.813,2.06,0.122,✔️,0.0,False,CPU,model,
56,🧠🔁,Neural Network,[FastaiMLP (tuned + ensembled)](https://arxiv.org/abs/2003.06505),1169.0,+66/-69,0.077,51.09,40.02,21.4,594.95,4.649,✔️,0.0,False,CPU,model,
57,🧠⚡,Foundation Model,[Nori-30M (default)](https://huggingface.co/Synthefy/Nori-30M) [74.51% IMPUTED],1168.0,+92/-84,0.177,51.21,21.66,23.617,0.53,0.077,✔️,74.51,True,GPU,model,
