,TabFM+,"AutoGluon 1.6 (noncommercial, 4h)",TabFM (default),"AutoGluon 1.6 (extreme, 4h)",EXAONE-Tabular (default),"AutoGluon 1.5 (extreme, 4h)",TabPFN-3 (default),TabPFN-2.6 (default),RealTabPFN-2.5 (T+E),TabICLv2 (default),"AutoGluon 1.4 (best, 4h)",RealMLP (T+E),TabDPT (T+E),TabDPT-Turbo (default),TabM (T+E),iLTM (T+E),LimiX (default),CatBoost (T+E),LightGBM (T+E),ModernNCA (T+E),ChimeraBoost (T+E),TabSwift (default),XGBoost (T+E),TabPFNv2 (T+E),xRFM (T+E),Mitra (default),TabICL (default),EBM (T+E),SAP-RPT-OSS (default),BetaTabPFN (default),TorchMLP (T+E),ExtraTrees (T+E),Nori-30M (default),Nori (default),FastaiMLP (T+E),RandomForest (T+E),TabSTAR (T+E),PerpetualBooster (T+E),OrionMSP (default),TabFlex (default),KNN (T+E),Linear (T+E)
"AutoGluon 1.4 (best, 4h)",0.19607843,0.078431375,0.1764706,0.15686275,0.15686275,0.25490198,0.37254903,0.4509804,0.39215687,0.33333334,,0.54901963,0.5294118,0.60784316,0.6666667,0.78431374,0.64705884,0.8039216,0.8235294,0.64705884,0.78431374,0.7058824,0.8627451,0.5882353,0.8039216,0.6862745,0.7647059,0.8039216,0.7647059,0.8235294,0.92156863,0.8627451,0.7647059,0.8235294,0.92156863,0.9019608,0.8235294,0.9607843,0.9411765,0.9607843,0.9411765,0.98039216
RealMLP (T+E),0.09803922,0.11764706,0.13725491,0.15686275,0.11764706,0.1764706,0.25490198,0.27450982,0.25490198,0.33333334,0.4509804,,0.50980395,0.5882353,0.627451,0.74509805,0.5686275,0.78431374,0.7058824,0.64705884,0.6862745,0.6666667,0.7647059,0.5882353,0.74509805,0.6666667,0.7058824,0.8039216,0.8039216,0.78431374,0.84313726,0.8627451,0.7647059,0.78431374,0.92156863,0.84313726,0.84313726,0.9607843,0.9607843,0.92156863,0.9607843,0.98039216
TabDPT (T+E),0.05882353,0.078431375,0.09803922,0.13725491,0.25490198,0.25490198,0.29411766,0.29411766,0.33333334,0.27450982,0.47058824,0.49019608,,0.49019608,0.5294118,0.64705884,0.627451,0.5882353,0.5882353,0.5294118,0.5882353,0.627451,0.627451,0.627451,0.6666667,0.6862745,0.5882353,0.64705884,0.7254902,0.6666667,0.74509805,0.78431374,0.8235294,0.8235294,0.74509805,0.78431374,0.78431374,0.84313726,0.9607843,0.9411765,0.92156863,0.9019608
TabDPT-Turbo (default),0.078431375,0.05882353,0.05882353,0.078431375,0.13725491,0.25490198,0.15686275,0.23529412,0.29411766,0.23529412,0.39215687,0.4117647,0.50980395,,0.47058824,0.60784316,0.60784316,0.5882353,0.54901963,0.50980395,0.60784316,0.6960784,0.6666667,0.627451,0.6666667,0.6666667,0.627451,0.6666667,0.7058824,0.64705884,0.74509805,0.8235294,0.7058824,0.7647059,0.78431374,0.8235294,0.78431374,0.84313726,0.9411765,0.9607843,0.9411765,0.88235295
TabM (T+E),0.05882353,0.078431375,0.05882353,0.11764706,0.078431375,0.13725491,0.15686275,0.21568628,0.27450982,0.27450982,0.33333334,0.37254903,0.47058824,0.5294118,,0.5294118,0.49019608,0.54901963,0.5882353,0.54901963,0.5882353,0.5882353,0.5882353,0.5294118,0.5686275,0.50980395,0.7058824,0.78431374,0.7058824,0.7647059,0.74509805,0.74509805,0.627451,0.6666667,0.8235294,0.8039216,0.8627451,0.84313726,0.9019608,0.9411765,0.9019608,0.9607843
iLTM (T+E),0.11764706,0.05882353,0.13725491,0.078431375,0.05882353,0.09803922,0.15686275,0.15686275,0.21568628,0.21568628,0.21568628,0.25490198,0.3529412,0.39215687,0.47058824,,0.48039216,0.47058824,0.49019608,0.47058824,0.49019608,0.5294118,0.5882353,0.54901963,0.5686275,0.5294118,0.5980392,0.6666667,0.7254902,0.627451,0.7647059,0.84313726,0.7058824,0.7058824,0.8627451,0.9019608,0.8039216,0.9019608,0.88235295,0.9411765,0.9607843,0.9411765
LimiX (default),0.09803922,0.09803922,0.09803922,0.13725491,0.13725491,0.23529412,0.23529412,0.19607843,0.25490198,0.25490198,0.3529412,0.43137255,0.37254903,0.39215687,0.50980395,0.51960784,,0.50980395,0.54901963,0.5294118,0.60784316,0.49019608,0.5686275,0.60784316,0.5294118,0.5882353,0.5882353,0.6862745,0.627451,0.64705884,0.6666667,0.6666667,0.7254902,0.7254902,0.6862745,0.7058824,0.7647059,0.74509805,0.8137255,0.8235294,0.88235295,0.9019608
CatBoost (T+E),0.039215688,0.078431375,0.05882353,0.09803922,0.039215688,0.09803922,0.19607843,0.15686275,0.13725491,0.23529412,0.19607843,0.21568628,0.4117647,0.4117647,0.4509804,0.5294118,0.49019608,,0.43137255,0.54901963,0.50980395,0.50980395,0.5882353,0.5294118,0.54901963,0.5686275,0.6862745,0.6862745,0.74509805,0.64705884,0.74509805,0.8235294,0.7254902,0.7254902,0.78431374,0.88235295,0.8235294,0.92156863,0.84313726,0.88235295,0.9019608,0.98039216
LightGBM (T+E),0.05882353,0.029411765,0.05882353,0.039215688,0.05882353,0.078431375,0.11764706,0.11764706,0.15686275,0.1764706,0.1764706,0.29411766,0.4117647,0.4509804,0.4117647,0.50980395,0.4509804,0.5686275,,0.47058824,0.5294118,0.54901963,0.5686275,0.50980395,0.5882353,0.5294118,0.64705884,0.74509805,0.6666667,0.6666667,0.7647059,0.84313726,0.74509805,0.7647059,0.8235294,0.8627451,0.8235294,0.9019608,0.88235295,0.9019608,0.9411765,0.98039216
ModernNCA (T+E),0.078431375,0.078431375,0.11764706,0.078431375,0.05882353,0.13725491,0.09803922,0.13725491,0.23529412,0.1764706,0.3529412,0.3529412,0.47058824,0.49019608,0.4509804,0.5294118,0.47058824,0.4509804,0.5294118,,0.49019608,0.5686275,0.5882353,0.47058824,0.5882353,0.47058824,0.6666667,0.6666667,0.627451,0.6862745,0.64705884,0.7647059,0.7254902,0.74509805,0.8039216,0.78431374,0.7647059,0.84313726,0.8627451,0.8627451,0.89215684,0.8627451
ChimeraBoost (T+E),0.11764706,0.078431375,0.15686275,0.09803922,0.078431375,0.078431375,0.13725491,0.15686275,0.15686275,0.23529412,0.21568628,0.3137255,0.4117647,0.39215687,0.4117647,0.50980395,0.39215687,0.49019608,0.47058824,0.50980395,,0.5294118,0.5686275,0.50980395,0.54901963,0.47058824,0.6862745,0.7647059,0.64705884,0.6862745,0.7058824,0.7254902,0.6862745,0.6862745,0.74509805,0.78431374,0.8039216,0.84313726,0.9019608,0.92156863,0.88235295,0.9607843
TabSwift (default),0.09803922,0.05882353,0.11764706,0.078431375,0.11764706,0.15686275,0.11764706,0.1764706,0.1764706,0.1764706,0.29411766,0.33333334,0.37254903,0.30392158,0.4117647,0.47058824,0.50980395,0.49019608,0.4509804,0.43137255,0.47058824,,0.5294118,0.49019608,0.5686275,0.5294118,0.50980395,0.64705884,0.7058824,0.60784316,0.5686275,0.6666667,0.64705884,0.627451,0.8235294,0.6862745,0.78431374,0.8039216,0.88235295,0.9411765,0.9019608,0.88235295
XGBoost (T+E),0.05882353,0.019607844,0.078431375,0.039215688,0.019607844,0.05882353,0.13725491,0.1764706,0.13725491,0.21568628,0.13725491,0.23529412,0.37254903,0.33333334,0.4117647,0.4117647,0.43137255,0.4117647,0.43137255,0.4117647,0.43137255,0.47058824,,0.43137255,0.5294118,0.5294118,0.64705884,0.6862745,0.60784316,0.60784316,0.7254902,0.8235294,0.7058824,0.7254902,0.78431374,0.8627451,0.84313726,0.84313726,0.88235295,0.88235295,0.9019608,0.9411765
TabPFNv2 (T+E),0.019607844,0.078431375,0.039215688,0.11764706,0.09803922,0.21568628,0.1764706,0.19607843,0.13725491,0.25490198,0.4117647,0.4117647,0.37254903,0.37254903,0.47058824,0.4509804,0.39215687,0.47058824,0.49019608,0.5294118,0.49019608,0.50980395,0.5686275,,0.5294118,0.57843137,0.54901963,0.64705884,0.5882353,0.65686274,0.5686275,0.54901963,0.627451,0.64705884,0.6666667,0.64705884,0.6862745,0.6862745,0.7745098,0.7745098,0.8039216,0.88235295
xRFM (T+E),0.09803922,0.019607844,0.05882353,0.039215688,0.039215688,0.078431375,0.13725491,0.15686275,0.15686275,0.21568628,0.19607843,0.25490198,0.33333334,0.33333334,0.43137255,0.43137255,0.47058824,0.4509804,0.4117647,0.4117647,0.4509804,0.43137255,0.47058824,0.47058824,,0.50980395,0.5882353,0.5882353,0.5882353,0.60784316,0.60784316,0.74509805,0.6862745,0.6862745,0.7254902,0.8039216,0.7647059,0.8039216,0.9019608,0.92156863,0.9411765,0.9607843
Mitra (default),0.019607844,0.019607844,0.0,0.09803922,0.078431375,0.15686275,0.11764706,0.09803922,0.11764706,0.19607843,0.3137255,0.33333334,0.3137255,0.33333334,0.49019608,0.47058824,0.4117647,0.43137255,0.47058824,0.5294118,0.5294118,0.47058824,0.47058824,0.42156863,0.49019608,,0.54901963,0.627451,0.5294118,0.60784316,0.54901963,0.5294118,0.5882353,0.5882353,0.6666667,0.5686275,0.7254902,0.6862745,0.7745098,0.78431374,0.8039216,0.88235295
TabICL (default),0.039215688,0.039215688,0.05882353,0.039215688,0.039215688,0.13725491,0.078431375,0.09803922,0.19607843,0.1764706,0.23529412,0.29411766,0.4117647,0.37254903,0.29411766,0.4019608,0.4117647,0.3137255,0.3529412,0.33333334,0.3137255,0.49019608,0.3529412,0.4509804,0.4117647,0.4509804,,0.5294118,0.5686275,0.5392157,0.5686275,0.5882353,0.6862745,0.6862745,0.627451,0.5882353,0.78431374,0.7058824,0.7745098,0.7941176,0.88235295,0.92156863
EBM (T+E),0.039215688,0.039215688,0.05882353,0.039215688,0.039215688,0.11764706,0.1764706,0.09803922,0.11764706,0.21568628,0.19607843,0.19607843,0.3529412,0.33333334,0.21568628,0.33333334,0.3137255,0.3137255,0.25490198,0.33333334,0.23529412,0.3529412,0.3137255,0.3529412,0.4117647,0.37254903,0.47058824,,0.5882353,0.47058824,0.50980395,0.64705884,0.627451,0.627451,0.6862745,0.627451,0.8039216,0.6666667,0.7058824,0.8235294,0.88235295,0.9607843
SAP-RPT-OSS (default),0.05882353,0.09803922,0.078431375,0.09803922,0.078431375,0.13725491,0.15686275,0.13725491,0.11764706,0.1764706,0.23529412,0.19607843,0.27450982,0.29411766,0.29411766,0.27450982,0.37254903,0.25490198,0.33333334,0.37254903,0.3529412,0.29411766,0.39215687,0.4117647,0.4117647,0.47058824,0.43137255,0.4117647,,0.47058824,0.49019608,0.54901963,0.5686275,0.5882353,0.64705884,0.5686275,0.6862745,0.74509805,0.6862745,0.8235294,0.8039216,0.9019608
BetaTabPFN (default),0.019607844,0.078431375,0.039215688,0.11764706,0.019607844,0.11764706,0.05882353,0.11764706,0.09803922,0.09803922,0.1764706,0.21568628,0.33333334,0.3529412,0.23529412,0.37254903,0.3529412,0.3529412,0.33333334,0.3137255,0.3137255,0.39215687,0.39215687,0.34313726,0.39215687,0.39215687,0.46078432,0.5294118,0.5294118,,0.47058824,0.50980395,0.5882353,0.5882353,0.5686275,0.5294118,0.7647059,0.6666667,0.71568626,0.7941176,0.88235295,0.92156863
TorchMLP (T+E),0.039215688,0.019607844,0.039215688,0.019607844,0.019607844,0.05882353,0.09803922,0.078431375,0.13725491,0.13725491,0.078431375,0.15686275,0.25490198,0.25490198,0.25490198,0.23529412,0.33333334,0.25490198,0.23529412,0.3529412,0.29411766,0.43137255,0.27450982,0.43137255,0.39215687,0.4509804,0.43137255,0.49019608,0.50980395,0.5294118,,0.627451,0.5882353,0.5882353,0.6666667,0.6862745,0.7647059,0.7058824,0.78431374,0.9019608,0.88235295,0.92156863
ExtraTrees (T+E),0.039215688,0.019607844,0.039215688,0.039215688,0.039215688,0.05882353,0.039215688,0.05882353,0.05882353,0.11764706,0.13725491,0.13725491,0.21568628,0.1764706,0.25490198,0.15686275,0.33333334,0.1764706,0.15686275,0.23529412,0.27450982,0.33333334,0.1764706,0.4509804,0.25490198,0.47058824,0.4117647,0.3529412,0.4509804,0.49019608,0.37254903,,0.64705884,0.64705884,0.50980395,0.64705884,0.7254902,0.64705884,0.78431374,0.84313726,0.92156863,0.8235294
Nori-30M (default),0.039215688,0.039215688,0.05882353,0.05882353,0.13725491,0.19607843,0.11764706,0.1764706,0.15686275,0.19607843,0.23529412,0.23529412,0.1764706,0.29411766,0.37254903,0.29411766,0.27450982,0.27450982,0.25490198,0.27450982,0.3137255,0.3529412,0.29411766,0.37254903,0.3137255,0.4117647,0.3137255,0.37254903,0.43137255,0.4117647,0.4117647,0.3529412,,0.54901963,0.4509804,0.3529412,0.5294118,0.54901963,0.54901963,0.627451,0.64705884,0.7058824
Nori (default),0.019607844,0.039215688,0.039215688,0.039215688,0.13725491,0.13725491,0.09803922,0.13725491,0.11764706,0.19607843,0.1764706,0.21568628,0.1764706,0.23529412,0.33333334,0.29411766,0.27450982,0.27450982,0.23529412,0.25490198,0.3137255,0.37254903,0.27450982,0.3529412,0.3137255,0.4117647,0.3137255,0.37254903,0.4117647,0.4117647,0.4117647,0.3529412,0.4509804,,0.4509804,0.3529412,0.5294118,0.5294118,0.54901963,0.627451,0.64705884,0.7058824
FastaiMLP (T+E),0.05882353,0.039215688,0.078431375,0.019607844,0.05882353,0.09803922,0.09803922,0.078431375,0.11764706,0.05882353,0.078431375,0.078431375,0.25490198,0.21568628,0.1764706,0.13725491,0.3137255,0.21568628,0.1764706,0.19607843,0.25490198,0.1764706,0.21568628,0.33333334,0.27450982,0.33333334,0.37254903,0.3137255,0.3529412,0.43137255,0.33333334,0.49019608,0.54901963,0.54901963,,0.5294118,0.6666667,0.60784316,0.6666667,0.8039216,0.78431374,0.8627451
RandomForest (T+E),0.039215688,0.019607844,0.039215688,0.019607844,0.019607844,0.039215688,0.05882353,0.039215688,0.078431375,0.11764706,0.09803922,0.15686275,0.21568628,0.1764706,0.19607843,0.09803922,0.29411766,0.11764706,0.13725491,0.21568628,0.21568628,0.3137255,0.13725491,0.3529412,0.19607843,0.43137255,0.4117647,0.37254903,0.43137255,0.47058824,0.3137255,0.3529412,0.64705884,0.64705884,0.47058824,,0.7058824,0.5686275,0.7058824,0.7647059,0.84313726,0.8039216
TabSTAR (T+E),0.039215688,0.09803922,0.078431375,0.078431375,0.09803922,0.11764706,0.09803922,0.11764706,0.11764706,0.09803922,0.1764706,0.15686275,0.21568628,0.21568628,0.13725491,0.19607843,0.23529412,0.1764706,0.1764706,0.23529412,0.19607843,0.21568628,0.15686275,0.3137255,0.23529412,0.27450982,0.21568628,0.19607843,0.3137255,0.23529412,0.23529412,0.27450982,0.47058824,0.47058824,0.33333334,0.29411766,,0.5294118,0.4509804,0.54901963,0.5686275,0.7058824
PerpetualBooster (T+E),0.0,0.019607844,0.0,0.019607844,0.0,0.05882353,0.039215688,0.019607844,0.039215688,0.078431375,0.039215688,0.039215688,0.15686275,0.15686275,0.15686275,0.09803922,0.25490198,0.078431375,0.09803922,0.15686275,0.15686275,0.19607843,0.15686275,0.3137255,0.19607843,0.3137255,0.29411766,0.33333334,0.25490198,0.33333334,0.29411766,0.3529412,0.4509804,0.47058824,0.39215687,0.43137255,0.47058824,,0.5294118,0.64705884,0.60784316,0.74509805
OrionMSP (default),0.019607844,0.0,0.019607844,0.019607844,0.019607844,0.0,0.0,0.019607844,0.019607844,0.078431375,0.05882353,0.039215688,0.039215688,0.05882353,0.09803922,0.11764706,0.18627451,0.15686275,0.11764706,0.13725491,0.09803922,0.11764706,0.11764706,0.2254902,0.09803922,0.2254902,0.2254902,0.29411766,0.3137255,0.28431374,0.21568628,0.21568628,0.4509804,0.4509804,0.33333334,0.29411766,0.54901963,0.47058824,,0.65686274,0.6666667,0.7647059
TabFlex (default),0.019607844,0.0,0.0,0.0,0.039215688,0.039215688,0.039215688,0.05882353,0.078431375,0.039215688,0.039215688,0.078431375,0.05882353,0.039215688,0.05882353,0.05882353,0.1764706,0.11764706,0.09803922,0.13725491,0.078431375,0.05882353,0.11764706,0.2254902,0.078431375,0.21568628,0.20588236,0.1764706,0.1764706,0.20588236,0.09803922,0.15686275,0.37254903,0.37254903,0.19607843,0.23529412,0.4509804,0.3529412,0.34313726,,0.54901963,0.6666667
KNN (T+E),0.039215688,0.019607844,0.05882353,0.019607844,0.019607844,0.019607844,0.039215688,0.019607844,0.05882353,0.039215688,0.05882353,0.039215688,0.078431375,0.05882353,0.09803922,0.039215688,0.11764706,0.09803922,0.05882353,0.10784314,0.11764706,0.09803922,0.09803922,0.19607843,0.05882353,0.19607843,0.11764706,0.11764706,0.19607843,0.11764706,0.11764706,0.078431375,0.3529412,0.3529412,0.21568628,0.15686275,0.43137255,0.39215687,0.33333334,0.4509804,,0.6862745
Linear (T+E),0.0,0.019607844,0.019607844,0.019607844,0.019607844,0.019607844,0.039215688,0.019607844,0.05882353,0.039215688,0.019607844,0.019607844,0.09803922,0.11764706,0.039215688,0.05882353,0.09803922,0.019607844,0.019607844,0.13725491,0.039215688,0.11764706,0.05882353,0.11764706,0.039215688,0.11764706,0.078431375,0.039215688,0.09803922,0.078431375,0.078431375,0.1764706,0.29411766,0.29411766,0.13725491,0.19607843,0.29411766,0.25490198,0.23529412,0.33333334,0.3137255,
