,TabFM+,"AutoGluon 1.6 (noncommercial, 4h)",TabFM (default),"AutoGluon 1.6 (extreme, 4h)",EXAONE-Tabular (default),"AutoGluon 1.5 (extreme, 4h)",TabPFN-3 (default),TabPFN-2.6 (default),RealTabPFN-2.5 (T+E),TabICLv2 (default),"AutoGluon 1.4 (best, 4h)",RealMLP (T+E),TabDPT (T+E),TabDPT-Turbo (default),TabM (T+E),iLTM (T+E),LimiX (default),CatBoost (T+E),LightGBM (T+E),ModernNCA (T+E),ChimeraBoost (T+E),TabSwift (default),XGBoost (T+E),TabPFNv2 (T+E),xRFM (T+E),Mitra (default),TabICL (default),EBM (T+E),SAP-RPT-OSS (default),BetaTabPFN (default),TorchMLP (T+E),ExtraTrees (T+E),Nori-30M (default),Nori (default),FastaiMLP (T+E),RandomForest (T+E),TabSTAR (T+E),PerpetualBooster (T+E),OrionMSP (default),TabFlex (default),KNN (T+E),Linear (T+E)
TabFM+,,0.5686275,0.627451,0.6666667,0.7058824,0.7647059,0.84313726,0.9019608,0.88235295,0.88235295,0.8039216,0.9019608,0.9411765,0.92156863,0.9411765,0.88235295,0.9019608,0.9607843,0.9411765,0.92156863,0.88235295,0.9019608,0.9411765,0.98039216,0.9019608,0.98039216,0.9607843,0.9607843,0.9411765,0.98039216,0.9607843,0.9607843,0.9607843,0.98039216,0.9411765,0.9607843,0.9607843,1.0,0.98039216,0.98039216,0.9607843,1.0
"AutoGluon 1.6 (noncommercial, 4h)",0.43137255,,0.4509804,0.78431374,0.627451,0.7647059,0.8235294,0.8235294,0.8627451,0.84313726,0.92156863,0.88235295,0.92156863,0.9411765,0.92156863,0.9411765,0.9019608,0.92156863,0.9705882,0.92156863,0.92156863,0.9411765,0.98039216,0.92156863,0.98039216,0.98039216,0.9607843,0.9607843,0.9019608,0.92156863,0.98039216,0.98039216,0.9607843,0.9607843,0.9607843,0.98039216,0.9019608,0.98039216,1.0,1.0,0.98039216,0.98039216
TabFM (default),0.37254903,0.54901963,,0.64705884,0.7254902,0.7254902,0.8039216,0.84313726,0.8627451,0.88235295,0.8235294,0.8627451,0.9019608,0.9411765,0.9411765,0.8627451,0.9019608,0.9411765,0.9411765,0.88235295,0.84313726,0.88235295,0.92156863,0.9607843,0.9411765,1.0,0.9411765,0.9411765,0.92156863,0.9607843,0.9607843,0.9607843,0.9411765,0.9607843,0.92156863,0.9607843,0.92156863,1.0,0.98039216,1.0,0.9411765,0.98039216
"AutoGluon 1.6 (extreme, 4h)",0.33333334,0.21568628,0.3529412,,0.50980395,0.6862745,0.6666667,0.78431374,0.74509805,0.8235294,0.84313726,0.84313726,0.8627451,0.92156863,0.88235295,0.92156863,0.8627451,0.9019608,0.9607843,0.92156863,0.9019608,0.92156863,0.9607843,0.88235295,0.9607843,0.9019608,0.9607843,0.9607843,0.9019608,0.88235295,0.98039216,0.9607843,0.9411765,0.9607843,0.98039216,0.98039216,0.92156863,0.98039216,0.98039216,1.0,0.98039216,0.98039216
EXAONE-Tabular (default),0.29411766,0.37254903,0.27450982,0.49019608,,0.64705884,0.60784316,0.8235294,0.74509805,0.7647059,0.84313726,0.88235295,0.74509805,0.8627451,0.92156863,0.9411765,0.8627451,0.9607843,0.9411765,0.9411765,0.92156863,0.88235295,0.98039216,0.9019608,0.9607843,0.92156863,0.9607843,0.9607843,0.92156863,0.98039216,0.98039216,0.9607843,0.8627451,0.8627451,0.9411765,0.98039216,0.9019608,1.0,0.98039216,0.9607843,0.98039216,0.98039216
"AutoGluon 1.5 (extreme, 4h)",0.23529412,0.23529412,0.27450982,0.3137255,0.3529412,,0.4509804,0.60784316,0.5686275,0.50980395,0.74509805,0.8235294,0.74509805,0.74509805,0.8627451,0.9019608,0.7647059,0.9019608,0.92156863,0.8627451,0.92156863,0.84313726,0.9411765,0.78431374,0.92156863,0.84313726,0.8627451,0.88235295,0.8627451,0.88235295,0.9411765,0.9411765,0.8039216,0.8627451,0.9019608,0.9607843,0.88235295,0.9411765,1.0,0.9607843,0.98039216,0.98039216
TabPFN-3 (default),0.15686275,0.1764706,0.19607843,0.33333334,0.39215687,0.54901963,,0.5686275,0.5588235,0.627451,0.627451,0.74509805,0.7058824,0.84313726,0.84313726,0.84313726,0.7647059,0.8039216,0.88235295,0.9019608,0.8627451,0.88235295,0.8627451,0.8235294,0.8627451,0.88235295,0.92156863,0.8235294,0.84313726,0.9411765,0.9019608,0.9607843,0.88235295,0.9019608,0.9019608,0.9411765,0.9019608,0.9607843,1.0,0.9607843,0.9607843,0.9607843
TabPFN-2.6 (default),0.09803922,0.1764706,0.15686275,0.21568628,0.1764706,0.39215687,0.43137255,,0.47058824,0.50980395,0.54901963,0.7254902,0.7058824,0.7647059,0.78431374,0.84313726,0.8039216,0.84313726,0.88235295,0.8627451,0.84313726,0.8235294,0.8235294,0.8039216,0.84313726,0.9019608,0.9019608,0.9019608,0.8627451,0.88235295,0.92156863,0.9411765,0.8235294,0.8627451,0.92156863,0.9607843,0.88235295,0.98039216,0.98039216,0.9411765,0.98039216,0.98039216
RealTabPFN-2.5 (T+E),0.11764706,0.13725491,0.13725491,0.25490198,0.25490198,0.43137255,0.44117647,0.5294118,,0.54901963,0.60784316,0.74509805,0.6666667,0.7058824,0.7254902,0.78431374,0.74509805,0.8627451,0.84313726,0.7647059,0.84313726,0.8235294,0.8627451,0.8627451,0.84313726,0.88235295,0.8039216,0.88235295,0.88235295,0.9019608,0.8627451,0.9411765,0.84313726,0.88235295,0.88235295,0.92156863,0.88235295,0.9607843,0.98039216,0.92156863,0.9411765,0.9411765
TabICLv2 (default),0.11764706,0.15686275,0.11764706,0.1764706,0.23529412,0.49019608,0.37254903,0.49019608,0.4509804,,0.6666667,0.6666667,0.7254902,0.7647059,0.7254902,0.78431374,0.74509805,0.7647059,0.8235294,0.8235294,0.7647059,0.8235294,0.78431374,0.74509805,0.78431374,0.8039216,0.8235294,0.78431374,0.8235294,0.9019608,0.8627451,0.88235295,0.8039216,0.8039216,0.9411765,0.88235295,0.9019608,0.92156863,0.92156863,0.9607843,0.9607843,0.9607843
