#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware,MethodClass,Tags
56,🧠🔁,Neural Network,[FastaiMLP (tuned)](https://arxiv.org/abs/2003.06505),1019.0,+84/-106,0.0,53.23,51.79,16.161,527.3,0.311,✔️,0.0,False,CPU,model,
57,🧠🔁,Neural Network,[TorchMLP (default)](https://arxiv.org/abs/2003.06505),1018.0,+88/-141,0.0,53.31,51.17,15.53,20.5,0.081,✔️,0.0,False,CPU,model,
58,🌳,Tree-based,[RandomForest (default)](https://link.springer.com/article/10.1023/A:1010933404324),1000.0,+63/-98,0.0,54.12,53.52,16.676,0.63,0.064,✔️,0.0,False,CPU,model,
59,🧠⚡,Foundation Model,[TabSTAR (tuned + ensembled)](https://arxiv.org/abs/2505.18125),982.0,+236/-338,0.068,54.92,35.73,24.14,46109.53,22.149,✔️,0.0,False,GPU,model,
60,🌳,Tree-based,[PerpetualBooster (default)](https://perpetual-ml.com/),952.0,+100/-168,0.0,56.23,54.85,18.324,22.8,0.017,✔️,0.0,False,CPU,model,
61,🧠⚡,Foundation Model,[TabSTAR (tuned)](https://arxiv.org/abs/2505.18125),944.0,+242/-331,0.054,56.54,41.76,24.321,46109.53,5.06,✔️,0.0,False,GPU,model,
62,🧠🔁,Neural Network,[FastaiMLP (default)](https://arxiv.org/abs/2003.06505),884.0,+86/-142,0.0,58.85,57.98,20.172,3.08,0.293,✔️,0.0,False,CPU,model,
63,🧠⚡,Foundation Model,[iLTM (default)](https://arxiv.org/abs/2511.15941),865.0,+76/-129,0.0,59.54,59.06,19.277,373.42,81.49,✔️,0.0,False,GPU,model,
64,📏,Baseline,[KNN (tuned + ensembled)](https://scikit-learn.org/stable/modules/neighbors.html),865.0,+114/-155,0.0,59.54,58.56,21.563,90.87,0.906,✔️,0.0,False,CPU,model,
65,🧠⚡,Foundation Model,[TabSTAR (default)](https://arxiv.org/abs/2505.18125),792.0,+268/-338,0.028,61.85,54.88,27.457,302.9,4.583,✔️,0.0,False,GPU,model,
66,📏,Baseline,[KNN (tuned)](https://scikit-learn.org/stable/modules/neighbors.html),728.0,+98/-155,0.0,63.54,63.22,23.683,90.87,0.055,✔️,0.0,False,CPU,model,
67,📏,Baseline,[KNN (default)](https://scikit-learn.org/stable/modules/neighbors.html),628.0,+138/-243,0.0,65.69,65.11,30.266,0.25,0.044,✔️,0.0,False,CPU,model,
68,📏,Baseline,[Linear (tuned + ensembled)](https://scikit-learn.org/stable/modules/linear_model.html),478.0,+113/-359,0.0,67.96,67.81,37.245,177.06,0.14,✔️,0.0,False,CPU,model,
69,📏,Baseline,[Linear (tuned)](https://scikit-learn.org/stable/modules/linear_model.html),418.0,+135/-481,0.0,68.65,68.49,37.427,177.06,0.059,✔️,0.0,False,CPU,model,
70,📏,Baseline,[Linear (default)](https://scikit-learn.org/stable/modules/linear_model.html),278.0,+123/-402,0.0,69.92,69.9,39.854,0.88,0.109,✔️,0.0,False,CPU,model,
