Batt Voltage,Battery Current,Velocity,Distance,H2 Leak,PowerW,EnergiWh,kmPerkWh,Time(s),_capture_ts,latitude,longitude,wgsAltitude,ts
34.98939,4.569744,0.293904,0.0,False,159.8926,0.03913911,0.0,29,1784902800.595351,25.4884113,51.45014709,11.7,1784902800478
34.98202,4.47181,0.48984,0.0,False,156.4329,0.05150907,0.0,29,1784902800.595351,25.4884113,51.45014709,11.7,1784902800478
35.04523,4.392871,0.685776,0.0,False,153.9492,0.06546677,0.0,30,1784902800.5983021,25.4884113,51.45014709,11.7,1784902800478
35.13041,4.186667,0.97968,0.0,False,147.0793,0.07918962,0.0,30,1784902801.1093132,25.4884113,51.45014709,11.7,1784902800478
35.09191,4.214867,1.175616,0.0,False,147.9077,0.0915419,0.0,30,1784902801.696867,25.4884113,51.45014709,11.7,1784902800478
35.05318,4.360292,1.46952,0.0,False,152.8421,0.1061874,0.0,31,1784902801.696867,25.4884113,51.45014709,11.7,1784902800478
35.10021,4.278894,1.763424,0.0,False,150.1901,0.1201765,0.0,31,1784902802.3488889,25.48841298,51.45014397,11.7,1784902801485
35.03196,4.435638,1.95936,0.0,False,155.3891,0.1324508,0.0,31,1784902802.9169843,25.4884161,51.45014047,11.7,1784902802489
35.0327,4.407761,2.155296,0.0,False,154.4158,0.1466772,0.0,32,1784902802.927762,25.4884161,51.45014047,11.7,1784902802489
35.11897,4.175591,2.4492,0.0,False,146.6425,0.159889,0.0,32,1784902803.4737704,25.4884161,51.45014047,11.7,1784902802489
35.12074,4.147813,2.645136,0.0,False,145.6743,0.1721194,0.0,32,1784902803.4737704,25.4884161,51.45014047,11.7,1784902802489
35.0715,4.256967,2.93904,1.57,False,149.2982,0.1849156,8.49036,33,1784902804.032255,25.48842362,51.45014244,11.7,1784902803501
35.10945,4.20093,3.134976,1.57,False,147.4923,0.1985704,7.906516,33,1784902804.0747368,25.48842362,51.45014244,11.7,1784902803501
35.15293,4.036138,3.42888,1.57,False,141.8821,0.2116959,7.416299,33,1784902804.5536468,25.4884339,51.45013874,11.7,1784902804515
35.07349,4.36455,3.624816,1.57,False,153.08,0.2238291,7.01428,34,1784902804.5719578,25.4884339,51.45013874,11.7,1784902804515
35.0445,4.369351,3.91872,1.57,False,153.1217,0.2379341,6.598466,34,1784902805.0532212,25.4884339,51.45013874,11.7,1784902804515
35.12763,4.139148,4.114656,3.14,False,145.3985,0.250417,12.53908,34,1784902805.5067647,25.4884339,51.45013874,11.7,1784902804515
35.13875,4.207542,4.40856,3.14,False,147.8478,0.2647703,11.85934,35,1784902805.5067647,25.4884339,51.45013874,11.7,1784902804515
35.10205,4.265238,4.604496,3.14,False,149.7186,0.2788055,11.26233,35,1784902805.9964721,25.48844269,51.45013234,11.7,1784902805530
35.01416,4.48553,4.8984,3.14,False,157.0571,0.2928137,10.72354,35,1784902806.4893117,25.48845152,51.45012434,11.7,1784902806543
35.06944,4.320829,5.094336,4.71,False,151.5291,0.3051672,15.43416,36,1784902806.4893117,25.48845152,51.45012434,11.7,1784902806543
35.01806,4.509362,5.290272,4.71,False,157.9091,0.317958,14.81328,36,1784902806.951804,25.48845152,51.45012434,11.7,1784902806543
35.11495,4.219821,5.584176,4.71,False,148.1788,0.3299622,14.27436,36,1784902807.4108753,25.48845152,51.45012434,11.7,1784902806543
35.11049,4.293403,5.780112,6.28,False,150.7435,0.3436833,18.27264,36,1784902807.4108753,25.48845152,51.45012434,11.7,1784902806543
34.97689,4.531618,6.074016,6.28,False,158.5019,0.3586585,17.50969,37,1784902807.8716598,25.48846307,51.45011591,11.8,1784902807554
35.06517,4.312149,6.269952,6.28,False,151.2062,0.370946,16.92969,37,1784902808.3398526,25.48846307,51.45011591,11.8,1784902807554
35.07717,4.347509,6.563856,7.85,False,152.4983,0.385687,20.35329,37,1784902808.3398526,25.48846307,51.45011591,11.8,1784902807554
35.08774,4.288669,6.759792,7.85,False,150.4797,0.3984054,19.70355,38,1784902808.8419526,25.48847467,51.45010516,11.8,1784902808561
35.14333,4.199103,6.955728,7.85,False,147.5705,0.4100188,19.14546,38,1784902809.4811654,25.48847467,51.45010516,11.8,1784902808561
35.06819,4.307777,7.151664,9.42,False,151.0659,0.4223479,22.30389,38,1784902809.6572313,25.48849182,51.45009027,11.8,1784902809570
35.05242,4.369412,7.445568,9.42,False,153.1585,0.4351756,21.64643,39,1784902810.2661083,25.48849182,51.45009027,11.8,1784902809570
35.08137,4.289469,7.641504,10.99,False,150.4804,0.4483484,24.51219,39,1784902810.289655,25.48849182,51.45009027,11.8,1784902809570
35.04196,4.363191,7.935408,10.99,False,152.8948,0.4626269,23.75564,39,1784902810.2916777,25.48849182,51.45009027,11.8,1784902809570
35.05136,4.407634,8.131344,10.99,False,154.4936,0.4748057,23.14631,40,1784902810.8555102,25.48849182,51.45009027,11.8,1784902809570
35.02191,4.436577,8.32728,12.56,False,155.3774,0.4876979,25.75365,40,1784902810.9538524,25.48850763,51.45007867,11.8,1784902810581
35.11013,4.161158,8.621184,12.56,False,146.0988,0.5019097,25.02442,40,1784902811.5557365,25.48850763,51.45007867,11.8,1784902810581
35.05305,4.384097,8.81712,14.13,False,153.676,0.5161051,27.37814,41,1784902811.7348058,25.48850763,51.45007867,11.8,1784902810581
35.0894,4.302803,9.111024,14.13,False,150.9828,0.5292352,26.6989,41,1784902812.0544739,25.48852658,51.45006545,11.9,1784902811590
34.9988,4.518078,9.30696,15.7,False,158.1273,0.5439293,28.86405,41,1784902812.6348033,25.48852658,51.45006545,11.9,1784902811590
